timestamp,event_type,packet_id,src,dst,size,flags
1765456221.2673166,RECEIVED,6fee9a24-ca7f-4a0d-a601-810945a354d5,?,?,18729,
1765456222.3643916,SENT,6fee9a24-ca7f-4a0d-a601-810945a354d5,?,?,7669,
1765456222.6329582,RECEIVED,3c89f7ab-8bd2-4416-a855-5812fd61b66d,?,?,18729,
1765456224.3695066,SENT,3c89f7ab-8bd2-4416-a855-5812fd61b66d,?,?,7669,
1765456242.982767,RECEIVED,3efb1db3-7271-4149-82bc-a1bf07d716c2,?,?,18729,
1765456244.3794367,SENT,3efb1db3-7271-4149-82bc-a1bf07d716c2,?,?,7669,
1765456246.6267006,RECEIVED,f89b6bb0-ed75-4a19-81f8-d09adf018d42,?,?,18729,
1765456248.387017,SENT,f89b6bb0-ed75-4a19-81f8-d09adf018d42,?,?,7669,
1765456249.0628765,RECEIVED,74805f8a-d4da-4839-b6f3-26bc82398a5f,?,?,18389,
1765456250.390677,SENT,74805f8a-d4da-4839-b6f3-26bc82398a5f,?,?,7525,
