timestamp,event_type,packet_id,src,dst,size,prev_hop,next_hop,flags
1768406988.126909,RECEIVED,3a468298-85b9-4c19-bd9b-7a0eb4718444,c1,c2,1422,e9,?,
1768406988.7511337,SENT,3a468298-85b9-4c19-bd9b-7a0eb4718444,c1,c2,996,?,x1,
1768406988.7512643,FORWARDED,3a468298-85b9-4c19-bd9b-7a0eb4718444,c1,c2,996,?,x1,
1768406989.9331553,RECEIVED,01baf04e-e17c-4eb5-8211-d5e9c93f2373,c5,c4,1435,e3,?,
1768406990.3613439,RECEIVED,f7240370-60b4-464b-95da-7b31094a851c,c2,c4,1424,e4,?,
1768406990.4112842,SENT,01baf04e-e17c-4eb5-8211-d5e9c93f2373,c5,c4,1004,?,x8,
1768406990.4121046,FORWARDED,01baf04e-e17c-4eb5-8211-d5e9c93f2373,c5,c4,1004,?,x8,
1768406990.4410288,RECEIVED,57ff2977-da35-4aef-acd4-7cd04441b720,c5,c1,1435,e9,?,
1768406990.4962254,SENT,f7240370-60b4-464b-95da-7b31094a851c,c2,c4,996,?,x2,
1768406990.4963562,FORWARDED,f7240370-60b4-464b-95da-7b31094a851c,c2,c4,996,?,x2,
