timestamp,event_type,packet_id,src,dst,size,prev_hop,next_hop,flags
1768407082.2807796,RECEIVED,c7b210fc-4bf1-49da-9f83-0c5ba9e220ef,c2,DROP,1304,p2,?,
1768407082.3733964,SENT,c7b210fc-4bf1-49da-9f83-0c5ba9e220ef,c2,DROP,906,?,i11,
1768407082.3735356,FORWARDED,c7b210fc-4bf1-49da-9f83-0c5ba9e220ef,c2,DROP,906,?,i11,
1768407083.105362,RECEIVED,c659802c-75c8-4b70-a731-46901162ab87,c3,DROP,1309,p3,?,
1768407083.6011124,SENT,c659802c-75c8-4b70-a731-46901162ab87,c3,DROP,907,?,i12,
1768407083.60125,FORWARDED,c659802c-75c8-4b70-a731-46901162ab87,c3,DROP,907,?,i12,
1768407084.6563883,RECEIVED,a9505bdb-8c4b-4a08-87c2-1b3aa6109833,c1,DROP,1292,p1,?,
1768407084.9995806,SENT,a9505bdb-8c4b-4a08-87c2-1b3aa6109833,c1,DROP,896,?,i6,
1768407084.9997132,FORWARDED,a9505bdb-8c4b-4a08-87c2-1b3aa6109833,c1,DROP,896,?,i6,
1768407086.4244788,RECEIVED,921acc52-cda7-4cd9-82eb-cc01b9769a01,c4,DROP,1294,p1,?,
1768407087.4442272,SENT,921acc52-cda7-4cd9-82eb-cc01b9769a01,c4,DROP,899,?,i7,
1768407087.4443686,FORWARDED,921acc52-cda7-4cd9-82eb-cc01b9769a01,c4,DROP,899,?,i7,
1768407087.686285,RECEIVED,5a1256ce-a192-4467-a27f-fad8671eee5b,c3,DROP,1295,p3,?,
1768407088.0218751,SENT,5a1256ce-a192-4467-a27f-fad8671eee5b,c3,DROP,899,?,i8,
1768407088.0220041,FORWARDED,5a1256ce-a192-4467-a27f-fad8671eee5b,c3,DROP,899,?,i8,
1768407088.9843192,RECEIVED,1aeba164-4ff7-4b4b-a7b5-1d58a70c73e9,c2,DROP,1287,p2,?,
1768407089.5470748,SENT,1aeba164-4ff7-4b4b-a7b5-1d58a70c73e9,c2,DROP,894,?,i8,
1768407089.547212,FORWARDED,1aeba164-4ff7-4b4b-a7b5-1d58a70c73e9,c2,DROP,894,?,i8,
1768407093.619202,RECEIVED,af4f08a3-17a9-4aa9-a4ab-128b0f492c55,c3,DROP,1299,p3,?,
1768407093.763339,SENT,af4f08a3-17a9-4aa9-a4ab-128b0f492c55,c3,DROP,903,?,i7,
1768407093.7634234,FORWARDED,af4f08a3-17a9-4aa9-a4ab-128b0f492c55,c3,DROP,903,?,i7,
1768407093.8948052,RECEIVED,22cc9dac-3932-4355-9810-cac73d63e166,c2,DROP,1300,p2,?,
