timestamp,event_type,packet_id,src,dst,size,prev_hop,next_hop,flags
1768407081.117929,RECEIVED,593a3bf9-1b7a-4ce6-8200-2c94c601db87,c3,c2,2548,c3,?,
1768407081.1850996,SENT,593a3bf9-1b7a-4ce6-8200-2c94c601db87,c3,c2,1839,?,e3,
1768407081.1852388,FORWARDED,593a3bf9-1b7a-4ce6-8200-2c94c601db87,c3,c2,1839,?,e3,
1768407081.306272,RECEIVED,f716e626-0284-4d92-a8a5-2abd1615308f,c3,c4,2551,c3,?,
1768407081.3678875,RECEIVED,54436169-8eba-4053-a03b-5497819c2e1d,c3,DROP,1820,c3,?,
1768407081.5801024,SENT,54436169-8eba-4053-a03b-5497819c2e1d,c3,DROP,1291,?,e5,
1768407081.5802252,FORWARDED,54436169-8eba-4053-a03b-5497819c2e1d,c3,DROP,1291,?,e5,
1768407081.708104,RECEIVED,0566e65b-c410-4485-a16b-b29f5532adff,c3,c2,2546,c3,?,
1768407081.720041,RECEIVED,d1b369a2-d257-45b4-873b-0d70b0e20248,c3,DROP,1812,c3,?,
1768407081.9141195,RECEIVED,548ea469-1aba-4e17-b227-fbf1a0d2d125,c3,c4,2543,c3,?,
1768407082.1025417,RECEIVED,79908903-3491-47e2-b3fd-bcf108e5428a,c3,c5,2547,c3,?,
1768407082.228534,SENT,d1b369a2-d257-45b4-873b-0d70b0e20248,c3,DROP,1286,?,e11,
1768407082.229023,FORWARDED,d1b369a2-d257-45b4-873b-0d70b0e20248,c3,DROP,1286,?,e11,
1768407082.3120914,RECEIVED,acf77106-0967-4c47-bef8-2bc1f052a2be,c3,c5,2556,c3,?,
1768407082.360233,RECEIVED,43e3fa83-9e4d-4c54-bcb6-1ef46bc2a0fc,c3,DROP,1819,c3,?,
1768407082.4277995,SENT,548ea469-1aba-4e17-b227-fbf1a0d2d125,c3,c4,1835,?,e2,
1768407082.427928,FORWARDED,548ea469-1aba-4e17-b227-fbf1a0d2d125,c3,c4,1835,?,e2,
1768407082.5123818,RECEIVED,9992b673-7b6e-48d0-968d-800991d18c16,c3,c4,2551,c3,?,
1768407082.5948396,RECEIVED,c659802c-75c8-4b70-a731-46901162ab87,c3,DROP,1843,c3,?,
1768407082.6270869,RECEIVED,20cb566d-acec-4a69-aafe-51cf78420749,c2,c3,612,x3,?,
1768407082.6454086,SENT,9992b673-7b6e-48d0-968d-800991d18c16,c3,c4,1840,?,e2,
1768407082.6455345,FORWARDED,9992b673-7b6e-48d0-968d-800991d18c16,c3,c4,1840,?,e2,
1768407082.6706934,SENT,20cb566d-acec-4a69-aafe-51cf78420749,c2,c3,385,?,c3,
1768407082.6708302,FORWARDED,20cb566d-acec-4a69-aafe-51cf78420749,c2,c3,385,?,c3,
1768407082.7083113,RECEIVED,f3072ac0-9321-4104-a4db-06ba92a8794c,c3,c5,2548,c3,?,
1768407082.7256935,SENT,f716e626-0284-4d92-a8a5-2abd1615308f,c3,c4,1842,?,e3,
1768407082.7258291,FORWARDED,f716e626-0284-4d92-a8a5-2abd1615308f,c3,c4,1842,?,e3,
1768407082.743862,SENT,acf77106-0967-4c47-bef8-2bc1f052a2be,c3,c5,1843,?,e3,
1768407082.74399,FORWARDED,acf77106-0967-4c47-bef8-2bc1f052a2be,c3,c5,1843,?,e3,
1768407082.8126116,SENT,f3072ac0-9321-4104-a4db-06ba92a8794c,c3,c5,1839,?,e2,
1768407082.812739,FORWARDED,f3072ac0-9321-4104-a4db-06ba92a8794c,c3,c5,1839,?,e2,
1768407083.104425,SENT,c659802c-75c8-4b70-a731-46901162ab87,c3,DROP,1309,?,e7,
1768407083.1045892,FORWARDED,c659802c-75c8-4b70-a731-46901162ab87,c3,DROP,1309,?,e7,
1768407083.1115348,RECEIVED,6e6f3370-00c7-4591-8550-78e010f5cf02,c3,c5,2581,c3,?,
1768407083.1664824,RECEIVED,295d4fb6-ec79-473c-93e6-799b45b1490c,c3,DROP,1839,c3,?,
1768407083.2084055,SENT,6e6f3370-00c7-4591-8550-78e010f5cf02,c3,c5,1862,?,e3,
1768407083.2085304,FORWARDED,6e6f3370-00c7-4591-8550-78e010f5cf02,c3,c5,1862,?,e3,
1768407083.2432818,RECEIVED,bac9bb54-86fc-4014-ba08-e9907dfa06ba,c2,c3,609,x1,?,
1768407083.3040233,RECEIVED,de29dfe7-8c33-42a5-900f-4edca1bfc27b,c3,c2,2556,c3,?,
1768407083.311905,SENT,bac9bb54-86fc-4014-ba08-e9907dfa06ba,c2,c3,383,?,c3,
1768407083.3120303,FORWARDED,bac9bb54-86fc-4014-ba08-e9907dfa06ba,c2,c3,383,?,c3,
1768407083.3344617,RECEIVED,d6595e24-6fd3-4877-8efd-280032035fd6,c5,c3,605,x2,?,
1768407083.3757129,SENT,0566e65b-c410-4485-a16b-b29f5532adff,c3,c2,1839,?,e3,
1768407083.3758442,FORWARDED,0566e65b-c410-4485-a16b-b29f5532adff,c3,c2,1839,?,e3,
1768407083.391812,SENT,de29dfe7-8c33-42a5-900f-4edca1bfc27b,c3,c2,1844,?,e1,
1768407083.3919368,FORWARDED,de29dfe7-8c33-42a5-900f-4edca1bfc27b,c3,c2,1844,?,e1,
1768407083.5100226,RECEIVED,5125b978-5f6f-40e4-94e1-caa8b2e7ebf6,c3,c5,2567,c3,?,
1768407083.707144,RECEIVED,681b32a2-f33d-4d8a-bddb-0fc7b3f64085,c3,c4,2573,c3,?,
1768407083.7466643,SENT,681b32a2-f33d-4d8a-bddb-0fc7b3f64085,c3,c4,1855,?,e2,
1768407083.746791,FORWARDED,681b32a2-f33d-4d8a-bddb-0fc7b3f64085,c3,c4,1855,?,e2,
1768407083.753658,SENT,43e3fa83-9e4d-4c54-bcb6-1ef46bc2a0fc,c3,DROP,1291,?,e9,
1768407083.753788,FORWARDED,43e3fa83-9e4d-4c54-bcb6-1ef46bc2a0fc,c3,DROP,1291,?,e9,
1768407083.9068742,RECEIVED,99a3e52b-3845-4637-91d0-80cba744a545,c3,c4,2579,c3,?,
1768407083.9209988,SENT,5125b978-5f6f-40e4-94e1-caa8b2e7ebf6,c3,c5,1852,?,e1,
1768407083.9212012,FORWARDED,5125b978-5f6f-40e4-94e1-caa8b2e7ebf6,c3,c5,1852,?,e1,
1768407083.9562037,RECEIVED,69601487-5b44-4647-bc23-410875f0020a,c4,c3,607,x3,?,
1768407083.996457,SENT,295d4fb6-ec79-473c-93e6-799b45b1490c,c3,DROP,1308,?,e3,
1768407083.9965868,FORWARDED,295d4fb6-ec79-473c-93e6-799b45b1490c,c3,DROP,1308,?,e3,
1768407084.105377,RECEIVED,03f49391-7d20-4ac4-98df-e27c88f7fa62,c3,c2,2560,c3,?,
1768407084.1274965,SENT,79908903-3491-47e2-b3fd-bcf108e5428a,c3,c5,1837,?,e1,
1768407084.127623,FORWARDED,79908903-3491-47e2-b3fd-bcf108e5428a,c3,c5,1837,?,e1,
1768407084.2089462,RECEIVED,d44d3d66-6f72-4473-9cb3-0e54b32e8eaf,c2,c3,614,x2,?,
1768407084.2325885,SENT,d44d3d66-6f72-4473-9cb3-0e54b32e8eaf,c2,c3,387,?,c3,
1768407084.2327192,FORWARDED,d44d3d66-6f72-4473-9cb3-0e54b32e8eaf,c2,c3,387,?,c3,
1768407084.303157,RECEIVED,f87613c3-0821-488a-bdad-c7c7ccc537a4,c3,c2,2556,c3,?,
1768407084.3968587,RECEIVED,bbdec599-e81c-46a3-ac72-dfa1d263b338,c1,c3,607,x3,?,
1768407084.4257824,SENT,d6595e24-6fd3-4877-8efd-280032035fd6,c5,c3,383,?,c3,
1768407084.4259107,FORWARDED,d6595e24-6fd3-4877-8efd-280032035fd6,c5,c3,383,?,c3,
1768407084.4881103,SENT,99a3e52b-3845-4637-91d0-80cba744a545,c3,c4,1863,?,e1,
1768407084.4882405,FORWARDED,99a3e52b-3845-4637-91d0-80cba744a545,c3,c4,1863,?,e1,
1768407084.5016606,SENT,03f49391-7d20-4ac4-98df-e27c88f7fa62,c3,c2,1848,?,e1,
1768407084.5017884,FORWARDED,03f49391-7d20-4ac4-98df-e27c88f7fa62,c3,c2,1848,?,e1,
1768407084.5122283,RECEIVED,be585036-016f-4d47-9b9b-05a0b39fe2ff,c3,c5,2571,c3,?,
1768407084.5250452,SENT,f87613c3-0821-488a-bdad-c7c7ccc537a4,c3,c2,1845,?,e1,
1768407084.525202,FORWARDED,f87613c3-0821-488a-bdad-c7c7ccc537a4,c3,c2,1845,?,e1,
1768407084.7014837,RECEIVED,bfa31f53-7c97-4ab2-b9b9-ef63b84c050a,c3,c4,2555,c3,?,
1768407084.8120894,SENT,69601487-5b44-4647-bc23-410875f0020a,c4,c3,384,?,c3,
1768407084.812212,FORWARDED,69601487-5b44-4647-bc23-410875f0020a,c4,c3,384,?,c3,
1768407084.9072974,RECEIVED,07a4d8b1-2668-45a3-bbd0-dbe433847645,c3,c4,2559,c3,?,
1768407085.1056495,RECEIVED,8f4976a5-fc90-4669-8b6c-e66401f2a96a,c3,c2,2555,c3,?,
1768407085.1221833,SENT,07a4d8b1-2668-45a3-bbd0-dbe433847645,c3,c4,1847,?,e2,
1768407085.1223135,FORWARDED,07a4d8b1-2668-45a3-bbd0-dbe433847645,c3,c4,1847,?,e2,
1768407085.3063838,RECEIVED,4faf1e2d-621a-4a6e-a2b2-ce91f060ed37,c3,c5,2546,c3,?,
1768407085.3672814,SENT,bfa31f53-7c97-4ab2-b9b9-ef63b84c050a,c3,c4,1844,?,e2,
1768407085.3692982,FORWARDED,bfa31f53-7c97-4ab2-b9b9-ef63b84c050a,c3,c4,1844,?,e2,
1768407085.509779,RECEIVED,6f710bf9-632f-497e-ac39-62e0fd98ce65,c3,c2,2568,c3,?,
