timestamp,event_type,packet_id,src,dst,size,prev_hop,next_hop,flags
1768407084.9344819,RECEIVED,71f33768-5045-4365-a90b-aa4aa5f2a77d,c2,DROP,377,x8,?,
1768407087.7892768,RECEIVED,921acc52-cda7-4cd9-82eb-cc01b9769a01,c4,DROP,601,i7,?,
1768407087.8134246,SENT,921acc52-cda7-4cd9-82eb-cc01b9769a01,c4,DROP,378,?,e2,
1768407087.813558,FORWARDED,921acc52-cda7-4cd9-82eb-cc01b9769a01,c4,DROP,378,?,e2,
1768407087.9181533,RECEIVED,b2ed0edc-28e3-40cf-ab35-324995b63a52,c1,DROP,377,x12,?,
1768407090.7432415,RECEIVED,1aeba164-4ff7-4b4b-a7b5-1d58a70c73e9,c2,DROP,378,x3,?,
1768407092.2549503,RECEIVED,04feb98e-df3d-48e9-82c5-5a0e794c0d81,c5,DROP,603,i10,?,
1768407092.9027119,SENT,04feb98e-df3d-48e9-82c5-5a0e794c0d81,c5,DROP,381,?,x9,
1768407092.9027765,FORWARDED,04feb98e-df3d-48e9-82c5-5a0e794c0d81,c5,DROP,381,?,x9,
1768407093.6750998,RECEIVED,81585dc6-37f7-4433-a023-73941c33ed11,c2,DROP,599,i3,?,
1768407093.9546843,RECEIVED,299501d0-0212-4163-a09c-d0f410a6e4f2,c2,DROP,603,i8,?,
1768407094.2153957,SENT,299501d0-0212-4163-a09c-d0f410a6e4f2,c2,DROP,379,?,i3,
1768407094.2155366,REDIRECTED,299501d0-0212-4163-a09c-d0f410a6e4f2,c2,DROP,379,?,i3,
1768407094.215632,FORWARDED,299501d0-0212-4163-a09c-d0f410a6e4f2,c2,DROP,379,?,i2,
1768407094.2637694,SENT,81585dc6-37f7-4433-a023-73941c33ed11,c2,DROP,378,?,x5,
1768407094.263898,FORWARDED,81585dc6-37f7-4433-a023-73941c33ed11,c2,DROP,378,?,x5,
1768407099.9842439,RECEIVED,90faa2f2-9804-4ece-8b82-561e72bf0875,c1,DROP,382,x10,?,
1768407100.7635365,RECEIVED,6a15959a-0406-4ee5-ab19-217992b81222,c1,DROP,381,x12,?,
1768407106.057437,RECEIVED,b4cb0d33-e56b-4963-804f-2f97bc3f4684,c1,DROP,608,i9,?,
1768407106.1871796,RECEIVED,e6d79067-981d-43eb-ae22-fadf1d68e2ed,c4,DROP,603,i10,?,
1768407106.4189246,RECEIVED,d71b4a8d-5edc-4c51-be3c-ca575bbcb978,c5,DROP,605,i1,?,
1768407106.823379,SENT,e6d79067-981d-43eb-ae22-fadf1d68e2ed,c4,DROP,381,?,e5,
1768407106.8234558,FORWARDED,e6d79067-981d-43eb-ae22-fadf1d68e2ed,c4,DROP,381,?,e5,
1768407106.8269339,RECEIVED,48b08251-6153-4140-8bf6-4e901e35d6f8,c2,DROP,604,i9,?,
1768407106.8362806,SENT,d71b4a8d-5edc-4c51-be3c-ca575bbcb978,c5,DROP,380,?,e11,
1768407106.836351,FORWARDED,d71b4a8d-5edc-4c51-be3c-ca575bbcb978,c5,DROP,380,?,e11,
1768407108.1113853,SENT,48b08251-6153-4140-8bf6-4e901e35d6f8,c2,DROP,381,?,x12,
1768407108.111474,FORWARDED,48b08251-6153-4140-8bf6-4e901e35d6f8,c2,DROP,381,?,x12,
1768407108.1763277,SENT,b4cb0d33-e56b-4963-804f-2f97bc3f4684,c1,DROP,382,?,x12,
1768407108.1764324,FORWARDED,b4cb0d33-e56b-4963-804f-2f97bc3f4684,c1,DROP,382,?,x12,
1768407109.328779,RECEIVED,85169ee2-9770-4171-87eb-a439ff7428e4,c2,DROP,603,i1,?,
1768407109.6079826,RECEIVED,75193af0-87d6-46ad-946f-e3a7eb5a394d,c4,DROP,600,i4,?,
1768407110.0826457,SENT,75193af0-87d6-46ad-946f-e3a7eb5a394d,c4,DROP,377,?,e6,
1768407110.082775,FORWARDED,75193af0-87d6-46ad-946f-e3a7eb5a394d,c4,DROP,377,?,e6,
1768407110.0943565,RECEIVED,c1177051-4f2b-46e5-af0e-af0bdb0b9a67,c1,DROP,607,i7,?,
1768407110.4967394,RECEIVED,33bb5427-f921-4ca4-8367-41c27241766a,c4,DROP,600,i12,?,
1768407110.6510072,SENT,33bb5427-f921-4ca4-8367-41c27241766a,c4,DROP,377,?,i6,
1768407110.6511672,FORWARDED,33bb5427-f921-4ca4-8367-41c27241766a,c4,DROP,377,?,i6,
1768407110.7410848,SENT,85169ee2-9770-4171-87eb-a439ff7428e4,c2,DROP,380,?,e12,
1768407110.7411466,FORWARDED,85169ee2-9770-4171-87eb-a439ff7428e4,c2,DROP,380,?,e12,
1768407111.4319758,SENT,c1177051-4f2b-46e5-af0e-af0bdb0b9a67,c1,DROP,382,?,i12,
1768407111.43214,FORWARDED,c1177051-4f2b-46e5-af0e-af0bdb0b9a67,c1,DROP,382,?,i12,
