timestamp,event_type,packet_id,src,dst,size,prev_hop,next_hop,flags
1768488669.893342,RECEIVED,43849b29-4f43-4a43-b626-61e66c2e5b6e,c3,DROP,1305,p3,?,
1768488669.9609568,RECEIVED,d5620feb-a6b0-4dfa-b703-d8c7c66b3f4d,c2,c4,1837,p2,?,
1768488670.0219984,SENT,d5620feb-a6b0-4dfa-b703-d8c7c66b3f4d,c2,c4,1303,?,i5,
1768488670.0221536,FORWARDED,d5620feb-a6b0-4dfa-b703-d8c7c66b3f4d,c2,c4,1303,?,i5,
1768488670.0319824,SENT,43849b29-4f43-4a43-b626-61e66c2e5b6e,c3,DROP,904,?,i12,
1768488670.0325358,FORWARDED,43849b29-4f43-4a43-b626-61e66c2e5b6e,c3,DROP,904,?,i12,
1768488670.4412863,RECEIVED,752256e3-ec59-497c-86ee-e26b031bfd2c,c2,c4,1839,p2,?,
1768488671.384424,SENT,752256e3-ec59-497c-86ee-e26b031bfd2c,c2,c4,1308,?,i5,
1768488671.3845286,FORWARDED,752256e3-ec59-497c-86ee-e26b031bfd2c,c2,c4,1308,?,i5,
1768488671.7794464,RECEIVED,143a83ef-999b-4ea5-aff2-95d88cb7cc2d,c5,c1,1863,p2,?,
1768488671.993198,SENT,143a83ef-999b-4ea5-aff2-95d88cb7cc2d,c5,c1,1325,?,i10,
1768488671.993285,FORWARDED,143a83ef-999b-4ea5-aff2-95d88cb7cc2d,c5,c1,1325,?,i10,
1768488672.3534925,RECEIVED,51ef5af9-0873-4e2b-a695-8606e9dbe1ee,c2,c1,1853,p2,?,
1768488672.3818276,SENT,51ef5af9-0873-4e2b-a695-8606e9dbe1ee,c2,c1,1315,?,i12,
1768488672.3819118,FORWARDED,51ef5af9-0873-4e2b-a695-8606e9dbe1ee,c2,c1,1315,?,i12,
1768488672.5171862,RECEIVED,efa47221-5ea2-45b6-b09c-29938299aa7e,c5,c1,1865,p2,?,
1768488672.6493242,SENT,efa47221-5ea2-45b6-b09c-29938299aa7e,c5,c1,1325,?,i10,
1768488672.6493857,FORWARDED,efa47221-5ea2-45b6-b09c-29938299aa7e,c5,c1,1325,?,i10,
1768488672.676431,RECEIVED,ab76b3ac-c7ad-4d61-8645-8e397f3e809e,c2,c1,1848,p2,?,
1768488673.0982325,RECEIVED,58caf4b8-c8ba-4836-a139-dfd4aed9b9d6,c2,c4,1836,p2,?,
1768488673.1761186,SENT,58caf4b8-c8ba-4836-a139-dfd4aed9b9d6,c2,c4,1303,?,i5,
1768488673.1761823,FORWARDED,58caf4b8-c8ba-4836-a139-dfd4aed9b9d6,c2,c4,1303,?,i5,
1768488673.178367,SENT,ab76b3ac-c7ad-4d61-8645-8e397f3e809e,c2,c1,1313,?,i12,
1768488673.1784275,FORWARDED,ab76b3ac-c7ad-4d61-8645-8e397f3e809e,c2,c1,1313,?,i12,
1768488673.5949755,RECEIVED,b59af510-43ab-4e0e-ad3c-b0bc49cd2e60,c2,c4,1829,p2,?,
1768488673.6268039,SENT,b59af510-43ab-4e0e-ad3c-b0bc49cd2e60,c2,c4,1298,?,i5,
1768488673.6268678,FORWARDED,b59af510-43ab-4e0e-ad3c-b0bc49cd2e60,c2,c4,1298,?,i5,
1768488673.8221655,RECEIVED,458ba25f-263f-4e58-a39c-6186ca9619a9,c3,DROP,1294,p3,?,
1768488673.908786,RECEIVED,51edc704-7b27-46fa-a2a2-876dadfc55e4,c3,c4,1839,p3,?,
1768488674.0171063,RECEIVED,9268e786-cb70-49ca-bf51-61d887416e77,c5,c3,1827,p2,?,
1768488674.185593,RECEIVED,ec7af094-1a40-4bff-b09f-7740611511c2,c5,c3,1839,p2,?,
1768488674.2778394,RECEIVED,f57d9b64-f079-4766-aba5-209c94652504,c3,c4,1839,p3,?,
1768488674.4159484,SENT,9268e786-cb70-49ca-bf51-61d887416e77,c5,c3,1299,?,i9,
1768488674.4159985,FORWARDED,9268e786-cb70-49ca-bf51-61d887416e77,c5,c3,1299,?,i9,
1768488674.4503398,SENT,ec7af094-1a40-4bff-b09f-7740611511c2,c5,c3,1307,?,i9,
1768488674.4503918,FORWARDED,ec7af094-1a40-4bff-b09f-7740611511c2,c5,c3,1307,?,i9,
1768488674.5253828,SENT,458ba25f-263f-4e58-a39c-6186ca9619a9,c3,DROP,900,?,i9,
1768488674.5254343,FORWARDED,458ba25f-263f-4e58-a39c-6186ca9619a9,c3,DROP,900,?,i9,
1768488674.7687654,RECEIVED,0a0c924a-428a-49a4-8e3e-0abe0a6120ab,c3,DROP,382,x3,?,
1768488674.8898945,SENT,51edc704-7b27-46fa-a2a2-876dadfc55e4,c3,c4,1306,?,i4,
1768488674.8899434,FORWARDED,51edc704-7b27-46fa-a2a2-876dadfc55e4,c3,c4,1306,?,i4,
1768488675.019263,SENT,f57d9b64-f079-4766-aba5-209c94652504,c3,c4,1306,?,i4,
1768488675.0193133,FORWARDED,f57d9b64-f079-4766-aba5-209c94652504,c3,c4,1306,?,i4,
1768488676.2196486,RECEIVED,6a0a2263-7b48-4fc6-81c2-d380fbc955dc,c4,c5,1835,p1,?,
1768488676.2942188,RECEIVED,e0b87595-9614-4eea-8bc2-337436f8f4b7,c4,DROP,1304,p1,?,
1768488676.5489378,SENT,6a0a2263-7b48-4fc6-81c2-d380fbc955dc,c4,c5,1303,?,i5,
1768488676.548982,FORWARDED,6a0a2263-7b48-4fc6-81c2-d380fbc955dc,c4,c5,1303,?,i5,
1768488676.741993,SENT,e0b87595-9614-4eea-8bc2-337436f8f4b7,c4,DROP,905,?,i9,
1768488676.7420406,FORWARDED,e0b87595-9614-4eea-8bc2-337436f8f4b7,c4,DROP,905,?,i9,
1768488677.8623757,RECEIVED,75e25f9d-5934-42d0-911a-29de3fc2fc4d,c1,c3,1840,p1,?,
1768488677.9241428,RECEIVED,53c026f1-52f9-4bf4-979d-293f3832e0bb,c5,c1,1839,p2,?,
1768488677.9811018,SENT,75e25f9d-5934-42d0-911a-29de3fc2fc4d,c1,c3,1307,?,i4,
1768488677.9812014,FORWARDED,75e25f9d-5934-42d0-911a-29de3fc2fc4d,c1,c3,1307,?,i4,
1768488678.013249,RECEIVED,d927b6b9-0c25-4e90-ab31-821275f30157,c1,c3,1839,p1,?,
1768488678.085907,RECEIVED,5aec00b4-00d8-4625-ba62-50a244c9b47e,c5,c1,1849,p2,?,
1768488678.183045,SENT,5aec00b4-00d8-4625-ba62-50a244c9b47e,c5,c1,1312,?,i4,
1768488678.1831007,FORWARDED,5aec00b4-00d8-4625-ba62-50a244c9b47e,c5,c1,1312,?,i4,
1768488678.2332451,SENT,d927b6b9-0c25-4e90-ab31-821275f30157,c1,c3,1307,?,i4,
1768488678.233288,FORWARDED,d927b6b9-0c25-4e90-ab31-821275f30157,c1,c3,1307,?,i4,
1768488678.4834337,RECEIVED,1265fc88-2d0a-4f21-9b5c-e521f5e4966a,c4,c5,1838,p1,?,
1768488678.5241947,SENT,53c026f1-52f9-4bf4-979d-293f3832e0bb,c5,c1,1308,?,i4,
1768488678.5242357,FORWARDED,53c026f1-52f9-4bf4-979d-293f3832e0bb,c5,c1,1308,?,i4,
1768488678.7442915,RECEIVED,cb8c0979-c01b-4e68-8c69-88a62133a44a,c4,c2,1840,p1,?,
1768488678.8896985,RECEIVED,ede3667c-6634-4df1-97f3-55a010367780,c3,c4,1841,p3,?,
