timestamp,event_type,packet_id,src,dst,size,prev_hop,next_hop,flags
1768488670.6886933,RECEIVED,2a4fcbb6-83f4-47a7-ad7c-07912863cc67,c5,c3,908,i10,?,
1768488670.7289016,SENT,2a4fcbb6-83f4-47a7-ad7c-07912863cc67,c5,c3,607,?,p3,
1768488670.7290251,FORWARDED,2a4fcbb6-83f4-47a7-ad7c-07912863cc67,c5,c3,607,?,p3,
1768488670.7857907,RECEIVED,fb9f5623-7350-4c4e-96c7-d3a2d37ad011,c5,c3,895,i6,?,
1768488670.9563727,RECEIVED,afa87dd8-1354-4046-ad25-ab3aaec72eef,c5,c3,908,i6,?,
1768488671.0653872,RECEIVED,a808e24e-b465-45c5-9d76-e6320aaaa5c5,c4,c2,911,i10,?,
1768488671.1424162,RECEIVED,e7788875-9391-4276-ac06-f91c53ae7364,c5,DROP,607,i5,?,
1768488671.2002223,SENT,e7788875-9391-4276-ac06-f91c53ae7364,c5,DROP,382,?,e2,
1768488671.2003307,FORWARDED,e7788875-9391-4276-ac06-f91c53ae7364,c5,DROP,382,?,e2,
1768488671.300227,RECEIVED,6b5428aa-75d0-4a5b-886e-646b19fea5d6,c1,c5,908,i9,?,
1768488671.407648,SENT,afa87dd8-1354-4046-ad25-ab3aaec72eef,c5,c3,608,?,p3,
1768488671.4077837,FORWARDED,afa87dd8-1354-4046-ad25-ab3aaec72eef,c5,c3,608,?,p3,
1768488671.5094008,SENT,6b5428aa-75d0-4a5b-886e-646b19fea5d6,c1,c5,607,?,p2,
1768488671.5095153,FORWARDED,6b5428aa-75d0-4a5b-886e-646b19fea5d6,c1,c5,607,?,p2,
1768488671.61601,SENT,fb9f5623-7350-4c4e-96c7-d3a2d37ad011,c5,c3,600,?,p3,
1768488671.6161206,FORWARDED,fb9f5623-7350-4c4e-96c7-d3a2d37ad011,c5,c3,600,?,p3,
1768488671.6368468,RECEIVED,e3bd9ba6-1a00-4d1c-9c32-61f3d18716e0,c5,c2,908,i2,?,
1768488671.7008605,SENT,a808e24e-b465-45c5-9d76-e6320aaaa5c5,c4,c2,612,?,p2,
