timestamp,event_type,packet_id,src,dst,size,prev_hop,next_hop,flags
1768488716.9163573,SENT,82c7edf0-677d-4366-87f8-5cc04290f115,c3,c4,2547,?,p3,
1768488716.9164858,CREATED,ee27cda2-68d2-4770-a0b7-04659c9b7451,c3,c4,27,?,?,
1768488716.9206445,SENT,fe4444b6-d85f-4930-91b4-25f155e32836,c3,c4,2551,?,p3,
1768488716.9207582,CREATED,c39c1052-93ae-46a4-a745-b7634e4fcd97,c3,c4,27,?,?,
1768488717.1100914,SENT,0972d63f-e199-4185-b847-f48569ac42e1,c3,c2,2555,?,p3,
1768488717.1102405,CREATED,90835d75-3b9e-4488-a267-e8b256de0cef,c3,c2,27,?,?,
1768488717.1152766,SENT,7bcae63f-a08f-49fe-9c10-1ff069c8d30d,c3,c2,2547,?,p3,
1768488717.1153936,CREATED,8fdfd545-a297-4779-819d-8763014db0dd,c3,c2,27,?,?,
1768488717.3272104,SENT,a09b2ccf-94cd-4b83-9b0e-75a1c2ecab6f,c3,DROP,1841,?,p3,
1768488717.3273406,CREATED,41a27f42-6ec7-4f02-8d3c-aaff2f424bc7,c3,DROP,27,?,?,
1768488717.4422898,RECEIVED,cb1a3024-7df2-40c8-baa9-624980114fce,c1,c3,27,p3,?,
1768488717.7676985,SENT,ad07b026-27fe-42f0-9f2a-22654b0689af,c3,c5,2527,?,p3,
1768488717.7678099,CREATED,4784c4b8-ae43-4b31-af46-32677b7421d6,c3,c5,26,?,?,
1768488717.7713497,SENT,0b37cb70-5f03-40e1-a104-516e22b8be46,c3,c5,2535,?,p3,
1768488717.7714598,CREATED,af068a80-90c2-485f-9311-af6343c821bc,c3,c5,26,?,?,
1768488718.1966238,SENT,5e5d5b1b-7b5c-45cf-87bc-7f14f751153d,c3,c5,2556,?,p3,
1768488718.1967573,CREATED,018e82d6-0544-40da-a8af-513c522afb8f,c3,c5,27,?,?,
1768488718.2098837,SENT,f6418202-fe76-4e54-8724-4219c1181ce3,c3,c5,2547,?,p3,
1768488718.210081,CREATED,dfee68a6-4cb7-4f01-a986-74bb1183dee0,c3,c5,27,?,?,
1768488718.5774448,SENT,09deaa92-d103-4efe-9c80-577f753b812b,c3,c1,2527,?,p3,
1768488718.5775545,CREATED,25b462fb-74e2-4a0d-a906-d6911ae7726c,c3,c1,27,?,?,
1768488718.5834007,SENT,c14f4b73-bc9c-448d-a221-fdd6f17def7e,c3,c1,2547,?,p3,
1768488718.583515,CREATED,bc3cde9e-9390-449f-a51b-4461e3acb6ce,c3,c1,27,?,?,
1768488718.758855,SENT,d4ffd1ff-3e86-4629-924c-971d285b9366,c3,c2,2527,?,p3,
1768488718.7589686,CREATED,c46c201c-fe6f-431d-9229-c30a12db5fcf,c3,c2,25,?,?,
1768488718.7628696,SENT,2449fba2-cc3a-4ec2-a3ef-0a2c462607ae,c3,c2,2531,?,p3,
1768488718.762982,CREATED,425b09e3-3d6b-4dc1-b694-e39bb4ae0099,c3,c2,25,?,?,
1768488718.8408582,SENT,65032bc7-4ed0-4231-9714-299902fc9750,c3,c5,2539,?,p3,
1768488718.8409703,CREATED,b8aff01c-8814-41fd-9bff-92b86da20c73,c3,c5,27,?,?,
1768488718.8450198,SENT,f93a940f-f50c-40a6-9758-d4c6283bb678,c3,c5,2546,?,p3,
1768488718.8451834,CREATED,0d88d392-ac15-439d-b872-da8ccd7c2eac,c3,c5,27,?,?,
1768488718.8564758,SENT,66fa1d3e-5090-481e-8cc1-ee1eaeabf0b3,c3,DROP,1826,?,p3,
1768488718.8565793,CREATED,e09a90cf-a197-48d1-8890-89a0a8d910fd,c3,DROP,27,?,?,
1768488718.8911028,RECEIVED,f9ac0d77-978c-4917-8d75-93e669fa73b0,c5,c3,27,p3,?,
1768488718.9140954,RECEIVED,d6eefbdb-3a4e-4eb9-9ec3-2637babd0cc3,c1,c3,27,p3,?,
1768488719.247991,SENT,eead4b6b-ff9a-4062-a734-6a848d236772,c3,c5,2551,?,p3,
1768488719.2480826,CREATED,59c9a8bc-4a24-4ccb-aecf-ed4d5f8ae73d,c3,c5,27,?,?,
1768488719.2528486,RECEIVED,be1ed187-cae5-4f93-a612-d581baf29413,c5,c3,27,p3,?,
1768488719.2538664,SENT,d10c1571-90f8-4c4c-afad-ad2c270325e7,c3,c5,2543,?,p3,
1768488719.2539442,CREATED,a9c837a9-a2bc-43a8-a26a-96d4e2c3cf1a,c3,c5,27,?,?,
1768488719.276195,RECEIVED,6339061e-b16b-4906-9ee0-54012da73ba7,c5,c3,27,p3,?,
1768488719.479129,RECEIVED,1fc17b99-aba4-4837-b421-7998d4f830ba,c4,c3,27,p3,?,
1768488719.8167393,RECEIVED,8a9be6d9-9cfa-4942-8d89-e57655b9fc57,c1,c3,27,p3,?,
1768488719.9109886,RECEIVED,93d8a2e0-7b8f-4385-9c2b-7e2e35dacabe,c2,c3,26,p3,?,
1768488720.0655892,SENT,ad132016-25e9-4a0f-b7be-33a4b9a0fcda,c3,c4,2531,?,p3,
1768488720.0656705,CREATED,3aed9db8-fef5-46a5-8505-ba5a6080cee3,c3,c4,26,?,?,
1768488720.0701406,SENT,ce2cea21-2dd9-4bb5-95f6-e8b5f22bfa88,c3,c4,2547,?,p3,
1768488720.070219,CREATED,8390d6a8-c360-4a0c-bba5-36c30489a54b,c3,c4,26,?,?,
1768488720.1439419,RECEIVED,2afc6ebf-9ec0-419b-8bd4-807d3e31e1df,c1,c3,27,p3,?,
1768488720.2929397,RECEIVED,2cfc885a-a3ec-4df1-9693-da331470716e,c1,c3,27,p3,?,
1768488720.4837093,SENT,aa5d734a-2e03-4759-b758-3abfaed22002,c3,c4,2539,?,p3,
1768488720.4837883,CREATED,068c3836-6965-417f-a3fd-4715ade964ac,c3,c4,26,?,?,
