timestamp,event_type,packet_id,src,dst,size,prev_hop,next_hop,flags
1768488717.215828,RECEIVED,70a69dac-cffb-44b4-bff5-ae9b21d89ce1,c2,c1,1841,p2,?,
1768488717.2513437,SENT,70a69dac-cffb-44b4-bff5-ae9b21d89ce1,c2,c1,1308,?,i5,
1768488717.2514632,FORWARDED,70a69dac-cffb-44b4-bff5-ae9b21d89ce1,c2,c1,1308,?,i5,
1768488717.422189,RECEIVED,a09b2ccf-94cd-4b83-9b0e-75a1c2ecab6f,c3,DROP,1307,p3,?,
1768488717.5101054,RECEIVED,65c07fb6-480b-4910-8b5a-9b8fef62839f,c2,c1,1839,p2,?,
1768488717.6899548,SENT,65c07fb6-480b-4910-8b5a-9b8fef62839f,c2,c1,1307,?,i5,
1768488717.690121,FORWARDED,65c07fb6-480b-4910-8b5a-9b8fef62839f,c2,c1,1307,?,i5,
1768488717.783684,RECEIVED,34e26ad2-d41a-4ef7-a9a6-4de7b11c35f2,c1,c5,1840,p1,?,
1768488717.836948,SENT,a09b2ccf-94cd-4b83-9b0e-75a1c2ecab6f,c3,DROP,908,?,i6,
1768488717.8377588,FORWARDED,a09b2ccf-94cd-4b83-9b0e-75a1c2ecab6f,c3,DROP,908,?,i6,
1768488717.917796,RECEIVED,8dfe0940-7933-4d51-93bc-afd8d6c14d72,c1,c5,1841,p1,?,
1768488718.0311222,SENT,34e26ad2-d41a-4ef7-a9a6-4de7b11c35f2,c1,c5,1307,?,i12,
1768488718.0312655,FORWARDED,34e26ad2-d41a-4ef7-a9a6-4de7b11c35f2,c1,c5,1307,?,i12,
1768488718.0931706,SENT,8dfe0940-7933-4d51-93bc-afd8d6c14d72,c1,c5,1307,?,i12,
1768488718.0933042,FORWARDED,8dfe0940-7933-4d51-93bc-afd8d6c14d72,c1,c5,1307,?,i12,
1768488718.7749732,RECEIVED,90cec885-070e-4a6e-98d8-aa5df7b5b86d,c5,c1,1840,p2,?,
1768488719.2844236,RECEIVED,bc6052eb-8d03-49f2-9728-a5080e5c5dd7,c5,DROP,1307,p2,?,
1768488719.525099,SENT,90cec885-070e-4a6e-98d8-aa5df7b5b86d,c5,c1,1308,?,i12,
1768488719.5251787,FORWARDED,90cec885-070e-4a6e-98d8-aa5df7b5b86d,c5,c1,1308,?,i12,
1768488719.558285,RECEIVED,075a9b7a-94ce-421a-8271-136b3ad51d2a,c5,c1,1840,p2,?,
1768488719.5713327,SENT,bc6052eb-8d03-49f2-9728-a5080e5c5dd7,c5,DROP,907,?,i8,
1768488719.5722232,FORWARDED,bc6052eb-8d03-49f2-9728-a5080e5c5dd7,c5,DROP,907,?,i8,
1768488719.8321736,RECEIVED,d1f18858-19a1-4f50-9bf4-5bfd00cdbb1a,c1,c5,1847,p1,?,
1768488719.858109,RECEIVED,f6ab1b62-6087-4e0e-ac77-798b83bb639e,c1,c5,1848,p1,?,
1768488719.9536254,RECEIVED,8296b48f-063c-4a4a-a4fc-ec549186eac6,c1,c4,1839,p1,?,
1768488719.9612608,SENT,f6ab1b62-6087-4e0e-ac77-798b83bb639e,c1,c5,1312,?,i3,
1768488719.9613416,FORWARDED,f6ab1b62-6087-4e0e-ac77-798b83bb639e,c1,c5,1312,?,i3,
1768488720.120077,SENT,075a9b7a-94ce-421a-8271-136b3ad51d2a,c5,c1,1308,?,i12,
1768488720.1201508,FORWARDED,075a9b7a-94ce-421a-8271-136b3ad51d2a,c5,c1,1308,?,i12,
1768488720.3675914,SENT,8296b48f-063c-4a4a-a4fc-ec549186eac6,c1,c4,1307,?,i2,
1768488720.3676789,FORWARDED,8296b48f-063c-4a4a-a4fc-ec549186eac6,c1,c4,1307,?,i2,
1768488720.6862798,RECEIVED,c2e1245e-b3bd-4c81-b502-ac6370c22ddb,c2,DROP,1296,p2,?,
1768488720.7253284,RECEIVED,5ff2de08-50cd-4b4c-83b4-db000a93f707,c1,c4,1839,p1,?,
1768488720.8270752,RECEIVED,333241d6-a37f-4775-b743-003c0dfd7167,c4,c3,1839,p1,?,
1768488720.8539367,SENT,c2e1245e-b3bd-4c81-b502-ac6370c22ddb,c2,DROP,900,?,i6,
1768488720.8539784,FORWARDED,c2e1245e-b3bd-4c81-b502-ac6370c22ddb,c2,DROP,900,?,i6,
1768488721.1272602,SENT,5ff2de08-50cd-4b4c-83b4-db000a93f707,c1,c4,1308,?,i3,
1768488721.1273153,FORWARDED,5ff2de08-50cd-4b4c-83b4-db000a93f707,c1,c4,1308,?,i3,
1768488721.325196,RECEIVED,f2782e30-7e6c-4114-8a33-6297a46b9c58,c4,c3,1835,p1,?,
1768488721.3393924,RECEIVED,e534e334-064a-49a7-9f84-be15f05411a9,c5,c2,1831,p2,?,
1768488721.5306833,RECEIVED,455bab8a-196f-41e6-820f-6b5bc611f9f3,c3,c1,1840,p3,?,
1768488721.5343359,RECEIVED,18d3879b-c1d7-48fa-a588-c9bfb93face3,c3,c1,1840,p3,?,
1768488721.5346417,SENT,d1f18858-19a1-4f50-9bf4-5bfd00cdbb1a,c1,c5,1312,?,i3,
1768488721.5347235,FORWARDED,d1f18858-19a1-4f50-9bf4-5bfd00cdbb1a,c1,c5,1312,?,i3,
1768488721.8576992,SENT,455bab8a-196f-41e6-820f-6b5bc611f9f3,c3,c1,1307,?,i11,
1768488721.8577414,FORWARDED,455bab8a-196f-41e6-820f-6b5bc611f9f3,c3,c1,1307,?,i11,
1768488721.8691416,SENT,18d3879b-c1d7-48fa-a588-c9bfb93face3,c3,c1,1307,?,i11,
1768488721.8691893,FORWARDED,18d3879b-c1d7-48fa-a588-c9bfb93face3,c3,c1,1307,?,i11,
1768488721.9996235,RECEIVED,4a2f3d64-c7d2-4e46-a15b-ed1e069f998c,c1,c2,1843,p1,?,
1768488722.0627563,RECEIVED,bcbabb2c-7a92-4867-ba52-bd701f073d35,c1,c2,1839,p1,?,
1768488722.257843,SENT,f2782e30-7e6c-4114-8a33-6297a46b9c58,c4,c3,1305,?,i1,
1768488722.2578914,REDIRECTED,f2782e30-7e6c-4114-8a33-6297a46b9c58,c4,c3,1305,?,i1,
1768488722.257924,FORWARDED,f2782e30-7e6c-4114-8a33-6297a46b9c58,c4,c3,1305,?,i9,
1768488722.3646412,SENT,333241d6-a37f-4775-b743-003c0dfd7167,c4,c3,1308,?,i1,
1768488722.3647656,REDIRECTED,333241d6-a37f-4775-b743-003c0dfd7167,c4,c3,1308,?,i1,
1768488722.364852,FORWARDED,333241d6-a37f-4775-b743-003c0dfd7167,c4,c3,1308,?,i9,
1768488722.4581757,SENT,bcbabb2c-7a92-4867-ba52-bd701f073d35,c1,c2,1308,?,i1,
1768488722.458217,REDIRECTED,bcbabb2c-7a92-4867-ba52-bd701f073d35,c1,c2,1308,?,i1,
1768488722.4582472,FORWARDED,bcbabb2c-7a92-4867-ba52-bd701f073d35,c1,c2,1308,?,i9,
1768488722.6434033,RECEIVED,2164449f-d85c-40c4-9aed-c4b732048ec7,c5,c1,1827,p2,?,
1768488722.6507356,RECEIVED,e9f27761-d950-424b-b8a5-55f47783d061,c5,c1,1841,p2,?,
1768488722.668345,SENT,e9f27761-d950-424b-b8a5-55f47783d061,c5,c1,1307,?,i1,
1768488722.668427,REDIRECTED,e9f27761-d950-424b-b8a5-55f47783d061,c5,c1,1307,?,i1,
1768488722.6684859,FORWARDED,e9f27761-d950-424b-b8a5-55f47783d061,c5,c1,1307,?,i9,
1768488722.728345,REDIRECTED,e534e334-064a-49a7-9f84-be15f05411a9,c5,c2,1300,?,i9,
1768488722.7284372,FORWARDED,e534e334-064a-49a7-9f84-be15f05411a9,c5,c2,1300,?,i8,
1768488723.4213502,SENT,2164449f-d85c-40c4-9aed-c4b732048ec7,c5,c1,1299,?,i1,
1768488723.4213934,REDIRECTED,2164449f-d85c-40c4-9aed-c4b732048ec7,c5,c1,1299,?,i1,
1768488723.4214232,FORWARDED,2164449f-d85c-40c4-9aed-c4b732048ec7,c5,c1,1299,?,i9,
1768488723.4885783,SENT,4a2f3d64-c7d2-4e46-a15b-ed1e069f998c,c1,c2,1309,?,i1,
1768488723.488619,REDIRECTED,4a2f3d64-c7d2-4e46-a15b-ed1e069f998c,c1,c2,1309,?,i1,
1768488723.4886477,FORWARDED,4a2f3d64-c7d2-4e46-a15b-ed1e069f998c,c1,c2,1309,?,i9,
1768488723.5296383,RECEIVED,cea3fdac-b892-41dd-910e-78d735c3991a,c1,c3,1855,p1,?,
1768488723.6927278,SENT,cea3fdac-b892-41dd-910e-78d735c3991a,c1,c3,1320,?,i4,
1768488723.6927724,FORWARDED,cea3fdac-b892-41dd-910e-78d735c3991a,c1,c3,1320,?,i4,
1768488723.7093666,RECEIVED,b5de9a65-03cb-4cc3-a6b3-c911b1c5ebb1,c2,DROP,381,x11,?,
1768488723.726801,RECEIVED,65792303-418a-499d-ab12-94633a67279f,c5,c2,1839,p2,?,
1768488723.9419038,RECEIVED,2ad8dee7-c763-4184-a54e-fb5567ed3a37,c1,DROP,1295,p1,?,
1768488724.2131147,RECEIVED,cab7e864-b743-4561-93d7-586a5f529be4,c1,c4,1840,p1,?,
1768488724.2923894,SENT,2ad8dee7-c763-4184-a54e-fb5567ed3a37,c1,DROP,900,?,i2,
1768488724.2924242,FORWARDED,2ad8dee7-c763-4184-a54e-fb5567ed3a37,c1,DROP,900,?,i2,
1768488724.3037455,REDIRECTED,65792303-418a-499d-ab12-94633a67279f,c5,c2,1307,?,i9,
1768488724.3037934,FORWARDED,65792303-418a-499d-ab12-94633a67279f,c5,c2,1307,?,i8,
1768488724.5362203,SENT,cab7e864-b743-4561-93d7-586a5f529be4,c1,c4,1307,?,i3,
1768488724.5362604,FORWARDED,cab7e864-b743-4561-93d7-586a5f529be4,c1,c4,1307,?,i3,
1768488724.7035081,RECEIVED,d4a1ac9f-3d3b-46d2-a083-9fd6c6da89b0,c1,c2,1851,p1,?,
1768488724.9657674,RECEIVED,7248465b-ccf2-49df-bb78-de093a4cd589,c1,c3,1839,p1,?,
1768488725.2875218,RECEIVED,140f84ab-d78e-4907-856b-3c3407cbc351,c1,c2,1834,p1,?,
1768488725.4027271,RECEIVED,647c8c2b-04c1-4309-aab8-29681693945c,c2,DROP,1296,p2,?,
1768488725.443092,REDIRECTED,d4a1ac9f-3d3b-46d2-a083-9fd6c6da89b0,c1,c2,1316,?,i9,
1768488725.4431396,FORWARDED,d4a1ac9f-3d3b-46d2-a083-9fd6c6da89b0,c1,c2,1316,?,i8,
1768488725.5811377,RECEIVED,e9570a2a-b201-4280-9232-c11a99a0202d,c5,DROP,383,x11,?,
1768488725.6651928,SENT,647c8c2b-04c1-4309-aab8-29681693945c,c2,DROP,899,?,i12,
1768488725.6652339,FORWARDED,647c8c2b-04c1-4309-aab8-29681693945c,c2,DROP,899,?,i12,
1768488725.8441112,SENT,7248465b-ccf2-49df-bb78-de093a4cd589,c1,c3,1308,?,i4,
1768488725.8442585,FORWARDED,7248465b-ccf2-49df-bb78-de093a4cd589,c1,c3,1308,?,i4,
1768488726.0057821,RECEIVED,32d68d6a-181a-4615-8a78-37edb5cb7f69,c5,c1,1836,p2,?,
1768488726.1839793,REDIRECTED,140f84ab-d78e-4907-856b-3c3407cbc351,c1,c2,1305,?,i9,
1768488726.1840215,FORWARDED,140f84ab-d78e-4907-856b-3c3407cbc351,c1,c2,1305,?,i8,
1768488726.2764156,RECEIVED,03f02a86-4dd4-40e6-92a2-e0284125a337,c5,c1,1841,p2,?,
1768488726.2951336,SENT,03f02a86-4dd4-40e6-92a2-e0284125a337,c5,c1,1308,?,i10,
1768488726.2951727,FORWARDED,03f02a86-4dd4-40e6-92a2-e0284125a337,c5,c1,1308,?,i10,
1768488726.380877,RECEIVED,f76bae6e-6933-49c5-aad2-f14d3572ea9d,c5,c2,1844,p2,?,
1768488726.6623738,SENT,f76bae6e-6933-49c5-aad2-f14d3572ea9d,c5,c2,1309,?,i11,
1768488726.6624937,FORWARDED,f76bae6e-6933-49c5-aad2-f14d3572ea9d,c5,c2,1309,?,i11,
1768488726.9482086,SENT,32d68d6a-181a-4615-8a78-37edb5cb7f69,c5,c1,1304,?,i10,
