timestamp,event_type,packet_id,src,dst,size,prev_hop,next_hop,flags
1768488764.5684247,RECEIVED,9756df57-eb3d-4ae3-bca1-2c83d67976c5,c2,c3,1831,p2,?,
1768488764.7152057,RECEIVED,806fc6d8-5153-4b59-be25-ad9a1b4d31dc,c2,c3,1836,p2,?,
1768488764.806837,SENT,806fc6d8-5153-4b59-be25-ad9a1b4d31dc,c2,c3,1304,?,i3,
1768488764.8069687,FORWARDED,806fc6d8-5153-4b59-be25-ad9a1b4d31dc,c2,c3,1304,?,i3,
1768488765.321695,SENT,9756df57-eb3d-4ae3-bca1-2c83d67976c5,c2,c3,1300,?,i3,
1768488765.3218212,FORWARDED,9756df57-eb3d-4ae3-bca1-2c83d67976c5,c2,c3,1300,?,i3,
1768488765.4453921,RECEIVED,f0524dda-c2c3-4171-8323-fc6ae1ddadf6,c5,c4,1846,p2,?,
1768488766.157731,RECEIVED,f0d0b59d-595c-4a90-b347-e45abd9e3dab,c4,c1,1824,p1,?,
1768488766.2217178,RECEIVED,0e042ddc-5ada-44af-b632-bf1d19265bb0,c4,c2,2003,p1,?,
1768488766.4049795,SENT,f0d0b59d-595c-4a90-b347-e45abd9e3dab,c4,c1,1296,?,i1,
1768488766.4051123,FORWARDED,f0d0b59d-595c-4a90-b347-e45abd9e3dab,c4,c1,1296,?,i1,
1768488766.5956335,RECEIVED,4ed74510-803c-446a-b10f-b5a962bacbaf,c5,c3,2006,p2,?,
1768488766.5997658,SENT,f0524dda-c2c3-4171-8323-fc6ae1ddadf6,c5,c4,1312,?,i9,
1768488766.5998352,FORWARDED,f0524dda-c2c3-4171-8323-fc6ae1ddadf6,c5,c4,1312,?,i9,
1768488766.6882427,RECEIVED,4536f18e-6d3e-481a-9b2d-c953af543ea9,c2,c1,2011,p2,?,
1768488766.7183762,RECEIVED,bced8c59-fd16-4db7-bbde-ed1145b39350,c5,c4,1824,p2,?,
1768488766.7346113,SENT,0e042ddc-5ada-44af-b632-bf1d19265bb0,c4,c2,1429,?,i2,
1768488766.7346778,FORWARDED,0e042ddc-5ada-44af-b632-bf1d19265bb0,c4,c2,1429,?,i2,
1768488766.7699006,RECEIVED,ff6e1055-6273-4d36-9848-079d7f66b026,c3,c4,1839,p3,?,
1768488766.77892,RECEIVED,b900cb6d-2633-4c7e-aba6-cdcc5d39f15f,c1,c3,1996,p1,?,
1768488766.8160686,SENT,bced8c59-fd16-4db7-bbde-ed1145b39350,c5,c4,1295,?,i9,
1768488766.8161345,FORWARDED,bced8c59-fd16-4db7-bbde-ed1145b39350,c5,c4,1295,?,i9,
1768488766.8257627,SENT,b900cb6d-2633-4c7e-aba6-cdcc5d39f15f,c1,c3,1423,?,i5,
1768488766.8258193,FORWARDED,b900cb6d-2633-4c7e-aba6-cdcc5d39f15f,c1,c3,1423,?,i5,
