timestamp,event_type,packet_id,src,dst,size,prev_hop,next_hop,flags
1768488812.1639462,RECEIVED,7668473a-0050-4ac3-b28c-32440ef4c343,c2,DROP,1296,p2,?,
1768488812.505797,SENT,7668473a-0050-4ac3-b28c-32440ef4c343,c2,DROP,900,?,i9,
1768488812.5059204,FORWARDED,7668473a-0050-4ac3-b28c-32440ef4c343,c2,DROP,900,?,i9,
1768488812.5624683,RECEIVED,33c7e4c8-3641-4a8e-9764-c7f363b0d20d,c5,c1,1839,p2,?,
1768488812.590907,RECEIVED,314afae9-a420-4c1e-b960-0b1fd7179e75,c1,c3,1838,p1,?,
1768488812.6082957,RECEIVED,d7b639c3-4534-43e8-829d-1df83aea16b9,c5,c1,1840,p2,?,
1768488812.7953167,RECEIVED,1af3d895-a344-4a4a-a11f-fa2612e664e5,c1,DROP,1292,p1,?,
1768488812.864743,RECEIVED,24e5f6d1-eb9d-4bc8-b143-247335efb79b,c1,c3,1839,p1,?,
1768488812.9195774,SENT,d7b639c3-4534-43e8-829d-1df83aea16b9,c5,c1,1308,?,i6,
1768488812.9196925,FORWARDED,d7b639c3-4534-43e8-829d-1df83aea16b9,c5,c1,1308,?,i6,
1768488812.9779813,SENT,1af3d895-a344-4a4a-a11f-fa2612e664e5,c1,DROP,896,?,i5,
1768488812.9781334,FORWARDED,1af3d895-a344-4a4a-a11f-fa2612e664e5,c1,DROP,896,?,i5,
1768488813.1725876,RECEIVED,bb866095-4b9d-43a4-8221-6c10edb3f0c6,c3,c1,2001,p3,?,
1768488813.2361412,SENT,33c7e4c8-3641-4a8e-9764-c7f363b0d20d,c5,c1,1308,?,i6,
1768488813.2362487,FORWARDED,33c7e4c8-3641-4a8e-9764-c7f363b0d20d,c5,c1,1308,?,i6,
1768488813.5351765,SENT,bb866095-4b9d-43a4-8221-6c10edb3f0c6,c3,c1,1427,?,i11,
1768488813.535306,FORWARDED,bb866095-4b9d-43a4-8221-6c10edb3f0c6,c3,c1,1427,?,i11,
1768488813.601443,RECEIVED,e3b2085a-ad58-4d03-bb9b-2f4d7d352046,c3,c5,1839,p3,?,
1768488813.6100998,RECEIVED,348c6eff-d52c-4d86-b35c-391785c83146,c5,c2,1996,p2,?,
1768488813.726134,RECEIVED,792d9ded-ca13-4945-8970-50b5fc229177,c3,DROP,1300,p3,?,
1768488813.7692544,SENT,348c6eff-d52c-4d86-b35c-391785c83146,c5,c2,1423,?,i4,
1768488813.7693577,FORWARDED,348c6eff-d52c-4d86-b35c-391785c83146,c5,c2,1423,?,i4,
1768488813.8654702,SENT,314afae9-a420-4c1e-b960-0b1fd7179e75,c1,c3,1307,?,i1,
1768488813.8655345,FORWARDED,314afae9-a420-4c1e-b960-0b1fd7179e75,c1,c3,1307,?,i1,
1768488813.9072967,RECEIVED,905ae9d4-f8ee-4fa1-8ef5-a782522a00a9,c3,c5,1840,p3,?,
1768488813.9137523,SENT,792d9ded-ca13-4945-8970-50b5fc229177,c3,DROP,903,?,i1,
1768488813.913817,FORWARDED,792d9ded-ca13-4945-8970-50b5fc229177,c3,DROP,903,?,i1,
1768488814.0345507,RECEIVED,c12e581d-84ab-4561-b82c-51f32f2cd3b5,c5,c3,1836,p2,?,
1768488814.074365,RECEIVED,44151f11-55f3-4d1e-be72-8e76a1fa15b0,c4,c1,1839,p1,?,
1768488814.1254685,SENT,e3b2085a-ad58-4d03-bb9b-2f4d7d352046,c3,c5,1307,?,i3,
1768488814.1255422,FORWARDED,e3b2085a-ad58-4d03-bb9b-2f4d7d352046,c3,c5,1307,?,i3,
1768488814.1600664,RECEIVED,2b9ddc78-5985-4c59-9cb3-1c59e9e8bb80,c5,DROP,378,x6,?,
1768488814.1913238,SENT,c12e581d-84ab-4561-b82c-51f32f2cd3b5,c5,c3,1304,?,i6,
1768488814.191399,FORWARDED,c12e581d-84ab-4561-b82c-51f32f2cd3b5,c5,c3,1304,?,i6,
1768488814.254525,SENT,24e5f6d1-eb9d-4bc8-b143-247335efb79b,c1,c3,1307,?,i1,
1768488814.2546058,FORWARDED,24e5f6d1-eb9d-4bc8-b143-247335efb79b,c1,c3,1307,?,i1,
1768488814.26284,RECEIVED,e147f563-2243-41cd-9c57-336f10a168d5,c5,c3,1836,p2,?,
1768488814.3317852,SENT,905ae9d4-f8ee-4fa1-8ef5-a782522a00a9,c3,c5,1307,?,i3,
1768488814.3318622,FORWARDED,905ae9d4-f8ee-4fa1-8ef5-a782522a00a9,c3,c5,1307,?,i3,
1768488814.3443923,RECEIVED,041c63aa-93dd-4d9e-991b-9d9f93055d07,c3,c2,2012,p3,?,
1768488814.347474,SENT,e147f563-2243-41cd-9c57-336f10a168d5,c5,c3,1303,?,i6,
1768488814.347543,FORWARDED,e147f563-2243-41cd-9c57-336f10a168d5,c5,c3,1303,?,i6,
