timestamp,event_type,packet_id,src,dst,size,prev_hop,next_hop,flags
1768488811.5718238,RECEIVED,7390d406-b32e-46bf-a292-090ea1e5dc2b,c2,c5,2550,c2,?,
1768488811.5874217,SENT,7390d406-b32e-46bf-a292-090ea1e5dc2b,c2,c5,1839,?,e11,
1768488811.5875418,FORWARDED,7390d406-b32e-46bf-a292-090ea1e5dc2b,c2,c5,1839,?,e11,
1768488812.0299935,RECEIVED,7668473a-0050-4ac3-b28c-32440ef4c343,c2,DROP,1824,c2,?,
1768488812.052826,RECEIVED,16e4dbe4-971c-4ca4-bf4e-53b83cebbb7e,c5,c1,2531,c5,?,
1768488812.0573156,RECEIVED,eda72ef4-11a0-443a-9a1e-7160246d977f,c5,c1,2551,c5,?,
1768488812.1626284,SENT,7668473a-0050-4ac3-b28c-32440ef4c343,c2,DROP,1296,?,e4,
1768488812.1627483,FORWARDED,7668473a-0050-4ac3-b28c-32440ef4c343,c2,DROP,1296,?,e4,
1768488812.242,RECEIVED,5dd060b9-7818-4628-81b7-fbf530eacc06,c4,c5,604,x5,?,
1768488812.2782917,RECEIVED,2c5b6bc0-4bec-49c5-919c-2428c5b31bad,c2,c3,2548,c2,?,
1768488812.2823474,RECEIVED,be08e401-6f88-4091-97e8-7892bdf1531d,c2,c3,2547,c2,?,
1768488812.2863603,SENT,5dd060b9-7818-4628-81b7-fbf530eacc06,c4,c5,380,?,c5,
1768488812.2864888,FORWARDED,5dd060b9-7818-4628-81b7-fbf530eacc06,c4,c5,380,?,c5,
1768488812.2977505,RECEIVED,30f55d76-616a-44fb-b082-aecf1f9e36ef,c5,c4,2755,c5,?,
1768488812.3549051,RECEIVED,f274ad4e-59bf-4091-9ddf-5f7c0216b05b,c2,c1,2538,c2,?,
1768488812.3580937,RECEIVED,162ef375-a9f4-41f2-9e00-c22cf35f3acb,c2,c1,2548,c2,?,
1768488812.3712642,RECEIVED,37a819e8-c6c8-4809-a7f8-b9836d8c9c1b,c2,c3,2552,c2,?,
1768488812.3749537,RECEIVED,3c4a71a1-5f9d-4a9b-bb86-0392436e0219,c2,c3,2552,c2,?,
1768488812.3874745,RECEIVED,bedf9b0a-300d-47d6-a11a-6209fcd0dcb6,c5,c1,2545,c5,?,
1768488812.3914824,RECEIVED,2bea9ae1-74c9-4b46-ac7d-771974f07f6c,c5,c1,2553,c5,?,
1768488812.4003892,SENT,bedf9b0a-300d-47d6-a11a-6209fcd0dcb6,c5,c1,1836,?,e2,
1768488812.4004998,FORWARDED,bedf9b0a-300d-47d6-a11a-6209fcd0dcb6,c5,c1,1836,?,e2,
1768488812.408572,SENT,37a819e8-c6c8-4809-a7f8-b9836d8c9c1b,c2,c3,1840,?,e8,
1768488812.4086897,FORWARDED,37a819e8-c6c8-4809-a7f8-b9836d8c9c1b,c2,c3,1840,?,e8,
1768488812.42188,SENT,3c4a71a1-5f9d-4a9b-bb86-0392436e0219,c2,c3,1840,?,e8,
1768488812.4219916,FORWARDED,3c4a71a1-5f9d-4a9b-bb86-0392436e0219,c2,c3,1840,?,e8,
1768488812.4255147,SENT,2bea9ae1-74c9-4b46-ac7d-771974f07f6c,c5,c1,1841,?,e2,
1768488812.42563,FORWARDED,2bea9ae1-74c9-4b46-ac7d-771974f07f6c,c5,c1,1841,?,e2,
1768488812.4369502,SENT,162ef375-a9f4-41f2-9e00-c22cf35f3acb,c2,c1,1839,?,e5,
1768488812.4370837,FORWARDED,162ef375-a9f4-41f2-9e00-c22cf35f3acb,c2,c1,1839,?,e5,
1768488812.4438949,RECEIVED,b1dd4c97-4521-435e-aec5-97181934023b,c2,c5,2527,c2,?,
1768488812.4475975,RECEIVED,0a3eb13a-66a5-48f9-a5eb-de11815e5f70,c5,c1,2551,c5,?,
1768488812.4525857,RECEIVED,2b9ddc78-5985-4c59-9cb3-1c59e9e8bb80,c5,DROP,1824,c5,?,
1768488812.4538405,RECEIVED,df9aff3b-2877-4436-8318-1497c5ca01db,c5,c1,2544,c5,?,
1768488812.483185,SENT,2c5b6bc0-4bec-49c5-919c-2428c5b31bad,c2,c3,1839,?,e1,
1768488812.483295,FORWARDED,2c5b6bc0-4bec-49c5-919c-2428c5b31bad,c2,c3,1839,?,e1,
