timestamp,event_type,packet_id,src,dst,size,prev_hop,next_hop,flags
1768488812.0925193,RECEIVED,5dd060b9-7818-4628-81b7-fbf530eacc06,c4,c5,904,i8,?,
1768488812.2414415,SENT,5dd060b9-7818-4628-81b7-fbf530eacc06,c4,c5,604,?,p2,
1768488812.2415824,FORWARDED,5dd060b9-7818-4628-81b7-fbf530eacc06,c4,c5,604,?,p2,
1768488813.6108165,RECEIVED,bf12e424-3c63-43a4-986c-5f9848fe2a6d,c2,c1,909,i7,?,
1768488813.6316307,SENT,bf12e424-3c63-43a4-986c-5f9848fe2a6d,c2,c1,607,?,p1,
1768488813.6317506,FORWARDED,bf12e424-3c63-43a4-986c-5f9848fe2a6d,c2,c1,607,?,p1,
1768488813.7888973,RECEIVED,95909d1c-8c46-4b0b-8c57-1c9e4e6fad9a,c2,c4,909,i3,?,
1768488813.828249,SENT,95909d1c-8c46-4b0b-8c57-1c9e4e6fad9a,c2,c4,608,?,p1,
1768488813.8283174,FORWARDED,95909d1c-8c46-4b0b-8c57-1c9e4e6fad9a,c2,c4,608,?,p1,
1768488813.9972,RECEIVED,4a30ca6d-6edf-4054-b148-2f8a567b789f,c2,c1,906,i7,?,
1768488814.1771305,RECEIVED,1aab9e9e-a398-4fd7-87fa-786d0797049b,c4,c5,903,i2,?,
1768488814.253934,RECEIVED,38bd8113-98b1-40a8-b575-f5a5b822ffd3,c1,c5,1002,i10,?,
1768488814.258883,RECEIVED,5bd62b2a-6ca1-455b-b889-e9e0dbc71621,c2,c4,908,i3,?,
1768488814.3604553,RECEIVED,b99b7a91-4d0f-4ab4-ae1f-16252f6bb82b,c4,c5,899,i8,?,
1768488814.3985155,SENT,4a30ca6d-6edf-4054-b148-2f8a567b789f,c2,c1,608,?,p1,
1768488814.3985875,FORWARDED,4a30ca6d-6edf-4054-b148-2f8a567b789f,c2,c1,608,?,p1,
1768488814.5296218,RECEIVED,314afae9-a420-4c1e-b960-0b1fd7179e75,c1,c3,908,i1,?,
1768488814.5856879,SENT,5bd62b2a-6ca1-455b-b889-e9e0dbc71621,c2,c4,608,?,p1,
1768488814.585763,FORWARDED,5bd62b2a-6ca1-455b-b889-e9e0dbc71621,c2,c4,608,?,p1,
1768488814.8786016,RECEIVED,15591b59-9c08-4815-b1c0-a601e481a653,c4,c2,1004,i9,?,
1768488814.9002593,SENT,b99b7a91-4d0f-4ab4-ae1f-16252f6bb82b,c4,c5,603,?,p2,
1768488814.9003322,FORWARDED,b99b7a91-4d0f-4ab4-ae1f-16252f6bb82b,c4,c5,603,?,p2,
1768488814.9354632,SENT,314afae9-a420-4c1e-b960-0b1fd7179e75,c1,c3,608,?,p3,
1768488814.93554,FORWARDED,314afae9-a420-4c1e-b960-0b1fd7179e75,c1,c3,608,?,p3,
1768488815.0018845,RECEIVED,24e5f6d1-eb9d-4bc8-b143-247335efb79b,c1,c3,908,i1,?,
1768488815.0805647,SENT,24e5f6d1-eb9d-4bc8-b143-247335efb79b,c1,c3,607,?,p3,
1768488815.0806239,FORWARDED,24e5f6d1-eb9d-4bc8-b143-247335efb79b,c1,c3,607,?,p3,
1768488815.1024084,SENT,1aab9e9e-a398-4fd7-87fa-786d0797049b,c4,c5,605,?,p2,
1768488815.1024663,FORWARDED,1aab9e9e-a398-4fd7-87fa-786d0797049b,c4,c5,605,?,p2,
1768488815.1227505,SENT,15591b59-9c08-4815-b1c0-a601e481a653,c4,c2,679,?,p2,
1768488815.1228096,FORWARDED,15591b59-9c08-4815-b1c0-a601e481a653,c4,c2,679,?,p2,
