timestamp,event_type,packet_id,src,dst,size,prev_hop,next_hop,flags
1768488907.1283932,RECEIVED,ef6147ec-561b-4a26-ba62-632f2da74670,c1,DROP,1819,c1,?,
1768488907.1662216,RECEIVED,fb4eaad1-b859-4d0b-b120-7e102dced6bc,c4,DROP,1842,c4,?,
1768488907.5777528,RECEIVED,ebbfcf17-0ecc-4405-bef4-fdd4c13cb7b4,c1,c3,2547,c1,?,
1768488907.5830016,RECEIVED,18b0a6bd-b9bd-438a-9827-3d6d33d750bc,c1,c3,2528,c1,?,
1768488907.7367315,RECEIVED,378b97d0-343b-44f2-9413-66faefe77dc9,c1,c2,2552,c1,?,
1768488907.7417145,RECEIVED,f3bfc2f3-d35c-4cd7-83f5-3a74900d7587,c1,c2,2555,c1,?,
1768488907.786976,SENT,ef6147ec-561b-4a26-ba62-632f2da74670,c1,DROP,1291,?,e5,
1768488907.7871437,FORWARDED,ef6147ec-561b-4a26-ba62-632f2da74670,c1,DROP,1291,?,e5,
1768488907.7930229,RECEIVED,327292c8-13ee-44bb-a6e0-6a5484d1ba1c,c1,c5,2548,c1,?,
1768488907.7982047,SENT,18b0a6bd-b9bd-438a-9827-3d6d33d750bc,c1,c3,1824,?,e2,
1768488907.7985058,FORWARDED,18b0a6bd-b9bd-438a-9827-3d6d33d750bc,c1,c3,1824,?,e2,
1768488907.798986,RECEIVED,62b5c421-fb9b-4242-bf24-4a45c373c540,c1,c5,2553,c1,?,
1768488907.8272636,RECEIVED,e21e7e57-6102-4d10-a3d9-37df7b2b34e2,c1,c5,2563,c1,?,
1768488907.8318975,RECEIVED,dbc8c985-b7c5-4bde-9f14-393605f98d58,c1,c5,2539,c1,?,
1768488907.8343291,SENT,62b5c421-fb9b-4242-bf24-4a45c373c540,c1,c5,1841,?,e5,
1768488907.8344505,FORWARDED,62b5c421-fb9b-4242-bf24-4a45c373c540,c1,c5,1841,?,e5,
1768488907.840684,SENT,327292c8-13ee-44bb-a6e0-6a5484d1ba1c,c1,c5,1837,?,e5,
1768488907.8408244,FORWARDED,327292c8-13ee-44bb-a6e0-6a5484d1ba1c,c1,c5,1837,?,e5,
1768488907.9064066,RECEIVED,bb6be98d-1aec-4507-984a-e8a1a9bd32bc,c1,c2,2543,c1,?,
1768488907.9136133,RECEIVED,0cda1b57-a17f-4227-a5b2-f48e4739af33,c1,c2,2548,c1,?,
1768488907.9164066,SENT,fb4eaad1-b859-4d0b-b120-7e102dced6bc,c4,DROP,1309,?,e1,
1768488907.9170074,FORWARDED,fb4eaad1-b859-4d0b-b120-7e102dced6bc,c4,DROP,1309,?,e1,
1768488908.0549865,RECEIVED,45d29855-b663-4eb4-af4f-66ccf03e22ab,c1,c5,2547,c1,?,
1768488908.0589657,RECEIVED,5b3ff1ff-51c7-4000-b18b-4c8987d8ca34,c1,c5,2539,c1,?,
1768488908.109865,SENT,0cda1b57-a17f-4227-a5b2-f48e4739af33,c1,c2,1838,?,e2,
