timestamp,event_type,packet_id,src,dst,size,prev_hop,next_hop,flags
1768577954.2309418,SENT,ec1209c6-ca18-475e-ae04-7281ad38c6cf,c3,c4,2549,?,p3,
1768577954.2311232,CREATED,32e75ebc-ba6e-45ee-bd09-ba24b8b5c1c9,c3,c4,27,?,?,
1768577954.2351274,SENT,cf50a444-2723-4c6c-94aa-cdb412201558,c3,c4,2543,?,p3,
1768577954.2352476,CREATED,199c22c0-0ac6-4356-ad8b-0899b6455b7c,c3,c4,27,?,?,
1768577954.4125981,SENT,c040c2fe-4288-4ec3-8e0d-d4a56207dccf,c3,c1,2527,?,p3,
1768577954.4127288,CREATED,ad2d1ab6-463c-4408-8d37-1df710a31de6,c3,c1,26,?,?,
1768577954.4171143,SENT,7ece6bcc-11ea-4763-b65f-ca3a0f0061fc,c3,c1,2528,?,p3,
1768577954.4172478,CREATED,cc3295b9-2fd1-4a28-b585-5f65827a0f4c,c3,c1,26,?,?,
1768577954.4569361,SENT,7460ce16-2b75-46e9-a592-b0c9950e02a2,c3,c2,2560,?,p3,
1768577954.4573314,CREATED,55c7cc1a-3604-49d2-8bc2-89b0003970ec,c3,c2,27,?,?,
1768577954.4614646,SENT,cfa87778-7f4b-4e08-ac66-39dd464c09a6,c3,c2,2544,?,p3,
1768577954.4615774,CREATED,023a4534-6138-4faa-9c29-978c11de9264,c3,c2,27,?,?,
1768577954.574827,SENT,14de015d-0ab2-463e-9ab3-13bc3b40c18b,c3,c2,2553,?,p3,
1768577954.5749545,CREATED,2c82b5cb-5866-46d7-95ff-16c0684579e9,c3,c2,26,?,?,
1768577954.5796087,SENT,f4d20b8a-1124-4336-8d44-001d450f6098,c3,c2,2553,?,p3,
1768577954.5797362,CREATED,20efa4f2-fc52-4464-ae2e-e3d15c734239,c3,c2,26,?,?,
1768577954.6692634,SENT,06d19038-77db-4de6-8fb1-269f876734c8,c3,c4,2556,?,p3,
1768577954.669395,CREATED,4047ab3f-39ef-44a9-8183-548a3e31380d,c3,c4,27,?,?,
1768577954.6736434,SENT,f90a2655-2c0f-430a-b19b-9017a2be977d,c3,c4,2556,?,p3,
1768577954.6737564,CREATED,d718183a-04a3-477a-bc2c-4683e4cc97a1,c3,c4,27,?,?,
1768577955.1036677,SENT,1c4a0147-b73a-4cba-918c-ea90e7b639f3,c3,c2,2547,?,p3,
1768577955.1037807,CREATED,ec92906d-ebe8-4cea-9aa6-2e7c5306d348,c3,c2,27,?,?,
1768577955.1077883,SENT,a8723e32-4aae-441a-ab02-25eb41000fe1,c3,c2,2556,?,p3,
1768577955.1078963,CREATED,0af54248-4db2-473b-9f50-e1b72ede4136,c3,c2,27,?,?,
1768577955.2881813,SENT,1a582847-2984-44a1-a54b-0c3481eb04f3,c3,c1,2552,?,p3,
1768577955.2883132,CREATED,f8eb5c9d-5566-46af-8cf7-d408fec4d3a6,c3,c1,27,?,?,
1768577955.2924354,SENT,91a08245-3ddf-400c-b52f-e311e07455db,c3,c1,2535,?,p3,
1768577955.292569,CREATED,94cc9e96-e48d-4991-9f62-f9cbe653a92e,c3,c1,27,?,?,
1768577955.5336301,SENT,9099cd6b-2783-4387-8d09-4b49464fa6d6,c3,c4,2544,?,p3,
1768577955.5337439,CREATED,768b7526-d52f-4327-b403-068867d79bf1,c3,c4,27,?,?,
1768577955.5376194,SENT,927c0fb6-78c5-42b2-bc43-4b3a0bdabefa,c3,c4,2547,?,p3,
1768577955.5377276,CREATED,420a35f5-c04d-4538-b3f7-d863b7105f96,c3,c4,27,?,?,
1768577955.7226853,SENT,45b2f495-e48c-433e-b8b4-98824c2f80f1,c3,DROP,1835,?,p3,
1768577955.7228005,CREATED,f44a462c-01ae-4e6e-85d5-f00e520c28ba,c3,DROP,27,?,?,
1768577955.952184,RECEIVED,61043c51-2000-459a-83b1-3d4430d426c2,c2,c3,27,p3,?,
1768577956.1515107,RECEIVED,535ab1d8-4074-4f2e-a79c-1ef70ce15ceb,c4,c3,27,p3,?,
1768577956.3403387,RECEIVED,b29cefc6-bbef-42ea-98b5-92cdf0c42e03,c1,c3,27,p3,?,
1768577956.3659308,SENT,b1dd60af-f498-4c21-b87c-e7c848608b16,c3,c5,2549,?,p3,
1768577956.366009,CREATED,0e99bb7a-b69e-430a-86e3-286f5c96fee6,c3,c5,27,?,?,
1768577956.370245,SENT,415513bb-0f3e-44ad-968a-1b54d65c069f,c3,c5,2557,?,p3,
1768577956.3703225,CREATED,cb340be3-fb38-4e34-ae79-1aa2d14ea2cc,c3,c5,27,?,?,
1768577956.494883,SENT,db493bf5-5fb4-4aa1-b0e4-d1ae0b106743,c3,c4,2559,?,p3,
1768577956.494963,CREATED,d211a820-66d7-48eb-a50a-8e81c30ba8a4,c3,c4,27,?,?,
1768577956.4985337,SENT,c4866275-b978-4093-a86b-9a070cd36e42,c3,c4,2555,?,p3,
1768577956.498612,CREATED,22698cc7-ad45-47e1-a4c1-d6f9cb62e9a5,c3,c4,27,?,?,
1768577956.66979,SENT,192bb0cc-250b-4f1e-aa25-3a0ea5927a0c,c3,c5,2552,?,p3,
1768577956.6699026,CREATED,fe231d8e-a309-43d5-9fa4-539d04d79e4b,c3,c5,27,?,?,
1768577956.6741502,SENT,be9ef1f5-be11-4ce5-9409-bd8b8746d2eb,c3,c5,2552,?,p3,
1768577956.6742625,CREATED,15ee50dc-d9f5-4f0f-a2fc-3b8163d8c4c6,c3,c5,27,?,?,
1768577956.8215816,RECEIVED,c9227a45-4f69-4eb9-b5f3-9d9496bc618c,c1,c3,26,p3,?,
1768577956.8692489,SENT,8b177ec5-0166-4986-ba6a-41f0d837f3d2,c3,c1,2548,?,p3,
1768577956.86935,CREATED,aeaa98c4-48b1-4265-8cf5-850f12de2b60,c3,c1,27,?,?,
1768577956.8792226,SENT,682d6b73-f97c-48d0-8a0c-57c4601b97a4,c3,c1,2552,?,p3,
1768577956.8793342,CREATED,8f365d39-77f7-4a57-8d70-29cc2b681d23,c3,c1,27,?,?,
1768577956.896592,RECEIVED,da1ce696-d9be-4b66-ae0b-e13e03d6d467,c1,c3,26,p3,?,
1768577957.000713,RECEIVED,de086e48-bbe4-4b98-9481-c02cc74e897c,c1,c3,27,p3,?,
1768577957.0207574,RECEIVED,36b3e5b6-cbc2-4478-a77d-488ae9b3e102,c1,c3,27,p3,?,
1768577957.139926,RECEIVED,4cc3383b-c01d-4f7d-b625-deeba0681261,c5,c3,26,p3,?,
1768577957.4776049,RECEIVED,0ad74c33-a215-4395-a2b5-3397882c3a8e,c4,c3,27,p3,?,
1768577957.6128092,SENT,f1b0a1c0-1951-4987-9f4e-c01485a88002,c3,DROP,1826,?,p3,
1768577957.612897,CREATED,8e52cffd-0b47-4e52-9a00-aa980b0e94bc,c3,DROP,27,?,?,
1768577957.7144952,RECEIVED,fbc9d36d-81c9-4cd9-9a55-9fcb4dd95423,c1,c3,27,p3,?,
1768577957.7249424,RECEIVED,0eb5cfe6-9377-40e4-80db-b7408b078c4b,c4,c3,27,p3,?,
1768577957.7623057,RECEIVED,6f7e5ef4-582b-4d43-a788-ecaf51ff5866,c1,c3,27,p3,?,
