timestamp,event_type,packet_id,src,dst,size,prev_hop,next_hop,flags
1768577954.2821174,RECEIVED,e9cc030d-8452-453f-81b6-4311cbd52452,c4,c1,1839,p1,?,
1768577955.4286318,RECEIVED,c067b30f-3b87-4ce9-9891-738bc3127122,c1,c3,1835,p1,?,
1768577955.4931834,RECEIVED,3ea38db0-6e0b-4f7b-84d5-2442ca8d0c79,c1,c3,1834,p1,?,
1768577955.6627622,SENT,e9cc030d-8452-453f-81b6-4311cbd52452,c4,c1,1307,?,i7,
1768577955.6628902,FORWARDED,e9cc030d-8452-453f-81b6-4311cbd52452,c4,c1,1307,?,i7,
1768577955.909292,SENT,c067b30f-3b87-4ce9-9891-738bc3127122,c1,c3,1304,?,i6,
1768577955.9093966,FORWARDED,c067b30f-3b87-4ce9-9891-738bc3127122,c1,c3,1304,?,i6,
1768577956.000029,RECEIVED,5c46fab1-d287-4478-926c-bcc6e955034b,c5,c2,1836,p2,?,
1768577956.0850875,SENT,5c46fab1-d287-4478-926c-bcc6e955034b,c5,c2,1305,?,i4,
1768577956.085244,FORWARDED,5c46fab1-d287-4478-926c-bcc6e955034b,c5,c2,1305,?,i4,
1768577956.1516125,RECEIVED,3b7f9812-0805-4357-98f3-af76d1f446a3,c4,c1,1840,p1,?,
1768577956.2134366,SENT,3b7f9812-0805-4357-98f3-af76d1f446a3,c4,c1,1307,?,i1,
1768577956.2137837,FORWARDED,3b7f9812-0805-4357-98f3-af76d1f446a3,c4,c1,1307,?,i1,
1768577956.8509338,SENT,3ea38db0-6e0b-4f7b-84d5-2442ca8d0c79,c1,c3,1303,?,i6,
1768577956.8510725,FORWARDED,3ea38db0-6e0b-4f7b-84d5-2442ca8d0c79,c1,c3,1303,?,i6,
1768577957.0084164,RECEIVED,391485dc-9afb-4003-9445-5530e0681c75,c1,c5,1839,p1,?,
1768577957.2257304,RECEIVED,68691cba-b277-4b22-8dda-df6f9b09c309,c1,c5,1840,p1,?,
1768577957.3165376,SENT,68691cba-b277-4b22-8dda-df6f9b09c309,c1,c5,1307,?,i3,
1768577957.3165972,FORWARDED,68691cba-b277-4b22-8dda-df6f9b09c309,c1,c5,1307,?,i3,
1768577957.382735,RECEIVED,0c321a10-a77c-446b-b347-2a204a256d4c,c1,c5,1840,p1,?,
1768577957.601336,SENT,0c321a10-a77c-446b-b347-2a204a256d4c,c1,c5,1306,?,i1,
1768577957.601419,FORWARDED,0c321a10-a77c-446b-b347-2a204a256d4c,c1,c5,1306,?,i1,
1768577957.683282,RECEIVED,cb5cc3e8-7897-4b71-a649-3c50e8a29c5e,c1,c5,1847,p1,?,
1768577957.737889,RECEIVED,4e30d3ce-edb7-4d94-9b59-339f61561d0b,c2,DROP,1307,p2,?,
1768577957.8257499,RECEIVED,4eab4215-d40b-42b7-bb03-8b8c6537bc8a,c2,c5,1840,p2,?,
1768577958.2019112,RECEIVED,963c6b98-fed6-4830-863f-077b0f1ab5c5,c2,c4,1838,p2,?,
1768577958.2025936,SENT,4eab4215-d40b-42b7-bb03-8b8c6537bc8a,c2,c5,1307,?,i10,
1768577958.2026458,FORWARDED,4eab4215-d40b-42b7-bb03-8b8c6537bc8a,c2,c5,1307,?,i10,
1768577958.215703,RECEIVED,75336180-ced6-4671-b538-4bc430cca901,c2,c4,1839,p2,?,
1768577958.237458,RECEIVED,453ed256-8e88-44d0-bb0d-21a55c9f168c,c2,c4,1842,p2,?,
1768577958.265314,SENT,391485dc-9afb-4003-9445-5530e0681c75,c1,c5,1307,?,i1,
1768577958.2653675,FORWARDED,391485dc-9afb-4003-9445-5530e0681c75,c1,c5,1307,?,i1,
1768577958.3201983,RECEIVED,423f03e9-ac18-40ad-a30f-b8fa76729111,c1,c4,1838,p1,?,
1768577958.3272107,RECEIVED,3c39f93c-0e81-4689-8feb-891fe48cf261,c1,c4,1839,p1,?,
1768577958.3629014,RECEIVED,e72120b2-e6f8-40c7-90a4-c3cc7c8b0ca8,c5,c1,1839,p2,?,
1768577958.384212,RECEIVED,98b98478-0aa1-436e-a45d-d456067701a1,c2,c4,1824,p2,?,
1768577958.5332134,SENT,cb5cc3e8-7897-4b71-a649-3c50e8a29c5e,c1,c5,1312,?,i3,
1768577958.5332644,FORWARDED,cb5cc3e8-7897-4b71-a649-3c50e8a29c5e,c1,c5,1312,?,i3,
1768577958.5584638,SENT,453ed256-8e88-44d0-bb0d-21a55c9f168c,c2,c4,1309,?,i2,
1768577958.5585184,FORWARDED,453ed256-8e88-44d0-bb0d-21a55c9f168c,c2,c4,1309,?,i2,
1768577958.5736253,SENT,98b98478-0aa1-436e-a45d-d456067701a1,c2,c4,1296,?,i9,
1768577958.5736861,FORWARDED,98b98478-0aa1-436e-a45d-d456067701a1,c2,c4,1296,?,i9,
1768577958.6942775,RECEIVED,85a27fb9-e049-4798-af11-23147294848a,c5,c1,1839,p2,?,
1768577958.7199996,SENT,4e30d3ce-edb7-4d94-9b59-339f61561d0b,c2,DROP,907,?,i2,
1768577958.7200587,FORWARDED,4e30d3ce-edb7-4d94-9b59-339f61561d0b,c2,DROP,907,?,i2,
1768577958.7353835,SENT,75336180-ced6-4671-b538-4bc430cca901,c2,c4,1308,?,i2,
1768577958.7354355,FORWARDED,75336180-ced6-4671-b538-4bc430cca901,c2,c4,1308,?,i2,
1768577959.097449,RECEIVED,f8ad0cbe-2cea-4e58-b68b-d1b0edc065a5,c1,c4,1840,p1,?,
1768577959.1645863,RECEIVED,5efae586-91fe-4c86-a0cc-1e792b3f3221,c3,c5,1840,p3,?,
1768577959.2464492,SENT,e72120b2-e6f8-40c7-90a4-c3cc7c8b0ca8,c5,c1,1307,?,i8,
1768577959.2465992,FORWARDED,e72120b2-e6f8-40c7-90a4-c3cc7c8b0ca8,c5,c1,1307,?,i8,
1768577959.2632966,SENT,5efae586-91fe-4c86-a0cc-1e792b3f3221,c3,c5,1307,?,i4,
1768577959.2633688,FORWARDED,5efae586-91fe-4c86-a0cc-1e792b3f3221,c3,c5,1307,?,i4,
1768577959.2722812,RECEIVED,5b8d1afe-9f32-4035-aeca-87dabada9bcd,c3,c5,1840,p3,?,
1768577959.365111,SENT,5b8d1afe-9f32-4035-aeca-87dabada9bcd,c3,c5,1308,?,i4,
1768577959.365152,FORWARDED,5b8d1afe-9f32-4035-aeca-87dabada9bcd,c3,c5,1308,?,i4,
1768577959.381739,SENT,f8ad0cbe-2cea-4e58-b68b-d1b0edc065a5,c1,c4,1308,?,i6,
1768577959.3818464,FORWARDED,f8ad0cbe-2cea-4e58-b68b-d1b0edc065a5,c1,c4,1308,?,i6,
1768577959.5692134,SENT,963c6b98-fed6-4830-863f-077b0f1ab5c5,c2,c4,1307,?,i9,
1768577959.569298,FORWARDED,963c6b98-fed6-4830-863f-077b0f1ab5c5,c2,c4,1307,?,i9,
1768577959.633161,SENT,3c39f93c-0e81-4689-8feb-891fe48cf261,c1,c4,1308,?,i3,
1768577959.6331966,FORWARDED,3c39f93c-0e81-4689-8feb-891fe48cf261,c1,c4,1308,?,i3,
1768577959.7585635,RECEIVED,c72ad2ff-7108-4965-aef1-53ce874c6e21,c3,c5,1839,p3,?,
1768577959.8346367,RECEIVED,b8f90164-10eb-461b-b205-b8d14f15e467,c5,c4,1840,p2,?,
1768577960.0152402,SENT,b8f90164-10eb-461b-b205-b8d14f15e467,c5,c4,1308,?,i6,
1768577960.0152895,FORWARDED,b8f90164-10eb-461b-b205-b8d14f15e467,c5,c4,1308,?,i6,
1768577960.0497901,SENT,85a27fb9-e049-4798-af11-23147294848a,c5,c1,1308,?,i8,
1768577960.0498254,FORWARDED,85a27fb9-e049-4798-af11-23147294848a,c5,c1,1308,?,i8,
1768577960.0517035,RECEIVED,d922a291-6615-46c2-aed9-592382d9d6e5,c3,c5,1840,p3,?,
1768577960.1250236,SENT,c72ad2ff-7108-4965-aef1-53ce874c6e21,c3,c5,1308,?,i8,
1768577960.125082,FORWARDED,c72ad2ff-7108-4965-aef1-53ce874c6e21,c3,c5,1308,?,i8,
1768577960.2077792,RECEIVED,4ae05899-5b9a-4f39-89a4-b66325a5b338,c3,c5,1839,p3,?,
1768577960.3557513,SENT,d922a291-6615-46c2-aed9-592382d9d6e5,c3,c5,1306,?,i8,
1768577960.3557947,FORWARDED,d922a291-6615-46c2-aed9-592382d9d6e5,c3,c5,1306,?,i8,
1768577960.4577649,RECEIVED,4429095d-4889-4c33-97d3-10b98c5d9182,c3,c5,1840,p3,?,
1768577960.5067763,SENT,4ae05899-5b9a-4f39-89a4-b66325a5b338,c3,c5,1308,?,i2,
1768577960.5068316,FORWARDED,4ae05899-5b9a-4f39-89a4-b66325a5b338,c3,c5,1308,?,i2,
1768577960.6349738,SENT,4429095d-4889-4c33-97d3-10b98c5d9182,c3,c5,1308,?,i2,
1768577960.6350205,FORWARDED,4429095d-4889-4c33-97d3-10b98c5d9182,c3,c5,1308,?,i2,
1768577960.6833746,SENT,423f03e9-ac18-40ad-a30f-b8fa76729111,c1,c4,1307,?,i3,
1768577960.6834185,FORWARDED,423f03e9-ac18-40ad-a30f-b8fa76729111,c1,c4,1307,?,i3,
1768577960.753213,RECEIVED,bf9ddf09-ad87-4a4c-a169-892a792e1ab5,c1,c3,1849,p1,?,
1768577960.7907605,RECEIVED,ba0953b0-f2b8-46ba-8128-ee77dc1c01a1,c5,c4,1840,p2,?,
1768577960.7943544,RECEIVED,a4f21cd5-00ce-4ac7-828d-d8897cdc6fe6,c1,c3,1840,p1,?,
1768577960.8613586,SENT,a4f21cd5-00ce-4ac7-828d-d8897cdc6fe6,c1,c3,1308,?,i11,
1768577960.8614037,FORWARDED,a4f21cd5-00ce-4ac7-828d-d8897cdc6fe6,c1,c3,1308,?,i11,
1768577960.959998,SENT,bf9ddf09-ad87-4a4c-a169-892a792e1ab5,c1,c3,1312,?,i11,
1768577960.9600372,FORWARDED,bf9ddf09-ad87-4a4c-a169-892a792e1ab5,c1,c3,1312,?,i11,
1768577961.2133157,SENT,ba0953b0-f2b8-46ba-8128-ee77dc1c01a1,c5,c4,1306,?,i6,
1768577961.2139993,FORWARDED,ba0953b0-f2b8-46ba-8128-ee77dc1c01a1,c5,c4,1306,?,i6,
1768577961.6007593,RECEIVED,e1a02e4a-07e4-4380-b2b1-c50e727e8d39,c4,c1,1835,p1,?,
1768577961.6594577,RECEIVED,42097e3f-4d83-401f-9915-50f2d72392bc,c5,c2,1864,p2,?,
1768577961.66615,RECEIVED,90b12ba7-5bad-4dd4-aca4-2932179b8f92,c1,c3,1839,p1,?,
1768577961.8413167,RECEIVED,488183a8-c9f0-4ba8-ae73-f400a8d16515,c1,c3,1832,p1,?,
1768577961.9524112,SENT,e1a02e4a-07e4-4380-b2b1-c50e727e8d39,c4,c1,1305,?,i7,
1768577961.952536,FORWARDED,e1a02e4a-07e4-4380-b2b1-c50e727e8d39,c4,c1,1305,?,i7,
1768577962.0567362,SENT,42097e3f-4d83-401f-9915-50f2d72392bc,c5,c2,1324,?,i11,
1768577962.056777,FORWARDED,42097e3f-4d83-401f-9915-50f2d72392bc,c5,c2,1324,?,i11,
1768577962.1523013,SENT,488183a8-c9f0-4ba8-ae73-f400a8d16515,c1,c3,1301,?,i8,
1768577962.1523402,FORWARDED,488183a8-c9f0-4ba8-ae73-f400a8d16515,c1,c3,1301,?,i8,
1768577962.242352,RECEIVED,6c7242a4-46d7-4864-acbe-e54fa4f60c01,c1,DROP,382,x9,?,
1768577962.6809826,RECEIVED,4223320f-dbec-4fd8-978f-6589f22d96b0,c2,c5,1844,p2,?,
1768577962.9930143,RECEIVED,1a83209a-0373-4641-b20e-f897e6907678,c3,c1,1841,p3,?,
1768577963.1012034,RECEIVED,d4b7d19b-d14d-45b9-81d2-92423075c7d8,c2,c1,1840,p2,?,
1768577963.135611,SENT,4223320f-dbec-4fd8-978f-6589f22d96b0,c2,c5,1309,?,i7,
1768577963.1356494,FORWARDED,4223320f-dbec-4fd8-978f-6589f22d96b0,c2,c5,1309,?,i7,
1768577963.169943,SENT,1a83209a-0373-4641-b20e-f897e6907678,c3,c1,1308,?,i10,
1768577963.1699808,FORWARDED,1a83209a-0373-4641-b20e-f897e6907678,c3,c1,1308,?,i10,
1768577963.4892507,RECEIVED,6f4cfd7a-30b3-498f-aff5-ce3051f60129,c2,c1,1843,p2,?,
1768577963.571401,SENT,6f4cfd7a-30b3-498f-aff5-ce3051f60129,c2,c1,1309,?,i8,
1768577963.5714383,FORWARDED,6f4cfd7a-30b3-498f-aff5-ce3051f60129,c2,c1,1309,?,i8,
1768577963.5828931,SENT,d4b7d19b-d14d-45b9-81d2-92423075c7d8,c2,c1,1308,?,i8,
1768577963.5829334,FORWARDED,d4b7d19b-d14d-45b9-81d2-92423075c7d8,c2,c1,1308,?,i8,
1768577963.8441713,RECEIVED,cac46ef7-6cff-41f5-894d-f2d8c120e05c,c3,c1,1845,p3,?,
1768577963.9738483,SENT,cac46ef7-6cff-41f5-894d-f2d8c120e05c,c3,c1,1310,?,i10,
1768577963.9738872,FORWARDED,cac46ef7-6cff-41f5-894d-f2d8c120e05c,c3,c1,1310,?,i10,
