timestamp,event_type,packet_id,src,dst,size,prev_hop,next_hop,flags
1768578572.8195214,RECEIVED,358552ee-a304-47c3-83a1-11f277faf018,c2,c4,900,i2,?,
1768578572.9896789,SENT,358552ee-a304-47c3-83a1-11f277faf018,c2,c4,603,?,p1,
1768578572.9897985,FORWARDED,358552ee-a304-47c3-83a1-11f277faf018,c2,c4,603,?,p1,
1768578573.4403973,RECEIVED,983adb92-9404-4c0c-8860-ef4ebe57f63a,c2,c4,898,i2,?,
1768578574.0473635,SENT,983adb92-9404-4c0c-8860-ef4ebe57f63a,c2,c4,603,?,p1,
1768578574.047445,FORWARDED,983adb92-9404-4c0c-8860-ef4ebe57f63a,c2,c4,603,?,p1,
1768578574.0607684,RECEIVED,8de37819-95a2-47a8-a49e-1d24b7def9f7,c5,DROP,601,i5,?,
1768578574.0757165,SENT,8de37819-95a2-47a8-a49e-1d24b7def9f7,c5,DROP,378,?,e9,
1768578574.075798,FORWARDED,8de37819-95a2-47a8-a49e-1d24b7def9f7,c5,DROP,378,?,e9,
1768578575.2670324,RECEIVED,13addd94-4db2-4dab-bcf4-f42c0d3a5b37,c1,DROP,381,x12,?,
1768578575.515075,RECEIVED,b66131bf-05c9-4d94-bb97-00074896aa3d,c4,DROP,601,i1,?,
1768578575.5762088,SENT,b66131bf-05c9-4d94-bb97-00074896aa3d,c4,DROP,376,?,x3,
1768578575.5762622,FORWARDED,b66131bf-05c9-4d94-bb97-00074896aa3d,c4,DROP,376,?,x3,
1768578575.722986,RECEIVED,fcaf3fb0-db4c-4aa1-813f-c06e955d3fc4,c2,DROP,604,i5,?,
1768578575.7475944,RECEIVED,e9a15440-fdce-4ea8-a78e-181c999c3b7e,c4,c5,898,i8,?,
1768578575.8467813,RECEIVED,4077cc91-7ce7-43fd-8936-5fab30dc50f6,c2,DROP,378,x7,?,
1768578576.0722582,RECEIVED,48cdea71-8bf0-4772-a47a-91eb5b4f36aa,c4,c3,903,i2,?,
1768578576.1736472,RECEIVED,ee6fc03d-ab3e-42b2-b0c5-11802f8e3c0f,c3,DROP,600,i5,?,
