timestamp,event_type,packet_id,src,dst,size,prev_hop,next_hop,flags
1768579190.311903,SENT,58687061-f717-40aa-a6e8-6df5c5e73e9a,c5,c4,2548,?,p2,
1768579190.3120792,CREATED,2baa4f81-a307-4a72-928d-f09105894421,c5,c4,27,?,?,
1768579190.3182611,SENT,8824b960-6f4d-4d50-a9f9-1d6fdea8b0e4,c5,c4,2535,?,p2,
1768579190.318392,CREATED,0a6e8dc0-023f-4a9c-9868-fe0da229abac,c5,c4,27,?,?,
1768579190.4427257,SENT,319ba984-e482-402c-af23-f5374aa3edd9,c5,c3,2552,?,p2,
1768579190.4428592,CREATED,e9430d5f-393e-4aba-ad90-ada7ee4296e3,c5,c3,26,?,?,
1768579190.448777,SENT,ad1e0f7a-d062-4433-b73c-adf9725cff7e,c5,c3,2540,?,p2,
1768579190.4489067,CREATED,93d510f6-c4d3-401d-92ce-340ff4bf5ad7,c5,c3,26,?,?,
1768579190.6151757,SENT,f3cfa825-8704-4730-a8ed-e82c0e750d70,c5,c1,2552,?,p2,
1768579190.6152914,CREATED,a24a4e36-0fb3-4862-8915-5062301c87f3,c5,c1,27,?,?,
1768579190.620973,SENT,5dc40883-4491-4698-a73e-414e1f92ad55,c5,c1,2550,?,p2,
1768579190.6211152,CREATED,ea0aa34b-996b-49e2-9339-16cc39c07e81,c5,c1,27,?,?,
1768579190.7774038,SENT,ac5c2daf-9cfb-42c4-ab1f-ceb3cd828cf1,c5,c3,2547,?,p2,
1768579190.7775319,CREATED,0bebb3aa-3b0c-4b37-822b-03e0f9215e03,c5,c3,26,?,?,
1768579190.783087,SENT,5fd04306-53cb-4168-ba8e-0049b46d6b3f,c5,c3,2556,?,p2,
1768579190.7832205,CREATED,1e9bccb4-9184-4973-9494-85cfd848e6ac,c5,c3,26,?,?,
1768579191.036888,SENT,fc502679-72d0-49ed-ac49-400be3756b90,c5,c4,2551,?,p2,
1768579191.0370917,CREATED,5b615ebc-5f61-43a3-9e79-2fb138700f5d,c5,c4,27,?,?,
1768579191.0433168,SENT,358faa40-a69b-4f28-98fd-ce2fca8cb522,c5,c4,2557,?,p2,
1768579191.0434465,CREATED,289e75d1-a190-4e6a-850b-6b67a59c7330,c5,c4,27,?,?,
1768579191.0954027,SENT,10e1e651-79c4-4ce7-8ee3-12863a30ef63,c5,c1,2526,?,p2,
1768579191.0955336,CREATED,67c7a60a-857a-487c-8e28-af9b40171bad,c5,c1,26,?,?,
1768579191.105622,SENT,e5a2bb30-34eb-42ae-8ffb-b63b43cbe305,c5,c1,2541,?,p2,
1768579191.1057577,CREATED,b78dac7d-38fb-40f4-a1c0-74f759ee127e,c5,c1,26,?,?,
1768579191.2231874,RECEIVED,8ff1424a-2b84-4e2d-9843-94ed4df24570,c1,c5,27,p2,?,
1768579191.2298563,SENT,21bf3c3a-f75a-48f4-911c-48367c2759d5,c5,c1,2773,?,p2,
1768579191.230028,CREATED,6e26b2e8-5bf2-4596-8961-e69a20cc94a4,c5,c1,3,?,?,type=ACK;ack_id=8ff1424a-2b84-4e2d-9843-94ed4df24570
1768579191.3174808,SENT,a05fd18a-eeaa-45f1-b396-6d5bef796e44,c5,c2,2524,?,p2,
1768579191.3176017,CREATED,b6e608bb-4bfd-46ca-9421-972b4d24dd87,c5,c2,27,?,?,
1768579191.6784155,SENT,02fc4ae0-fee7-4a38-9f04-f941a1d13a60,c5,DROP,1829,?,p2,
1768579191.6785254,CREATED,bebf78e2-7c68-4517-b9b2-fd9297ea6182,c5,DROP,27,?,?,
1768579192.0673056,SENT,e0288096-fdd2-4b53-a8ae-001b1c2b8952,c5,c3,2544,?,p2,
1768579192.067368,CREATED,0fca261c-1a29-4abb-a0db-ad932bfa796e,c5,c3,27,?,?,
1768579192.0690901,SENT,609c7b91-014b-49a0-9104-b09bf9bc0d29,c5,c3,2552,?,p2,
1768579192.0691495,CREATED,cc3a1fa7-3819-4545-aed5-b2c80f61d7a6,c5,c3,27,?,?,
1768579192.1884966,RECEIVED,644f2440-7628-4f67-88ca-37f4e3638ef8,c4,c5,27,p2,?,
1768579192.192953,SENT,cf8bb460-8a02-418e-bd9f-7fd96777f48b,c5,c4,2755,?,p2,
1768579192.1930964,CREATED,8ae2aed0-903e-43e1-a783-e12215bb7393,c5,c4,3,?,?,type=ACK;ack_id=644f2440-7628-4f67-88ca-37f4e3638ef8
1768579192.3554442,SENT,cf78d79e-62fe-4cb3-85e4-864f4eec2757,c5,c3,2544,?,p2,
1768579192.3555412,CREATED,3054651a-fc27-44cb-8523-185b14b8756f,c5,c3,27,?,?,
1768579192.3595095,SENT,8950f9af-9342-416a-a9d9-b6cb7095068b,c5,c3,2560,?,p2,
1768579192.3596,CREATED,3bead2fe-f714-4a0c-8888-2dc753b2d49b,c5,c3,27,?,?,
1768579192.4775531,RECEIVED,2e21bb85-587a-4bcf-8725-2f623cb0b30f,c1,c5,27,p2,?,
1768579192.4827497,SENT,aed1fb2a-31b5-44c5-bfb1-6d5d4232b9d8,c5,c1,2759,?,p2,
1768579192.4828222,CREATED,ca1f2677-d263-4293-8112-b5efa56656ff,c5,c1,3,?,?,type=ACK;ack_id=2e21bb85-587a-4bcf-8725-2f623cb0b30f
1768579192.6469293,SENT,f871f299-0dc0-4523-8c46-eff77c04d26a,c5,c4,2528,?,p2,
1768579192.6470084,CREATED,a23ab716-32ac-4d35-ab37-7298f95e0f3d,c5,c4,27,?,?,
1768579192.649864,SENT,aabf251e-a0e8-4270-ab20-472f91d2122d,c5,c4,2551,?,p2,
1768579192.649933,CREATED,82335c10-16fb-4596-9d41-4e82d7b33539,c5,c4,27,?,?,
