timestamp,event_type,packet_id,src,dst,size,prev_hop,next_hop,flags
1768579808.4979055,RECEIVED,dec1782a-5011-4677-9ff2-de5f914bb0ac,c3,c2,1840,p3,?,
1768579808.6244676,SENT,dec1782a-5011-4677-9ff2-de5f914bb0ac,c3,c2,1308,?,i6,
1768579808.6245918,FORWARDED,dec1782a-5011-4677-9ff2-de5f914bb0ac,c3,c2,1308,?,i6,
1768579808.6551838,RECEIVED,0141816c-bdbe-4572-b799-2c43c07fd73d,c3,c2,1840,p3,?,
1768579808.701186,SENT,0141816c-bdbe-4572-b799-2c43c07fd73d,c3,c2,1307,?,i6,
1768579808.701298,FORWARDED,0141816c-bdbe-4572-b799-2c43c07fd73d,c3,c2,1307,?,i6,
1768579808.7626195,RECEIVED,95358597-7341-44ca-8ff2-f975c046f415,c1,c2,1836,p1,?,
1768579809.0310135,SENT,95358597-7341-44ca-8ff2-f975c046f415,c1,c2,1304,?,i4,
1768579809.031161,FORWARDED,95358597-7341-44ca-8ff2-f975c046f415,c1,c2,1304,?,i4,
1768579809.1942606,RECEIVED,f253b488-75f4-4cc1-b78e-f202866a300d,c1,c2,1841,p1,?,
1768579809.2276473,SENT,f253b488-75f4-4cc1-b78e-f202866a300d,c1,c2,1307,?,i4,
1768579809.227736,FORWARDED,f253b488-75f4-4cc1-b78e-f202866a300d,c1,c2,1307,?,i4,
1768579809.6625082,RECEIVED,210701a1-d061-4dc5-bc78-8a366519172c,c1,c5,1844,p1,?,
1768579809.756185,SENT,210701a1-d061-4dc5-bc78-8a366519172c,c1,c5,1309,?,i2,
1768579809.7562737,FORWARDED,210701a1-d061-4dc5-bc78-8a366519172c,c1,c5,1309,?,i2,
1768579810.6997366,RECEIVED,ee64ec45-7493-41f9-8571-83a484ace5b6,c1,c5,1839,p1,?,
1768579810.7569776,RECEIVED,b9979569-02c2-4f3f-b5c1-55fc97b47d2c,c5,c1,2012,p2,?,
1768579810.853138,SENT,ee64ec45-7493-41f9-8571-83a484ace5b6,c1,c5,1306,?,i2,
1768579810.8531911,FORWARDED,ee64ec45-7493-41f9-8571-83a484ace5b6,c1,c5,1306,?,i2,
1768579810.8676503,RECEIVED,2b1ec77b-d374-43a5-8365-c145c5a25005,c5,c3,1839,p2,?,
1768579811.1314335,RECEIVED,f1a2575a-d332-47d1-a5f5-7d8a6bd8f5eb,c1,c2,1997,p1,?,
1768579811.1418645,RECEIVED,35f90295-488a-403b-a56e-08acbf5ac55f,c5,c3,1838,p2,?,
1768579811.1664457,RECEIVED,43e7af81-6830-4a5e-8faa-4371b8d9d54d,c3,c2,2011,p3,?,
1768579811.2758217,SENT,f1a2575a-d332-47d1-a5f5-7d8a6bd8f5eb,c1,c2,1423,?,i10,
1768579811.275862,FORWARDED,f1a2575a-d332-47d1-a5f5-7d8a6bd8f5eb,c1,c2,1423,?,i10,
1768579811.4307528,SENT,43e7af81-6830-4a5e-8faa-4371b8d9d54d,c3,c2,1435,?,i1,
1768579811.430795,FORWARDED,43e7af81-6830-4a5e-8faa-4371b8d9d54d,c3,c2,1435,?,i1,
1768579811.549388,RECEIVED,abd0548c-4ebe-49eb-8405-d7e313d275b0,c3,c5,2013,p3,?,
1768579811.5508084,SENT,2b1ec77b-d374-43a5-8365-c145c5a25005,c5,c3,1307,?,i9,
1768579811.5508494,FORWARDED,2b1ec77b-d374-43a5-8365-c145c5a25005,c5,c3,1307,?,i9,
1768579811.5632725,RECEIVED,eb5fb392-c694-435e-b82d-98c903c864cf,c5,c1,1996,p2,?,
1768579811.6341147,SENT,35f90295-488a-403b-a56e-08acbf5ac55f,c5,c3,1308,?,i9,
1768579811.6341496,FORWARDED,35f90295-488a-403b-a56e-08acbf5ac55f,c5,c3,1308,?,i9,
1768579811.7799346,SENT,b9979569-02c2-4f3f-b5c1-55fc97b47d2c,c5,c1,1436,?,i11,
1768579811.781087,FORWARDED,b9979569-02c2-4f3f-b5c1-55fc97b47d2c,c5,c1,1436,?,i11,
1768579811.8268092,RECEIVED,b15c9ebd-7e8b-4249-a3fa-0d70eba8afbf,c4,c2,1840,p1,?,
1768579811.8737063,RECEIVED,1c17f883-af37-48ae-9167-e953b9bd8f1b,c1,c5,2012,p1,?,
1768579811.8931553,RECEIVED,1ebecd9a-42ae-4392-b8cc-b1169ca112ac,c3,c1,1840,p3,?,
1768579811.9059806,SENT,abd0548c-4ebe-49eb-8405-d7e313d275b0,c3,c5,1437,?,i11,
1768579811.9060223,FORWARDED,abd0548c-4ebe-49eb-8405-d7e313d275b0,c3,c5,1437,?,i11,
1768579811.973615,SENT,eb5fb392-c694-435e-b82d-98c903c864cf,c5,c1,1424,?,i2,
1768579811.9736662,FORWARDED,eb5fb392-c694-435e-b82d-98c903c864cf,c5,c1,1424,?,i2,
1768579811.9996352,RECEIVED,fce9bdd2-9183-4bff-8a0e-ed2be05bfeff,c5,DROP,1295,p2,?,
1768579812.0021667,RECEIVED,a53d7816-d282-4262-b258-504c39d0b193,c1,c3,2004,p1,?,
1768579812.0132246,SENT,b15c9ebd-7e8b-4249-a3fa-0d70eba8afbf,c4,c2,1308,?,i2,
1768579812.0132642,FORWARDED,b15c9ebd-7e8b-4249-a3fa-0d70eba8afbf,c4,c2,1308,?,i2,
1768579812.033965,SENT,1c17f883-af37-48ae-9167-e953b9bd8f1b,c1,c5,1436,?,i9,
1768579812.0340066,FORWARDED,1c17f883-af37-48ae-9167-e953b9bd8f1b,c1,c5,1436,?,i9,
1768579812.045316,SENT,a53d7816-d282-4262-b258-504c39d0b193,c1,c3,1429,?,i2,
1768579812.0453572,FORWARDED,a53d7816-d282-4262-b258-504c39d0b193,c1,c3,1429,?,i2,
1768579812.280706,SENT,fce9bdd2-9183-4bff-8a0e-ed2be05bfeff,c5,DROP,898,?,i10,
1768579812.2807467,FORWARDED,fce9bdd2-9183-4bff-8a0e-ed2be05bfeff,c5,DROP,898,?,i10,
1768579812.3024392,RECEIVED,e28aad02-2bb3-4eeb-91ac-fa2cf9a1a40d,c1,DROP,1305,p1,?,
1768579812.3351355,RECEIVED,b0aff2c3-0916-4108-871e-f3d6b696a7cc,c4,c2,1826,p1,?,
1768579812.4328163,RECEIVED,14419915-2ab0-440d-bec6-1f3b1df1b3eb,c1,c5,1841,p1,?,
1768579812.483498,SENT,14419915-2ab0-440d-bec6-1f3b1df1b3eb,c1,c5,1307,?,i4,
1768579812.483538,FORWARDED,14419915-2ab0-440d-bec6-1f3b1df1b3eb,c1,c5,1307,?,i4,
1768579812.4899452,SENT,e28aad02-2bb3-4eeb-91ac-fa2cf9a1a40d,c1,DROP,905,?,i10,
1768579812.4899936,FORWARDED,e28aad02-2bb3-4eeb-91ac-fa2cf9a1a40d,c1,DROP,905,?,i10,
1768579812.496768,RECEIVED,d8ed7cc1-7aa6-4402-a10c-f2ac16eb0c9b,c1,c5,1840,p1,?,
1768579812.6249464,SENT,1ebecd9a-42ae-4392-b8cc-b1169ca112ac,c3,c1,1308,?,i11,
1768579812.6249862,FORWARDED,1ebecd9a-42ae-4392-b8cc-b1169ca112ac,c3,c1,1308,?,i11,
1768579812.714669,SENT,b0aff2c3-0916-4108-871e-f3d6b696a7cc,c4,c2,1298,?,i2,
