timestamp,event_type,packet_id,src,dst,size,prev_hop,next_hop,flags
1768580427.3860054,RECEIVED,8e74e625-abfe-4c85-8e1d-eee4ec28a8bc,c3,c1,1844,p3,?,
1768580427.460796,SENT,8e74e625-abfe-4c85-8e1d-eee4ec28a8bc,c3,c1,1309,?,i2,
1768580427.4608579,FORWARDED,8e74e625-abfe-4c85-8e1d-eee4ec28a8bc,c3,c1,1309,?,i2,
1768580427.5964608,RECEIVED,e3e2874e-327d-44c5-8252-b1b060cb81c2,c5,DROP,1299,p2,?,
1768580427.6863284,RECEIVED,842789f7-8672-4067-b25f-47979a7cbe06,c4,c2,1845,p1,?,
1768580427.7117026,SENT,842789f7-8672-4067-b25f-47979a7cbe06,c4,c2,1309,?,i2,
1768580427.711758,FORWARDED,842789f7-8672-4067-b25f-47979a7cbe06,c4,c2,1309,?,i2,
1768580427.715381,RECEIVED,4a73e1b0-88a6-427d-b1ac-ab0ceb13454f,c5,DROP,1286,p2,?,
1768580427.889128,RECEIVED,0bb54861-2b9c-425a-9838-0cd4fdceadfe,c5,DROP,1301,p2,?,
1768580427.9762716,SENT,0bb54861-2b9c-425a-9838-0cd4fdceadfe,c5,DROP,903,?,i10,
1768580427.9763052,FORWARDED,0bb54861-2b9c-425a-9838-0cd4fdceadfe,c5,DROP,903,?,i10,
1768580428.0477738,RECEIVED,1f398f3f-3882-45c5-ba4f-ea4021b4b5e7,c3,c1,1835,p3,?,
1768580428.131353,RECEIVED,2b13eb3f-8aad-4326-9475-de011c534fb5,c1,c4,1841,p1,?,
1768580428.177523,SENT,2b13eb3f-8aad-4326-9475-de011c534fb5,c1,c4,1306,?,i2,
1768580428.177554,FORWARDED,2b13eb3f-8aad-4326-9475-de011c534fb5,c1,c4,1306,?,i2,
1768580428.3064432,RECEIVED,2b8697d8-afc8-4109-81be-5ea3701f9210,c5,c4,1828,p2,?,
1768580428.3908544,SENT,2b8697d8-afc8-4109-81be-5ea3701f9210,c5,c4,1299,?,i9,
1768580428.3909,FORWARDED,2b8697d8-afc8-4109-81be-5ea3701f9210,c5,c4,1299,?,i9,
1768580428.4927547,RECEIVED,c14612af-e5df-4c5a-9920-f579525166fe,c5,c4,1821,p2,?,
1768580428.5073447,RECEIVED,467cbd47-02a4-4ae1-bec5-e2fe7729aa81,c5,c2,1840,p2,?,
1768580428.552226,RECEIVED,8daff24e-6f27-45e4-97a3-d0c2df08f6f9,c4,c2,1842,p1,?,
1768580428.6160302,RECEIVED,dcdc3a5e-2e63-40bf-b438-cd1b6aa3fe63,c2,c5,1840,p2,?,
1768580428.6348963,SENT,e3e2874e-327d-44c5-8252-b1b060cb81c2,c5,DROP,903,?,i4,
1768580428.6349351,FORWARDED,e3e2874e-327d-44c5-8252-b1b060cb81c2,c5,DROP,903,?,i4,
