timestamp,event_type,packet_id,src,dst,size,prev_hop,next_hop,flags
1768580427.3347743,RECEIVED,5e4352fb-56b2-4bde-997b-ff1f0ee57e76,c3,c5,1308,e9,?,
1768580427.36078,RECEIVED,430e1a2f-364d-4a85-91aa-c89162be2736,c3,c5,1307,e9,?,
1768580427.504503,SENT,430e1a2f-364d-4a85-91aa-c89162be2736,c3,c5,907,?,x7,
1768580427.504554,FORWARDED,430e1a2f-364d-4a85-91aa-c89162be2736,c3,c5,907,?,x7,
1768580427.528925,SENT,5e4352fb-56b2-4bde-997b-ff1f0ee57e76,c3,c5,909,?,x7,
1768580427.5289984,FORWARDED,5e4352fb-56b2-4bde-997b-ff1f0ee57e76,c3,c5,909,?,x7,
1768580427.7083743,RECEIVED,6e7da140-cf6c-4d52-b769-5e9f323e88ba,c2,c3,1303,e5,?,
1768580427.83116,RECEIVED,04b07c64-ade8-4ebe-a868-d3f043a3097d,c2,c3,1295,e5,?,
1768580428.0461526,RECEIVED,ad7c6f5e-81fc-46b1-8699-57d09c2f26fd,c3,c5,1300,e8,?,
1768580428.2848058,SENT,6e7da140-cf6c-4d52-b769-5e9f323e88ba,c2,c3,904,?,x7,
1768580428.28485,FORWARDED,6e7da140-cf6c-4d52-b769-5e9f323e88ba,c2,c3,904,?,x7,
1768580428.3873653,RECEIVED,25fa0939-c437-4268-a55d-742ed8ee4376,c3,c5,1308,e8,?,
1768580428.526431,RECEIVED,cfbf6baf-1521-4a97-a2b4-4b9042770c4b,c5,c3,1304,e10,?,
1768580428.6000736,SENT,04b07c64-ade8-4ebe-a868-d3f043a3097d,c2,c3,900,?,x7,
1768580428.6001308,FORWARDED,04b07c64-ade8-4ebe-a868-d3f043a3097d,c2,c3,900,?,x7,
1768580428.6352332,RECEIVED,e3e2874e-327d-44c5-8252-b1b060cb81c2,c5,DROP,903,e11,?,
1768580428.7110825,RECEIVED,d5ed31c8-22d8-4fc3-9706-3dee14c344e5,c5,c3,1308,e10,?,
1768580428.742416,RECEIVED,23c30e97-2c2a-4034-9995-a946552d3b80,c3,c5,1307,e4,?,
1768580428.7954352,RECEIVED,dcdc3a5e-2e63-40bf-b438-cd1b6aa3fe63,c2,c5,1307,e11,?,
1768580428.8122842,RECEIVED,385edeb8-bacc-4d6c-9e55-e687b6c63db0,c4,c1,1296,e9,?,
1768580428.910454,SENT,cfbf6baf-1521-4a97-a2b4-4b9042770c4b,c5,c3,906,?,x7,
1768580428.9104934,FORWARDED,cfbf6baf-1521-4a97-a2b4-4b9042770c4b,c5,c3,906,?,x7,
1768580428.9351265,SENT,23c30e97-2c2a-4034-9995-a946552d3b80,c3,c5,907,?,x8,
1768580428.9351661,FORWARDED,23c30e97-2c2a-4034-9995-a946552d3b80,c3,c5,907,?,x8,
1768580429.0450985,SENT,d5ed31c8-22d8-4fc3-9706-3dee14c344e5,c5,c3,908,?,x7,
1768580429.0451393,FORWARDED,d5ed31c8-22d8-4fc3-9706-3dee14c344e5,c5,c3,908,?,x7,
1768580429.0737915,RECEIVED,81d49c88-ef60-40c4-b822-75a52eca985e,c1,c2,1298,e9,?,
1768580429.132094,RECEIVED,66f2cdb7-4a92-43de-8f28-10ded9cf029f,c3,c5,1307,e4,?,
1768580429.159856,RECEIVED,5d0248f9-0807-4fbb-9092-a486d3f7e867,c3,c5,1307,e9,?,
1768580429.1923347,SENT,81d49c88-ef60-40c4-b822-75a52eca985e,c1,c2,899,?,x12,
1768580429.1924443,FORWARDED,81d49c88-ef60-40c4-b822-75a52eca985e,c1,c2,899,?,x12,
1768580429.2222762,SENT,e3e2874e-327d-44c5-8252-b1b060cb81c2,c5,DROP,604,?,x2,
1768580429.2223232,FORWARDED,e3e2874e-327d-44c5-8252-b1b060cb81c2,c5,DROP,604,?,x2,
1768580429.2277656,SENT,25fa0939-c437-4268-a55d-742ed8ee4376,c3,c5,907,?,x12,
1768580429.2278101,FORWARDED,25fa0939-c437-4268-a55d-742ed8ee4376,c3,c5,907,?,x12,
1768580429.2557604,SENT,385edeb8-bacc-4d6c-9e55-e687b6c63db0,c4,c1,900,?,x6,
1768580429.2557986,FORWARDED,385edeb8-bacc-4d6c-9e55-e687b6c63db0,c4,c1,900,?,x6,
1768580429.6051753,SENT,ad7c6f5e-81fc-46b1-8699-57d09c2f26fd,c3,c5,903,?,x12,
1768580429.6052158,FORWARDED,ad7c6f5e-81fc-46b1-8699-57d09c2f26fd,c3,c5,903,?,x12,
1768580429.827324,SENT,66f2cdb7-4a92-43de-8f28-10ded9cf029f,c3,c5,907,?,x8,
1768580429.8273642,FORWARDED,66f2cdb7-4a92-43de-8f28-10ded9cf029f,c3,c5,907,?,x8,
1768580430.0404272,RECEIVED,b548a9f9-fae0-4c69-83ce-f9d40f907752,c3,c5,1296,e9,?,
1768580430.1289537,SENT,b548a9f9-fae0-4c69-83ce-f9d40f907752,c3,c5,899,?,x2,
1768580430.1289916,FORWARDED,b548a9f9-fae0-4c69-83ce-f9d40f907752,c3,c5,899,?,x2,
1768580430.2232087,SENT,dcdc3a5e-2e63-40bf-b438-cd1b6aa3fe63,c2,c5,907,?,x5,
1768580430.2232895,FORWARDED,dcdc3a5e-2e63-40bf-b438-cd1b6aa3fe63,c2,c5,907,?,x5,
1768580430.269418,RECEIVED,fe244e9e-c4f2-4070-937d-21b883c33d70,c4,c5,1303,e10,?,
1768580430.4383042,SENT,5d0248f9-0807-4fbb-9092-a486d3f7e867,c3,c5,907,?,x2,
1768580430.4383395,FORWARDED,5d0248f9-0807-4fbb-9092-a486d3f7e867,c3,c5,907,?,x2,
1768580430.486448,RECEIVED,f1506c33-c839-464b-a6d8-11ec44dd3fb9,c2,c1,1306,e1,?,
1768580430.6369903,SENT,fe244e9e-c4f2-4070-937d-21b883c33d70,c4,c5,906,?,x9,
1768580430.637062,FORWARDED,fe244e9e-c4f2-4070-937d-21b883c33d70,c4,c5,906,?,x9,
1768580430.7250285,RECEIVED,0cbb7e18-89ea-48e5-8f81-031929f5fca1,c4,c2,1309,e1,?,
1768580430.8011694,SENT,0cbb7e18-89ea-48e5-8f81-031929f5fca1,c4,c2,908,?,x10,
1768580430.801209,FORWARDED,0cbb7e18-89ea-48e5-8f81-031929f5fca1,c4,c2,908,?,x10,
