timestamp,event_type,packet_id,src,dst,size,prev_hop,next_hop,flags
1768580427.3678656,RECEIVED,8c85adf3-2a64-4921-b766-5d6d3b7aaf24,c1,c4,912,i8,?,
1768580427.62775,RECEIVED,27ef275c-eb71-4bbc-8bfd-0faa224a18d4,c3,c5,912,i11,?,
1768580427.8960245,SENT,8c85adf3-2a64-4921-b766-5d6d3b7aaf24,c1,c4,612,?,p1,
1768580427.896185,FORWARDED,8c85adf3-2a64-4921-b766-5d6d3b7aaf24,c1,c4,612,?,p1,
1768580427.9406502,RECEIVED,6db369c3-1f24-4d89-82d4-a0128fc4e49d,c4,c3,903,i12,?,
1768580427.9497635,SENT,27ef275c-eb71-4bbc-8bfd-0faa224a18d4,c3,c5,612,?,p2,
1768580427.949818,FORWARDED,27ef275c-eb71-4bbc-8bfd-0faa224a18d4,c3,c5,612,?,p2,
1768580428.1389813,RECEIVED,4f749d90-a501-43f5-b206-df1585b97bee,c3,c4,907,i1,?,
1768580428.211571,RECEIVED,5270322d-30c5-426f-9485-fb2a120f3910,c3,c4,908,i1,?,
1768580428.3117166,RECEIVED,4ccc9b9e-40c1-4f81-9d96-957c2a2d3b88,c4,c3,908,i12,?,
1768580428.3345377,SENT,5270322d-30c5-426f-9485-fb2a120f3910,c3,c4,607,?,p1,
1768580428.3345842,FORWARDED,5270322d-30c5-426f-9485-fb2a120f3910,c3,c4,607,?,p1,
1768580428.351727,SENT,6db369c3-1f24-4d89-82d4-a0128fc4e49d,c4,c3,605,?,p3,
1768580428.3517723,FORWARDED,6db369c3-1f24-4d89-82d4-a0128fc4e49d,c4,c3,605,?,p3,
1768580428.53575,SENT,4ccc9b9e-40c1-4f81-9d96-957c2a2d3b88,c4,c3,608,?,p3,
1768580428.5357873,FORWARDED,4ccc9b9e-40c1-4f81-9d96-957c2a2d3b88,c4,c3,608,?,p3,
1768580428.6193593,RECEIVED,4e224c16-8722-4b42-9663-1cea57512573,c1,c5,906,i5,?,
1768580428.6244004,RECEIVED,b5c09016-7d43-45cf-ba84-27ede6da3e7a,c3,c5,908,i11,?,
1768580428.671493,SENT,4e224c16-8722-4b42-9663-1cea57512573,c1,c5,608,?,p2,
1768580428.6715326,FORWARDED,4e224c16-8722-4b42-9663-1cea57512573,c1,c5,608,?,p2,
1768580428.7405705,SENT,4f749d90-a501-43f5-b206-df1585b97bee,c3,c4,608,?,p1,
1768580428.7406101,FORWARDED,4f749d90-a501-43f5-b206-df1585b97bee,c3,c4,608,?,p1,
1768580428.7622588,RECEIVED,10b449e5-8a5a-4d9e-ba0d-c2fb8075114c,c5,c1,899,i7,?,
1768580428.8363597,SENT,b5c09016-7d43-45cf-ba84-27ede6da3e7a,c3,c5,607,?,p2,
1768580428.8363996,FORWARDED,b5c09016-7d43-45cf-ba84-27ede6da3e7a,c3,c5,607,?,p2,
1768580429.178095,RECEIVED,3619a3d9-910a-4f23-9cce-88d0b59d9084,c1,c5,907,i5,?,
1768580429.179498,RECEIVED,5b4dd1d0-5290-40d0-b891-1bdae1b16729,c5,c1,907,i7,?,
1768580429.3124204,SENT,3619a3d9-910a-4f23-9cce-88d0b59d9084,c1,c5,607,?,p2,
1768580429.3124568,FORWARDED,3619a3d9-910a-4f23-9cce-88d0b59d9084,c1,c5,607,?,p2,
1768580429.717706,SENT,5b4dd1d0-5290-40d0-b891-1bdae1b16729,c5,c1,607,?,p1,
1768580429.7177467,FORWARDED,5b4dd1d0-5290-40d0-b891-1bdae1b16729,c5,c1,607,?,p1,
1768580429.9167967,SENT,10b449e5-8a5a-4d9e-ba0d-c2fb8075114c,c5,c1,601,?,p1,
1768580429.9168375,FORWARDED,10b449e5-8a5a-4d9e-ba0d-c2fb8075114c,c5,c1,601,?,p1,
1768580430.22281,RECEIVED,dcdc3a5e-2e63-40bf-b438-cd1b6aa3fe63,c2,c5,907,i4,?,
1768580430.6157498,SENT,dcdc3a5e-2e63-40bf-b438-cd1b6aa3fe63,c2,c5,608,?,p2,
1768580430.6157904,FORWARDED,dcdc3a5e-2e63-40bf-b438-cd1b6aa3fe63,c2,c5,608,?,p2,
1768580430.9721684,RECEIVED,5609c70d-8282-4466-b645-a1abcc240c4f,c1,c3,907,i3,?,
1768580430.9802425,RECEIVED,c5a7d21c-bcef-4c64-99c7-d2176a89f6ce,c1,c2,903,i8,?,
