timestamp,event_type,packet_id,src,dst,size,prev_hop,next_hop,flags
1768581044.6873298,SENT,2a2d3389-1637-4ab9-a09c-a13a2eeb0768,c4,c5,2549,?,p1,
1768581044.6874733,CREATED,0e6f2f30-edfd-4541-b8ae-3aed9e9c815a,c4,c5,27,?,?,
1768581044.6942337,SENT,f5bb44bd-e33b-4e54-a510-369d9b950a82,c4,c5,2552,?,p1,
1768581044.6943643,CREATED,9b6e540e-9127-494a-9b0b-e3b5702f3fcf,c4,c5,27,?,?,
1768581044.7184093,SENT,a62b0d33-7388-4e80-89cb-b21068c20768,c4,DROP,1820,?,p1,
1768581044.7185972,CREATED,47d0680c-a479-432d-a18d-0cb2f127ea18,c4,DROP,27,?,?,
1768581044.8264353,SENT,4c6541a1-7d9c-4c1a-a4e8-5fb0abbbdf2b,c4,c2,2523,?,p1,
1768581044.826563,CREATED,2dda0fa9-3675-4e7a-a329-11035ab874e1,c4,c2,25,?,?,
1768581044.8303015,SENT,9193e8e3-4a48-4c22-a0f9-8c614af82e21,c4,c2,2531,?,p1,
1768581044.8304317,CREATED,a61e7aa7-aa9c-4bf6-a765-c2baadf18fa7,c4,c2,25,?,?,
1768581044.8405466,SENT,bee50923-dd50-4dc9-a64e-f0fe500e5f83,c4,DROP,1817,?,p1,
1768581044.840687,CREATED,08ebdc1c-1d58-4954-b0b2-b7c9c1b8583c,c4,DROP,27,?,?,
1768581045.002133,SENT,f8e6dd75-4cef-4603-890c-1cf9ad3732c7,c4,c2,2543,?,p1,
1768581045.002266,CREATED,8c40d9a9-b548-4408-92ab-a5ce8bf973bf,c4,c2,27,?,?,
1768581045.0094178,SENT,e3a4f8d9-2747-4df3-acb6-f096aa3aeaff,c4,c2,2545,?,p1,
1768581045.0095446,CREATED,69865f2f-2728-416e-8eba-651342608a88,c4,c2,27,?,?,
1768581045.1771996,SENT,a95f1a17-dabd-4082-a09e-56092dc91897,c4,c5,2549,?,p1,
1768581045.1774085,CREATED,cec15199-a56b-4776-a697-a0fb56fd52c8,c4,c5,27,?,?,
1768581045.1838915,SENT,c79aed6f-f215-40d1-8d3e-7f8f645a182c,c4,c5,2557,?,p1,
1768581045.184017,CREATED,8c7a40af-745a-4cf0-9595-f7d423add77c,c4,c5,27,?,?,
1768581045.2627115,SENT,ced937ee-9a0e-4b45-8938-2ccdfce6568e,c4,DROP,1844,?,p1,
1768581045.2638018,CREATED,3b518bd5-e4d5-49c8-b7c5-8340da3217fd,c4,DROP,27,?,?,
1768581045.7996178,SENT,98156d4a-07e5-4b09-b5da-0fe7566faa9d,c4,c1,2569,?,p1,
1768581045.7997766,CREATED,d8c2e994-9ac9-438f-abbd-3ad830ba1615,c4,c1,27,?,?,
1768581046.1613214,SENT,d5d1c394-1ba5-48fc-a94f-c354de3c0fda,c4,c3,2527,?,p1,
1768581046.1614823,CREATED,2aa8450f-8e11-46ff-b276-d1f09dcfd354,c4,c3,26,?,?,
1768581046.1737134,SENT,f5579cf7-a404-4b43-9282-3ddb70b44e05,c4,c3,2550,?,p1,
1768581046.1738415,CREATED,99e0cb8f-71eb-4e0c-825c-18f88b62af72,c4,c3,26,?,?,
1768581046.2469182,SENT,b690d9ab-1816-4816-8570-cdfb2136d101,c4,DROP,1819,?,p1,
1768581046.2470832,CREATED,058a83dc-e9ce-4384-bec3-42ab9eb43b3a,c4,DROP,27,?,?,
1768581046.2818997,SENT,e499b6cd-6625-43f1-a743-247a80557ffc,c4,c1,2538,?,p1,
1768581046.2819526,CREATED,49647811-75d4-4877-a77f-a96c67dad747,c4,c1,27,?,?,
1768581046.612913,RECEIVED,9327dbf0-b6f2-49da-ae10-5d53302cf895,c3,c4,27,p1,?,
1768581046.7539577,SENT,fdf0a628-9aff-4b6e-96dc-ffb72d5f5ff5,c4,c1,2548,?,p1,
1768581046.754022,CREATED,4a415a3a-14e4-4781-bb5e-a15316a37a72,c4,c1,27,?,?,
1768581046.7640882,SENT,095bf852-6a54-4738-be26-8cba1c91e5d1,c4,c5,2543,?,p1,
1768581046.764158,CREATED,12932424-9ee6-44ac-91ab-55a724999d90,c4,c5,27,?,?,
1768581046.7681177,SENT,27df7265-147c-4e60-9ba7-eb691202195a,c4,c5,2544,?,p1,
1768581046.7682076,CREATED,398a4aa3-da1d-444b-a613-520b3c0aa9f0,c4,c5,27,?,?,
1768581047.036911,SENT,4f0968d0-148e-486e-87d0-4a56c529d59f,c4,c1,2527,?,p1,
1768581047.0369806,CREATED,7b5913c7-070b-4946-8430-23db6c474ec3,c4,c1,26,?,?,
1768581047.1593287,SENT,c09c2af1-88da-4938-af40-e7b426c86f2e,c4,c3,2551,?,p1,
1768581047.1594064,CREATED,e438f178-9e0b-4113-8a96-9e8d6077b5b8,c4,c3,27,?,?,
1768581047.1623251,SENT,16824c83-b23f-44b3-a3f0-599b349c0ddd,c4,c3,2548,?,p1,
1768581047.1624033,CREATED,20336b4e-a7d1-4d8b-9158-e004e972b3ce,c4,c3,27,?,?,
1768581047.2604582,SENT,562fdd30-343a-407d-84a2-3bd98bbdecb1,c4,c5,2539,?,p1,
1768581047.2605383,CREATED,9ea95ca3-beca-4e01-b821-a250e1da7a3b,c4,c5,26,?,?,
1768581047.265194,SENT,d536a564-b910-48eb-a212-15b313d5aada,c4,c5,2543,?,p1,
1768581047.2652678,CREATED,bd553106-d746-4950-9227-7a25d252b373,c4,c5,26,?,?,
1768581047.3898122,SENT,b3590bcd-6b54-49b5-a6ba-a5875743fd93,c4,c2,2531,?,p1,
1768581047.389891,CREATED,fd583b1c-6fb7-43cd-bc46-7f74fd08f1fa,c4,c2,27,?,?,
1768581047.3944466,SENT,460c1b36-19b0-4a6b-b6fa-4732b5c080ff,c4,c2,2547,?,p1,
1768581047.3945386,CREATED,7928e058-770c-4f22-9256-cd980349e969,c4,c2,27,?,?,
1768581047.400249,RECEIVED,67c6a6b7-2af0-46e9-b51f-218c9f1f4f2f,c3,c4,26,p1,?,
1768581047.4202967,SENT,849bc256-a36d-42c8-8ffb-0799202d5c44,c4,c3,2551,?,p1,
1768581047.4203773,CREATED,a7cc8257-1c54-4778-b889-cc7157e708d3,c4,c3,27,?,?,
1768581047.4249854,SENT,933df635-e9c1-49cc-943d-04327d8f8d72,c4,c3,2545,?,p1,
1768581047.4250815,CREATED,7f2173a2-9dd6-475f-9ed3-e5f0c9a8eea3,c4,c3,27,?,?,
1768581047.5974638,SENT,357d0f0b-4dcf-46a6-9a93-b2c62bda9644,c4,DROP,1824,?,p1,
1768581047.5975463,CREATED,2611b835-c4c9-4c85-8ba2-1c9255eb9eb4,c4,DROP,27,?,?,
1768581047.678061,RECEIVED,3dccb43a-9e5c-401b-bd03-e4b35e9e7c05,c3,c4,27,p1,?,
1768581048.0163386,SENT,4bbdf6fb-0834-48d9-8ae4-1f21a142b145,c4,c1,2555,?,p1,
1768581048.01646,CREATED,16ca17ce-b94b-4cb8-b3ac-9df595cc8622,c4,c1,27,?,?,
1768581048.0721421,SENT,3cc029fc-bc95-48b0-94fc-410f1020fc9b,c4,c3,2549,?,p1,
1768581048.07221,CREATED,5cd9b5eb-5a25-4769-bf81-1d6972e39aa7,c4,c3,27,?,?,
1768581048.0769033,SENT,7dc974f9-6b55-4006-9621-30bf160b58f1,c4,c3,2554,?,p1,
1768581048.0769567,CREATED,b544586f-3cf6-43d7-bb62-edc4df2b3318,c4,c3,27,?,?,
1768581048.0781293,SENT,fb1f5509-6a81-45b9-a6c7-ab55c9992a43,c4,DROP,1819,?,p1,
1768581048.0781825,CREATED,8673f2f7-f579-4d38-b0f7-e8d76bcd4d0c,c4,DROP,27,?,?,
1768581048.1314714,SENT,7820469a-a3cb-4ad3-8254-d5a2f65c14ff,c4,c2,2552,?,p1,
1768581048.131598,CREATED,14210bb6-350b-4e3b-aac1-94f86c07a078,c4,c2,27,?,?,
1768581048.1401498,SENT,8bd11589-9daf-4389-a72c-2e75d44ee149,c4,c2,2556,?,p1,
1768581048.1402736,CREATED,375cd064-9a26-4f4c-bf96-4d1d90974f04,c4,c2,27,?,?,
1768581048.1744554,SENT,5cd27f1e-a8c1-4190-b829-b91c8aa9707d,c4,c5,2550,?,p1,
1768581048.1745784,CREATED,0e945645-b083-4aaf-9495-83bc1c8f2388,c4,c5,27,?,?,
1768581048.1848361,SENT,dee10ca6-f19a-4036-84ec-e1eea55b952d,c4,c5,2548,?,p1,
1768581048.184971,CREATED,1fecde8e-d492-4e3a-9453-0d963015be80,c4,c5,27,?,?,
1768581048.214322,SENT,448ccaa2-592b-4372-bd68-001f15d8509d,c4,c5,2550,?,p1,
1768581048.214387,CREATED,6b9eb038-4b23-4f00-ae98-facc80688d42,c4,c5,27,?,?,
1768581048.217301,SENT,37678f0a-87b0-46bd-99db-9244d50b76ef,c4,c5,2552,?,p1,
1768581048.2173717,CREATED,aeb2ff09-021b-4939-9a7e-461dbd6ad7f2,c4,c5,27,?,?,
1768581048.270972,RECEIVED,a592cdfa-fd63-4315-836f-7333252cc2ab,c2,c4,27,p1,?,
1768581048.369143,SENT,9a09eae9-76e7-4a09-9552-4c7823506bfd,c4,c3,2542,?,p1,
1768581048.3692107,CREATED,770b48ff-8694-4464-9edf-3de91946f6a2,c4,c3,27,?,?,
1768581048.3736649,SENT,a0c09025-9648-4303-86f8-c1c693de7b25,c4,c3,2556,?,p1,
1768581048.373729,CREATED,e9d3baa4-4f6f-4ef1-999d-a243f1e810d4,c4,c3,27,?,?,
1768581048.5381436,SENT,ee014864-f691-4581-ad40-a2db57457ea4,c4,c3,2556,?,p1,
1768581048.5382288,CREATED,d6a224e0-10b2-41be-af45-f5c2d7f60132,c4,c3,27,?,?,
1768581048.5464466,SENT,87038bd8-d5be-4079-a39a-1a313187ba56,c4,c3,2524,?,p1,
1768581048.546511,CREATED,624fc0d2-557e-457d-85dc-186436d6455e,c4,c3,27,?,?,
1768581048.585515,RECEIVED,3c54fde3-30a9-4ac1-a29c-dc0d0528426c,c3,c4,27,p1,?,
1768581048.745928,RECEIVED,6642bfde-86ea-4254-ab2a-7b521f4f920b,c5,c4,27,p1,?,
1768581048.753091,SENT,c146d773-c72a-4ad0-a560-319fb50a1379,c4,c1,2532,?,p1,
1768581048.7531867,CREATED,dbcbcde2-3d9f-4042-a763-68ecfc6f4dc7,c4,c1,27,?,?,
1768581048.8687594,SENT,38f14b6e-ff55-45f3-8877-40ecdd6a9c50,c4,c3,2538,?,p1,
1768581048.8688023,CREATED,dccc6891-8705-4002-a42b-732b33846f45,c4,c3,26,?,?,
1768581048.8711367,SENT,4c527cc2-3965-462f-bd80-643e1cbc3c26,c4,c3,2558,?,p1,
1768581048.8711872,CREATED,c14b296e-f8e4-4fe5-84c4-77f522e25ded,c4,c3,26,?,?,
1768581049.0475676,SENT,84d7ef5c-239b-4027-97d5-478c7f01757a,c4,c3,2551,?,p1,
1768581049.047619,CREATED,7d9709c5-2fc7-40f0-8139-0789b23b1712,c4,c3,27,?,?,
1768581049.051622,SENT,f166d3ef-f9e3-4585-a199-fe64e36dce07,c4,c3,2548,?,p1,
1768581049.0516715,CREATED,ebddb83a-ab16-41d2-98d2-004e99ab99e4,c4,c3,27,?,?,
1768581049.1623805,SENT,8977fa2b-054b-4a8d-96f7-9ae6f8edb4aa,c4,c3,2551,?,p1,
1768581049.162493,CREATED,a671ee9d-6fa5-4c62-8df5-9e1cbacc86cb,c4,c3,27,?,?,
1768581049.1745346,SENT,e31ebfd7-bcbd-4aa4-8c44-0ca1c3e8a103,c4,c3,2553,?,p1,
1768581049.174711,CREATED,f3c0fb59-6270-499b-9740-f79e5c8ab386,c4,c3,27,?,?,
