timestamp,event_type,packet_id,src,dst,size,prev_hop,next_hop,flags
1768581045.1499207,RECEIVED,2a2d3389-1637-4ab9-a09c-a13a2eeb0768,c4,c5,1839,p1,?,
1768581045.3506122,SENT,2a2d3389-1637-4ab9-a09c-a13a2eeb0768,c4,c5,1308,?,i8,
1768581045.3507705,FORWARDED,2a2d3389-1637-4ab9-a09c-a13a2eeb0768,c4,c5,1308,?,i8,
1768581045.7152185,RECEIVED,2f01288d-b0f5-4579-a99a-f149054e9a5b,c3,c4,1842,p3,?,
1768581045.7405593,SENT,2f01288d-b0f5-4579-a99a-f149054e9a5b,c3,c4,1307,?,i10,
1768581045.741358,FORWARDED,2f01288d-b0f5-4579-a99a-f149054e9a5b,c3,c4,1307,?,i10,
1768581045.867625,RECEIVED,dd5a591d-ebcd-428a-b03a-66cdfe699eb8,c2,c5,1836,p2,?,
1768581045.9164183,RECEIVED,98156d4a-07e5-4b09-b5da-0fe7566faa9d,c4,c1,1852,p1,?,
1768581045.9278357,SENT,dd5a591d-ebcd-428a-b03a-66cdfe699eb8,c2,c5,1305,?,i6,
1768581045.9279008,FORWARDED,dd5a591d-ebcd-428a-b03a-66cdfe699eb8,c2,c5,1305,?,i6,
1768581046.0411448,RECEIVED,8261376a-fbd9-472c-9448-7b7c782158f0,c3,c4,1840,p3,?,
1768581046.0843716,RECEIVED,e1d65033-3ea8-4bea-96a3-eed7cb681bfb,c1,c2,1839,p1,?,
1768581046.131657,RECEIVED,f5bb44bd-e33b-4e54-a510-369d9b950a82,c4,c5,1840,p1,?,
1768581046.1457884,SENT,98156d4a-07e5-4b09-b5da-0fe7566faa9d,c4,c1,1316,?,i7,
1768581046.145919,FORWARDED,98156d4a-07e5-4b09-b5da-0fe7566faa9d,c4,c1,1316,?,i7,
1768581046.3556583,RECEIVED,7a3c9329-78f6-4c6d-9adb-4b8f1a19d40e,c2,c1,1831,p2,?,
1768581046.4223871,RECEIVED,3dfbb616-d154-4c79-bffa-97fd9a65cf38,c1,c2,1824,p1,?,
1768581046.4598117,SENT,f5bb44bd-e33b-4e54-a510-369d9b950a82,c4,c5,1308,?,i8,
1768581046.4598696,FORWARDED,f5bb44bd-e33b-4e54-a510-369d9b950a82,c4,c5,1308,?,i8,
1768581046.68187,SENT,3dfbb616-d154-4c79-bffa-97fd9a65cf38,c1,c2,1295,?,i3,
1768581046.681936,FORWARDED,3dfbb616-d154-4c79-bffa-97fd9a65cf38,c1,c2,1295,?,i3,
1768581046.7275543,RECEIVED,5e96f829-4c45-4640-928d-668fb3b9e2d2,c2,c1,1827,p2,?,
1768581047.0741854,SENT,e1d65033-3ea8-4bea-96a3-eed7cb681bfb,c1,c2,1308,?,i3,
1768581047.0742698,FORWARDED,e1d65033-3ea8-4bea-96a3-eed7cb681bfb,c1,c2,1308,?,i3,
1768581047.1575751,SENT,7a3c9329-78f6-4c6d-9adb-4b8f1a19d40e,c2,c1,1301,?,i2,
