timestamp,event_type,packet_id,src,dst,size,prev_hop,next_hop,flags
1768581045.4322028,RECEIVED,a62b0d33-7388-4e80-89cb-b21068c20768,c4,DROP,895,e1,?,
1768581045.513933,RECEIVED,19be4c81-2f87-4060-a747-cdbb2d602ee1,c2,c1,1297,e3,?,
1768581045.5542028,SENT,19be4c81-2f87-4060-a747-cdbb2d602ee1,c2,c1,899,?,x6,
1768581045.5543153,FORWARDED,19be4c81-2f87-4060-a747-cdbb2d602ee1,c2,c1,899,?,x6,
1768581046.058357,RECEIVED,a346c04b-d07b-4abf-8217-425d5c6368e1,c3,c5,1311,e3,?,
1768581046.1666923,SENT,a346c04b-d07b-4abf-8217-425d5c6368e1,c3,c5,909,?,x10,
1768581046.166854,FORWARDED,a346c04b-d07b-4abf-8217-425d5c6368e1,c3,c5,909,?,x10,
1768581046.2026713,RECEIVED,5bf0ac0d-3afc-481a-96ee-e9ed715863fb,c2,DROP,903,e4,?,
1768581046.266948,SENT,a62b0d33-7388-4e80-89cb-b21068c20768,c4,DROP,600,?,x7,
1768581046.2669961,FORWARDED,a62b0d33-7388-4e80-89cb-b21068c20768,c4,DROP,600,?,x7,
1768581046.405912,RECEIVED,e10a7cda-d84e-4222-8048-e99026b281f0,c3,c2,1307,e1,?,
1768581046.7474911,RECEIVED,62abbeda-52d9-41dc-88da-ae745624dfda,c5,c2,1307,e9,?,
1768581046.8426723,RECEIVED,8231da7f-75db-40d2-a22b-280a87dcd420,c2,c1,1298,e3,?,
1768581046.8704894,SENT,8231da7f-75db-40d2-a22b-280a87dcd420,c2,c1,898,?,x6,
1768581046.8705578,FORWARDED,8231da7f-75db-40d2-a22b-280a87dcd420,c2,c1,898,?,x6,
1768581047.0845535,SENT,e10a7cda-d84e-4222-8048-e99026b281f0,c3,c2,908,?,x5,
1768581047.084635,FORWARDED,e10a7cda-d84e-4222-8048-e99026b281f0,c3,c2,908,?,x5,
1768581047.1035376,SENT,62abbeda-52d9-41dc-88da-ae745624dfda,c5,c2,909,?,x8,
1768581047.1036422,FORWARDED,62abbeda-52d9-41dc-88da-ae745624dfda,c5,c2,909,?,x8,
1768581047.1866047,SENT,5bf0ac0d-3afc-481a-96ee-e9ed715863fb,c2,DROP,604,?,x4,
1768581047.1869893,FORWARDED,5bf0ac0d-3afc-481a-96ee-e9ed715863fb,c2,DROP,604,?,x4,
1768581047.218259,RECEIVED,a633ab8a-8d13-4699-941e-8595ee2e6b8b,c3,c2,1295,e1,?,
1768581047.2784507,RECEIVED,72cfe82a-50be-4683-a995-afed12f5c7aa,c3,c5,1309,e3,?,
1768581047.3076894,RECEIVED,b690d9ab-1816-4816-8570-cdfb2136d101,c4,DROP,895,e9,?,
1768581047.441396,SENT,72cfe82a-50be-4683-a995-afed12f5c7aa,c3,c5,907,?,x10,
1768581047.441479,FORWARDED,72cfe82a-50be-4683-a995-afed12f5c7aa,c3,c5,907,?,x10,
1768581047.4564342,RECEIVED,ead1e84b-3208-4f95-b546-3c2f010d2bbf,c1,c2,1296,e6,?,
1768581047.5547154,RECEIVED,c47590c4-9afe-40f2-8042-4f3d2004ff5d,c1,c2,1299,e6,?,
1768581047.8098826,SENT,ead1e84b-3208-4f95-b546-3c2f010d2bbf,c1,c2,900,?,x7,
1768581047.8099768,FORWARDED,ead1e84b-3208-4f95-b546-3c2f010d2bbf,c1,c2,900,?,x7,
1768581047.8685548,SENT,c47590c4-9afe-40f2-8042-4f3d2004ff5d,c1,c2,903,?,x7,
1768581047.8686457,FORWARDED,c47590c4-9afe-40f2-8042-4f3d2004ff5d,c1,c2,903,?,x7,
1768581048.065011,SENT,b690d9ab-1816-4816-8570-cdfb2136d101,c4,DROP,599,?,x7,
1768581048.0653532,FORWARDED,b690d9ab-1816-4816-8570-cdfb2136d101,c4,DROP,599,?,x7,
1768581048.243297,RECEIVED,63a5c370-2af2-47e1-b868-cf8d82fe3462,c5,c3,1308,e6,?,
1768581048.4400806,RECEIVED,cd1c4d9d-addb-40fe-bd40-c6da71b400e3,c5,c3,1308,e6,?,
1768581049.0699253,SENT,cd1c4d9d-addb-40fe-bd40-c6da71b400e3,c5,c3,907,?,x12,
1768581049.0699792,FORWARDED,cd1c4d9d-addb-40fe-bd40-c6da71b400e3,c5,c3,907,?,x12,
1768581049.1578918,SENT,a633ab8a-8d13-4699-941e-8595ee2e6b8b,c3,c2,899,?,x5,
1768581049.158204,FORWARDED,a633ab8a-8d13-4699-941e-8595ee2e6b8b,c3,c2,899,?,x5,
1768581049.2262826,SENT,63a5c370-2af2-47e1-b868-cf8d82fe3462,c5,c3,907,?,x12,
1768581049.22633,FORWARDED,63a5c370-2af2-47e1-b868-cf8d82fe3462,c5,c3,907,?,x12,
1768581049.378684,RECEIVED,87038bd8-d5be-4079-a39a-1a313187ba56,c4,c3,1291,e10,?,
1768581049.5436883,RECEIVED,ee014864-f691-4581-ad40-a2db57457ea4,c4,c3,1309,e10,?,
1768581049.5900283,SENT,ee014864-f691-4581-ad40-a2db57457ea4,c4,c3,908,?,x3,
1768581049.590157,FORWARDED,ee014864-f691-4581-ad40-a2db57457ea4,c4,c3,908,?,x3,
1768581049.722119,RECEIVED,c146d773-c72a-4ad0-a560-319fb50a1379,c4,c1,1299,e10,?,
