timestamp,event_type,packet_id,src,dst,size,prev_hop,next_hop,flags
1768581046.2129593,RECEIVED,4a283bae-bad4-46f2-aaee-d341347cfa29,c1,c3,896,i1,?,
1768581046.3217893,SENT,4a283bae-bad4-46f2-aaee-d341347cfa29,c1,c3,600,?,p3,
1768581046.3218453,FORWARDED,4a283bae-bad4-46f2-aaee-d341347cfa29,c1,c3,600,?,p3,
1768581046.4195695,RECEIVED,28f9aa04-8d61-4ea1-a933-19a645c0034f,c1,c3,909,i1,?,
1768581046.4518535,SENT,28f9aa04-8d61-4ea1-a933-19a645c0034f,c1,c3,608,?,p3,
1768581046.4519062,FORWARDED,28f9aa04-8d61-4ea1-a933-19a645c0034f,c1,c3,608,?,p3,
1768581046.4797964,RECEIVED,14919f12-7034-46a2-adbf-49eb566b3acf,c2,c1,903,i3,?,
1768581046.4808555,RECEIVED,0c6aa597-83d7-4ea5-93b3-9799e8c2374d,c2,c1,903,i3,?,
1768581047.1082153,RECEIVED,4d78da97-f5ea-47eb-bd7a-14fda4cbeb11,c2,c1,908,i4,?,
1768581047.2274966,SENT,0c6aa597-83d7-4ea5-93b3-9799e8c2374d,c2,c1,605,?,p1,
1768581047.227579,FORWARDED,0c6aa597-83d7-4ea5-93b3-9799e8c2374d,c2,c1,605,?,p1,
1768581047.2303915,SENT,4d78da97-f5ea-47eb-bd7a-14fda4cbeb11,c2,c1,608,?,p1,
1768581047.2305577,FORWARDED,4d78da97-f5ea-47eb-bd7a-14fda4cbeb11,c2,c1,608,?,p1,
1768581047.244838,SENT,14919f12-7034-46a2-adbf-49eb566b3acf,c2,c1,604,?,p1,
1768581047.2449293,FORWARDED,14919f12-7034-46a2-adbf-49eb566b3acf,c2,c1,604,?,p1,
1768581047.3213766,RECEIVED,c07482da-f28e-42b2-bbaf-ec049380bee4,c1,c4,898,i3,?,
1768581047.519682,RECEIVED,7a3c9329-78f6-4c6d-9adb-4b8f1a19d40e,c2,c1,904,i2,?,
1768581047.723304,SENT,7a3c9329-78f6-4c6d-9adb-4b8f1a19d40e,c2,c1,606,?,p1,
1768581047.7234387,FORWARDED,7a3c9329-78f6-4c6d-9adb-4b8f1a19d40e,c2,c1,606,?,p1,
1768581048.163473,RECEIVED,a6b3a649-a637-4e93-99e6-25b196fe91a4,c2,c3,907,i4,?,
1768581048.201442,RECEIVED,7f7921a5-b7a5-4896-9b39-1e7343a663b2,c1,c3,907,i10,?,
1768581048.2516172,RECEIVED,26524165-e663-44a7-9526-78ea0b17e8ca,c2,c3,907,i4,?,
1768581048.332284,SENT,26524165-e663-44a7-9526-78ea0b17e8ca,c2,c3,608,?,p3,
