timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1768587517.231655,SENT,6b9f902a-4a81-42cb-933e-0e5192b0aaf3,3fafed12-1333-4ffe-8217-173fb7e455c6,c5,DROP,2019,?,p2,
1768587517.2318032,CREATED,9447ee72-61fb-48af-bc76-9d7ad4cc53c2,8b7f2ae6-ae3d-4f1d-bb7d-9b477738b0e5,c5,DROP,27,?,?,
1768587518.432113,SENT,bc0512d0-d6fd-430a-b2e7-a633edab02e0,6da64c41-0961-4243-bf61-ca342698c448,c5,DROP,2027,?,p2,
1768587518.4322517,CREATED,26a4390b-47d4-4a3d-b5a1-72a4aae5f245,6b77a63d-9689-4808-9949-4278b97f579b,c5,DROP,27,?,?,
1768587518.8699787,SENT,10241a9b-56d7-4005-b544-fd113de56cdd,8a0b8c22-673e-4e86-bfde-6ff6d63481c6,c5,DROP,2016,?,p2,
1768587518.8704891,CREATED,b4f99268-f982-4e22-81b6-dba5192650da,4923a9f9-5796-4fc7-8b08-8ded3ddc8956,c5,DROP,27,?,?,
1768587519.2201731,SENT,8a177207-7af5-41df-80b5-bc6e4d85b00a,9483372c-e3d8-48df-b808-d3f138d284a9,c5,DROP,2019,?,p2,
1768587519.2203038,CREATED,0f3d40ce-d709-4fa3-8354-577240f50772,3867707d-fa4f-4588-9644-ef2047a6b0d7,c5,DROP,27,?,?,
1768587519.806317,SENT,4365aaf9-3b78-4c5b-a4bf-ecd134a0b52f,926adced-27ec-45f2-a499-8c4615f1e7ae,c5,DROP,2037,?,p2,
1768587519.8065076,CREATED,9c7f688e-f28f-4eb8-808d-634e9072b204,d83b40ce-a38e-48ad-a89d-8e422aa808ee,c5,DROP,27,?,?,
1768587520.0701454,SENT,f86d16f5-eb17-49c1-9841-aff5c3540b09,4293fcef-0c75-43dc-9fdf-297ab69e741e,c5,DROP,2015,?,p2,
1768587520.0707178,CREATED,1d71f850-ba00-457a-9a5b-d55f9905750a,7dece9cf-e984-46da-aa77-7f0477c7e022,c5,DROP,27,?,?,
1768587521.3341599,SENT,a8f2e255-11c5-4468-a6c8-5b17dfacae0d,343d2899-f249-4ed7-9476-a67fc72bdfab,c5,DROP,2032,?,p2,
1768587521.3342927,CREATED,69a99788-d736-4e06-94d2-ee241b6862a9,bd27f689-8936-4e6c-bbd2-8a0a11a89f31,c5,DROP,27,?,?,
1768587522.7949216,SENT,801cc4a8-ee97-45c7-9d12-d397e21857a8,caa9e898-997f-4561-9a45-c3efacca0017,c5,DROP,2045,?,p2,
1768587522.7950833,CREATED,f12402b1-aa21-4052-b24c-b3b2939dacdb,b1c39cdd-6c46-4e14-a0da-8cb0570da114,c5,DROP,27,?,?,
1768587523.810603,SENT,78d756cc-8e01-4f0d-a4bc-2003cc1f3df2,b931fbe9-e534-4caf-a8a1-bc749b30e354,c5,DROP,2021,?,p2,
1768587523.8107328,CREATED,ffe04502-4a67-425d-98b9-cfb3f8a11e47,a39f7db1-dc77-4973-b472-f7ede0fee805,c5,DROP,26,?,?,
1768587524.1214514,SENT,23086aab-72b7-45a9-a3a8-5da9d0ab1cbc,2ef7d80c-d3c5-43eb-9a63-14967feadb01,c5,DROP,2019,?,p2,
1768587524.121585,CREATED,d8b6ea8a-3f90-493f-b9ea-9039e94b4659,c320173d-881b-4778-b5e0-1b299ad2b756,c5,DROP,27,?,?,
1768587524.65376,SENT,60d933a9-2db9-4af4-85ea-cc4aa9325e6f,354f74aa-04c5-4d54-a9c1-2f588abcc5e4,c5,DROP,2012,?,p2,
1768587524.6539779,CREATED,4c83a538-80a4-4961-ba26-6e214dac213c,660bc5fc-a5ca-455f-a6a8-f24be05f6452,c5,DROP,25,?,?,
1768587525.997409,SENT,868b1e00-4c79-4908-be81-2fdeac2ba277,52b98cc3-4a18-45a4-afa6-e4b49b77e0e2,c5,DROP,2019,?,p2,
1768587525.9975417,CREATED,dcabdbfd-661b-4171-812f-254191aa800d,55b158c2-f856-4f17-af24-6f486505d805,c5,DROP,27,?,?,
