timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1768588132.9207711,RECEIVED,a531bb32-2bee-4ac8-b5f8-85c2c5f427e4,b30eea41-6e9e-4107-a2e1-486eba7e004c,c1,DROP,683,i3,?,
1768588134.4839451,SENT,a531bb32-2bee-4ac8-b5f8-85c2c5f427e4,b30eea41-6e9e-4107-a2e1-486eba7e004c,c1,DROP,440,?,i5,
1768588134.484128,FORWARDED,a531bb32-2bee-4ac8-b5f8-85c2c5f427e4,b30eea41-6e9e-4107-a2e1-486eba7e004c,c1,DROP,440,?,i5,
1768588135.838497,RECEIVED,00052f2b-fbd6-4884-9828-2586e3492a38,d8426ad1-f17a-4d8a-8370-a881dee3501d,c3,DROP,688,i12,?,
1768588136.242423,SENT,00052f2b-fbd6-4884-9828-2586e3492a38,d8426ad1-f17a-4d8a-8370-a881dee3501d,c3,DROP,442,?,e9,
1768588136.2425575,FORWARDED,00052f2b-fbd6-4884-9828-2586e3492a38,d8426ad1-f17a-4d8a-8370-a881dee3501d,c3,DROP,442,?,e9,
1768588139.6536343,RECEIVED,f7524d8a-cb51-4fec-a4d8-43c7a41fc90d,3914e341-032d-4a23-82ff-960b4dfc40c2,c2,DROP,684,i1,?,
1768588139.6956437,RECEIVED,1a4f1092-2f0f-4234-aefd-15ba1c336112,b77616db-7a2c-47b1-9cfd-f71cb3a63322,c2,DROP,441,x4,?,
1768588139.822499,SENT,f7524d8a-cb51-4fec-a4d8-43c7a41fc90d,3914e341-032d-4a23-82ff-960b4dfc40c2,c2,DROP,441,?,i7,
1768588139.8226779,FORWARDED,f7524d8a-cb51-4fec-a4d8-43c7a41fc90d,3914e341-032d-4a23-82ff-960b4dfc40c2,c2,DROP,441,?,i7,
1768588139.918452,RECEIVED,77ce9563-46e0-4399-a8e1-17d0bc49724b,300193f2-a346-4f2a-82ba-4380303b38dd,c1,DROP,687,i10,?,
1768588140.7563927,RECEIVED,dcd8686b-31e7-4d58-96f9-5cc75bda47c4,1bbe8d0f-d53f-4348-aa55-9fb3b50d5675,c5,DROP,684,i10,?,
1768588140.8056555,SENT,dcd8686b-31e7-4d58-96f9-5cc75bda47c4,1bbe8d0f-d53f-4348-aa55-9fb3b50d5675,c5,DROP,441,?,e3,
1768588140.8057897,FORWARDED,dcd8686b-31e7-4d58-96f9-5cc75bda47c4,1bbe8d0f-d53f-4348-aa55-9fb3b50d5675,c5,DROP,441,?,e3,
1768588140.8391433,SENT,77ce9563-46e0-4399-a8e1-17d0bc49724b,300193f2-a346-4f2a-82ba-4380303b38dd,c1,DROP,442,?,x3,
1768588140.8392797,FORWARDED,77ce9563-46e0-4399-a8e1-17d0bc49724b,300193f2-a346-4f2a-82ba-4380303b38dd,c1,DROP,442,?,x3,
1768588143.4078834,RECEIVED,65321400-682c-4ca7-a7c1-1c5f9d1c4337,c61533e2-4bc3-4b9b-8e8a-74c557e8bda8,c3,DROP,685,i9,?,
1768588143.4587848,RECEIVED,d6e3a425-fd2f-418a-87bc-4d27aa7fa594,5c9c2d69-a3d1-4c63-b78e-b282342f82e2,c5,DROP,683,i11,?,
1768588143.6263332,SENT,65321400-682c-4ca7-a7c1-1c5f9d1c4337,c61533e2-4bc3-4b9b-8e8a-74c557e8bda8,c3,DROP,441,?,x12,
1768588143.6264637,FORWARDED,65321400-682c-4ca7-a7c1-1c5f9d1c4337,c61533e2-4bc3-4b9b-8e8a-74c557e8bda8,c3,DROP,441,?,x12,
1768588143.8168542,SENT,d6e3a425-fd2f-418a-87bc-4d27aa7fa594,5c9c2d69-a3d1-4c63-b78e-b282342f82e2,c5,DROP,440,?,i3,
1768588143.8169823,FORWARDED,d6e3a425-fd2f-418a-87bc-4d27aa7fa594,5c9c2d69-a3d1-4c63-b78e-b282342f82e2,c5,DROP,440,?,i3,
1768588144.9489138,RECEIVED,af82bb4c-0386-4842-b2ed-9c4f98b71459,a3e0255b-5b5c-4ae0-b3bd-d38ea31f0224,c2,DROP,684,i6,?,
1768588145.0018241,SENT,af82bb4c-0386-4842-b2ed-9c4f98b71459,a3e0255b-5b5c-4ae0-b3bd-d38ea31f0224,c2,DROP,441,?,e8,
1768588145.0020034,FORWARDED,af82bb4c-0386-4842-b2ed-9c4f98b71459,a3e0255b-5b5c-4ae0-b3bd-d38ea31f0224,c2,DROP,441,?,e8,
1768588147.2739966,RECEIVED,c36ab703-7952-413a-938f-48967917d4a8,7e5d09d0-3aa4-4441-8404-700aece536bc,c2,DROP,687,i7,?,
1768588147.4824178,RECEIVED,75818365-137a-452f-b06d-d1bd20678f6d,9efd370e-b659-4222-ac22-f84cc23966a3,c2,DROP,684,i12,?,
1768588147.8288043,SENT,75818365-137a-452f-b06d-d1bd20678f6d,9efd370e-b659-4222-ac22-f84cc23966a3,c2,DROP,441,?,e4,
1768588147.828935,FORWARDED,75818365-137a-452f-b06d-d1bd20678f6d,9efd370e-b659-4222-ac22-f84cc23966a3,c2,DROP,441,?,e4,
1768588148.2108994,SENT,c36ab703-7952-413a-938f-48967917d4a8,7e5d09d0-3aa4-4441-8404-700aece536bc,c2,DROP,444,?,x4,
1768588148.21103,FORWARDED,c36ab703-7952-413a-938f-48967917d4a8,7e5d09d0-3aa4-4441-8404-700aece536bc,c2,DROP,444,?,x4,
