timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1768588751.1956787,RECEIVED,ce8c1b6f-3bde-470c-b022-e779e82ff3e5,da72896d-22b4-4d05-b254-f49237bf380f,c1,DROP,2000,c1,?,
1768588751.2078767,SENT,ce8c1b6f-3bde-470c-b022-e779e82ff3e5,da72896d-22b4-4d05-b254-f49237bf380f,c1,DROP,1428,?,e1,
1768588751.2084231,FORWARDED,ce8c1b6f-3bde-470c-b022-e779e82ff3e5,da72896d-22b4-4d05-b254-f49237bf380f,c1,DROP,1428,?,e1,
1768588752.4933984,RECEIVED,0550d00a-b76e-4d82-a63f-ebc1785a69d8,9a02a58e-7bd2-4cdc-807b-a313a6b3c3a5,c1,DROP,2032,c1,?,
1768588752.571314,RECEIVED,843d49c7-1e24-4921-bfb8-ee940b1b6e42,a4291bb3-9030-40f6-980b-3728fb8ef499,c4,DROP,2018,c4,?,
1768588752.6092057,SENT,843d49c7-1e24-4921-bfb8-ee940b1b6e42,a4291bb3-9030-40f6-980b-3728fb8ef499,c4,DROP,1440,?,e10,
1768588752.6093369,FORWARDED,843d49c7-1e24-4921-bfb8-ee940b1b6e42,a4291bb3-9030-40f6-980b-3728fb8ef499,c4,DROP,1440,?,e10,
1768588752.6687765,SENT,0550d00a-b76e-4d82-a63f-ebc1785a69d8,9a02a58e-7bd2-4cdc-807b-a313a6b3c3a5,c1,DROP,1452,?,e9,
1768588752.6689117,FORWARDED,0550d00a-b76e-4d82-a63f-ebc1785a69d8,9a02a58e-7bd2-4cdc-807b-a313a6b3c3a5,c1,DROP,1452,?,e9,
1768588753.6586194,RECEIVED,4d1549e4-b11a-46b1-abe0-e8db49cf1e80,4283a18f-7271-4157-9f91-3f7b1960b3c6,c1,DROP,2032,c1,?,
1768588753.9188437,RECEIVED,6aa11061-6f80-4843-8ea1-b6f91bedbe97,f2085c2b-843f-4103-9f81-fa88a47e572e,c1,DROP,2014,c1,?,
1768588753.9457471,RECEIVED,e30de295-5f65-495b-8f78-aaef4014fadc,f2ffbc3b-6677-437b-a44a-547c447b21de,c1,DROP,2027,c1,?,
1768588753.9794476,RECEIVED,0fd47f0b-a230-4607-8282-d8eb6001ff97,1f6bebc3-d159-4ca7-b825-f060d0f729d5,c1,DROP,2035,c1,?,
1768588754.0079737,SENT,e30de295-5f65-495b-8f78-aaef4014fadc,f2ffbc3b-6677-437b-a44a-547c447b21de,c1,DROP,1448,?,e6,
1768588754.0081608,FORWARDED,e30de295-5f65-495b-8f78-aaef4014fadc,f2ffbc3b-6677-437b-a44a-547c447b21de,c1,DROP,1448,?,e6,
1768588754.0546818,SENT,6aa11061-6f80-4843-8ea1-b6f91bedbe97,f2085c2b-843f-4103-9f81-fa88a47e572e,c1,DROP,1438,?,e6,
1768588754.0548186,FORWARDED,6aa11061-6f80-4843-8ea1-b6f91bedbe97,f2085c2b-843f-4103-9f81-fa88a47e572e,c1,DROP,1438,?,e6,
1768588754.189726,RECEIVED,f1a7f337-a3d6-439c-825c-cb3d0c47f3a6,46efb153-dbc3-4476-b3cd-2cd2b0d91ce3,c1,DROP,2034,c1,?,
1768588754.259485,SENT,f1a7f337-a3d6-439c-825c-cb3d0c47f3a6,46efb153-dbc3-4476-b3cd-2cd2b0d91ce3,c1,DROP,1451,?,e10,
1768588754.2596152,FORWARDED,f1a7f337-a3d6-439c-825c-cb3d0c47f3a6,46efb153-dbc3-4476-b3cd-2cd2b0d91ce3,c1,DROP,1451,?,e10,
1768588754.2762618,SENT,0fd47f0b-a230-4607-8282-d8eb6001ff97,1f6bebc3-d159-4ca7-b825-f060d0f729d5,c1,DROP,1453,?,e2,
1768588754.2784903,FORWARDED,0fd47f0b-a230-4607-8282-d8eb6001ff97,1f6bebc3-d159-4ca7-b825-f060d0f729d5,c1,DROP,1453,?,e2,
1768588754.2860796,RECEIVED,1ade18fa-df9e-4324-a0bb-26f65602ac7b,567f6554-1ff7-4a1c-8682-b5e0e27f8fb1,c4,DROP,2020,c4,?,
1768588754.3627746,SENT,4d1549e4-b11a-46b1-abe0-e8db49cf1e80,4283a18f-7271-4157-9f91-3f7b1960b3c6,c1,DROP,1451,?,e11,
1768588754.3629076,FORWARDED,4d1549e4-b11a-46b1-abe0-e8db49cf1e80,4283a18f-7271-4157-9f91-3f7b1960b3c6,c1,DROP,1451,?,e11,
1768588754.4627042,RECEIVED,95cd60bd-2d7c-45a6-b1da-63cb206030ef,0eca8373-19e9-489c-b0ae-d783083990a4,c1,DROP,2031,c1,?,
1768588754.524193,SENT,1ade18fa-df9e-4324-a0bb-26f65602ac7b,567f6554-1ff7-4a1c-8682-b5e0e27f8fb1,c4,DROP,1442,?,e2,
1768588754.524321,FORWARDED,1ade18fa-df9e-4324-a0bb-26f65602ac7b,567f6554-1ff7-4a1c-8682-b5e0e27f8fb1,c4,DROP,1442,?,e2,
1768588754.6256502,RECEIVED,f114975e-1fa4-447b-84da-eb14b68b828d,45d220d4-bbfc-4628-8957-1c6ba1de972b,c4,DROP,2025,c4,?,
1768588754.657196,RECEIVED,e66e2f43-fa44-49ac-b0e9-991f5e91caa9,2cd4c459-17f5-4bce-8195-de391ca8359f,c4,DROP,2041,c4,?,
1768588754.6882517,RECEIVED,995b9409-42af-4331-8d8a-4f94756f17e3,e3eaf85f-3986-459c-8a4d-76d053d1e922,c1,DROP,2044,c1,?,
1768588754.7724202,SENT,f114975e-1fa4-447b-84da-eb14b68b828d,45d220d4-bbfc-4628-8957-1c6ba1de972b,c4,DROP,1444,?,e10,
1768588754.77255,FORWARDED,f114975e-1fa4-447b-84da-eb14b68b828d,45d220d4-bbfc-4628-8957-1c6ba1de972b,c4,DROP,1444,?,e10,
1768588754.828219,SENT,e66e2f43-fa44-49ac-b0e9-991f5e91caa9,2cd4c459-17f5-4bce-8195-de391ca8359f,c4,DROP,1457,?,e10,
1768588754.828421,FORWARDED,e66e2f43-fa44-49ac-b0e9-991f5e91caa9,2cd4c459-17f5-4bce-8195-de391ca8359f,c4,DROP,1457,?,e10,
1768588755.021261,SENT,95cd60bd-2d7c-45a6-b1da-63cb206030ef,0eca8373-19e9-489c-b0ae-d783083990a4,c1,DROP,1451,?,e8,
1768588755.021415,FORWARDED,95cd60bd-2d7c-45a6-b1da-63cb206030ef,0eca8373-19e9-489c-b0ae-d783083990a4,c1,DROP,1451,?,e8,
