timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1768600244.0174253,RECEIVED,8c7c19bb-2168-489c-b930-9249743c7868,07e8e9ac-00ed-4b2f-a753-a5952b96b763,c2,c1,2037,p2,?,
1768600244.2355094,RECEIVED,bc2e9862-6b38-46c7-98f3-cd331fc72d3b,31e89154-73fb-41cb-a94a-ad5954e78b6e,c2,DROP,1461,p2,?,
1768600244.2430642,SENT,8c7c19bb-2168-489c-b930-9249743c7868,07e8e9ac-00ed-4b2f-a753-a5952b96b763,c2,c1,1453,?,i12,
1768600244.2431338,FORWARDED,8c7c19bb-2168-489c-b930-9249743c7868,07e8e9ac-00ed-4b2f-a753-a5952b96b763,c2,c1,1453,?,i12,
1768600244.3987188,RECEIVED,4a7df1fc-b7eb-4e18-8ffc-b86a091f8c9f,7811a94c-f0dc-44d4-91d7-b33bcf986087,c3,c5,2032,p3,?,
1768600244.4124265,SENT,bc2e9862-6b38-46c7-98f3-cd331fc72d3b,31e89154-73fb-41cb-a94a-ad5954e78b6e,c2,DROP,1021,?,i10,
1768600244.414875,FORWARDED,bc2e9862-6b38-46c7-98f3-cd331fc72d3b,31e89154-73fb-41cb-a94a-ad5954e78b6e,c2,DROP,1021,?,i10,
1768600244.5866582,RECEIVED,3b5d0b6a-be18-42cf-bf16-3b3fa071ce0b,72613285-fa60-4df6-a852-0375a20a0f75,c2,c5,2023,p2,?,
1768600244.6274073,SENT,4a7df1fc-b7eb-4e18-8ffc-b86a091f8c9f,7811a94c-f0dc-44d4-91d7-b33bcf986087,c3,c5,1451,?,i9,
1768600244.6274967,FORWARDED,4a7df1fc-b7eb-4e18-8ffc-b86a091f8c9f,7811a94c-f0dc-44d4-91d7-b33bcf986087,c3,c5,1451,?,i9,
1768600245.1464481,SENT,3b5d0b6a-be18-42cf-bf16-3b3fa071ce0b,72613285-fa60-4df6-a852-0375a20a0f75,c2,c5,1445,?,i8,
1768600245.1465907,FORWARDED,3b5d0b6a-be18-42cf-bf16-3b3fa071ce0b,72613285-fa60-4df6-a852-0375a20a0f75,c2,c5,1445,?,i8,
1768600245.7668574,RECEIVED,1acc7ab1-d82d-4bff-a2a3-6fac9493d958,1fa77f76-7674-4256-a290-95340258a270,c5,c4,2191,p2,?,
1768600246.192625,SENT,1acc7ab1-d82d-4bff-a2a3-6fac9493d958,1fa77f76-7674-4256-a290-95340258a270,c5,c4,1571,?,i6,
1768600246.1926727,FORWARDED,1acc7ab1-d82d-4bff-a2a3-6fac9493d958,1fa77f76-7674-4256-a290-95340258a270,c5,c4,1571,?,i6,
1768600246.5953176,RECEIVED,1da3f139-d2e7-4d81-82ff-1353d58d5eb7,5f480de8-1945-4bea-b3d0-1860808461c1,c5,DROP,446,x8,?,
1768600246.6375327,RECEIVED,cf211e77-fec1-4437-b694-9a717f8cb4a2,735a1e1e-ef36-427f-85b1-d7786413f952,c5,c3,2198,p2,?,
1768600246.7135046,RECEIVED,33960b25-4f9b-4a22-9507-92b4ace89a71,979030d7-80b9-49df-90cc-9a5c00e4f8dc,c5,DROP,1456,p2,?,
1768600246.945219,SENT,33960b25-4f9b-4a22-9507-92b4ace89a71,979030d7-80b9-49df-90cc-9a5c00e4f8dc,c5,DROP,1020,?,i4,
1768600246.9453402,FORWARDED,33960b25-4f9b-4a22-9507-92b4ace89a71,979030d7-80b9-49df-90cc-9a5c00e4f8dc,c5,DROP,1020,?,i4,
1768600247.1333117,RECEIVED,15342e18-3172-4fe6-a177-43ebb7b37675,d9473dfc-571d-43dc-8026-f0bf9a307fb9,c3,c1,2031,p3,?,
1768600247.3053546,SENT,cf211e77-fec1-4437-b694-9a717f8cb4a2,735a1e1e-ef36-427f-85b1-d7786413f952,c5,c3,1577,?,i9,
1768600247.3054,FORWARDED,cf211e77-fec1-4437-b694-9a717f8cb4a2,735a1e1e-ef36-427f-85b1-d7786413f952,c5,c3,1577,?,i9,
