timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1768610572.1832583,RECEIVED,b61f704d-450a-4ba1-a0d3-d2908c428e0e,599bbed0-6b0b-46c8-b4e3-7f4f881a6cc4,c2,c3,1451,e1,?,
1768610572.8105192,SENT,b61f704d-450a-4ba1-a0d3-d2908c428e0e,599bbed0-6b0b-46c8-b4e3-7f4f881a6cc4,c2,c3,1016,?,x2,
1768610572.8108761,FORWARDED,b61f704d-450a-4ba1-a0d3-d2908c428e0e,599bbed0-6b0b-46c8-b4e3-7f4f881a6cc4,c2,c3,1016,?,x2,
1768610573.3804245,RECEIVED,612501b2-4ac4-4e7a-9ded-28bc0da5cce3,3739f112-05cf-458d-a1ca-8b9b9aee6aa6,c2,c1,1468,e10,?,
1768610573.5483766,RECEIVED,57f92eec-b8ee-45b9-a123-aca483fe5b49,5d404fc2-c70f-434f-820e-f440c378fd25,c5,c1,1457,e6,?,
1768610573.6636548,SENT,612501b2-4ac4-4e7a-9ded-28bc0da5cce3,3739f112-05cf-458d-a1ca-8b9b9aee6aa6,c2,c1,1027,?,x10,
1768610573.663786,FORWARDED,612501b2-4ac4-4e7a-9ded-28bc0da5cce3,3739f112-05cf-458d-a1ca-8b9b9aee6aa6,c2,c1,1027,?,x10,
1768610573.9601996,SENT,57f92eec-b8ee-45b9-a123-aca483fe5b49,5d404fc2-c70f-434f-820e-f440c378fd25,c5,c1,1019,?,x10,
1768610573.9603624,FORWARDED,57f92eec-b8ee-45b9-a123-aca483fe5b49,5d404fc2-c70f-434f-820e-f440c378fd25,c5,c1,1019,?,x10,
1768610574.5504775,RECEIVED,ac6e78fd-b790-43ba-ba7d-ed1ea8e0eb50,940284a7-86f9-453a-af35-2e1682be41d0,c1,c5,1443,e5,?,
1768610575.4671223,RECEIVED,85198886-9403-4f3a-8ccb-52e65d9edda0,f420d243-f37a-4987-bf94-d2c9c79633ba,c2,c5,1444,e10,?,
1768610575.5564282,SENT,85198886-9403-4f3a-8ccb-52e65d9edda0,f420d243-f37a-4987-bf94-d2c9c79633ba,c2,c5,1011,?,x8,
1768610575.5565214,FORWARDED,85198886-9403-4f3a-8ccb-52e65d9edda0,f420d243-f37a-4987-bf94-d2c9c79633ba,c2,c5,1011,?,x8,
1768610575.8864608,RECEIVED,30847b55-1445-4c5b-8e4b-db204a4a97cd,27adef23-f014-47a9-988f-d0a20e9d0600,c1,c3,1444,e8,?,
1768610576.2616286,SENT,30847b55-1445-4c5b-8e4b-db204a4a97cd,27adef23-f014-47a9-988f-d0a20e9d0600,c1,c3,1011,?,x9,
1768610576.2617214,FORWARDED,30847b55-1445-4c5b-8e4b-db204a4a97cd,27adef23-f014-47a9-988f-d0a20e9d0600,c1,c3,1011,?,x9,
1768610576.295809,SENT,ac6e78fd-b790-43ba-ba7d-ed1ea8e0eb50,940284a7-86f9-453a-af35-2e1682be41d0,c1,c5,1011,?,x5,
1768610576.2958949,FORWARDED,ac6e78fd-b790-43ba-ba7d-ed1ea8e0eb50,940284a7-86f9-453a-af35-2e1682be41d0,c1,c5,1011,?,x5,
1768610576.8100019,RECEIVED,a991c12c-212d-44ab-857b-2091cae67337,319b9894-9bc2-43f1-95db-bee33ecc66d4,c2,c4,1459,e12,?,
1768610577.3127437,RECEIVED,3501d0b8-855b-42e6-9df3-da6026975ae8,8ff2fde5-233c-44dc-9bb3-54e23a8e449a,c5,c1,1448,e5,?,
1768610577.429542,SENT,3501d0b8-855b-42e6-9df3-da6026975ae8,8ff2fde5-233c-44dc-9bb3-54e23a8e449a,c5,c1,1012,?,x5,
1768610577.4296892,FORWARDED,3501d0b8-855b-42e6-9df3-da6026975ae8,8ff2fde5-233c-44dc-9bb3-54e23a8e449a,c5,c1,1012,?,x5,
1768610577.5819664,RECEIVED,2db6d8b9-81fe-4dc7-a52f-be0cc9581f68,d27021eb-c24e-48a3-b1bd-dec3a251b715,c5,c1,1443,e7,?,
1768610577.7554452,SENT,a991c12c-212d-44ab-857b-2091cae67337,319b9894-9bc2-43f1-95db-bee33ecc66d4,c2,c4,1023,?,x2,
1768610577.7555006,FORWARDED,a991c12c-212d-44ab-857b-2091cae67337,319b9894-9bc2-43f1-95db-bee33ecc66d4,c2,c4,1023,?,x2,
1768610578.0457423,RECEIVED,4c2ed768-1d94-4234-89ce-81acaf8a90f4,2bee1c2f-c3ea-464d-afb6-bb607de8c43c,c2,c4,1452,e6,?,
1768610578.2403934,SENT,4c2ed768-1d94-4234-89ce-81acaf8a90f4,2bee1c2f-c3ea-464d-afb6-bb607de8c43c,c2,c4,1016,?,x5,
1768610578.2404454,FORWARDED,4c2ed768-1d94-4234-89ce-81acaf8a90f4,2bee1c2f-c3ea-464d-afb6-bb607de8c43c,c2,c4,1016,?,x5,
1768610578.2855613,SENT,2db6d8b9-81fe-4dc7-a52f-be0cc9581f68,d27021eb-c24e-48a3-b1bd-dec3a251b715,c5,c1,1010,?,x1,
1768610578.2856212,FORWARDED,2db6d8b9-81fe-4dc7-a52f-be0cc9581f68,d27021eb-c24e-48a3-b1bd-dec3a251b715,c5,c1,1010,?,x1,
1768610578.291967,RECEIVED,c793390d-3e8c-49d0-89b4-0628c2baa8c2,ed882dbc-d59d-4590-9a38-d54ea4685867,c5,c4,1452,e11,?,
1768610578.6675944,RECEIVED,c440660e-d0a2-4940-b3e6-d1e524fdd19e,0ab23b7d-d27f-48e8-b40e-3bfdaccb10f3,c1,DROP,1012,e12,?,
1768610578.764553,SENT,c793390d-3e8c-49d0-89b4-0628c2baa8c2,ed882dbc-d59d-4590-9a38-d54ea4685867,c5,c4,1015,?,x3,
1768610578.7647548,FORWARDED,c793390d-3e8c-49d0-89b4-0628c2baa8c2,ed882dbc-d59d-4590-9a38-d54ea4685867,c5,c4,1015,?,x3,
1768610578.9103014,SENT,c440660e-d0a2-4940-b3e6-d1e524fdd19e,0ab23b7d-d27f-48e8-b40e-3bfdaccb10f3,c1,DROP,685,?,x7,
1768610578.910435,FORWARDED,c440660e-d0a2-4940-b3e6-d1e524fdd19e,0ab23b7d-d27f-48e8-b40e-3bfdaccb10f3,c1,DROP,685,?,x7,
1768610579.3335767,RECEIVED,c065ed29-5503-4a73-b9ea-d017828f9ee8,4c2bb920-4a3e-4fa1-8ba6-d2ec5458064a,c1,c3,1455,e2,?,
1768610579.6973963,RECEIVED,7d3e4534-f309-4e68-80e6-8b87617bdb36,207696d6-f48c-408d-bb62-9b99d23a7c93,c1,c2,1452,e2,?,
1768610580.1134427,SENT,7d3e4534-f309-4e68-80e6-8b87617bdb36,207696d6-f48c-408d-bb62-9b99d23a7c93,c1,c2,1015,?,x2,
