packets_observed,duration_observed,diaz_anonymity,danezis_metric_A,entropy_bits,max_entropy_bits,target_llr,detected_receiver,true_receiver,success
2500,6.43169641494751,0.8073650800542262,-3.4694950086921903,1.6147301601084525,2.0,-0.2333753545368964,c4,c1,False
5000,12.359213829040527,0.7776612376868954,-3.3684000786444597,1.5553224753737909,2.0,-5.993279506475375,c4,c1,False
7500,17.88518476486206,0.6817744542903353,-3.3630513687865085,1.3635489085806707,2.0,-2.8512094875855496,c1,c1,False
10000,23.0063636302948,0.8124882132175707,-3.4171887276831687,1.6249764264351414,2.0,-4.046587271973067,c1,c1,False
12500,27.706441640853882,0.8164591836146876,-3.427728049539238,1.6329183672293752,2.0,-7.9952095713774725,c1,c1,False
15000,32.6983642578125,0.5840742364524775,-3.426177951683105,1.168148472904955,2.0,-3.377490035808364,c1,c1,False
17500,37.49616718292236,0.1671056419789946,-3.396784630052205,0.3342112839579892,2.0,-0.036148064275948855,c1,c1,False
20000,42.62026119232178,0.19938664950793478,-3.408877566645407,0.39877329901586955,2.0,-3.0152122369252083,c1,c1,False
22500,47.35901498794556,0.08925560017037767,-3.4263769691077615,0.17851120034075535,2.0,-2.1544979485777276,c1,c1,False
25000,52.35582232475281,0.0468493260592653,-3.4049649532153294,0.0936986521185306,2.0,-4.214573281089315,c1,c1,False
27500,57.883427143096924,0.3719704704317625,-3.403037065163373,0.743940940863525,2.0,-5.914238558641955,c1,c1,False
30000,63.180574893951416,0.14872498703740117,-3.387791943297995,0.29744997407480234,2.0,-1.5810157677456118,c1,c1,False
32500,67.70979380607605,0.28369223926193754,-3.402172143732246,0.5673844785238751,2.0,-7.283059087419133,c1,c1,False
35000,72.47921943664551,0.08985182772718668,-3.4112621662063165,0.17970365545437336,2.0,-4.511807454463451,c1,c1,False
37500,77.32215070724487,0.06713269699885045,-3.4250999060369036,0.1342653939977009,2.0,-8.739749585753543,c1,c1,False
40000,81.86969375610352,0.011471061544957951,-3.4513331018251288,0.022942123089915903,2.0,-10.33004837406952,c1,c1,False
42500,86.4915554523468,0.002973049439394102,-3.463581843794568,0.005946098878788204,2.0,-8.358152431552298,c1,c1,False
45000,90.5113878250122,0.00033032706264616435,-3.4718056665205124,0.0006606541252923287,2.0,0.06323389284170844,c1,c1,True
47500,94.94714689254761,5.53265299673118e-05,-3.499400660950532,0.0001106530599346236,2.0,-5.004431672388819,c1,c1,False
50000,99.6674120426178,7.412043716957653e-06,-3.496536875207702,1.4824087433915306e-05,2.0,1.4688595183151847,c1,c1,True
52500,104.18780732154846,1.1278135631011196e-05,-3.497422492500533,2.2556271262022392e-05,2.0,1.241818267330018,c1,c1,True
55000,108.9203531742096,1.1796286964635097e-05,-3.487165505884708,2.3592573929270195e-05,2.0,0.9608628282558129,c1,c1,True
57500,114.20272922515869,3.4259854146772386e-06,-3.4860496127053673,6.851970829354477e-06,2.0,-4.283347365021655,c1,c1,False
60000,118.8039972782135,2.3458132558260013e-07,-3.4935334847954898,4.6916265116520026e-07,2.0,0.10571420858377678,c1,c1,True
62500,123.14021301269531,2.0976871100356946e-07,-3.5038887590366654,4.1953742200713893e-07,2.0,-2.24177811282334,c1,c1,False
65000,127.40603280067444,5.521548570137455e-08,-3.501208435687154,1.104309714027491e-07,2.0,4.076366054921891,c1,c1,True
67500,132.57021832466125,3.8676970809381115e-08,-3.500596784408387,7.735394161876223e-08,2.0,-0.6320069151870484,c1,c1,False
70000,137.29321599006653,2.007666842342126e-08,-3.4984600039809273,4.015333684684252e-08,2.0,1.5255127573909704,c1,c1,True
72500,141.8605718612671,1.6058099171214845e-08,-3.504494208288069,3.211619834242969e-08,2.0,1.99310520468498,c1,c1,True
75000,146.62919211387634,1.3806915061436063e-08,-3.5020640015528937,2.7613830122872125e-08,2.0,0.7640790292707607,c1,c1,True
77500,151.80579042434692,3.96456490288205e-08,-3.5089503720853403,7.9291298057641e-08,2.0,-6.24677256765699,c1,c1,False
80000,156.3126106262207,4.969574433195015e-09,-3.513417365536621,9.93914886639003e-09,2.0,-2.2057624864964964,c1,c1,False
82500,161.23752188682556,3.1883079698564527e-09,-3.507973554654561,6.3766159397129054e-09,2.0,5.358472213075402,c1,c1,True
85000,165.90500235557556,3.414975643790752e-09,-3.5033900151327613,6.829951287581504e-09,2.0,2.9883869706172845,c1,c1,True
