timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1768855577.1868098,RECEIVED,cc650b3c-d757-49cf-bcc4-1a765278677d,36bed05a-0d08-4e7d-9ac8-7a38d1024d96,c1,DROP,693,i10,?,
1768855577.2058525,SENT,cc650b3c-d757-49cf-bcc4-1a765278677d,36bed05a-0d08-4e7d-9ac8-7a38d1024d96,c1,DROP,446,?,i6,
1768855577.2059906,FORWARDED,cc650b3c-d757-49cf-bcc4-1a765278677d,36bed05a-0d08-4e7d-9ac8-7a38d1024d96,c1,DROP,446,?,i6,
1768855577.2134764,RECEIVED,911cb9d2-7be8-445b-988d-1739f14e5c3a,0411011a-b92a-44e3-b0d7-d3e37769713e,c5,c3,1019,i3,?,
1768855577.50176,SENT,911cb9d2-7be8-445b-988d-1739f14e5c3a,0411011a-b92a-44e3-b0d7-d3e37769713e,c5,c3,692,?,p3,
1768855577.5022402,FORWARDED,911cb9d2-7be8-445b-988d-1739f14e5c3a,0411011a-b92a-44e3-b0d7-d3e37769713e,c5,c3,692,?,p3,
1768855577.522431,RECEIVED,25f53b0a-e639-40d3-8540-7eaaf77cd41c,cccbc4a9-b24c-4835-a88d-71dd5b3aeb2f,c2,c1,1020,i11,?,
1768855577.6775072,SENT,25f53b0a-e639-40d3-8540-7eaaf77cd41c,cccbc4a9-b24c-4835-a88d-71dd5b3aeb2f,c2,c1,692,?,p1,
1768855577.6776361,FORWARDED,25f53b0a-e639-40d3-8540-7eaaf77cd41c,cccbc4a9-b24c-4835-a88d-71dd5b3aeb2f,c2,c1,692,?,p1,
1768855577.82374,RECEIVED,1d1fb849-7f90-4e4c-9cab-2e6f6978de03,5578e1ff-cc5e-4198-b93d-1d7630b86405,c2,c1,1019,i7,?,
1768855577.975104,RECEIVED,5d172475-3aff-4486-8a79-60e8d6d12e4f,311401a4-2fce-473e-bbe2-563f8cfc1d2a,c2,DROP,446,x5,?,
1768855577.99054,SENT,1d1fb849-7f90-4e4c-9cab-2e6f6978de03,5578e1ff-cc5e-4198-b93d-1d7630b86405,c2,c1,691,?,p1,
1768855577.9906504,FORWARDED,1d1fb849-7f90-4e4c-9cab-2e6f6978de03,5578e1ff-cc5e-4198-b93d-1d7630b86405,c2,c1,691,?,p1,
1768855579.86039,RECEIVED,f2a89784-6931-40c4-8b96-0dd7430c47cb,066d2db0-ea5e-486f-8baa-9bb2e5ecc877,c5,c3,1012,i4,?,
1768855579.959764,SENT,f2a89784-6931-40c4-8b96-0dd7430c47cb,066d2db0-ea5e-486f-8baa-9bb2e5ecc877,c5,c3,687,?,p3,
1768855579.959817,FORWARDED,f2a89784-6931-40c4-8b96-0dd7430c47cb,066d2db0-ea5e-486f-8baa-9bb2e5ecc877,c5,c3,687,?,p3,
1768855580.8157356,RECEIVED,9d9bc356-69f1-47d9-b79b-718ce1455978,d534fae2-d5ca-412e-bef9-11e9e11b9880,c2,c1,1011,i2,?,
1768855581.6340728,SENT,9d9bc356-69f1-47d9-b79b-718ce1455978,d534fae2-d5ca-412e-bef9-11e9e11b9880,c2,c1,687,?,p1,
1768855581.6341863,FORWARDED,9d9bc356-69f1-47d9-b79b-718ce1455978,d534fae2-d5ca-412e-bef9-11e9e11b9880,c2,c1,687,?,p1,
1768855581.8221176,RECEIVED,9277f558-0ffd-42c5-85c6-acf7d38ad246,bba982a6-4118-4411-a597-c2ed6af9713e,c3,c2,1010,i2,?,
1768855582.226346,RECEIVED,d5e988cb-82b0-41b7-9176-2a7de6da8b6c,b3af408e-2437-4ccd-97ae-bae6f9f74a32,c4,DROP,683,i1,?,
1768855582.2515454,SENT,9277f558-0ffd-42c5-85c6-acf7d38ad246,bba982a6-4118-4411-a597-c2ed6af9713e,c3,c2,687,?,p2,
1768855582.2516568,FORWARDED,9277f558-0ffd-42c5-85c6-acf7d38ad246,bba982a6-4118-4411-a597-c2ed6af9713e,c3,c2,687,?,p2,
1768855582.704393,SENT,d5e988cb-82b0-41b7-9176-2a7de6da8b6c,b3af408e-2437-4ccd-97ae-bae6f9f74a32,c4,DROP,441,?,x10,
1768855582.7044492,FORWARDED,d5e988cb-82b0-41b7-9176-2a7de6da8b6c,b3af408e-2437-4ccd-97ae-bae6f9f74a32,c4,DROP,441,?,x10,
1768855582.9402375,RECEIVED,f5ac12dd-13f3-42a7-8337-8a8dc7283a3c,85ed0512-24a8-4f7c-a9bf-578e307335c2,c4,DROP,689,i11,?,
1768855583.2164109,RECEIVED,a71ddfed-a2c0-4951-a8d5-d2d56cdabd26,8955f437-11f2-44a6-81c6-689a198100bd,c4,c5,1020,i11,?,
1768855583.2537947,RECEIVED,a08d1c3a-2e14-4db7-9e64-a7ced3b99aca,596c8384-3850-480e-a8a5-1ed18d0ea5d0,c5,DROP,692,i11,?,
1768855583.2843292,SENT,a71ddfed-a2c0-4951-a8d5-d2d56cdabd26,8955f437-11f2-44a6-81c6-689a198100bd,c4,c5,691,?,p2,
1768855583.284408,FORWARDED,a71ddfed-a2c0-4951-a8d5-d2d56cdabd26,8955f437-11f2-44a6-81c6-689a198100bd,c4,c5,691,?,p2,
1768855583.2962325,SENT,a08d1c3a-2e14-4db7-9e64-a7ced3b99aca,596c8384-3850-480e-a8a5-1ed18d0ea5d0,c5,DROP,446,?,i3,
1768855583.2963054,FORWARDED,a08d1c3a-2e14-4db7-9e64-a7ced3b99aca,596c8384-3850-480e-a8a5-1ed18d0ea5d0,c5,DROP,446,?,i3,
1768855583.3581905,SENT,f5ac12dd-13f3-42a7-8337-8a8dc7283a3c,85ed0512-24a8-4f7c-a9bf-578e307335c2,c4,DROP,444,?,x10,
1768855583.3582683,FORWARDED,f5ac12dd-13f3-42a7-8337-8a8dc7283a3c,85ed0512-24a8-4f7c-a9bf-578e307335c2,c4,DROP,444,?,x10,
1768855583.599651,RECEIVED,66e65f35-7755-4800-9f5c-cc0f333d755f,8d83b96a-4034-4714-8725-7e91fc8762fe,c3,c2,1017,i5,?,
1768855583.6053212,RECEIVED,50e71bb0-1d19-4306-9fcc-bfb5d2f79602,427dd664-0aad-4713-ae26-67d9b12b7ba0,c2,c1,1023,i8,?,
1768855584.0530655,RECEIVED,41322e85-662b-48ab-82cc-09f596882de9,6452b083-d672-4b20-ad23-29492b5c9721,c3,c2,1019,i11,?,
1768855584.110907,SENT,41322e85-662b-48ab-82cc-09f596882de9,6452b083-d672-4b20-ad23-29492b5c9721,c3,c2,692,?,p2,
1768855584.11098,FORWARDED,41322e85-662b-48ab-82cc-09f596882de9,6452b083-d672-4b20-ad23-29492b5c9721,c3,c2,692,?,p2,
1768855584.2593815,RECEIVED,167795c5-8866-4224-825d-f28e5384325a,965f8d8c-3fb2-4a62-b6fe-dfb77d4b2f6d,c2,c1,1011,i8,?,
1768855584.4909954,SENT,50e71bb0-1d19-4306-9fcc-bfb5d2f79602,427dd664-0aad-4713-ae26-67d9b12b7ba0,c2,c1,695,?,p1,
1768855584.4910638,FORWARDED,50e71bb0-1d19-4306-9fcc-bfb5d2f79602,427dd664-0aad-4713-ae26-67d9b12b7ba0,c2,c1,695,?,p1,
1768855584.6341968,RECEIVED,2c17568e-2779-48df-a46d-9f5e42963325,afed6774-6dd1-41a3-a68e-3e33b24510e8,c2,DROP,691,i10,?,
1768855584.7295954,RECEIVED,002a28b0-95d2-4edb-9907-d3799e1d9059,a149668a-8034-44dd-aff4-6236be4a640c,c2,c1,1027,i3,?,
1768855584.8544545,SENT,167795c5-8866-4224-825d-f28e5384325a,965f8d8c-3fb2-4a62-b6fe-dfb77d4b2f6d,c2,c1,687,?,p1,
1768855584.8545182,FORWARDED,167795c5-8866-4224-825d-f28e5384325a,965f8d8c-3fb2-4a62-b6fe-dfb77d4b2f6d,c2,c1,687,?,p1,
1768855584.9366202,RECEIVED,c79603ca-7f08-41e7-88b6-67e9c897da61,64d50fbf-2314-48e5-a060-ace26f3f1ff5,c1,c4,1015,i2,?,
1768855584.9496317,SENT,2c17568e-2779-48df-a46d-9f5e42963325,afed6774-6dd1-41a3-a68e-3e33b24510e8,c2,DROP,445,?,e4,
1768855584.949697,FORWARDED,2c17568e-2779-48df-a46d-9f5e42963325,afed6774-6dd1-41a3-a68e-3e33b24510e8,c2,DROP,445,?,e4,
1768855585.0827203,SENT,002a28b0-95d2-4edb-9907-d3799e1d9059,a149668a-8034-44dd-aff4-6236be4a640c,c2,c1,697,?,p1,
1768855585.0828545,FORWARDED,002a28b0-95d2-4edb-9907-d3799e1d9059,a149668a-8034-44dd-aff4-6236be4a640c,c2,c1,697,?,p1,
1768855585.3727214,RECEIVED,8c736aa8-6c6a-4a9b-93b5-d698376901e7,cbf4339f-a30a-4ba5-ba17-f2f1c39c1630,c1,c4,1015,i9,?,
1768855585.9606686,SENT,c79603ca-7f08-41e7-88b6-67e9c897da61,64d50fbf-2314-48e5-a060-ace26f3f1ff5,c1,c4,688,?,p1,
