link,llr,obs_count,rate
p1->c1,39.72918717213336,4638,7.639363454951345
c1->p1,33.70763138362026,5934,9.774036813644088
p2->c5,16.756748294241902,9782,16.11217190951575
c5->p2,16.05276993357954,11173,18.40332209619909
x8->p1,8.19300420673136,562,0.9256839719022544
e12->i1,7.2999405658618,199,0.3277777765276666
e2->i12,7.268351957309194,199,0.3277777765276666
e5->i12,6.7600946109291105,227,0.3738972626722629
e10->i1,6.571495222517224,212,0.3491903950948006
i10->x3,6.310578858431037,203,0.3343662745483232
p2->e9,6.2888598732040535,106,0.1745951975474003
i1->x12,6.065903980181593,183,0.30142378444504014
e11->i12,5.86701289161833,197,0.3244835275173383
e10->i2,5.533237373325988,218,0.3590731421257855
x5->p1,5.296637408247536,558,0.9190954738815977
i6->x5,5.246324152619445,178,0.29318816191921937
e12->i3,5.090278644251786,186,0.3063651579605326
i11->x1,5.0679591432563145,213,0.35083751959996473
e1->i10,4.553952579361335,208,0.34260189707414396
i3->x8,4.47615561303981,190,0.3129536559811892
i6->x2,4.474830920544253,191,0.31460078048635337
e3->i3,4.401899697227824,182,0.29977665993987596
e8->i4,4.395730797351565,208,0.34260189707414396
e6->i8,4.378757031098475,206,0.3393076480638157
e4->i10,4.361701701662913,202,0.33271915004315905
i8->x12,4.19863470364871,210,0.3458961460844723
x2->p3,4.126088757087159,378,0.6226130629520501
i10->x2,4.025301997602573,200,0.32942490103283073
p1->e9,3.9659172368039277,55,0.09059184778402846
x11->p1,3.960420651960562,531,0.8746231122421656
i4->x12,3.938953585649088,179,0.2948352864243835
i9->x11,3.902554253248157,183,0.30142378444504014
i8->x5,3.897770553506077,198,0.32613065202250247
e9->i9,3.8615755440969943,29,0.04776661064976046
e5->i3,3.7305848924544946,216,0.3557788931154572
e4->i1,3.7267786084128316,227,0.3738972626722629
x12->p1,3.723564482957446,564,0.9289782209125828
i11->x5,3.7117481166642987,204,0.33601339905348737
i5->x3,3.605014544707381,26,0.042825237134267995
i12->x3,3.5594138153710437,198,0.32613065202250247
e12->i2,3.555489626572543,223,0.3673087646516063
e2->i1,3.3899454211803874,194,0.3195421540018458
i12->x10,3.2884799931231736,216,0.3557788931154572
x3->p1,3.2740888877172747,570,0.9388609679435677
e11->i8,3.157523928028092,208,0.34260189707414396
e3->i5,2.9855949822644705,19,0.03129536559811892
i10->x8,2.985298036699632,174,0.28659966389856273
e12->i5,2.9703856344058606,21,0.03458961460844723
i9->x1,2.969860683812289,203,0.3343662745483232
i1->x7,2.7863291982689056,201,0.3310720255379949
e9->i12,2.7855817110446734,15,0.024706867577462308
i3->x2,2.7201940143783006,176,0.28989391290889105
e2->i11,2.614422107693284,209,0.34424902157930815
e4->i4,2.4370448427669995,209,0.34424902157930815
e6->i6,2.347974347286949,234,0.38542713420841196
e9->i2,2.132129076716904,19,0.03129536559811892
i1->x10,2.117658290400194,181,0.2981295354347118
e6->i5,2.1092983167694914,21,0.03458961460844723
p2->e6,2.1009182604949563,1270,2.0918481215584754
e11->i5,2.098130196043413,20,0.032942490103283074
x1->p3,2.0301061704432266,374,0.6160245649313935
e1->i2,1.9791453581835023,203,0.3343662745483232
x2->p1,1.9749106573453163,611,1.0063930726552979
i1->x1,1.9581672463912296,189,0.31130653147602505
e4->i11,1.9470576695148019,225,0.3706030136619346
e5->i5,1.9437004088611953,25,0.04117811262910384
i3->x3,1.9171744256360501,168,0.2767169168675778
i12->x1,1.8606552156584968,184,0.3030709089502043
i5->x5,1.83093321675078,15,0.024706867577462308
e10->i5,1.7712623272048074,24,0.03953098812393969
e6->i10,1.7429404108736328,215,0.35413176861029305
i1->x5,1.6790832482773697,210,0.3458961460844723
e2->i9,1.6552332944845816,214,0.3524846441051289
e10->i6,1.6100877897429626,185,0.30471803345536846
e9->i7,1.601196678946204,19,0.03129536559811892
i1->x8,1.5900071183185132,200,0.32942490103283073
e9->i10,1.586822548346527,12,0.019765494061969844
i7->x9,1.575481396082834,195,0.32118927850700996
i5->x10,1.5738379506975742,28,0.0461194861445963
e7->i5,1.5511854765120994,21,0.03458961460844723
i2->x5,1.5265249249802153,223,0.3673087646516063
e5->i9,1.5121850782190167,217,0.3574260176206214
e4->i7,1.4939465461270753,198,0.32613065202250247
e7->i3,1.4766115663998356,190,0.3129536559811892
i2->x2,1.4555728202800298,190,0.3129536559811892
e5->i10,1.453378835164501,200,0.32942490103283073
