packets_observed,duration_observed,diaz_anonymity,danezis_metric_A,entropy_bits,max_entropy_bits,target_llr,detected_receiver,true_receiver,success
2500,6.421292066574097,0.4702355462588724,-3.5224072807456634,0.4702355462588724,1.0,5.974040632984483,c5,c5,True
5000,12.168755531311035,0.5241714960886411,-3.3051494000445167,0.5241714960886411,1.0,-0.921222956912402,c5,c5,False
7500,16.794553518295288,0.9981486152759272,-3.382952048569818,0.9981486152759272,1.0,-5.164212921608566,c5,c5,False
10000,21.680806398391724,0.8793690352362729,-3.437001374787499,0.8793690352362729,1.0,-0.013377325321584976,c4,c5,False
12500,26.54037618637085,0.5169534349693268,-3.5082301782461887,0.5169534349693268,1.0,-6.245493868555741,c4,c5,False
15000,30.43531608581543,0.9269205365590978,-3.492479290674363,0.9269205365590978,1.0,-0.963822423671786,c5,c5,False
17500,35.72058057785034,0.7961451759897396,-3.5110477174568597,0.7961451759897396,1.0,-3.9136109393573406,c5,c5,False
20000,40.74480581283569,0.9735615080000144,-3.5270823588715055,0.9735615080000144,1.0,-4.269388371438936,c5,c5,False
22500,45.752076625823975,0.7220828229485834,-3.5118170700782634,0.7220828229485834,1.0,1.039970004288989,c5,c5,True
25000,50.50003170967102,0.6301810504654639,-3.523745855190184,0.6301810504654639,1.0,-7.7783441123797274,c5,c5,False
27500,55.609532833099365,0.3159304361586149,-3.5183369571985748,0.3159304361586149,1.0,-0.622951977331013,c5,c5,False
30000,60.549131870269775,0.17739631727303104,-3.5166180740366824,0.17739631727303104,1.0,-1.2346167026780677,c5,c5,False
32500,65.34075927734375,0.224544632949284,-3.51246771599498,0.224544632949284,1.0,-2.9624771383269035,c5,c5,False
35000,69.99989414215088,0.37098002363104826,-3.5199994818554012,0.37098002363104826,1.0,-3.193488188149786,c5,c5,False
37500,75.07830691337585,0.21153830408723504,-3.5080135625270756,0.21153830408723504,1.0,-0.40282457823832374,c5,c5,False
40000,80.30984902381897,0.15735097802252337,-3.501660305383596,0.15735097802252337,1.0,-0.8761100724350399,c5,c5,False
42500,85.10432744026184,0.1156323628469373,-3.489545140207347,0.1156323628469373,1.0,1.6276558923887023,c5,c5,True
45000,89.21334171295166,0.060052657747587286,-3.4936857209438936,0.060052657747587286,1.0,-1.3013453210228363,c5,c5,False
47500,94.32895636558533,0.06949059570600546,-3.497244688327414,0.06949059570600546,1.0,-5.602666800584302,c5,c5,False
50000,98.5517692565918,0.09099618366787211,-3.511093985299148,0.09099618366787211,1.0,-4.428834877704503,c5,c5,False
52500,103.40653777122498,0.08983064375583412,-3.4938293636229614,0.08983064375583412,1.0,-0.4292759585478052,c5,c5,False
55000,108.44203090667725,0.04702589476571029,-3.4976549622167563,0.04702589476571029,1.0,-5.3119164046911465,c5,c5,False
57500,113.0166449546814,0.03155332690054166,-3.495030910473575,0.03155332690054166,1.0,-0.3266586882791671,c5,c5,False
60000,117.77833271026611,0.020282984447029025,-3.50220421683126,0.020282984447029025,1.0,-2.8790571230447313,c5,c5,False
62500,122.22892093658447,0.028486075379796055,-3.501977093152385,0.028486075379796055,1.0,-4.683759175910382,c5,c5,False
