packets_observed,duration_observed,diaz_anonymity,danezis_metric_A,entropy_bits,max_entropy_bits,target_llr,detected_receiver,true_receiver,success
2500,7.249709367752075,0.547932853334255,-3.4010652538174218,0.8684530254479392,1.584962500721156,-2.066774525516905,c4,c1,False
5000,13.10762643814087,0.3196975628490909,-3.247087333943191,0.5067086486877541,1.584962500721156,2.7703102476959884,c5,c1,False
7500,18.40884828567505,0.06210941707707525,-3.3021043234911907,0.09844109700881447,1.584962500721156,-0.24123382047162067,c5,c1,False
10000,23.154768705368042,0.10305239454997733,-3.2783342483608258,0.1633341809712353,1.584962500721156,0.12693696184828696,c5,c1,False
12500,28.452226877212524,0.6345953240336093,-3.2277226722729395,1.0058097917262618,1.584962500721156,-1.7070083899938027,c1,c1,False
15000,34.477617502212524,0.632520438735454,-3.2527032629396997,1.002521176335388,1.584962500721156,-6.974186372248369,c1,c1,False
17500,40.39809989929199,0.12126250965840904,-3.2775681576326203,0.19219653055191532,1.584962500721156,-1.3148803021124422,c1,c1,False
20000,46.125648498535156,0.2263264964971285,-3.2644554005815305,0.35871900986754673,1.584962500721156,-4.881221004910003,c1,c1,False
22500,51.55483794212341,0.04155350645202979,-3.2799302125042606,0.06586074949994183,1.584962500721156,-3.709481249976079,c1,c1,False
25000,57.21181297302246,0.004442262039439789,-3.298875963257882,0.007040818750889151,1.584962500721156,-2.206291163435708,c1,c1,False
27500,63.3397536277771,0.005521570273828927,-3.3003762427222187,0.008751481829115495,1.584962500721156,-2.888403153330273,c1,c1,False
30000,68.70799541473389,0.02035642080323321,-3.3269127821188147,0.03226416362202467,1.584962500721156,-5.2995423594252316,c1,c1,False
32500,74.40338778495789,0.0008717618864060797,-3.3368890393013007,0.0013817098995115725,1.584962500721156,-2.893348894713654,c1,c1,False
35000,80.04508638381958,0.0007777335269944333,-3.338835645070468,0.0012326784758397817,1.584962500721156,-3.500443640298272,c1,c1,False
37500,84.96723508834839,0.0003138810381738247,-3.337656194843262,0.0004974896751929378,1.584962500721156,0.8412080590064761,c1,c1,True
40000,90.33991146087646,0.00016335134945399686,-3.327294884485771,0.0002589057633267823,1.584962500721156,2.873623024896915,c1,c1,True
42500,96.53848838806152,1.1907951695602358e-05,-3.3032220619848625,1.8873656897928645e-05,1.584962500721156,2.659088991847966,c1,c1,True
45000,102.60848093032837,4.784120383870229e-06,-3.3063934917635205,7.582651407370016e-06,1.584962500721156,2.769774643310484,c1,c1,True
47500,108.54796314239502,2.639520902123262e-06,-3.3085740243906394,4.183541649735047e-06,1.584962500721156,-2.9353331683969373,c1,c1,False
50000,114.32698392868042,1.2732401870698596e-06,-3.3084545985530265,2.018037950916917e-06,1.584962500721156,1.188810209742769,c1,c1,True
52500,119.71218276023865,1.707325136086899e-06,-3.3049864509455342,2.7060463172363796e-06,1.584962500721156,-0.02623333124574856,c1,c1,False
55000,125.23773121833801,5.934057180353354e-08,-3.31813196307754,9.405258107995184e-08,1.584962500721156,-0.6437170151939426,c1,c1,False
57500,130.48493671417236,5.73256959998324e-09,-3.309573406421678,9.085907848747514e-09,1.584962500721156,4.887053062920131,c1,c1,True
60000,136.53770422935486,7.844256265618404e-12,-3.298639180786732,1.2432852027052143e-11,1.584962500721156,4.13729486421289,c1,c1,True
62500,142.02922368049622,2.0691422787608943e-11,-3.2938926997238838,3.2795129204927384e-11,1.584962500721156,5.09314363161775,c1,c1,True
65000,147.50115180015564,1.544315384712434e-11,-3.2950917099572563,2.4476819740559737e-11,1.584962500721156,2.351028352897629,c1,c1,True
67500,153.12145924568176,4.917042221555413e-13,-3.301791556648344,7.793327535627976e-13,1.584962500721156,5.126326636268459,c1,c1,True
70000,158.76150178909302,3.30985325616119e-13,-3.300305485011346,5.245993293905301e-13,1.584962500721156,8.09123808422919,c1,c1,True
72500,164.52433395385742,1.0576164334089779e-13,-3.306683468044413,1.6762823870996837e-13,1.584962500721156,8.111316812730365,c1,c1,True
75000,170.4739375114441,7.25918291603047e-14,-3.2986239410022904,1.1505532707783947e-13,1.584962500721156,11.007115613405404,c1,c1,True
77500,176.14007830619812,6.120013162842624e-14,-3.2972336935511755,9.699991367025437e-14,1.584962500721156,5.992551217974324,c1,c1,True
80000,182.15387511253357,1.4634761798483864e-14,-3.289578417509938,2.3195548657583427e-14,1.584962500721156,8.837670644254104,c1,c1,True
82500,188.67984533309937,3.480025686064665e-15,-3.28288927938794,5.5157102139589085e-15,1.584962500721156,11.12926255435923,c1,c1,True
85000,195.0288369655609,3.0220422271998732e-15,-3.279614654709176,4.789823605707643e-15,1.584962500721156,6.101895706182404,c1,c1,True
87500,200.97252893447876,4.811245697330546e-16,-3.28262059498119,7.625644012024924e-16,1.584962500721156,8.961508340462387,c1,c1,True
90000,207.60297966003418,8.799260922480736e-16,-3.2732431251121894,1.3946498596193014e-15,1.584962500721156,11.199118078799074,c1,c1,True
92500,212.6341519355774,3.105642723148271e-15,-3.2766965109767097,4.922327256827545e-15,1.584962500721156,8.106311286028358,c1,c1,True
95000,217.39704203605652,4.449284598283468e-16,-3.2840280633570496,7.05194924331549e-16,1.584962500721156,10.117605469782575,c1,c1,True
97500,223.77680563926697,9.673063024986354e-17,-3.274594456256783,1.5331442161715723e-16,1.584962500721156,15.738346055750299,c1,c1,True
