packets_observed,duration_observed,diaz_anonymity,danezis_metric_A,entropy_bits,max_entropy_bits,target_llr,detected_receiver,true_receiver,success
2500,5.376751661300659,0.1254737863579189,-3.621980681806668,0.2913411097163465,2.321928094887362,0.8949101750966939,c1,c2,False
5000,7.933347225189209,0.10572606634908553,-3.8561786420751485,0.245488323817867,2.321928094887362,7.317686737646881,c2,c2,True
7500,10.835169553756714,0.01610023633919879,-3.864226788586093,0.03738359109031213,2.321928094887362,11.386554476240462,c2,c2,True
10000,13.908471584320068,0.012431490605840886,-3.888962796877032,0.028865027299030267,2.321928094887362,12.171923059301093,c2,c2,True
12500,16.91335105895996,0.024000703302180515,-3.8889243878769437,0.055727907294388826,2.321928094887362,11.633283076070143,c2,c2,True
15000,19.347047328948975,0.21021110419765723,-3.956354039259999,0.48809506869383507,2.321928094887362,8.001932278592903,c2,c2,True
17500,21.993978261947632,0.20591092618362924,-3.9730165081621966,0.4781103645500465,2.321928094887362,8.644795885809003,c2,c2,True
20000,24.5952467918396,0.12230454369655704,-3.999982312762883,0.2839823561414148,2.321928094887362,8.73929025884513,c2,c2,True
22500,26.973217487335205,0.0024791665765899547,-4.011430858160138,0.005756446526089937,2.321928094887362,14.292303526319074,c2,c2,True
25000,29.648598432540894,0.0035773123230486655,-4.0108425913857095,0.008306261987073472,2.321928094887362,14.37812078783736,c2,c2,True
27500,32.639853954315186,0.00019029713039742452,-3.985265448135579,0.0004418562534462239,2.321928094887362,21.79218118842573,c2,c2,True
30000,35.739561796188354,0.0016926557004264817,-3.9974219181834223,0.003930224825791495,2.321928094887362,16.80069372741241,c2,c2,True
32500,38.54310894012451,0.0005481279971478304,-3.984169228073144,0.0012727137961718873,2.321928094887362,19.575602133797247,c2,c2,True
35000,41.141186237335205,0.0038529751034689476,-3.982490622192738,0.00894633114164609,2.321928094887362,16.2890990853507,c2,c2,True
37500,43.872623682022095,0.007810062251820357,-3.9940755717106398,0.018134402965320942,2.321928094887362,14.238070642195908,c2,c2,True
40000,46.90065336227417,0.0010142378336557066,-3.9828426283256464,0.0023549873208628803,2.321928094887362,18.04581410033279,c2,c2,True
42500,49.78742814064026,0.0018095685319855159,-3.9959847523991874,0.004201688014041249,2.321928094887362,13.650043396962246,c2,c2,True
45000,52.575379610061646,0.00031977721949339133,-3.9962004513819074,0.000742499710046668,2.321928094887362,16.69226245675918,c2,c2,True
47500,55.72121286392212,0.0007554712870488465,-3.9935545590159,0.0017541500062794315,2.321928094887362,13.52011536707596,c2,c2,True
50000,58.83109211921692,2.9362958405768743e-05,-3.9866638742217324,6.817867807136347e-05,2.321928094887362,21.042063957705068,c2,c2,True
52500,62.15154838562012,1.7360440653940986e-05,-3.985193717033517,4.0309694894010304e-05,2.321928094887362,18.030757079135128,c2,c2,True
55000,65.15855479240417,0.0004586104229743501,-4.002484365383802,0.0010648604257123202,2.321928094887362,12.227747458278827,c2,c2,True
57500,68.28943943977356,6.534131776018342e-05,-4.007531869914101,0.00015171784146433246,2.321928094887362,15.500319406029575,c2,c2,True
60000,71.08074712753296,2.2135252907571946e-06,-4.003010833209852,5.139646561352847e-06,2.321928094887362,19.293907353870054,c2,c2,True
62500,74.29969835281372,5.128866456696436e-08,-3.9903382096471334,1.1908859120728851e-07,2.321928094887362,26.23595500152169,c2,c2,True
65000,77.98475193977356,1.1530220740608065e-07,-3.9882057345219617,2.6772343477870834e-07,2.321928094887362,21.393096169664204,c2,c2,True
67500,81.45133829116821,4.271896288183751e-09,-3.9727406006604644,9.91903600997889e-09,2.321928094887362,28.264584898796784,c2,c2,True
70000,84.79389882087708,5.563622619912244e-10,-3.961007672070545,1.291833167052507e-09,2.321928094887362,30.16472723291463,c2,c2,True
72500,88.29616594314575,1.335678122118741e-08,-3.96472087083691,3.101348557473898e-08,2.321928094887362,23.774033618677095,c2,c2,True
75000,91.799640417099,2.0373170667742145e-09,-3.955730855973029,4.730503735536561e-09,2.321928094887362,28.799303217888337,c2,c2,True
77500,95.57375764846802,1.789409064922386e-10,-3.9488888898444396,4.154879181089412e-10,2.321928094887362,31.754854568991504,c2,c2,True
80000,98.97690725326538,7.095541096518304e-10,-3.950503186754621,1.6475336220433729e-09,2.321928094887362,26.738307893872843,c2,c2,True
82500,102.41857862472534,1.6997242460755078e-10,-3.942405520820553,3.946637480523962e-10,2.321928094887362,30.354394559503817,c2,c2,True
85000,106.00677180290222,1.7421824781664475e-11,-3.9323869407139864,4.0452224424751626e-11,2.321928094887362,32.1628964904794,c2,c2,True
87500,109.75173354148865,2.5269142629686866e-11,-3.9312690691968206,5.867313220558586e-11,2.321928094887362,28.474383106047753,c2,c2,True
90000,113.32166600227356,2.2110762707040098e-13,-3.9270524163742655,5.133960112886415e-13,2.321928094887362,36.62794689495331,c2,c2,True
92500,116.83007049560547,2.6314157892915933e-13,-3.9281928467326384,6.109958250486354e-13,2.321928094887362,34.22872667574393,c2,c2,True
95000,119.97878193855286,3.732390916959152e-12,-3.926916234879766,8.666343331189858e-12,2.321928094887362,30.332188889604367,c2,c2,True
97500,123.07644367218018,1.515874453972583e-11,-3.9330625741970544,3.5197514830009795e-11,2.321928094887362,30.541877322501023,c2,c2,True
