packets_observed,duration_observed,diaz_anonymity,danezis_metric_A,entropy_bits,max_entropy_bits,target_llr,detected_receiver,true_receiver,success
2500,7.378950834274292,0.7913051250927479,-3.191023276897682,1.2541889499004688,1.584962500721156,0.5403017702430901,c5,c3,False
5000,13.131051063537598,0.744766410365167,-3.229041309086431,1.1804268322254938,1.584962500721156,1.883142750210709,c5,c3,False
7500,18.297544479370117,0.9212480220415012,-3.340257202771433,1.4601435687993165,1.584962500721156,0.4024486235770155,c3,c3,True
10000,23.80177092552185,0.15299162169097943,-3.3596691009668076,0.24248598330471982,1.584962500721156,0.586597599158722,c3,c3,True
12500,29.075746536254883,0.38545180042122207,-3.366667923178645,0.6109266495030921,1.584962500721156,2.3203736226647607,c3,c3,True
15000,34.789734840393066,0.03729428277235796,-3.3367816640344343,0.0591100396854784,1.584962500721156,5.497220434161818,c3,c3,True
17500,41.493271350860596,0.014127207506781647,-3.3242021772646284,0.022391094138155328,1.584962500721156,5.441219943701071,c3,c3,True
20000,47.7361626625061,0.013226424544012726,-3.2784963963679696,0.020963386920878086,1.584962500721156,5.104703679921613,c3,c3,True
22500,53.51591491699219,0.00859726142624786,-3.2815125995720553,0.013626336969499341,1.584962500721156,4.738678781829549,c3,c3,True
25000,59.04070448875427,0.002317338731194975,-3.2674092482099697,0.0036728949904127786,1.584962500721156,6.416233710108372,c3,c3,True
27500,64.74468088150024,0.002621540352403258,-3.2941367550329494,0.004155043152686488,1.584962500721156,5.272936382273656,c3,c3,True
30000,69.7965476512909,0.001831469265476383,-3.299765112372533,0.0029028101070033866,1.584962500721156,1.4288087121926765,c3,c3,True
32500,75.41412353515625,0.0018189242502356646,-3.3023977957454,0.002882926728275873,1.584962500721156,3.314534036805071,c3,c3,True
35000,81.30922245979309,0.0005468775851846015,-3.3037009184924804,0.000866780465002533,1.584962500721156,1.4771234235836346,c3,c3,True
37500,86.56797552108765,2.8460549033633686e-05,-3.281950686293508,4.510890296824513e-05,1.584962500721156,4.39869158604597,c3,c3,True
40000,92.35418319702148,3.243720839420621e-05,-3.2811983575663017,5.141175893289435e-05,1.584962500721156,1.9771605920814181,c3,c3,True
42500,97.38714170455933,1.8808356746025655e-05,-3.258638628105496,2.981054014263645e-05,1.584962500721156,4.827178807648124,c3,c3,True
45000,102.46376085281372,5.342822856977532e-06,-3.2560004866263057,8.46817387630526e-06,1.584962500721156,0.6623958654599846,c3,c3,True
47500,107.89478874206543,7.3761560137030985e-06,-3.2734822908910686,1.1690930681188257e-05,1.584962500721156,-2.3630052935650383,c3,c3,False
50000,113.28281426429749,6.30049182953649e-06,-3.280424394235583,9.986043285915368e-06,1.584962500721156,-1.6919739964168912,c3,c3,False
52500,118.57636904716492,1.661396429523244e-05,-3.277163831702187,2.633251039626361e-05,1.584962500721156,-1.0610037889255182,c3,c3,False
