timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1768903615.6911168,RECEIVED,dc5cfe0d-c55d-4313-9ada-910303639294,18cb3b1a-1a39-4f82-8e99-fe0eb3c4fedb,c1,c5,2807,c1,?,
1768903615.761406,RECEIVED,51a99ef1-7268-4908-ac95-e217494f90bf,9b6b2fdb-21f7-4347-b9ec-a1f3e46cc79c,c1,c5,2815,c1,?,
1768903615.774023,RECEIVED,3800391e-2691-40c1-bc25-66ed85aaefc8,44581f90-84cf-48e0-95a0-e59adae3c92e,c4,c2,2812,c4,?,
1768903615.82348,RECEIVED,9daadd43-107d-48a1-8728-514dfc910033,7b537cee-2443-45d9-ae14-fcd2069b81eb,c4,c2,2811,c4,?,
1768903616.1633608,SENT,51a99ef1-7268-4908-ac95-e217494f90bf,9b6b2fdb-21f7-4347-b9ec-a1f3e46cc79c,c1,c5,2040,?,e1,
1768903616.1635253,FORWARDED,51a99ef1-7268-4908-ac95-e217494f90bf,9b6b2fdb-21f7-4347-b9ec-a1f3e46cc79c,c1,c5,2040,?,e1,
1768903616.1983752,RECEIVED,e6075019-8d10-4e3e-84e7-027721325a00,e18809e9-df02-4cfd-acc1-5a35909bac73,c4,c2,2792,c4,?,
1768903616.2761116,RECEIVED,37ff9d80-8ee8-48d9-8b33-c6469f3619f5,df90f6cd-ec7a-49df-8398-7e77672308d1,c4,c2,2807,c4,?,
1768903616.5035262,SENT,e6075019-8d10-4e3e-84e7-027721325a00,e18809e9-df02-4cfd-acc1-5a35909bac73,c4,c2,2020,?,e12,
1768903616.50368,FORWARDED,e6075019-8d10-4e3e-84e7-027721325a00,e18809e9-df02-4cfd-acc1-5a35909bac73,c4,c2,2020,?,e12,
1768903616.587224,SENT,dc5cfe0d-c55d-4313-9ada-910303639294,18cb3b1a-1a39-4f82-8e99-fe0eb3c4fedb,c1,c5,2032,?,e7,
1768903616.5873587,FORWARDED,dc5cfe0d-c55d-4313-9ada-910303639294,18cb3b1a-1a39-4f82-8e99-fe0eb3c4fedb,c1,c5,2032,?,e7,
1768903616.5888798,RECEIVED,75ca4db9-b037-496d-a7f5-8c56b10ac68a,8508152b-fcbb-4954-af19-5c21b1c34b75,c4,c2,2829,c4,?,
1768903616.770266,SENT,9daadd43-107d-48a1-8728-514dfc910033,7b537cee-2443-45d9-ae14-fcd2069b81eb,c4,c2,2036,?,e5,
1768903616.7703967,FORWARDED,9daadd43-107d-48a1-8728-514dfc910033,7b537cee-2443-45d9-ae14-fcd2069b81eb,c4,c2,2036,?,e5,
1768903616.788657,SENT,3800391e-2691-40c1-bc25-66ed85aaefc8,44581f90-84cf-48e0-95a0-e59adae3c92e,c4,c2,2036,?,e10,
1768903616.7887928,FORWARDED,3800391e-2691-40c1-bc25-66ed85aaefc8,44581f90-84cf-48e0-95a0-e59adae3c92e,c4,c2,2036,?,e10,
