timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769088796.6715968,RECEIVED,857ee514-bab5-47ab-8e31-b45d327a9e67,7eb1b43e-16e5-421a-9c7d-a68d994c8b92,c4,c1,1451,e9,?,
1769088796.9797413,RECEIVED,d6c973c9-88c3-4a7c-b51e-dcb740016ea5,f3d1f221-2358-4f74-ab02-b07abbc3f5e9,c4,DROP,1008,e9,?,
1769088797.2845783,SENT,857ee514-bab5-47ab-8e31-b45d327a9e67,7eb1b43e-16e5-421a-9c7d-a68d994c8b92,c4,c1,1016,?,x1,
1769088797.2847092,FORWARDED,857ee514-bab5-47ab-8e31-b45d327a9e67,7eb1b43e-16e5-421a-9c7d-a68d994c8b92,c4,c1,1016,?,x1,
1769088797.5139806,SENT,d6c973c9-88c3-4a7c-b51e-dcb740016ea5,f3d1f221-2358-4f74-ab02-b07abbc3f5e9,c4,DROP,684,?,x11,
1769088797.5141766,FORWARDED,d6c973c9-88c3-4a7c-b51e-dcb740016ea5,f3d1f221-2358-4f74-ab02-b07abbc3f5e9,c4,DROP,684,?,x11,
1769088797.5341644,RECEIVED,1cc2dc65-c011-4693-ad98-9e8e7a65722b,235df436-e8d9-49a0-8c7b-e52542dfc50a,c2,DROP,1016,e5,?,
1769088797.6636903,SENT,1cc2dc65-c011-4693-ad98-9e8e7a65722b,235df436-e8d9-49a0-8c7b-e52542dfc50a,c2,DROP,690,?,x7,
1769088797.6638107,FORWARDED,1cc2dc65-c011-4693-ad98-9e8e7a65722b,235df436-e8d9-49a0-8c7b-e52542dfc50a,c2,DROP,690,?,x7,
1769088797.7827997,RECEIVED,e57bb614-9e94-43f3-9dd4-2cf8973ce137,588cdd3f-994b-4b31-8f90-2de79dcbb4de,c3,c4,1453,e9,?,
1769088797.7971764,RECEIVED,5737e764-82b0-4f81-b0f7-89df6e45f201,ad4714fa-a45b-4c9b-a0fd-473db30fc485,c3,c4,1442,e4,?,
1769088798.0042167,SENT,e57bb614-9e94-43f3-9dd4-2cf8973ce137,588cdd3f-994b-4b31-8f90-2de79dcbb4de,c3,c4,1015,?,x10,
1769088798.0043268,FORWARDED,e57bb614-9e94-43f3-9dd4-2cf8973ce137,588cdd3f-994b-4b31-8f90-2de79dcbb4de,c3,c4,1015,?,x10,
1769088798.0991566,SENT,5737e764-82b0-4f81-b0f7-89df6e45f201,ad4714fa-a45b-4c9b-a0fd-473db30fc485,c3,c4,1011,?,x8,
1769088798.099273,FORWARDED,5737e764-82b0-4f81-b0f7-89df6e45f201,ad4714fa-a45b-4c9b-a0fd-473db30fc485,c3,c4,1011,?,x8,
1769088798.5935996,RECEIVED,689845ef-443a-4ff1-8644-23cbb5b67b65,090ff578-4d2a-4e84-bd69-2dfa0717d646,c5,c4,1448,e1,?,
1769088798.67153,SENT,689845ef-443a-4ff1-8644-23cbb5b67b65,090ff578-4d2a-4e84-bd69-2dfa0717d646,c5,c4,1012,?,x7,
1769088798.6716104,FORWARDED,689845ef-443a-4ff1-8644-23cbb5b67b65,090ff578-4d2a-4e84-bd69-2dfa0717d646,c5,c4,1012,?,x7,
1769088798.7886589,RECEIVED,63bf3090-3044-4554-80ba-7e1a14725b31,ce5816e8-1eff-417e-b3e9-72f429e08449,c4,DROP,1015,e1,?,
1769088799.133379,RECEIVED,47b1f5b5-38b6-4215-b59d-7e18afbe5f4e,823b49c5-5e1d-4760-9aaa-eb68b37de8da,c4,DROP,1012,e11,?,
1769088799.191641,RECEIVED,0d154ddf-e56e-42f8-bc09-821b3346ed89,630e97c8-9cfa-42ec-b4d3-8678bb88e79c,c5,DROP,1008,e7,?,
1769088799.2042124,RECEIVED,61a71eac-6d28-4ec9-8f4d-8e1bd3ea1abb,d8cbe17d-7f3b-40e9-8d6f-c6c42212a93b,c2,DROP,1006,e6,?,
1769088799.2508395,SENT,0d154ddf-e56e-42f8-bc09-821b3346ed89,630e97c8-9cfa-42ec-b4d3-8678bb88e79c,c5,DROP,683,?,x5,
1769088799.2509224,FORWARDED,0d154ddf-e56e-42f8-bc09-821b3346ed89,630e97c8-9cfa-42ec-b4d3-8678bb88e79c,c5,DROP,683,?,x5,
1769088799.2534187,RECEIVED,d56ceab5-9af2-4080-ad46-eed74e7bfc4d,9e03f4fb-a3f2-4f3b-b29c-376998e15c8c,c4,DROP,1005,e6,?,
1769088799.3029633,SENT,d56ceab5-9af2-4080-ad46-eed74e7bfc4d,9e03f4fb-a3f2-4f3b-b29c-376998e15c8c,c4,DROP,679,?,x8,
1769088799.3034098,FORWARDED,d56ceab5-9af2-4080-ad46-eed74e7bfc4d,9e03f4fb-a3f2-4f3b-b29c-376998e15c8c,c4,DROP,679,?,x8,
1769088799.3058493,SENT,61a71eac-6d28-4ec9-8f4d-8e1bd3ea1abb,d8cbe17d-7f3b-40e9-8d6f-c6c42212a93b,c2,DROP,684,?,x5,
1769088799.3059359,FORWARDED,61a71eac-6d28-4ec9-8f4d-8e1bd3ea1abb,d8cbe17d-7f3b-40e9-8d6f-c6c42212a93b,c2,DROP,684,?,x5,
1769088799.4156365,SENT,47b1f5b5-38b6-4215-b59d-7e18afbe5f4e,823b49c5-5e1d-4760-9aaa-eb68b37de8da,c4,DROP,687,?,x2,
1769088799.4157252,FORWARDED,47b1f5b5-38b6-4215-b59d-7e18afbe5f4e,823b49c5-5e1d-4760-9aaa-eb68b37de8da,c4,DROP,687,?,x2,
1769088799.8272648,RECEIVED,5eeee56e-25e0-4032-9713-63c40bc6e000,6c2801eb-3d18-4f18-ae6f-30afce24ccf4,c3,c4,1456,e10,?,
1769088799.8516057,RECEIVED,943605c2-9914-4148-b601-2acb38da011a,bfb51648-80d4-4735-abf2-99e427ddbb2d,c2,c3,1443,e3,?,
1769088800.009693,RECEIVED,7461e587-5ebf-4442-a048-db3f8dcc24cf,6b4d88ce-74a1-4895-bdd1-12efdc82acfc,c3,DROP,1007,e12,?,
1769088800.018587,SENT,5eeee56e-25e0-4032-9713-63c40bc6e000,6c2801eb-3d18-4f18-ae6f-30afce24ccf4,c3,c4,1019,?,x7,
1769088800.018634,FORWARDED,5eeee56e-25e0-4032-9713-63c40bc6e000,6c2801eb-3d18-4f18-ae6f-30afce24ccf4,c3,c4,1019,?,x7,
1769088800.1235538,SENT,943605c2-9914-4148-b601-2acb38da011a,bfb51648-80d4-4735-abf2-99e427ddbb2d,c2,c3,1011,?,x2,
1769088800.1236038,FORWARDED,943605c2-9914-4148-b601-2acb38da011a,bfb51648-80d4-4735-abf2-99e427ddbb2d,c2,c3,1011,?,x2,
1769088800.315772,SENT,63bf3090-3044-4554-80ba-7e1a14725b31,ce5816e8-1eff-417e-b3e9-72f429e08449,c4,DROP,688,?,x6,
