packets_observed,duration_observed,diaz_anonymity,danezis_metric_A,entropy_bits,max_entropy_bits,target_llr,detected_receiver,true_receiver,success
2500,3.3639235496520996,0.4489316208386653,-4.090957077376649,0.7115397844172527,1.584962500721156,-2.2796985896946946,c5,c1,False
5000,5.408515214920044,0.5170768741636447,-4.209865196716981,0.8195474555394887,1.584962500721156,-1.8526902884250163,c5,c1,False
7500,7.36829686164856,0.4598561626179134,-4.217749168798713,0.7288547734749227,1.584962500721156,1.980726059830431,c1,c1,True
10000,9.494547605514526,0.6608413370374007,-4.2787113899310185,1.047408738130711,1.584962500721156,-2.5628882640662596,c5,c1,False
12500,11.588041305541992,0.30873247644089774,-4.219907278569759,0.4893293979136007,1.584962500721156,7.859757716491629,c1,c1,True
15000,13.687774181365967,0.5191448692847876,-4.252793874242362,0.8228251502581747,1.584962500721156,1.9047995573359913,c1,c1,True
17500,15.899751424789429,0.2673833261813311,-4.240049684158796,0.4237925453155031,1.584962500721156,3.351274764732807,c1,c1,True
20000,18.251567125320435,0.5763722964249323,-4.269535157679472,0.913528476288056,1.584962500721156,-2.953896412736526,c1,c1,False
22500,20.254674196243286,0.39857032144943344,-4.2978896955255035,0.6317190133977291,1.584962500721156,-3.366398742262618,c1,c1,False
25000,22.07482933998108,0.7236096805290819,-4.335281462497181,1.1468942087974106,1.584962500721156,-9.32539855169307,c1,c1,False
27500,23.90587830543518,0.0560215383039427,-4.345022905042398,0.08879203744446305,1.584962500721156,4.398707609451321,c1,c1,True
30000,25.818705320358276,0.021740517257966992,-4.366303736324457,0.034457904600158816,1.584962500721156,-0.4517613846594486,c1,c1,False
32500,27.812506914138794,0.05120129173042192,-4.374014531637001,0.08115212738120298,1.584962500721156,4.66892262574811,c1,c1,True
35000,29.682580709457397,0.06869881885565345,-4.377932846002209,0.1088850517300462,1.584962500721156,3.0388940459863534,c1,c1,True
37500,31.77468252182007,0.02435031406182948,-4.361346539094001,0.03859433466878279,1.584962500721156,9.750832789934293,c1,c1,True
40000,34.01212191581726,0.013220790196971309,-4.3464468462011805,0.02095445669210139,1.584962500721156,12.523216870829856,c1,c1,True
42500,36.447168827056885,0.06410697420847039,-4.3277648454835225,0.1016071501551239,1.584962500721156,10.89622249870672,c1,c1,True
45000,38.57888340950012,0.07390492324899711,-4.309538399418445,0.11713653196833557,1.584962500721156,12.546527484514172,c1,c1,True
47500,40.6063928604126,0.2933531773796433,-4.327815744934831,0.46495378561413625,1.584962500721156,-0.2137273166617888,c1,c1,False
50000,42.5948429107666,0.1369761034657406,-4.349942784104991,0.21710198748810006,1.584962500721156,-6.234364281124726,c1,c1,False
52500,44.834431648254395,0.26228563336757377,-4.3437957716483355,0.41571289336550205,1.584962500721156,3.834887660402728,c1,c1,True
55000,47.08672332763672,0.2106512425405216,-4.327316890858451,0.3338743201570439,1.584962500721156,12.350197124619172,c1,c1,True
57500,49.46865177154541,0.03810875082818262,-4.332838008337336,0.06040094101199576,1.584962500721156,5.171583128715156,c1,c1,True
60000,51.50339460372925,0.04632582090761982,-4.322382422766594,0.07342468895370154,1.584962500721156,6.724508528317983,c1,c1,True
62500,53.66325545310974,0.42552036587479247,-4.333154993199177,0.6744338232046924,1.584962500721156,-5.599997576528949,c1,c1,False
65000,55.58799505233765,0.17481534449499547,-4.356034597731772,0.2770757655752184,1.584962500721156,-12.623112183308422,c1,c1,False
67500,57.70642113685608,0.0035251031689756494,-4.353162114704751,0.005587156333999717,1.584962500721156,3.481363461300134,c1,c1,True
70000,60.04227113723755,0.0007856098474454347,-4.350368723582606,0.0012451621483982821,1.584962500721156,5.621190297843896,c1,c1,True
72500,62.44590210914612,0.00040710996005856944,-4.346691547199604,0.0006452540203629202,1.584962500721156,6.592060993556515,c1,c1,True
