link,llr,obs_count,rate
i7->x3,8.025000433733386,375,0.6175852739724047
i12->x7,6.88184618531437,341,0.5615908757989067
i5->x11,6.122505713978301,319,0.5253592063925255
i5->x2,6.048946477044173,321,0.5286529945203784
e6->i3,5.855361889455156,335,0.5517095114153482
e2->i1,5.7267029025134235,335,0.5517095114153482
i5->x4,5.570946297760619,373,0.6142914858445518
i4->x1,5.224194628979467,350,0.5764129223742444
i3->x9,5.20202114281595,310,0.5105371598171878
e9->i2,5.190836687677472,347,0.5714722401824651
e10->i4,5.115816436158629,334,0.5500626173514217
i8->x11,5.110787551689917,336,0.5533564054792746
x5->p2,5.083432023163007,886,1.4591481406388014
e1->i4,4.857695238544941,309,0.5088902657532615
i7->x8,4.828567043333236,340,0.5599439817349803
e2->i9,4.817548656357891,342,0.563237769862833
i11->x4,4.785053999648174,371,0.610997697716699
i5->x8,4.7693498159533885,320,0.527006100456452
e12->i9,4.764246887367236,327,0.5385343589039369
i6->x1,4.672397525080155,339,0.5582970876710538
e8->i7,4.241316684188571,390,0.6422886849313009
e8->i9,4.223341646661306,349,0.574766028310318
e4->i5,4.198593829534709,345,0.5681784520546123
i2->x6,4.1161026955913975,334,0.5500626173514217
i3->x12,4.08637452072872,344,0.5665315579906859
i9->x3,4.065976903380943,337,0.555003299543201
i4->x9,4.056756994549753,311,0.5121840538811143
e1->i6,3.966119271201271,330,0.5434750410957161
e8->i4,3.958624393941986,299,0.49242132511399733
i9->x5,3.945680507961419,329,0.5418281470317897
p1->e10,3.9369788392458105,1317,2.1689594821910854
i3->x11,3.9340975192631076,346,0.5698253461185387
p1->e1,3.889879850445582,1293,2.1294340246568515
e5->i2,3.8356453045049834,353,0.5813536045660236
i4->x4,3.8108634236742347,321,0.5286529945203784
e12->i7,3.808253675105184,330,0.5434750410957161
e11->i2,3.785671837714923,330,0.5434750410957161
e12->i3,3.7797672679708647,323,0.5319467826482313
e4->i2,3.7184083823332097,320,0.527006100456452
e10->i7,3.594927466105516,341,0.5615908757989067
i2->x1,3.5921303514362695,334,0.5500626173514217
e9->i3,3.5309172761480854,304,0.5006557954336294
