link,llr,obs_count,rate
p2->c5,53.49990356631958,12283,20.270250963701947
p2->e8,8.53505445193613,1325,2.1866060837665944
p1->e12,7.708976723525445,1363,2.249316295980278
i9->x9,7.162102275692825,283,0.46702605411769527
x9->p2,7.074951053291708,1015,1.6750227736023346
x5->p2,7.048909965508105,1004,1.6568698174352157
x7->p2,7.034711151042481,1023,1.6882249235420574
p2->e6,6.183107704742982,1323,2.1833055462816637
p1->e7,6.108973937945379,1365,2.2526168334652086
x1->p2,6.0904189712475345,1056,1.7426837920434142
i5->x6,5.7988894029111915,292,0.48187847279988344
x4->p2,5.7543952545313015,1017,1.6783233110872653
i11->x4,5.538263233105428,284,0.4686763228601606
e7->i1,5.404125233136069,283,0.46702605411769527
e12->i3,5.324237893963043,251,0.4142174543588039
p1->e1,4.923171646680911,1331,2.1965076962213863
p2->e1,4.885690161303717,1274,2.102442377900861
e3->i5,4.615377741040208,321,0.5297362663313787
e12->i12,4.570184757118078,290,0.47857793531495274
i10->x1,4.522268900386139,314,0.5181843851341212
x6->p2,4.4215367918270605,1024,1.6898751922845228
e2->i11,4.284655231179062,280,0.4620752478902992
e8->i5,4.054937043036077,275,0.4538239041779724
e12->i8,3.976406969965538,268,0.44227202298071494
p1->c1,3.949655813775605,2928,4.831986877938557
x12->p2,3.904129351600891,1042,1.7195800296488992
e9->i8,3.9021753443478877,255,0.4208185293286653
i10->x6,3.873117715697287,272,0.44887309795057634
i10->x5,3.8268443241829306,277,0.4571244416629031
e5->i1,3.795768370149405,300,0.4950806227396063
e11->i2,3.7755470620769165,275,0.4538239041779724
i8->x7,3.754824855072557,284,0.4686763228601606
e8->i8,3.691479579088342,261,0.43072014178345747
e5->i12,3.6888586229872207,321,0.5297362663313787
i8->x5,3.615660699872471,280,0.4620752478902992
e1->i9,3.5921936018716307,279,0.4604249791478338
i1->x4,3.5665697698688774,280,0.4620752478902992
i2->x7,3.3897982112490403,269,0.4439222917231803
i1->x5,3.382584679828832,274,0.45217363543550704
e1->i1,3.3510058800409626,268,0.44227202298071494
i6->x12,3.3044982346004064,286,0.4719768603450913
i9->x3,3.1398700317471677,292,0.48187847279988344
e6->i2,2.9824870727766113,256,0.4224687980711307
i3->x12,2.946688528605333,270,0.44557256046564564
e7->i9,2.9152411174995665,280,0.4620752478902992
e1->i3,2.879688698505473,275,0.4538239041779724
e3->i6,2.8647026354140896,304,0.5016816977094677
i1->x1,2.840046012523298,261,0.43072014178345747
i11->x3,2.797044573628715,296,0.48847954776974484
e6->i11,2.7227940603083427,259,0.42741960429852677
i6->x5,2.692424790262046,307,0.5066325039368638
x3->p2,2.689090135893565,1033,1.7047276109667109
i3->x6,2.675299997472088,295,0.4868292790272795
i5->x5,2.6344999906363924,321,0.5297362663313787
e3->i10,2.5892453840345864,297,0.4901298165122102
i2->x3,2.583342716563556,266,0.43897148549578424
i10->x10,2.5468636332665824,301,0.4967308914820716
i9->x6,2.5384208019581633,280,0.4620752478902992
i1->x3,2.4618715257389976,298,0.49178008525467554
i5->x4,2.4307180743603682,291,0.48022820405741806
e5->i6,2.424842406334518,290,0.47857793531495274
p1->e4,2.422005667619781,1332,2.1981579649638516
e1->i12,2.364912319089102,283,0.46702605411769527
e6->i8,2.354005757423291,294,0.48517901028481414
p3->e12,2.350117314244552,689,1.137035163558629
i6->x8,2.3205546359953964,289,0.47692766657248736
i12->x4,2.317066863932986,264,0.43567094801085354
i6->x2,2.2779996359772694,302,0.498381160224537
e10->i9,2.2516734465377217,256,0.4224687980711307
e6->i12,2.2280300503167343,256,0.4224687980711307
x2->e1,2.2266492076342193,46,0.0759123621534063
e8->i6,2.2054259930963553,265,0.43732121675331886
p1->e2,2.204607526748717,1367,2.2559173709501392
e12->i1,2.1878177875665434,290,0.47857793531495274
i1->x9,2.1813912013824464,258,0.4257693355560614
e8->i10,2.169330461361211,266,0.43897148549578424
e10->i11,2.1588522105851053,278,0.4587747104053685
e6->i1,2.1582260348311033,286,0.4719768603450913
i6->x3,2.154093058440788,275,0.4538239041779724
i12->x5,2.1347454053759263,292,0.48187847279988344
x12->e3,2.1338016822100743,41,0.06766101844107952
e3->i11,2.1296085207386817,249,0.4109169168738732
e12->i9,2.0937778307299393,286,0.4719768603450913
x1->x7,2.0895329895836907,39,0.06436048095614881
p3->e5,2.076272426411575,638,1.052871457692896
e10->i5,2.060435065543487,327,0.5396378787861709
x3->p1,2.0545845677220296,265,0.43732121675331886
e1->i10,2.045278235656732,277,0.4571244416629031
e4->i6,2.036619128966808,273,0.4505233666930417
i1->x7,2.033011593099668,285,0.47032659160262597
i6->x11,2.027274108389946,285,0.47032659160262597
i9->x8,1.9634568067396563,275,0.4538239041779724
e9->i9,1.956721381041743,298,0.49178008525467554
e12->i10,1.947907492946352,277,0.4571244416629031
x5->i5,1.9312653270066331,52,0.08581397460819842
x9->i6,1.9227628183569134,46,0.0759123621534063
i1->x11,1.884275121273829,288,0.47527739783002204
i4->x8,1.8805517418312778,31,0.05115833101642598
e12->i5,1.8699287898323567,273,0.4505233666930417
x3->e11,1.8480707242630432,47,0.07756263089587165
x10->x12,1.836431449820326,45,0.07426209341094094
x11->e3,1.8141226660917562,41,0.06766101844107952
i11->x11,1.803470242806834,283,0.46702605411769527
x3->x6,1.7534734882939613,51,0.08416370586573306
x6->p1,1.751827313022103,255,0.4208185293286653
e2->i1,1.7266816394640365,268,0.44227202298071494
e4->i4,1.7224306296423544,27,0.04455725604656456
x5->e3,1.718469665152191,32,0.052808599758891336
i12->x3,1.717082829833525,309,0.5099330414217944
x10->e3,1.7059954415128447,55,0.09076478083559449
x4->p1,1.6925428346217632,232,0.3828623482519622
