timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769393803.6002853,SENT,104e5027-7ac0-4b7f-9a07-a50a79667b20,abc8e913-f906-41b1-a3dd-9f33270f26aa,c5,c2,3388,?,p2,
1769393803.6004426,CREATED,a50ee5f9-0617-40fd-af9c-3eb039e08652,551b6fba-5cac-4d2b-9027-d516e89314de,c5,c2,26,?,?,surb={'id': 'beaa583f-236b-4926-ab5a-7d4b9c00b797', 'route': ['p2', 'e3', 'i1', 'x7', 'p2', 'c5']}
1769393803.881867,SENT,4009ca6d-f5e5-402a-ba02-615af41ac995,171aae32-ade9-4455-ab8d-1621d2e977d5,c5,c2,3388,?,p2,
1769393803.8820157,CREATED,1fb8bb1d-1e16-4912-96dd-cae72104ab0c,551b6fba-5cac-4d2b-9027-d516e89314de,c5,c2,26,?,?,surb={'id': 'beaa583f-236b-4926-ab5a-7d4b9c00b797', 'route': ['p2', 'e3', 'i1', 'x7', 'p2', 'c5']}
1769393804.695552,SENT,73c4e7b9-be6d-4bda-9e28-c993627105e7,9fad8d06-0c57-4fe3-983e-195c65628b46,c5,c2,3392,?,p2,
1769393804.6962347,CREATED,9695b030-f987-403b-b963-5d49fbb70f07,07b4a307-480e-494b-a224-6df506606779,c5,c2,27,?,?,surb={'id': 'ed55ad1f-d7ef-4ae5-8e25-8f5d3e30f979', 'route': ['p2', 'e12', 'i4', 'x10', 'p2', 'c5']}
1769393804.8852515,SENT,1cef1048-072d-47ab-b77e-8ab287962ecd,5e18521e-46c7-400a-b5fd-4808d4da132c,c5,c2,3391,?,p2,
1769393804.8853993,CREATED,46a01b24-14b0-4e8c-91f2-6be041782a9d,07b4a307-480e-494b-a224-6df506606779,c5,c2,27,?,?,surb={'id': 'ed55ad1f-d7ef-4ae5-8e25-8f5d3e30f979', 'route': ['p2', 'e12', 'i4', 'x10', 'p2', 'c5']}
1769393805.3543303,RECEIVED,46b13b96-94cf-4afb-854e-8eb5b11c7bc0,bf37e96b-e555-42a7-988d-8d314304bee7,c2,c5,26,p2,?,surb={'id': '3dea4552-b70b-4a5d-82b5-2b5c8f5cf17d', 'route': ['p2', 'e6', 'i6', 'x4', 'p2', 'c2']}
1769393805.7721324,SENT,0bbaefe8-bdc5-4a46-aa18-b2f96e6692f0,6b50e5d6-0ed8-4eb5-b187-8e062614d026,c5,c2,3399,?,p2,
1769393805.7722964,CREATED,a49a3ed9-6e81-4b5e-96bd-6c03d90da2e9,c18527a1-c84c-4d37-a0d7-170a7a6c80ff,c5,c2,27,?,?,surb={'id': 'c18cad2e-c9a5-45b3-bb4c-56865bde4240', 'route': ['p2', 'e2', 'i5', 'x1', 'p2', 'c5']}
1769393806.0649443,RECEIVED,6f1d026f-397c-4fe5-9197-0683f0b7cc1e,44c40dda-f991-4492-8e70-7e2e5f35742d,c2,c5,27,p2,?,surb={'id': '82ec97d9-a477-451b-8ce8-2b69c6376492', 'route': ['p2', 'e2', 'i3', 'x6', 'p2', 'c2']}
1769393806.4616978,SENT,e1f1ea3f-79e2-4350-83ea-ff3d44225732,bef62342-f044-4919-bcda-6d447ea2c726,c5,c2,3359,?,p2,
1769393806.4618347,CREATED,06e5f04e-9026-4322-a3de-0f77ac632749,c18527a1-c84c-4d37-a0d7-170a7a6c80ff,c5,c2,27,?,?,surb={'id': 'c18cad2e-c9a5-45b3-bb4c-56865bde4240', 'route': ['p2', 'e2', 'i5', 'x1', 'p2', 'c5']}
1769393806.5047476,SENT,8ffeb13d-debe-489b-8faa-d5bb5935012b,3870baa8-9a57-4b02-833b-7d977bedabbc,c5,c2,3363,?,p2,
1769393806.5049005,CREATED,d9e06e79-7009-4de4-853f-1ab04f57b6c3,6e457b90-2c95-444c-817d-c9d74700e746,c5,c2,27,?,?,surb={'id': '88052c3f-bf3d-4374-86c8-67bd01d3fd30', 'route': ['p2', 'e7', 'i4', 'x11', 'p2', 'c5']}
1769393806.6218002,SENT,872659c6-0a3d-40c1-a6da-bb78c37a6cf0,91174a83-887f-498a-80fb-10d23ecc29ee,c5,c2,3383,?,p2,
1769393806.6219456,CREATED,9f7b439b-c8e0-4344-8a4f-137a6a0cf279,6e457b90-2c95-444c-817d-c9d74700e746,c5,c2,27,?,?,surb={'id': '88052c3f-bf3d-4374-86c8-67bd01d3fd30', 'route': ['p2', 'e7', 'i4', 'x11', 'p2', 'c5']}
1769393806.7382848,SENT,c313c23e-2deb-42db-bca3-3635503f6b38,cf994cbb-4edb-4a23-9f1d-90a647859d86,c5,c2,3358,?,p2,
1769393806.7384346,CREATED,3eed89a8-1611-479d-8e67-d1d4f71809fb,60d97259-cfc4-4879-9b9e-3626b2b9e60d,c5,c2,27,?,?,surb={'id': 'fbee05cc-85cd-4892-9060-c9ff82bad462', 'route': ['p2', 'e2', 'i9', 'x11', 'p2', 'c5']}
1769393806.873628,RECEIVED,0d21f737-afa4-47d1-8cbf-5a247bb630ba,bf37e96b-e555-42a7-988d-8d314304bee7,c2,c5,26,p2,?,surb={'id': '3dea4552-b70b-4a5d-82b5-2b5c8f5cf17d', 'route': ['p2', 'e6', 'i6', 'x4', 'p2', 'c2']}
1769393807.071226,SENT,6bfd40e1-2532-4302-b833-49504e89257b,e1638dcf-cf0d-4b0b-a797-6aef230cc056,c5,c2,3376,?,p2,
1769393807.0713766,CREATED,dd6ea709-befb-4726-8107-4ec40aeff73f,60d97259-cfc4-4879-9b9e-3626b2b9e60d,c5,c2,27,?,?,surb={'id': 'fbee05cc-85cd-4892-9060-c9ff82bad462', 'route': ['p2', 'e2', 'i9', 'x11', 'p2', 'c5']}
1769393807.3035333,SENT,c7ccb0c0-51c9-4b9c-846a-7b68939a161a,0c3f2f89-3f5c-4d8c-9577-25f0fac4d656,c5,c2,3380,?,p2,
1769393807.303713,CREATED,86309e6d-a2da-41bd-8fe9-5050dfba1367,9cc2f5e3-9988-4059-992e-17934c25580b,c5,c2,27,?,?,surb={'id': 'e117aede-9d54-4749-bee5-9b9e1ffbf5c5', 'route': ['p2', 'e1', 'i5', 'x8', 'p2', 'c5']}
