timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769394420.1913757,SENT,db40009c-5ebd-4f20-ad24-103ef4bcec7f,25ab0bd1-a3bb-4bae-8469-1f667c192e98,c4,c2,3383,?,p1,
1769394420.1915364,CREATED,015f87e6-18ce-48e7-bd15-d40fed3fc630,99e9af14-35f8-470c-bcae-6219f8fb6fc7,c4,c2,27,?,?,surb={'id': 'f372100a-757d-405c-b0d1-973a3237fcfa', 'route': ['p2', 'e5', 'i1', 'x6', 'p1', 'c4']}
1769394420.9916449,SENT,a316fca3-7f42-430b-b5dc-e5a0abc99b6c,18ea72e4-cab0-458f-87c3-18c8c9b15434,c4,c2,3391,?,p1,
1769394420.9917939,CREATED,7ef28dcc-f7a4-4f92-9827-84ab3f284490,ddab4901-1991-4de8-b1a0-c10f95e1773d,c4,c2,27,?,?,surb={'id': '35aea8b8-4a66-40d4-9137-32d692efcb8f', 'route': ['p2', 'e11', 'i6', 'x10', 'p1', 'c4']}
1769394421.0036268,SENT,2c25b173-3a6e-4edc-a55c-e7b38a38877c,b7a09903-6546-4531-954c-a89bb96f0f3c,c4,c2,3388,?,p1,
1769394421.00377,CREATED,78710316-ae84-48c3-9015-3795b7fa4943,3cef735a-6cd6-491b-8cf8-835a319dcd82,c4,c2,27,?,?,surb={'id': '18105a6c-8da4-47fb-b95f-11988b94441f', 'route': ['p2', 'e2', 'i4', 'x9', 'p1', 'c4']}
1769394421.3347845,SENT,8e1d67d8-91cb-42c3-9037-8e0bf1149d9f,1bdd023d-550e-4603-8a36-83173124aec8,c4,c2,3392,?,p1,
1769394421.3349392,CREATED,038752c7-dfd0-4553-b514-4163beca36bf,4e0a7cff-ed69-42fb-9ac9-e10e750a437d,c4,c2,27,?,?,surb={'id': '12979434-3775-4a3e-bafb-2505b6cab207', 'route': ['p2', 'e2', 'i5', 'x8', 'p1', 'c4']}
1769394421.7373211,SENT,cc937985-7728-4cfb-a757-3a181e799dbd,b954f68c-c978-4dbc-ab97-6e36a2a7c211,c4,c2,3392,?,p1,
1769394421.7374654,CREATED,724797d0-3bee-49a1-b0fa-f05d05c260e2,97f88226-8908-43db-a561-b8083e285125,c4,c2,27,?,?,surb={'id': 'b9990a9d-5019-45ce-842d-77ccd3554574', 'route': ['p2', 'e7', 'i2', 'x12', 'p1', 'c4']}
1769394421.7809355,SENT,1ff3e670-088c-464b-93d9-58d6897d6e5c,2ab7cce4-a137-4752-a375-bfd992380683,c4,c2,3397,?,p1,
1769394421.7811306,CREATED,4a5b8257-8736-4416-9ab9-bdafe41a2a17,25e3eea1-4bfc-4070-baa5-624e02385306,c4,c2,27,?,?,surb={'id': 'd12090ad-7403-49af-9641-6d042433e28b', 'route': ['p2', 'e11', 'i11', 'x9', 'p1', 'c4']}
1769394422.020195,SENT,400288cd-2e41-46f9-b479-1cdcb904b21a,255cc7c5-e9fe-4a99-9cfc-7ce343eb6cc1,c4,c2,3387,?,p1,
1769394422.0203433,CREATED,c06be9a7-07ae-414e-87d2-2bc3a32faf61,1dc37e1a-9154-489e-a161-26b90f52d9e3,c4,c2,27,?,?,surb={'id': 'a070084d-6b08-4fcf-89d1-b21f5d143bbf', 'route': ['p2', 'e11', 'i12', 'x7', 'p1', 'c4']}
1769394422.1826062,SENT,df4f4cc0-c236-4aad-ab66-74a4eaecc1b5,5c29d19f-e6a7-4b06-9b18-43f868afe9c2,c4,c2,3378,?,p1,
1769394422.1827528,CREATED,9ac86f03-14d6-4ed1-b273-8848f45d1eb8,edd14ab2-9fd8-43f5-b00e-9103032a8c43,c4,c2,27,?,?,surb={'id': 'a646d20d-3aba-4039-9193-3dc7f41aac61', 'route': ['p2', 'e3', 'i8', 'x8', 'p1', 'c4']}
1769394422.197362,SENT,f5db4472-e5f4-49a6-b988-07278e17b1d5,0d4f9b22-a172-4fde-a47f-f885bb8f2e57,c4,c2,3391,?,p1,
1769394422.19751,CREATED,8a4111ef-efb2-4d70-9645-2399ba5f8148,c60a9f0a-c393-4cc7-86ce-fc50c85e98dd,c4,c2,27,?,?,surb={'id': '382a1bf1-3d93-43fa-9591-f610112cb202', 'route': ['p2', 'e11', 'i12', 'x4', 'p1', 'c4']}
1769394423.0844488,SENT,144a85c8-0965-47dd-8358-8ffb197bdc55,b1cfdaa0-9b1e-41ea-906a-96d03febce97,c4,c2,3372,?,p1,
1769394423.084594,CREATED,885743bf-0082-468f-8219-10f0056d2c1e,3a46d112-ebe7-4765-a80b-36c27613186c,c4,c2,26,?,?,surb={'id': '2d97d418-1e42-466e-afb8-07b976b6f325', 'route': ['p2', 'e2', 'i11', 'x11', 'p1', 'c4']}
