timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769454982.5733438,SENT,5db33ccb-6aa5-4b35-abf0-903d4896ec47,c6e3dcc8-8efa-4aa0-a54e-856fd4b1bb86,c4,c2,3392,?,p1,
1769454982.5735092,CREATED,d9d1005d-78e9-4962-803a-ac29fbd8c0d9,17cc21bd-72b9-4d1e-8cba-0f542a018164,c4,c2,27,?,?,surb={'id': '266e5440-2e35-41a6-a325-045bc384c00c', 'route': ['p2', 'e1', 'i12', 'x12', 'p1', 'c4']}
1769454982.6546724,SENT,fe1259bd-b8f0-471f-8026-919b87a65aa4,d79bba0b-6186-4b18-8469-eaf8f868278c,c4,DROP,2015,?,p1,
1769454982.6547935,CREATED,4638ab16-0d20-4afb-8fc8-c62fcaf53016,bad2f669-9542-44e3-a399-d93356ae3320,c4,DROP,27,?,?,
1769454982.8104265,SENT,ec4d01ea-70a0-426c-8dd5-8e679153dc60,ae0d7fe7-aca0-4706-93c0-a9068140c1cb,c4,c2,3379,?,p1,
1769454982.8105648,CREATED,bd7c8d75-80e5-42d8-b2b3-a2ae6863a5db,0721fca9-73b2-4c91-87e4-cacf2b8a59a9,c4,c2,27,?,?,surb={'id': '1bdc0afc-b9f6-4cb3-bd8a-70e48825f5f0', 'route': ['p2', 'e2', 'i1', 'x2', 'p1', 'c4']}
1769454982.8477373,SENT,7b872124-218b-4747-9c95-35d4755f511f,3faa8df5-fd04-4c20-aa85-86c976572cb8,c4,DROP,2024,?,p1,
1769454982.8478556,CREATED,79214bc2-da6e-413e-bc66-f9664fe60c03,9000ddf2-e59e-4ca2-a36c-45f8b14b5ddd,c4,DROP,27,?,?,
1769454982.8637497,SENT,fefd4e26-45d3-49a4-9270-cee4ed13a386,8e4bea06-8d9c-4640-9ffa-847a09a29c71,c4,DROP,2011,?,p1,
1769454982.8638692,CREATED,3d8351c2-2614-4a60-a8d2-68de4c2cec2d,99e2cd17-f5b2-4cc8-9bb9-052019ef03a8,c4,DROP,26,?,?,
