timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769458068.8998697,RECEIVED,4d28fb50-9b9f-4128-9a5c-b4dc5e0dee20,35ceea2f-f555-4df9-ae7a-b9f8182c4bc6,c3,c2,1258,i12,?,
1769458069.7195556,SENT,4d28fb50-9b9f-4128-9a5c-b4dc5e0dee20,35ceea2f-f555-4df9-ae7a-b9f8182c4bc6,c3,c2,872,?,p2,
1769458069.7196825,FORWARDED,4d28fb50-9b9f-4128-9a5c-b4dc5e0dee20,35ceea2f-f555-4df9-ae7a-b9f8182c4bc6,c3,c2,872,?,p2,
1769458070.162928,RECEIVED,1d544061-6e9f-45ed-adab-7af558d172de,939eb523-c611-4adc-ba2b-e98d7aaff708,c3,DROP,683,i3,?,
1769458070.210835,RECEIVED,0253de9e-befe-4ab1-8603-05434902e064,0e19037c-39d7-4646-b4c5-5a2284d99879,c4,c1,1255,i9,?,
1769458070.8392255,SENT,1d544061-6e9f-45ed-adab-7af558d172de,939eb523-c611-4adc-ba2b-e98d7aaff708,c3,DROP,441,?,x10,
1769458070.8394942,FORWARDED,1d544061-6e9f-45ed-adab-7af558d172de,939eb523-c611-4adc-ba2b-e98d7aaff708,c3,DROP,441,?,x10,
1769458071.9279873,SENT,0253de9e-befe-4ab1-8603-05434902e064,0e19037c-39d7-4646-b4c5-5a2284d99879,c4,c1,868,?,p1,
1769458071.9284275,FORWARDED,0253de9e-befe-4ab1-8603-05434902e064,0e19037c-39d7-4646-b4c5-5a2284d99879,c4,c1,868,?,p1,
1769458073.4120693,RECEIVED,d414e76b-5472-4e31-b0f1-67bd74e9079c,648ed030-35cb-4b4b-8084-33c68208be32,c3,c2,1263,i10,?,
1769458073.523741,RECEIVED,550ea2ca-70f5-4acb-a0cc-a1c69a312835,f7706d24-437b-4d4d-9f8a-95cbb41d46e1,c1,c5,1264,i11,?,
1769458073.7838306,SENT,550ea2ca-70f5-4acb-a0cc-a1c69a312835,f7706d24-437b-4d4d-9f8a-95cbb41d46e1,c1,c5,875,?,p2,
1769458073.7839649,FORWARDED,550ea2ca-70f5-4acb-a0cc-a1c69a312835,f7706d24-437b-4d4d-9f8a-95cbb41d46e1,c1,c5,875,?,p2,
1769458074.3798687,SENT,d414e76b-5472-4e31-b0f1-67bd74e9079c,648ed030-35cb-4b4b-8084-33c68208be32,c3,c2,876,?,p2,
1769458074.380001,FORWARDED,d414e76b-5472-4e31-b0f1-67bd74e9079c,648ed030-35cb-4b4b-8084-33c68208be32,c3,c2,876,?,p2,
1769458074.5251224,RECEIVED,45849ca9-fdbd-438d-ac85-a55fe3026d52,74e798a6-8a34-4bbc-8c21-4f58d933962a,c1,c5,1255,i8,?,
1769458074.7156923,SENT,45849ca9-fdbd-438d-ac85-a55fe3026d52,74e798a6-8a34-4bbc-8c21-4f58d933962a,c1,c5,868,?,p2,
1769458074.7158208,FORWARDED,45849ca9-fdbd-438d-ac85-a55fe3026d52,74e798a6-8a34-4bbc-8c21-4f58d933962a,c1,c5,868,?,p2,
1769458076.0866926,RECEIVED,4559b92f-c7a6-4c2c-9f33-b4976780fbb6,31638abb-f865-41dc-af05-a00fc8302c3b,c3,c2,1260,i6,?,
1769458076.2253995,SENT,4559b92f-c7a6-4c2c-9f33-b4976780fbb6,31638abb-f865-41dc-af05-a00fc8302c3b,c3,c2,872,?,p2,
1769458076.2255094,FORWARDED,4559b92f-c7a6-4c2c-9f33-b4976780fbb6,31638abb-f865-41dc-af05-a00fc8302c3b,c3,c2,872,?,p2,
1769458077.1541514,RECEIVED,2d01d682-10ce-413e-8328-22ace4fe1fea,f36a8267-47eb-4c00-ac77-4da4903e2b1c,c1,c5,1251,i9,?,
1769458077.5245106,SENT,2d01d682-10ce-413e-8328-22ace4fe1fea,f36a8267-47eb-4c00-ac77-4da4903e2b1c,c1,c5,865,?,p2,
1769458077.5246282,FORWARDED,2d01d682-10ce-413e-8328-22ace4fe1fea,f36a8267-47eb-4c00-ac77-4da4903e2b1c,c1,c5,865,?,p2,
1769458077.8797007,RECEIVED,3c51677d-5579-46c6-adbb-9b2fac3cecdf,488e3ca9-4f87-4447-a310-f21532086834,c1,c5,1260,i7,?,
1769458078.085455,SENT,3c51677d-5579-46c6-adbb-9b2fac3cecdf,488e3ca9-4f87-4447-a310-f21532086834,c1,c5,871,?,p2,
1769458078.0855796,FORWARDED,3c51677d-5579-46c6-adbb-9b2fac3cecdf,488e3ca9-4f87-4447-a310-f21532086834,c1,c5,871,?,p2,
1769458078.2146142,RECEIVED,c68bed41-011c-48f4-a2ef-771121ba9e13,fdc55bb7-a866-45d7-8894-383f7098e686,c5,c3,1259,i9,?,
1769458078.6088352,SENT,c68bed41-011c-48f4-a2ef-771121ba9e13,fdc55bb7-a866-45d7-8894-383f7098e686,c5,c3,872,?,p3,
