timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769460534.9812295,SENT,4ed79d04-cb77-4a77-a114-2dfa83b8ac81,80fd57a9-62a1-4c1f-9670-f1cfc9de05f2,c3,DROP,2016,?,p3,
1769460534.9813538,CREATED,947eb444-9f10-4ec1-bcbc-5932db571122,0e8c3733-a199-4e11-9dca-7ae8419bf600,c3,DROP,27,?,?,
1769460535.7932308,RECEIVED,6883052e-0791-47b0-a7dd-4b9f7ef20d68,fee5b041-cf99-4e26-8349-ff1561bad5cf,c4,c3,27,p3,?,surb={'id': '8c674482-1d0f-4740-8e5f-56aa7be2f627', 'route': ['p3', 'e7', 'i9', 'x1', 'p1', 'c4']}
1769460535.8549972,SENT,2be8f197-02a8-4142-bb58-e7e568e5e5e4,6f151f29-0929-460e-899b-4b7937f00757,c3,c2,3391,?,p3,
1769460535.8551595,CREATED,af66ea87-796d-472f-bb9c-f3b5a837b782,b02ff3b2-f564-4e43-9050-3061bdda899d,c3,c2,27,?,?,surb={'id': 'ad728629-13e7-4f64-b907-6aaab9220b4a', 'route': ['p2', 'e10', 'i12', 'x11', 'p3', 'c3']}
1769460536.126189,SENT,e14fb236-5422-415e-b28b-8a96cc453ac2,26ca8dd6-9cd1-4c06-9b1b-d69c641b9a3a,c3,c2,3392,?,p3,
1769460536.1263616,CREATED,8fb34274-ff6f-4996-bd61-fab3519f4bd7,b02ff3b2-f564-4e43-9050-3061bdda899d,c3,c2,27,?,?,surb={'id': 'ad728629-13e7-4f64-b907-6aaab9220b4a', 'route': ['p2', 'e10', 'i12', 'x11', 'p3', 'c3']}
1769460536.661278,RECEIVED,9180609a-d327-4901-bf0f-a5afa973d810,2b01e981-8f91-4602-80aa-a19f9f4cde19,c4,c3,26,p3,?,surb={'id': 'e3d8a850-4d24-4d1d-9db1-06306152c446', 'route': ['p3', 'e8', 'i8', 'x10', 'p1', 'c4']}
1769460536.8839712,SENT,6910e6e2-3ed0-4657-a0fc-ae8b883b0b65,f0c864ed-694c-454b-b5ea-c8a0adef1a39,c3,c2,3370,?,p3,
1769460536.8841405,CREATED,78644749-c597-442a-912d-5dbefbb22c39,0860a38d-ca72-47c2-a038-0b0321d2a88d,c3,c2,26,?,?,surb={'id': 'ce074b08-ec3a-4e37-9ed9-576784a46e7b', 'route': ['p2', 'e11', 'i4', 'x7', 'p3', 'c3']}
1769460536.8999572,SENT,766488b1-e64b-4dcd-ada6-651c2c82babd,bef10973-b0b7-4c1a-b9d4-e57de1b44296,c3,c2,3387,?,p3,
1769460536.9001324,CREATED,ca08c266-766c-4aab-9242-4ee702fe2962,0860a38d-ca72-47c2-a038-0b0321d2a88d,c3,c2,26,?,?,surb={'id': 'ce074b08-ec3a-4e37-9ed9-576784a46e7b', 'route': ['p2', 'e11', 'i4', 'x7', 'p3', 'c3']}
1769460537.0322278,RECEIVED,f9d14be9-a08f-4df8-b7c8-242f65618c49,6a0221f6-c548-44f8-8a2e-c60ae5eabc9b,c5,c3,26,p3,?,surb={'id': '5626b1f5-ae43-4a58-849a-7d7d522254d3', 'route': ['p3', 'e4', 'i7', 'x10', 'p2', 'c5']}
1769460537.1885874,SENT,b8d7bedf-334b-4992-8a26-e241e209bc12,17767654-99fb-49e4-8c58-8e9ea4e6a793,c3,c2,3392,?,p3,
1769460537.1887312,CREATED,20ee8e43-3dbc-499e-9635-bb14290c1590,388153f4-64e5-491b-921d-c44b1a5d8028,c3,c2,27,?,?,surb={'id': 'e3ca1cf7-1ef3-41cb-bc81-8964c799f986', 'route': ['p2', 'e2', 'i9', 'x9', 'p3', 'c3']}
1769460537.232181,RECEIVED,c1081a04-54cc-47a1-8098-f979f93b4c52,5d5141b1-0338-40c0-91f3-eb448373b8fd,c1,c3,25,p3,?,surb={'id': '44f98643-93e2-4958-8a89-65392e971b0e', 'route': ['p3', 'e2', 'i4', 'x2', 'p1', 'c1']}
1769460537.2902288,RECEIVED,50ba8e6b-295f-4dca-88f9-01b00c3ecf32,a1f53143-57d9-41b8-a50d-3a89ec5297ee,c1,c3,27,p3,?,surb={'id': 'a2b8287e-9466-4d0b-b3b9-0cfc0faa73fc', 'route': ['p3', 'e2', 'i3', 'x9', 'p1', 'c1']}
1769460537.4012895,RECEIVED,7cc6e0bc-14e2-4bee-ab47-f33173abf65a,5d5141b1-0338-40c0-91f3-eb448373b8fd,c1,c3,25,p3,?,surb={'id': '44f98643-93e2-4958-8a89-65392e971b0e', 'route': ['p3', 'e2', 'i4', 'x2', 'p1', 'c1']}
1769460537.6650217,SENT,519a1577-a30a-4087-86cf-1627a9089b9e,336efe60-f891-47f3-aa44-c50c74118df5,c3,c2,3372,?,p3,
1769460537.665196,CREATED,e548ffa3-452e-4a4d-9b91-ecd2327ffca3,388153f4-64e5-491b-921d-c44b1a5d8028,c3,c2,27,?,?,surb={'id': 'e3ca1cf7-1ef3-41cb-bc81-8964c799f986', 'route': ['p2', 'e2', 'i9', 'x9', 'p3', 'c3']}
1769460537.6990306,RECEIVED,d17be1c4-8cc8-43f1-b740-74d289d757c0,49f9690a-22fb-48c8-a2c8-8f9ec64ba528,c1,c3,27,p3,?,surb={'id': '20d2ce54-5ef7-41a5-8fab-248d7c648d6e', 'route': ['p3', 'e10', 'i3', 'x4', 'p1', 'c1']}
1769460537.9598362,SENT,233b2201-ec42-4925-8077-f4e43e50e239,9ce99d83-10da-42ad-9747-e0ffcd448eb7,c3,c2,3367,?,p3,
1769460537.9599812,CREATED,18174fa9-f385-4ce5-b3e9-eb58e6b4d5d8,742a240c-d74b-4551-844b-33a855f0df1a,c3,c2,27,?,?,surb={'id': '1c6d0078-ada2-4cc3-b907-099318a05c72', 'route': ['p2', 'e11', 'i5', 'x1', 'p3', 'c3']}
1769460538.1111605,SENT,5d9f43ab-45cf-4da9-84be-00e9a120ebd4,5cb5b6b3-d027-4758-b7f4-4cc4821e25d4,c3,c2,3359,?,p3,
1769460538.1112928,CREATED,8a5af864-7e62-470d-817e-e68c6abe1e81,742a240c-d74b-4551-844b-33a855f0df1a,c3,c2,27,?,?,surb={'id': '1c6d0078-ada2-4cc3-b907-099318a05c72', 'route': ['p2', 'e11', 'i5', 'x1', 'p3', 'c3']}
