timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769461152.0304332,RECEIVED,daad7c78-db99-4e35-a268-3861a9fa465d,33b315bd-29c2-4eab-b2cd-37e2bf433188,c3,DROP,1455,p3,?,
1769461152.1452136,RECEIVED,075c8604-c454-44fc-9cc7-67f6bd0ab516,14669a4f-70a5-4051-a372-a2f05aec6cc0,c3,DROP,1440,p3,?,
1769461152.3047464,SENT,075c8604-c454-44fc-9cc7-67f6bd0ab516,14669a4f-70a5-4051-a372-a2f05aec6cc0,c3,DROP,1007,?,i3,
1769461152.3048778,FORWARDED,075c8604-c454-44fc-9cc7-67f6bd0ab516,14669a4f-70a5-4051-a372-a2f05aec6cc0,c3,DROP,1007,?,i3,
1769461152.7064111,SENT,daad7c78-db99-4e35-a268-3861a9fa465d,33b315bd-29c2-4eab-b2cd-37e2bf433188,c3,DROP,1020,?,i1,
1769461152.7065425,FORWARDED,daad7c78-db99-4e35-a268-3861a9fa465d,33b315bd-29c2-4eab-b2cd-37e2bf433188,c3,DROP,1020,?,i1,
1769461152.892962,RECEIVED,c9cc46b6-bce7-409d-89a0-0febdc488da6,b59de61e-bd58-41dc-ba0a-3d9baa8fe172,c5,DROP,441,x4,?,
1769461153.7263017,RECEIVED,728bd26c-e0a3-4542-8242-02577adac4ab,052b036a-ed33-4e1d-a7ab-cf919a3821f2,c2,c5,2465,p2,?,
1769461153.841898,SENT,728bd26c-e0a3-4542-8242-02577adac4ab,052b036a-ed33-4e1d-a7ab-cf919a3821f2,c2,c5,1775,?,i10,
1769461153.842032,FORWARDED,728bd26c-e0a3-4542-8242-02577adac4ab,052b036a-ed33-4e1d-a7ab-cf919a3821f2,c2,c5,1775,?,i10,
1769461153.8882272,RECEIVED,e87c0bbe-10c1-4b42-8a44-349d1cd63e73,c373bd1a-87c2-43ed-a524-dc69a39cd13d,c1,c5,2477,p1,?,
1769461153.9986541,SENT,e87c0bbe-10c1-4b42-8a44-349d1cd63e73,c373bd1a-87c2-43ed-a524-dc69a39cd13d,c1,c5,1783,?,i10,
1769461153.9987888,FORWARDED,e87c0bbe-10c1-4b42-8a44-349d1cd63e73,c373bd1a-87c2-43ed-a524-dc69a39cd13d,c1,c5,1783,?,i10,
1769461154.8491192,RECEIVED,988d7da3-f243-45eb-b1d9-dd5147bccd36,1cb48dbc-6ca9-42b7-8495-ea1fcf551eb4,c2,c5,2463,p2,?,
1769461155.1136372,RECEIVED,1d5a6688-8703-4a94-804b-6c089fdf0581,33a8864c-1354-464c-9c91-fbbeb40f032e,c4,c5,2472,p1,?,
1769461155.2220383,SENT,1d5a6688-8703-4a94-804b-6c089fdf0581,33a8864c-1354-464c-9c91-fbbeb40f032e,c4,c5,1781,?,i9,
1769461155.222218,FORWARDED,1d5a6688-8703-4a94-804b-6c089fdf0581,33a8864c-1354-464c-9c91-fbbeb40f032e,c4,c5,1781,?,i9,
1769461156.0330887,SENT,988d7da3-f243-45eb-b1d9-dd5147bccd36,1cb48dbc-6ca9-42b7-8495-ea1fcf551eb4,c2,c5,1776,?,i3,
1769461156.033231,FORWARDED,988d7da3-f243-45eb-b1d9-dd5147bccd36,1cb48dbc-6ca9-42b7-8495-ea1fcf551eb4,c2,c5,1776,?,i3,
1769461156.265985,RECEIVED,2af535d7-4fa7-4a8e-b5a9-1c95dc999821,1133ca78-cc58-4c90-9963-c651c65596fa,c2,c5,2472,p2,?,
1769461156.4188752,SENT,2af535d7-4fa7-4a8e-b5a9-1c95dc999821,1133ca78-cc58-4c90-9963-c651c65596fa,c2,c5,1781,?,i4,
1769461156.4190063,FORWARDED,2af535d7-4fa7-4a8e-b5a9-1c95dc999821,1133ca78-cc58-4c90-9963-c651c65596fa,c2,c5,1781,?,i4,
1769461157.2469947,RECEIVED,feaa965e-25b0-4f28-88bb-10387dc99d6c,6fa8b622-1204-4993-b97d-796d63552d8e,c2,c5,2469,p2,?,
1769461157.2873073,RECEIVED,98fa087a-8d1f-4609-8a14-5747656fcd94,c61c015e-da12-4cbd-b209-5edcaca41701,c3,c4,2467,p3,?,
1769461157.3542848,RECEIVED,83fe73e3-28e7-4090-954f-7dd144a5d99c,ef81e323-5e97-4010-8ce1-ba52470f1964,c2,DROP,445,x4,?,
1769461157.5955245,SENT,feaa965e-25b0-4f28-88bb-10387dc99d6c,6fa8b622-1204-4993-b97d-796d63552d8e,c2,c5,1782,?,i2,
1769461157.5956542,FORWARDED,feaa965e-25b0-4f28-88bb-10387dc99d6c,6fa8b622-1204-4993-b97d-796d63552d8e,c2,c5,1782,?,i2,
1769461157.616608,SENT,98fa087a-8d1f-4609-8a14-5747656fcd94,c61c015e-da12-4cbd-b209-5edcaca41701,c3,c4,1779,?,i9,
1769461157.6167397,FORWARDED,98fa087a-8d1f-4609-8a14-5747656fcd94,c61c015e-da12-4cbd-b209-5edcaca41701,c3,c4,1779,?,i9,
1769461157.628771,RECEIVED,75a7b15d-311f-4bdf-b77d-79fdf7ccecea,3514b7f1-eb68-4e0d-9168-b0c84fc345ab,c5,DROP,1460,p2,?,
1769461157.778499,RECEIVED,4499506d-2123-4e27-af39-92020961a7dc,45d9f9b9-dc2d-4243-afa4-3c1545adc64e,c5,DROP,1439,p2,?,
1769461157.921967,RECEIVED,0c7eda4e-92fb-412e-bccf-a439858108fd,93dfcc75-8e6c-4dea-af2c-1578cd665999,c3,c4,2476,p3,?,
1769461158.1472592,SENT,0c7eda4e-92fb-412e-bccf-a439858108fd,93dfcc75-8e6c-4dea-af2c-1578cd665999,c3,c4,1783,?,i7,
1769461158.1473904,FORWARDED,0c7eda4e-92fb-412e-bccf-a439858108fd,93dfcc75-8e6c-4dea-af2c-1578cd665999,c3,c4,1783,?,i7,
1769461158.1632302,SENT,75a7b15d-311f-4bdf-b77d-79fdf7ccecea,3514b7f1-eb68-4e0d-9168-b0c84fc345ab,c5,DROP,1022,?,i11,
1769461158.163321,FORWARDED,75a7b15d-311f-4bdf-b77d-79fdf7ccecea,3514b7f1-eb68-4e0d-9168-b0c84fc345ab,c5,DROP,1022,?,i11,
1769461158.9893148,RECEIVED,09e4f11e-9e12-49de-b213-1d201ea1f098,40193639-5078-42f5-b8be-6070cb5ac079,c3,c4,2474,p3,?,
1769461159.0106952,RECEIVED,33aa4fdd-2efa-4752-bdd4-2f4a3aeff4a7,4a3cdca1-de30-4064-a7ba-995b638783b2,c5,DROP,1444,p2,?,
1769461159.0725827,SENT,09e4f11e-9e12-49de-b213-1d201ea1f098,40193639-5078-42f5-b8be-6070cb5ac079,c3,c4,1780,?,i11,
1769461159.0727093,FORWARDED,09e4f11e-9e12-49de-b213-1d201ea1f098,40193639-5078-42f5-b8be-6070cb5ac079,c3,c4,1780,?,i11,
1769461159.0848222,RECEIVED,f1990ff6-cbae-48e3-a2d1-f71180a1709a,a93b4452-4c76-498d-9e51-1a41a2a34270,c3,c4,2455,p3,?,
1769461159.0877194,SENT,33aa4fdd-2efa-4752-bdd4-2f4a3aeff4a7,4a3cdca1-de30-4064-a7ba-995b638783b2,c5,DROP,1011,?,i7,
1769461159.0878506,FORWARDED,33aa4fdd-2efa-4752-bdd4-2f4a3aeff4a7,4a3cdca1-de30-4064-a7ba-995b638783b2,c5,DROP,1011,?,i7,
1769461159.31482,SENT,4499506d-2123-4e27-af39-92020961a7dc,45d9f9b9-dc2d-4243-afa4-3c1545adc64e,c5,DROP,1007,?,i2,
1769461159.3149028,FORWARDED,4499506d-2123-4e27-af39-92020961a7dc,45d9f9b9-dc2d-4243-afa4-3c1545adc64e,c5,DROP,1007,?,i2,
1769461159.6420162,RECEIVED,ffceb7e5-9ecd-4811-873c-bbbffad06b03,4b3c2af2-9e88-420b-8406-362c3893a05b,c3,c4,2471,p3,?,
1769461159.722485,SENT,ffceb7e5-9ecd-4811-873c-bbbffad06b03,4b3c2af2-9e88-420b-8406-362c3893a05b,c3,c4,1781,?,i7,
1769461159.7226174,FORWARDED,ffceb7e5-9ecd-4811-873c-bbbffad06b03,4b3c2af2-9e88-420b-8406-362c3893a05b,c3,c4,1781,?,i7,
1769461159.732564,SENT,f1990ff6-cbae-48e3-a2d1-f71180a1709a,a93b4452-4c76-498d-9e51-1a41a2a34270,c3,c4,1769,?,i3,
1769461159.7326965,FORWARDED,f1990ff6-cbae-48e3-a2d1-f71180a1709a,a93b4452-4c76-498d-9e51-1a41a2a34270,c3,c4,1769,?,i3,
1769461159.7643406,RECEIVED,a9959cea-5590-43bd-b7c8-d868798a1be5,bfae7c5e-6f69-4e5f-a96b-6d3ed0ac2b7f,c5,c4,2455,p2,?,
1769461160.3324118,RECEIVED,6e54f06b-93b8-434a-854e-660c315a5910,08b3b466-adb5-4180-b98c-e7dadb722cda,c2,c5,2463,p2,?,
1769461161.1566808,SENT,a9959cea-5590-43bd-b7c8-d868798a1be5,bfae7c5e-6f69-4e5f-a96b-6d3ed0ac2b7f,c5,c4,1768,?,i9,
1769461161.1568222,FORWARDED,a9959cea-5590-43bd-b7c8-d868798a1be5,bfae7c5e-6f69-4e5f-a96b-6d3ed0ac2b7f,c5,c4,1768,?,i9,
