timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769465470.1874583,SENT,66166010-eb30-446f-8125-1c970e57c4e5,8584547f-11f2-4e14-a3e9-0c6296a30404,c2,DROP,2015,?,p2,
1769465470.1876,CREATED,288c616f-9da8-4e9d-bffd-0c21faa8c43d,03bd7164-061e-4313-9a60-d85359f756b3,c2,DROP,27,?,?,
1769465470.9358835,SENT,aad05225-a3bc-4d04-9380-15a4e3f65e80,768eb099-dd22-4605-af95-9934559d21d5,c2,c3,3400,?,p2,
1769465470.936024,CREATED,55134c22-65f5-4cf5-928d-45dad36cfa75,ddb7fcfa-b97d-432e-91de-7fd2bf82452f,c2,c3,27,?,?,surb={'id': 'f4db97f7-c0c6-4a3b-a407-eef58dfa0d56', 'route': ['p3', 'e10', 'i10', 'x1', 'p2', 'c2']}
1769465470.9601843,SENT,aace2d05-6052-4790-9f45-6428dfccd509,a811f894-8511-4368-a5d8-999f13a8e784,c2,DROP,2032,?,p2,
1769465470.9602876,CREATED,a7670b4d-efed-4a20-9c93-112f48760386,f6b85a30-14a6-44db-9be8-1bcac21ef7af,c2,DROP,27,?,?,
1769465471.1364536,SENT,1094a57d-f3b6-4fd9-b323-46f011d574e8,36fbf2d8-a758-4420-bdd9-8c6fc8cec73a,c2,c3,3383,?,p2,
1769465471.1366007,CREATED,f15966a8-fc08-4b26-9b40-9a74748d2783,0e170789-8226-482d-808f-5052194845c7,c2,c3,26,?,?,surb={'id': 'c6e5c49f-6878-41bd-af39-b02a9d187355', 'route': ['p3', 'e6', 'i12', 'x12', 'p2', 'c2']}
1769465471.5104277,SENT,50721d0d-1dbc-4936-a898-7f7dcaf3ab04,afc38061-dede-4916-92f2-9dad1e115795,c2,c3,3396,?,p2,
1769465471.5105767,CREATED,555d7775-2688-407d-b5fc-b50028d7b9e2,decc3d8c-256e-4e66-bf34-b50f73a9b213,c2,c3,26,?,?,surb={'id': '375aa67f-4700-48f9-bc4b-89e322de6971', 'route': ['p3', 'e6', 'i7', 'x11', 'p2', 'c2']}
1769465471.8004358,RECEIVED,9f9f9ff4-889b-4d69-bfd9-42bd3470ec55,fa4f9668-a16c-4975-9cdf-05c25e471c28,c4,c2,25,p2,?,surb={'id': '28e12a71-1604-4546-bea7-df4f7816d1b2', 'route': ['p2', 'e1', 'i9', 'x7', 'p1', 'c4']}
1769465471.8344715,SENT,421ba7db-15ff-4bba-b6a1-1130d5b96ac7,f04a4a45-fecb-4deb-8096-96b2ccf51197,c2,c3,3370,?,p2,
1769465471.834605,CREATED,1cf30bfd-4fdb-4972-82e2-a4b21a827812,4700c859-91ad-4b22-91b7-86585e03cf9e,c2,c3,27,?,?,surb={'id': '54c32317-749d-4506-94eb-becdc893e3ae', 'route': ['p3', 'e9', 'i5', 'x7', 'p2', 'c2']}
1769465472.398388,SENT,3272eb21-a505-4680-8825-c24ccac8d396,7a527b13-6f51-4050-972f-2bf6f99330cd,c2,c3,3403,?,p2,
1769465472.3985405,CREATED,15c8de05-1ee1-42d4-8d2e-ca8785a6993d,c6bbefc7-71a0-48a2-92c2-fb3ec8d73097,c2,c3,27,?,?,surb={'id': '4e563c92-34c6-4950-b419-56e57158e1fe', 'route': ['p3', 'e11', 'i9', 'x10', 'p2', 'c2']}
1769465472.5221508,RECEIVED,0a5fba39-1e16-464b-b893-b30ce615f54b,82130a90-42b7-4e61-9b3a-b8f5b564423b,c3,c2,27,p2,?,surb={'id': '22f5dfe5-31c5-4236-916e-2f80b684c35c', 'route': ['p2', 'e5', 'i3', 'x1', 'p3', 'c3']}
1769465472.7231805,RECEIVED,b24451d5-1fee-49cb-bd2b-7c8df2247479,ee625584-7978-48bc-95df-41c5bd9e990a,c3,c2,27,p2,?,surb={'id': 'b41cb927-8a53-4688-a84e-91bed00cc46d', 'route': ['p2', 'e6', 'i3', 'x6', 'p3', 'c3']}
1769465472.7311575,RECEIVED,d9a1f893-0ca4-43ab-b3ce-260de7984b9e,5ea0022d-b103-4be8-978a-3a853b335752,c1,c2,26,p2,?,surb={'id': '6572948e-6607-4525-9486-1507d1ce8dd9', 'route': ['p2', 'e6', 'i4', 'x4', 'p1', 'c1']}
