timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769473489.6153693,SENT,80b52afc-7280-4484-b038-364d19a6018e,840ffeb1-1a54-4719-a604-7d304fda8ea2,c4,DROP,2020,?,p1,
1769473489.6155438,CREATED,6c807175-e843-4ca1-a5f2-0818a9223a96,f909bdec-2239-465b-a3a5-6d6597ae3321,c4,DROP,26,?,?,
1769473490.013767,SENT,9d74f917-1fdd-46ab-a5b3-cb6c40debd96,6772e5a5-ef5e-496b-956f-7a1805c98451,c4,c1,3415,?,p1,
1769473490.0141916,CREATED,555eb313-c466-4349-b593-1c8603986ecf,d1169990-7427-4bf7-b355-4c36e28bdcdc,c4,c1,27,?,?,surb={'id': '9314c2b2-946e-41c1-8fa8-dcee7489a945', 'route': ['p1', 'e2', 'i6', 'x9', 'p1', 'c4']}
1769473490.120943,SENT,8a85c00e-c33f-4b98-8674-c102e8ae7528,0821f72a-5c86-4269-ae5e-1296a9e21c1b,c4,c1,3375,?,p1,
1769473490.121123,CREATED,1c80542d-ba7b-4e52-b956-54f87be97ad9,f4e73975-6222-4de1-b3e1-a7d8b6f8e094,c4,c1,26,?,?,surb={'id': 'e7cddd9f-44d3-4dae-a142-6132923c9624', 'route': ['p1', 'e12', 'i3', 'x6', 'p1', 'c4']}
1769473490.6156714,SENT,1233d06b-882e-4a15-9de6-db8ebe1ccc72,c5a3b41d-f992-4a31-9ec1-cd75bffa5fb8,c4,c1,3383,?,p1,
1769473490.6158195,CREATED,a3530af6-d674-4a3d-866a-6290adef10bc,635e2b32-2781-4126-8f2f-d2601432541e,c4,c1,27,?,?,surb={'id': '1f16f692-e707-4328-86b3-6377050179ba', 'route': ['p1', 'e10', 'i8', 'x4', 'p1', 'c4']}
1769473490.66558,SENT,8642e864-03a7-432c-9dc5-59d709aeb562,0f35601e-3f95-42c7-a6c1-a0ff45158cd7,c4,DROP,2031,?,p1,
1769473490.6657093,CREATED,b17a8047-b91f-4b10-b38a-7762a56749d2,e56eefdc-f471-4f65-bbba-d6d691333ce0,c4,DROP,27,?,?,
1769473490.9157915,SENT,12dc1940-5df9-4c50-915a-0854245c8765,1240fe9d-c70a-43d3-ad1e-2c6fddbe4497,c4,DROP,2023,?,p1,
1769473490.9159226,CREATED,dfbaba2f-1f49-4fd4-ade4-ff80425c4113,5f04baed-6f58-487d-80c4-13ab982f8e96,c4,DROP,27,?,?,
1769473491.5167167,SENT,10bc5e76-df37-455f-ac93-8d1be7de76f9,4296af31-4a20-46f5-866b-e1c1126b5cb9,c4,c1,3377,?,p1,
1769473491.5168617,CREATED,8915b4c2-0555-4e1e-aa7a-1a03fa84505f,652d1a2c-21a4-4351-9342-ba8b75baa580,c4,c1,27,?,?,surb={'id': '84ad80f0-da55-47dc-ac3c-1ab7311ffe28', 'route': ['p1', 'e1', 'i11', 'x5', 'p1', 'c4']}
1769473491.883157,SENT,bc39ec80-cfea-4955-bb20-cb11abf681dc,575ea03e-94e7-4ced-b959-ac01d663297e,c4,c1,3370,?,p1,
1769473491.8832872,CREATED,898eefd4-305a-412b-be46-1f19fd0da0b5,7a9e1cd2-6179-48ad-8bd9-71f90a8cc7bd,c4,c1,27,?,?,surb={'id': '9737b96d-fea2-4f5d-929b-4cb45bbc63e4', 'route': ['p1', 'e12', 'i2', 'x5', 'p1', 'c4']}
1769473491.9665682,SENT,38b7ecb7-5ebd-4fc8-be6c-c7a16ebe982b,85b6ac7b-f8ef-44b7-af18-167aad580dd8,c4,c1,3374,?,p1,
1769473491.9667134,CREATED,9f2baec9-9122-4337-b53e-1ed0ed56f4dd,159e8da8-9268-4a04-a8ed-3283c90e19cd,c4,c1,27,?,?,surb={'id': 'e4d30a54-6e0a-4c3e-a82e-053adb4066ca', 'route': ['p1', 'e4', 'i9', 'x8', 'p1', 'c4']}
1769473492.0174918,SENT,bd16201e-bc1b-4ca2-90cb-8c6914927476,bb665c96-3afe-4138-9e0d-5e47fea60814,c4,c1,3384,?,p1,
1769473492.0176375,CREATED,1c6cdc8c-c508-4f3e-9862-bed1e9584319,9ebc9280-f3a2-42e3-a6fb-47d73884923f,c4,c1,27,?,?,surb={'id': '73665e3d-86de-41ea-abcb-1edf6ebf6108', 'route': ['p1', 'e6', 'i10', 'x1', 'p1', 'c4']}
