timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769473490.2413085,RECEIVED,ee73eeec-c8e5-495c-b155-b1607fc09047,df1944d2-5c85-405a-b14c-0df4b582d48d,c1,c2,2464,p1,?,
1769473490.4063644,SENT,ee73eeec-c8e5-495c-b155-b1607fc09047,df1944d2-5c85-405a-b14c-0df4b582d48d,c1,c2,1775,?,i6,
1769473490.4065068,FORWARDED,ee73eeec-c8e5-495c-b155-b1607fc09047,df1944d2-5c85-405a-b14c-0df4b582d48d,c1,c2,1775,?,i6,
1769473491.7011914,RECEIVED,1f368651-d1b5-4b2f-a09c-aef0fbd3ca76,e47ea1bc-bb6a-4221-a196-3c5556db09ea,c2,DROP,444,x4,?,
1769473492.4924715,RECEIVED,1034d184-b849-43a8-99da-a8f9b48ded3f,323b37d7-e7b6-4dde-b9ee-f6803a7af38a,c1,c2,2464,p1,?,
1769473493.3451993,RECEIVED,bd16201e-bc1b-4ca2-90cb-8c6914927476,bb665c96-3afe-4138-9e0d-5e47fea60814,c4,c1,2464,p1,?,
1769473493.465766,RECEIVED,ffb79c1b-3664-4d81-bb02-1e007b500ead,07f01e6d-ecee-4697-ab6d-6bfa23e1f599,c5,c4,2472,p2,?,
1769473493.5321856,SENT,ffb79c1b-3664-4d81-bb02-1e007b500ead,07f01e6d-ecee-4697-ab6d-6bfa23e1f599,c5,c4,1780,?,i9,
1769473493.5323176,FORWARDED,ffb79c1b-3664-4d81-bb02-1e007b500ead,07f01e6d-ecee-4697-ab6d-6bfa23e1f599,c5,c4,1780,?,i9,
1769473493.5997107,RECEIVED,9621b57f-747c-4399-b93f-93a7e046835b,289220f3-62e1-4563-9afa-2e438c613628,c4,c1,2472,p1,?,
1769473493.6015909,SENT,1034d184-b849-43a8-99da-a8f9b48ded3f,323b37d7-e7b6-4dde-b9ee-f6803a7af38a,c1,c2,1775,?,i11,
1769473493.6017382,FORWARDED,1034d184-b849-43a8-99da-a8f9b48ded3f,323b37d7-e7b6-4dde-b9ee-f6803a7af38a,c1,c2,1775,?,i11,
1769473493.6181264,SENT,bd16201e-bc1b-4ca2-90cb-8c6914927476,bb665c96-3afe-4138-9e0d-5e47fea60814,c4,c1,1775,?,i9,
1769473493.6182578,FORWARDED,bd16201e-bc1b-4ca2-90cb-8c6914927476,bb665c96-3afe-4138-9e0d-5e47fea60814,c4,c1,1775,?,i9,
1769473493.7278035,RECEIVED,edfb8ca3-ca55-4e8a-9c7a-edd25a77460c,cbc0fdcd-5987-4ac2-97f8-3fc987605031,c5,c4,2465,p2,?,
