timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769488294.6148913,SENT,4b747707-0ce8-4cf2-ab28-9762a0250c7b,e6188386-032a-4639-8610-33c2eeaf61a7,c5,c3,3399,?,p2,
1769488294.6151056,CREATED,6b8ead9f-594c-4e62-bfa9-da3b508fb176,8d17d92d-a386-4ea0-991e-41d22063270a,c5,c3,27,?,?,surb={'id': 'e05a6647-b7f4-45e1-b564-27692d2bfced', 'route': ['p3', 'e2', 'i12', 'x3', 'p2', 'c5']}
1769488294.885306,RECEIVED,1757d837-06fa-4b0c-8689-f400d1f72714,6adf41b5-0696-45a7-ab5a-ac84b895da79,c1,c5,27,p2,?,surb={'id': '507430a8-36b9-4dbe-83fd-18a71e1af115', 'route': ['p2', 'e7', 'i11', 'x11', 'p1', 'c1']}
1769488294.9705753,SENT,db969395-e172-40ec-9707-10c21a2a6ae6,6b783e75-bc0c-495c-adae-2cee7a1e572c,c5,c3,3360,?,p2,
1769488294.9707372,CREATED,65e7cb4a-8786-481f-8787-c4fcb5d9bd65,cc576762-3677-4200-a5cc-cdd6326ce4ac,c5,c3,25,?,?,surb={'id': '91dc8d8d-416a-445b-a31f-c5b0f9be186f', 'route': ['p3', 'e1', 'i9', 'x5', 'p2', 'c5']}
1769488295.0850933,SENT,591e5777-6143-4ede-b917-8a54438e2a9f,886b01c9-700f-4301-a2bb-d85fab2f478e,c5,c3,3379,?,p2,
1769488295.0852413,CREATED,802cd071-be9f-4899-901b-f59998087563,96a8a014-4da7-46fd-83c0-131a308ad8ab,c5,c3,27,?,?,surb={'id': 'fb1aa8eb-af9f-43e7-af0b-a96ba2424dc9', 'route': ['p3', 'e4', 'i3', 'x8', 'p2', 'c5']}
1769488295.2205505,SENT,a14adda8-e887-4aaf-be0d-58bdc6174224,a4c39082-f31b-4921-b1b0-5945892f812b,c5,c3,3360,?,p2,
1769488295.2208233,CREATED,46ea30cd-8749-4d7f-a2db-75552b48dd1b,58cfd8fe-2c4e-467f-bda7-bee7be0d27de,c5,c3,26,?,?,surb={'id': 'bae4ebd9-e919-4316-b390-079fb5183e0a', 'route': ['p3', 'e11', 'i10', 'x9', 'p2', 'c5']}
1769488295.8423836,RECEIVED,8d2f5fb9-b3d7-4819-9efa-06b0374f4077,83b813d4-7248-4b39-9977-f6cd8105970a,c1,c5,27,p2,?,surb={'id': 'cf6e3985-104d-42b6-a758-19a4c3dae5d1', 'route': ['p2', 'e9', 'i6', 'x9', 'p1', 'c1']}
1769488295.857684,SENT,47f8f61e-59e1-423a-ae5f-8d489ba9379f,5b25d3b9-52fe-44b5-9da8-8657a3a32543,c5,c3,3383,?,p2,
1769488295.8578362,CREATED,d3080687-63fe-4a3b-9801-fba4158a4d51,8cc2b085-e472-4fd0-91bb-483667624d00,c5,c3,27,?,?,surb={'id': '3a5b1270-fb84-428a-ba5e-0efac030091e', 'route': ['p3', 'e9', 'i8', 'x1', 'p2', 'c5']}
1769488295.8898067,SENT,e0a7c16b-61ae-4f60-9f4c-1db53e009060,e58ea9c2-5c15-4e7a-9bab-520a2cec887f,c5,c3,3359,?,p2,
1769488295.8899899,CREATED,f7370af0-5527-4f1c-bec3-c77482d21ac7,2f64a19f-24cf-4441-ae0d-f1b8bb892e76,c5,c3,26,?,?,surb={'id': '74addc38-f9d9-4f30-8446-6c3fd331ebd2', 'route': ['p3', 'e6', 'i8', 'x6', 'p2', 'c5']}
