timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769488910.345276,RECEIVED,c7f09663-cbe0-4922-910b-03b18ee5a2ad,aae7e5d2-d11d-402e-992b-9129184ce86c,c3,DROP,2039,c3,?,
1769488910.7126727,SENT,c7f09663-cbe0-4922-910b-03b18ee5a2ad,aae7e5d2-d11d-402e-992b-9129184ce86c,c3,DROP,1458,?,e10,
1769488910.7128081,FORWARDED,c7f09663-cbe0-4922-910b-03b18ee5a2ad,aae7e5d2-d11d-402e-992b-9129184ce86c,c3,DROP,1458,?,e10,
1769488910.8727055,RECEIVED,2ada98c9-3c2a-42d2-80b3-4e93836c8806,7bee0f7c-12c7-4c43-a244-f00f86d8c966,c3,DROP,2020,c3,?,
1769488911.0073774,SENT,2ada98c9-3c2a-42d2-80b3-4e93836c8806,7bee0f7c-12c7-4c43-a244-f00f86d8c966,c3,DROP,1443,?,e8,
1769488911.0075076,FORWARDED,2ada98c9-3c2a-42d2-80b3-4e93836c8806,7bee0f7c-12c7-4c43-a244-f00f86d8c966,c3,DROP,1443,?,e8,
1769488911.328358,RECEIVED,0e0a6c6e-74b8-48fc-bb8e-de047faae9ea,96756af5-2c44-4ca0-a3cb-1fcf0352d1fa,c3,c2,3366,c3,?,
1769488911.337277,RECEIVED,34478b9d-7dd9-479f-b9aa-5a71c04d5e2f,42620dbf-7af0-4800-8ef5-a97fe9b5887c,c3,DROP,2037,c3,?,
1769488911.6476448,RECEIVED,cff0dd4a-842f-4d32-b782-5b13af192674,b3d68587-e570-4913-98b1-fe0e9f6bb9ab,c3,c2,3391,c3,?,
1769488911.7091405,RECEIVED,8b0cbf92-4d3e-490e-9865-c7adfacbe61b,9a8a4792-e1ba-4e43-a093-d2dafd5aad63,c3,c2,3401,c3,?,
1769488911.713737,SENT,34478b9d-7dd9-479f-b9aa-5a71c04d5e2f,42620dbf-7af0-4800-8ef5-a97fe9b5887c,c3,DROP,1455,?,e12,
1769488911.7138746,FORWARDED,34478b9d-7dd9-479f-b9aa-5a71c04d5e2f,42620dbf-7af0-4800-8ef5-a97fe9b5887c,c3,DROP,1455,?,e12,
1769488911.8694005,RECEIVED,291d6c42-6d12-4499-9b94-74da86e34323,612734ad-3eb4-42f7-b3fe-c10937009b4f,c3,DROP,2029,c3,?,
1769488911.881301,SENT,cff0dd4a-842f-4d32-b782-5b13af192674,b3d68587-e570-4913-98b1-fe0e9f6bb9ab,c3,c2,2472,?,e3,
1769488911.8814332,FORWARDED,cff0dd4a-842f-4d32-b782-5b13af192674,b3d68587-e570-4913-98b1-fe0e9f6bb9ab,c3,c2,2472,?,e3,
1769488912.0721962,SENT,291d6c42-6d12-4499-9b94-74da86e34323,612734ad-3eb4-42f7-b3fe-c10937009b4f,c3,DROP,1447,?,e12,
1769488912.072331,FORWARDED,291d6c42-6d12-4499-9b94-74da86e34323,612734ad-3eb4-42f7-b3fe-c10937009b4f,c3,DROP,1447,?,e12,
1769488912.0794845,SENT,8b0cbf92-4d3e-490e-9865-c7adfacbe61b,9a8a4792-e1ba-4e43-a093-d2dafd5aad63,c3,c2,2476,?,e12,
1769488912.0796251,FORWARDED,8b0cbf92-4d3e-490e-9865-c7adfacbe61b,9a8a4792-e1ba-4e43-a093-d2dafd5aad63,c3,c2,2476,?,e12,
