timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769490143.5293386,SENT,d5413744-fef1-44cc-b7eb-6a5b39be5abc,25168b9e-0b31-405d-8f53-75a8f620975a,c2,DROP,2040,?,p2,
1769490143.5294611,CREATED,345e101e-2442-4ba5-ae6d-02ee029a5571,5d41fd9b-9184-4559-9643-e89202322793,c2,DROP,27,?,?,
1769490144.0702624,SENT,ade25a8d-2c95-4424-b598-1deab85f4ac6,e6fe9824-b225-4202-8cdf-eac6f8f2eb2f,c2,c1,3376,?,p2,
1769490144.0704663,CREATED,4157e820-2457-44ee-9522-0137feaf7a32,90acf4cd-6a19-48f5-95fa-eccfb8d2dba8,c2,c1,27,?,?,surb={'id': '5e56b553-0a2d-4981-8fff-fd384e888f17', 'route': ['p1', 'e1', 'i1', 'x6', 'p2', 'c2']}
1769490144.7457514,SENT,668e448b-de8c-479f-81d3-473a5b1a45b5,1f8421de-17a0-4007-a640-131271e6ae23,c2,c1,3360,?,p2,
1769490144.7458835,CREATED,fffe41d1-5ce8-4ee5-b2c3-6db5c45121e9,90acf4cd-6a19-48f5-95fa-eccfb8d2dba8,c2,c1,27,?,?,surb={'id': '5e56b553-0a2d-4981-8fff-fd384e888f17', 'route': ['p1', 'e1', 'i1', 'x6', 'p2', 'c2']}
1769490144.8270845,SENT,b71e3e7f-c3d9-4759-8037-c02e057c8e6d,699b51f9-70ab-49da-863f-f98755959b0a,c2,c1,3376,?,p2,
1769490144.8272395,CREATED,87006b5a-89f2-447f-a606-d15fe8cf5d3a,2651b713-8dbc-4019-81e2-808da15a2d90,c2,c1,27,?,?,surb={'id': '160d268b-19f6-422e-b239-d726e3c39a0c', 'route': ['p1', 'e6', 'i7', 'x6', 'p2', 'c2']}
1769490145.5600095,SENT,b3307369-f18c-4590-bd17-bc0efbf14ec7,f44fd5a8-6e7d-4060-bcf1-85a7a8ef08d6,c2,c1,3368,?,p2,
1769490145.5601873,CREATED,8db3b935-e70e-4c80-91d0-3d2d971a8883,2651b713-8dbc-4019-81e2-808da15a2d90,c2,c1,27,?,?,surb={'id': '160d268b-19f6-422e-b239-d726e3c39a0c', 'route': ['p1', 'e6', 'i7', 'x6', 'p2', 'c2']}
1769490146.2076714,SENT,05cb0b6f-566b-4e17-af2c-a0a4b07b93eb,899e9532-ddf3-41de-9734-19e83d69ca3b,c2,c1,3399,?,p2,
1769490146.207818,CREATED,afab2bba-de14-4d32-ae92-acf5dec1b189,d756ef31-c21c-4741-8479-ceb769531dec,c2,c1,25,?,?,surb={'id': 'fb07e137-d933-4d1b-8e9a-338e787fdb49', 'route': ['p1', 'e11', 'i11', 'x12', 'p2', 'c2']}
1769490146.2795775,SENT,7153d70e-892e-4eee-aa8a-576c937fb9a6,57456280-57c4-4891-836b-1bcd551be06a,c2,c1,3396,?,p2,
1769490146.2797334,CREATED,8d4e841e-4662-4498-bd79-f74fa36ed445,d756ef31-c21c-4741-8479-ceb769531dec,c2,c1,25,?,?,surb={'id': 'fb07e137-d933-4d1b-8e9a-338e787fdb49', 'route': ['p1', 'e11', 'i11', 'x12', 'p2', 'c2']}
1769490146.6000154,RECEIVED,1a9c84a5-37fa-4463-bd9d-4b0b4df9d2c8,9c89386b-469a-471b-9dc2-9eed41040ed6,c1,c2,27,p2,?,surb={'id': 'c7517fa8-24d2-40c8-85d5-3605454f11a8', 'route': ['p2', 'e5', 'i6', 'x9', 'p1', 'c1']}
1769490146.780992,SENT,ddef4203-38ff-4408-bfd9-05886fb20f20,67d784ea-af4a-4af3-bb82-35255483907b,c2,c1,3375,?,p2,
1769490146.7811766,CREATED,6261a1ad-69b9-484f-b335-13b13b2f3b4e,802a08df-e62c-4ee2-a58f-c475db5ffafa,c2,c1,27,?,?,surb={'id': '20d191ca-0f3b-4e7b-8eb0-b7212b916f63', 'route': ['p1', 'e8', 'i1', 'x10', 'p2', 'c2']}
1769490146.9837744,SENT,e154e546-01be-424d-a737-c9759c56f7e8,78df7341-2c97-45e6-b49b-c6430777f562,c2,c1,3394,?,p2,
1769490146.9839063,CREATED,a9e019f3-d4f0-450d-887e-4caa03c85620,802a08df-e62c-4ee2-a58f-c475db5ffafa,c2,c1,27,?,?,surb={'id': '20d191ca-0f3b-4e7b-8eb0-b7212b916f63', 'route': ['p1', 'e8', 'i1', 'x10', 'p2', 'c2']}
1769490147.0650423,RECEIVED,a60dca05-1d7e-4e53-933b-171c9d44b3c7,9c89386b-469a-471b-9dc2-9eed41040ed6,c1,c2,27,p2,?,surb={'id': 'c7517fa8-24d2-40c8-85d5-3605454f11a8', 'route': ['p2', 'e5', 'i6', 'x9', 'p1', 'c1']}
1769490147.40694,RECEIVED,cd3538af-bb65-44ef-8736-538cb3060270,12bb5609-1423-4c58-8ac5-a034830b027e,c1,c2,26,p2,?,surb={'id': '89ffadbf-96ee-4016-bb0e-e7679b4e5bc5', 'route': ['p2', 'e4', 'i8', 'x2', 'p1', 'c1']}
1769490147.4609063,SENT,c2525c9e-cf2f-49e6-9f2a-5e8a50f0ac4e,2458b3fb-b5a9-483b-839e-d230f481df8b,c2,c1,3367,?,p2,
1769490147.4610825,CREATED,30440265-d9e3-45e9-aad3-63e59eafb0b4,9d0ad2bb-e874-40ec-9d92-e0db2cb43e60,c2,c1,27,?,?,surb={'id': '81bd0bdc-13c0-4776-bb57-226d01361abf', 'route': ['p1', 'e12', 'i7', 'x6', 'p2', 'c2']}
1769490147.987884,SENT,e4e9edc7-99ef-4df4-b9b5-16368ca70770,90eabf96-9deb-42c8-91e8-28a9120d6ec9,c2,c1,3371,?,p2,
1769490147.9880302,CREATED,3f99bef3-ce43-4c52-9794-7f7d51bcfc5c,9d0ad2bb-e874-40ec-9d92-e0db2cb43e60,c2,c1,27,?,?,surb={'id': '81bd0bdc-13c0-4776-bb57-226d01361abf', 'route': ['p1', 'e12', 'i7', 'x6', 'p2', 'c2']}
1769490148.1038268,RECEIVED,a8c75b1b-9e4b-465d-bf08-5dece6f9bd13,b19a150c-835b-4bf7-ad15-75fd0ef89d91,c1,c2,27,p2,?,surb={'id': 'd4bad471-ded0-4079-9441-9ab8b17d767d', 'route': ['p2', 'e5', 'i12', 'x3', 'p1', 'c1']}
1769490148.390168,SENT,9a01b2cd-5437-4fe0-95a6-06dff5e49ec9,18db0ef0-b12b-4f5b-a526-96202f561645,c2,c1,3371,?,p2,
1769490148.3903186,CREATED,30aca972-a519-48f0-91c1-4e034f995944,bbc24114-39da-434f-aab0-d86507d7272b,c2,c1,27,?,?,surb={'id': 'e805c3d3-4da7-41ab-8be9-36222b9237e7', 'route': ['p1', 'e1', 'i9', 'x4', 'p2', 'c2']}
1769490148.5359938,SENT,46f56a98-2c28-4adf-9aa4-83fce1655030,f1822384-c47f-4534-93f7-f8e8dc43563e,c2,c1,3364,?,p2,
1769490148.5369163,CREATED,4d31a2fe-2d30-4a50-aae9-ebc4c364e23c,bbc24114-39da-434f-aab0-d86507d7272b,c2,c1,27,?,?,surb={'id': 'e805c3d3-4da7-41ab-8be9-36222b9237e7', 'route': ['p1', 'e1', 'i9', 'x4', 'p2', 'c2']}
1769490148.8063035,RECEIVED,8b1b64eb-eb58-4939-86cb-93652fc80dbf,f7610537-a7fb-4fee-8520-e19742e721c9,c1,c2,27,p2,?,surb={'id': '31a6da13-2959-4d5f-af71-f6085cadc1dc', 'route': ['p2', 'e7', 'i9', 'x3', 'p1', 'c1']}
1769490148.8095558,RECEIVED,fda785fb-e5e6-4af8-a4c3-3e1f2d98510c,f7610537-a7fb-4fee-8520-e19742e721c9,c1,c2,27,p2,?,surb={'id': '31a6da13-2959-4d5f-af71-f6085cadc1dc', 'route': ['p2', 'e7', 'i9', 'x3', 'p1', 'c1']}
1769490148.9554868,SENT,c9e40f52-7112-4137-a2da-4b05cf3ebe59,8cf5ea84-1276-40e3-9f74-966e9ddbea11,c2,c1,3382,?,p2,
1769490148.955797,CREATED,22cbe09e-a475-4e48-81a0-c8b66c87229f,959ff3c3-8b77-45e7-bfa1-8a7c56a18a6b,c2,c1,26,?,?,surb={'id': '3db93d08-2ca1-47f3-bacc-a8ec5b690fbf', 'route': ['p1', 'e6', 'i3', 'x9', 'p2', 'c2']}
1769490149.2924085,SENT,7920d8d6-2b19-4025-8ed7-760f3f806d6e,1b0572b5-a7cd-4449-8214-38af2794753e,c2,c1,3385,?,p2,
1769490149.2925527,CREATED,98c0aa1f-80b2-4aee-9e46-e558d6be03c0,959ff3c3-8b77-45e7-bfa1-8a7c56a18a6b,c2,c1,26,?,?,surb={'id': '3db93d08-2ca1-47f3-bacc-a8ec5b690fbf', 'route': ['p1', 'e6', 'i3', 'x9', 'p2', 'c2']}
