timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769497547.9584043,SENT,1d2654a5-b54e-4b66-b923-e9e08806f069,613f7fe9-3061-4822-8ba9-4784e13b292c,c5,c2,3392,?,p2,
1769497547.9585738,CREATED,f7b1816e-072d-4229-96ee-9a458c1ccc7b,0a2f3b10-761f-49e0-9b9f-29c43ec1de1b,c5,c2,27,?,?,surb={'id': '28ff7e61-2340-42b5-850e-c8f98270f0f5', 'route': ['p2', 'e5', 'i12', 'x6', 'p2', 'c5']}
1769497548.126453,SENT,e5372e00-089a-4522-85f2-06a4084e8933,4046aaf8-cecc-4b37-b67d-aebe5634e05f,c5,c2,3379,?,p2,
1769497548.1265848,CREATED,2df0d3c6-b9fe-4d6a-9542-c1635fb878a9,0a2f3b10-761f-49e0-9b9f-29c43ec1de1b,c5,c2,27,?,?,surb={'id': '28ff7e61-2340-42b5-850e-c8f98270f0f5', 'route': ['p2', 'e5', 'i12', 'x6', 'p2', 'c5']}
1769497548.1598146,SENT,8b3c8f5e-e081-4664-b863-01b99fdfa3b3,3d5e69a0-0894-4689-b43d-f9518568507f,c5,c2,3393,?,p2,
1769497548.1599438,CREATED,060bf12d-4cc0-467f-8254-f2d0c7fa153f,d0c885ec-32ed-4d66-8791-82e519751ee0,c5,c2,27,?,?,surb={'id': 'fdfd6fe4-b875-465a-a243-6c9da650f863', 'route': ['p2', 'e2', 'i2', 'x6', 'p2', 'c5']}
1769497548.1661906,SENT,a07d929d-80b5-4966-af58-def80d4b700d,6f4e3cdd-9416-4a00-97d1-980163af3a9f,c5,c2,3379,?,p2,
1769497548.16632,CREATED,cf47b4ef-5fab-4a94-8447-ed4a9c0abff8,d0c885ec-32ed-4d66-8791-82e519751ee0,c5,c2,27,?,?,surb={'id': 'fdfd6fe4-b875-465a-a243-6c9da650f863', 'route': ['p2', 'e2', 'i2', 'x6', 'p2', 'c5']}
1769497548.228472,SENT,41d42c11-ae63-43b8-af72-d6b251edc454,020be8f6-d821-43d7-a03a-e6d750a0667e,c5,c2,3392,?,p2,
1769497548.228603,CREATED,653b9088-d300-4e76-bcce-b5713395f18e,19c1bb8e-cc15-403b-9be6-e90c9c8e0487,c5,c2,26,?,?,surb={'id': '6c70bd9a-668a-40ac-b64b-7847f55a8b57', 'route': ['p2', 'e12', 'i10', 'x10', 'p2', 'c5']}
1769497548.2748554,SENT,bf1deeec-9ebd-4074-a50d-6f53c553f245,b10be855-d8b4-466d-b4b9-cca0c03da904,c5,c2,3394,?,p2,
1769497548.2749875,CREATED,d8b805d2-6fb1-4a22-84f0-9046897e3619,19c1bb8e-cc15-403b-9be6-e90c9c8e0487,c5,c2,26,?,?,surb={'id': '6c70bd9a-668a-40ac-b64b-7847f55a8b57', 'route': ['p2', 'e12', 'i10', 'x10', 'p2', 'c5']}
1769497548.3924575,SENT,ed83c7dd-e63f-48a6-ad71-af24d9ae527f,10181e0f-36e1-4ab6-b3ba-916495fcf73c,c5,c2,3404,?,p2,
1769497548.392608,CREATED,81a5a331-c8ae-45a8-8d49-3174d0a02354,2d569d89-a789-499c-9f41-f1e2f58fad22,c5,c2,27,?,?,surb={'id': '4b522d63-df0a-46a1-a8d8-4f3c2c91ff40', 'route': ['p2', 'e10', 'i9', 'x2', 'p2', 'c5']}
1769497548.6805053,SENT,e0edd609-d0bf-4faf-a6ec-a64b97689e24,64439f32-f622-4022-87e6-90f3884d628e,c5,c2,3383,?,p2,
1769497548.6806371,CREATED,3d3c4ce7-4be6-4b0b-b2ae-e0922a1370ab,2d569d89-a789-499c-9f41-f1e2f58fad22,c5,c2,27,?,?,surb={'id': '4b522d63-df0a-46a1-a8d8-4f3c2c91ff40', 'route': ['p2', 'e10', 'i9', 'x2', 'p2', 'c5']}
1769497548.8505821,RECEIVED,07ba8f25-c37f-453d-8de8-b87cc6ba32de,06c721a9-3a72-4bc9-92dc-4c99dd835b9b,c1,c5,26,p2,?,surb={'id': 'fdbdc6ce-1503-4173-8dd4-6311b6f4ff61', 'route': ['p2', 'e3', 'i10', 'x4', 'p1', 'c1']}
1769497549.7525728,SENT,d4f69ed1-ff14-4f76-aa80-3bded3d8148c,f252716c-9020-488c-9f8e-8a60ae352889,c5,c2,3397,?,p2,
