timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769501250.5158277,RECEIVED,038671df-7842-4d52-908a-dbfb5e8f0907,7e8695c3-b04e-4283-9743-e46b1c665a45,c4,c2,1262,i9,?,
1769501250.826589,RECEIVED,0796e2fc-1438-477c-a953-44df8b0db1dc,d5328b45-74ff-4145-a0d6-739809e686b0,c2,c5,1251,i6,?,
1769501250.8545938,RECEIVED,07575ad7-d739-400b-93c0-51cb6467a937,83774cee-5fa1-4403-a509-99d9b0f10d6a,c3,DROP,681,i6,?,
1769501250.8610332,RECEIVED,353a23ce-83a0-43ce-b439-03f96fba9ac3,52cf2fc3-cf95-400a-a31a-3a142c81fa0e,c3,DROP,442,x2,?,
1769501251.089157,SENT,038671df-7842-4d52-908a-dbfb5e8f0907,7e8695c3-b04e-4283-9743-e46b1c665a45,c4,c2,876,?,p2,
1769501251.0892825,FORWARDED,038671df-7842-4d52-908a-dbfb5e8f0907,7e8695c3-b04e-4283-9743-e46b1c665a45,c4,c2,876,?,p2,
1769501251.5667348,RECEIVED,1b596c55-d418-4022-ad79-621ada8d431b,7b6a43d2-0c2b-405d-8e08-62fe76b01f36,c4,DROP,687,i3,?,
1769501251.6463132,SENT,1b596c55-d418-4022-ad79-621ada8d431b,7b6a43d2-0c2b-405d-8e08-62fe76b01f36,c4,DROP,442,?,i8,
1769501251.6464148,FORWARDED,1b596c55-d418-4022-ad79-621ada8d431b,7b6a43d2-0c2b-405d-8e08-62fe76b01f36,c4,DROP,442,?,i8,
1769501251.6495922,RECEIVED,a05704f9-45b9-425a-ac8f-c398153dfea3,298fbe82-3057-4162-b2fb-e89b7456d115,c2,DROP,682,i8,?,
1769501251.7867563,RECEIVED,0ffdea68-afc2-4d8e-b8fa-60ae746823df,f0b45ffb-320d-44e4-aafb-4959ac90f669,c2,DROP,445,x10,?,
1769501252.018433,RECEIVED,b4461bde-6207-46e1-830d-bff7f21211dd,5c8e0748-114c-4f57-89f6-1bc98f25a6cd,c2,DROP,687,i1,?,
1769501252.040721,RECEIVED,231648db-66e8-43af-9872-c5d711cfb4f5,b10a9a64-6221-4b2b-87d9-43a4c39bd9ad,c5,DROP,687,i1,?,
1769501252.1828942,SENT,07575ad7-d739-400b-93c0-51cb6467a937,83774cee-5fa1-4403-a509-99d9b0f10d6a,c3,DROP,440,?,x6,
1769501252.182955,FORWARDED,07575ad7-d739-400b-93c0-51cb6467a937,83774cee-5fa1-4403-a509-99d9b0f10d6a,c3,DROP,440,?,x6,
1769501252.2050824,SENT,a05704f9-45b9-425a-ac8f-c398153dfea3,298fbe82-3057-4162-b2fb-e89b7456d115,c2,DROP,441,?,x7,
1769501252.2052066,FORWARDED,a05704f9-45b9-425a-ac8f-c398153dfea3,298fbe82-3057-4162-b2fb-e89b7456d115,c2,DROP,441,?,x7,
1769501252.3418941,SENT,0796e2fc-1438-477c-a953-44df8b0db1dc,d5328b45-74ff-4145-a0d6-739809e686b0,c2,c5,867,?,p2,
1769501252.3419738,FORWARDED,0796e2fc-1438-477c-a953-44df8b0db1dc,d5328b45-74ff-4145-a0d6-739809e686b0,c2,c5,867,?,p2,
1769501252.3951218,RECEIVED,19a4c196-995c-42f0-8cc1-7366cee1465d,78fe26ec-de6d-407e-a45f-03757629b374,c4,c2,1265,i1,?,
1769501252.4146104,RECEIVED,a07a7612-122c-48e9-85a6-e0e9fe5854de,2de8f43a-a4aa-4c68-b6a1-a73f423fdb6b,c2,DROP,442,x4,?,
1769501252.444093,SENT,19a4c196-995c-42f0-8cc1-7366cee1465d,78fe26ec-de6d-407e-a45f-03757629b374,c4,c2,875,?,p2,
1769501252.4441383,FORWARDED,19a4c196-995c-42f0-8cc1-7366cee1465d,78fe26ec-de6d-407e-a45f-03757629b374,c4,c2,875,?,p2,
1769501252.5912957,RECEIVED,09c29fc2-48c6-4169-a0e5-416e417bc9ec,31a72919-40f9-4abe-9af3-81c8aa639acd,c3,DROP,687,i11,?,
1769501252.6620188,RECEIVED,ce3d2719-5dd2-41ae-925d-3f535b0c2488,8ad47598-4ef2-40ed-a73d-f9abb73a5eff,c1,DROP,684,i7,?,
1769501252.6867197,RECEIVED,af3669d7-ca9d-4a18-9db6-2f22a0ec3040,f54b3b46-a791-49d1-ab6c-2b84d2f083a0,c5,DROP,442,x5,?,
1769501252.8740816,SENT,231648db-66e8-43af-9872-c5d711cfb4f5,b10a9a64-6221-4b2b-87d9-43a4c39bd9ad,c5,DROP,443,?,e5,
1769501252.8741271,FORWARDED,231648db-66e8-43af-9872-c5d711cfb4f5,b10a9a64-6221-4b2b-87d9-43a4c39bd9ad,c5,DROP,443,?,e5,
1769501252.927676,RECEIVED,44f95cb2-1ed1-423e-84f2-f4987bf40bcc,bdba314e-6d89-4ee8-8f8f-74c0272a63f9,c3,DROP,684,i5,?,
1769501253.0721788,SENT,ce3d2719-5dd2-41ae-925d-3f535b0c2488,8ad47598-4ef2-40ed-a73d-f9abb73a5eff,c1,DROP,441,?,x3,
1769501253.07223,FORWARDED,ce3d2719-5dd2-41ae-925d-3f535b0c2488,8ad47598-4ef2-40ed-a73d-f9abb73a5eff,c1,DROP,441,?,x3,
1769501253.089819,RECEIVED,687da5a2-4e8b-4119-aeb9-0b14a2b06526,9aec8008-99c5-44ad-962a-891cb397c0eb,c3,DROP,692,i10,?,
1769501253.1026022,RECEIVED,809ca1ef-becd-46f7-9e3a-61f77960a0d8,6d796f02-522e-4be8-a4b0-e97f5d7290ad,c4,DROP,691,i11,?,
1769501253.1273947,SENT,44f95cb2-1ed1-423e-84f2-f4987bf40bcc,bdba314e-6d89-4ee8-8f8f-74c0272a63f9,c3,DROP,441,?,x6,
1769501253.1274574,FORWARDED,44f95cb2-1ed1-423e-84f2-f4987bf40bcc,bdba314e-6d89-4ee8-8f8f-74c0272a63f9,c3,DROP,441,?,x6,
1769501253.1409516,RECEIVED,456c61fb-2ee6-4acd-8457-1541549ed72c,bc5b4097-7018-47f4-8c7f-357536bda072,c5,DROP,444,x10,?,
1769501253.1558473,SENT,09c29fc2-48c6-4169-a0e5-416e417bc9ec,31a72919-40f9-4abe-9af3-81c8aa639acd,c3,DROP,444,?,x9,
1769501253.155954,FORWARDED,09c29fc2-48c6-4169-a0e5-416e417bc9ec,31a72919-40f9-4abe-9af3-81c8aa639acd,c3,DROP,444,?,x9,
1769501253.2244954,SENT,687da5a2-4e8b-4119-aeb9-0b14a2b06526,9aec8008-99c5-44ad-962a-891cb397c0eb,c3,DROP,447,?,i8,
