timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769504334.0713768,RECEIVED,486d56f7-6402-497a-af2e-4d6a38499073,25128680-63cb-4514-8fe1-c207c652ac67,c1,c3,2458,p1,?,
1769504334.2302113,SENT,486d56f7-6402-497a-af2e-4d6a38499073,25128680-63cb-4514-8fe1-c207c652ac67,c1,c3,1771,?,i6,
1769504334.230352,FORWARDED,486d56f7-6402-497a-af2e-4d6a38499073,25128680-63cb-4514-8fe1-c207c652ac67,c1,c3,1771,?,i6,
1769504334.563242,RECEIVED,ee9ff5e0-5643-4df4-b111-7a874b9fdd9a,ba1de9a8-a8e7-45c1-b12a-ce37517cca4e,c4,c2,2473,p1,?,
1769504334.6003141,SENT,ee9ff5e0-5643-4df4-b111-7a874b9fdd9a,ba1de9a8-a8e7-45c1-b12a-ce37517cca4e,c4,c2,1781,?,i11,
1769504334.6004467,FORWARDED,ee9ff5e0-5643-4df4-b111-7a874b9fdd9a,ba1de9a8-a8e7-45c1-b12a-ce37517cca4e,c4,c2,1781,?,i11,
1769504335.2947752,RECEIVED,7893e4aa-acd7-4910-8b2e-05ef85987b22,b8db73c2-fdec-454a-abb2-c9f47c99ca44,c3,DROP,1447,p3,?,
1769504335.9112628,SENT,7893e4aa-acd7-4910-8b2e-05ef85987b22,b8db73c2-fdec-454a-abb2-c9f47c99ca44,c3,DROP,1013,?,i7,
1769504335.9113958,FORWARDED,7893e4aa-acd7-4910-8b2e-05ef85987b22,b8db73c2-fdec-454a-abb2-c9f47c99ca44,c3,DROP,1013,?,i7,
1769504336.3004196,RECEIVED,838b8bbb-6e14-46c2-9a0b-760b1ec5146e,36766872-3e95-4999-a346-98ab8dad6821,c2,c3,2477,p2,?,
1769504336.6455514,RECEIVED,a6f00695-7948-4a45-b4c0-c9b0bb12dd19,a7b4c392-20f4-4e2b-9e01-8994e3e4f9c7,c2,c3,2460,p2,?,
1769504336.6849127,SENT,838b8bbb-6e14-46c2-9a0b-760b1ec5146e,36766872-3e95-4999-a346-98ab8dad6821,c2,c3,1784,?,i11,
1769504336.6850452,FORWARDED,838b8bbb-6e14-46c2-9a0b-760b1ec5146e,36766872-3e95-4999-a346-98ab8dad6821,c2,c3,1784,?,i11,
1769504336.8782947,SENT,a6f00695-7948-4a45-b4c0-c9b0bb12dd19,a7b4c392-20f4-4e2b-9e01-8994e3e4f9c7,c2,c3,1771,?,i11,
1769504336.8784251,FORWARDED,a6f00695-7948-4a45-b4c0-c9b0bb12dd19,a7b4c392-20f4-4e2b-9e01-8994e3e4f9c7,c2,c3,1771,?,i11,
1769504337.0784636,RECEIVED,58f0d8a8-53a8-46c7-a201-aea4808fc20e,e526e923-6b1f-4049-836b-ce55e83e4028,c4,None,2235,p1,?,
1769504337.0994296,RECEIVED,4320f7de-2dd5-4201-98a1-bb2dd4cb174f,5fb44910-5ae3-402f-aa3b-24896498bfa5,c2,DROP,1447,p2,?,
1769504337.4258227,SENT,58f0d8a8-53a8-46c7-a201-aea4808fc20e,e526e923-6b1f-4049-836b-ce55e83e4028,c4,None,1603,?,i7,
1769504337.4259582,FORWARDED,58f0d8a8-53a8-46c7-a201-aea4808fc20e,e526e923-6b1f-4049-836b-ce55e83e4028,c4,None,1603,?,i7,
1769504337.8691258,RECEIVED,a6e359b4-d1ac-4b69-ba17-026afe04607c,c40b44c0-852d-481d-b7b8-4ebd10e044b4,c1,c3,2473,p1,?,
1769504337.9779909,SENT,a6e359b4-d1ac-4b69-ba17-026afe04607c,c40b44c0-852d-481d-b7b8-4ebd10e044b4,c1,c3,1782,?,i12,
1769504337.9781554,FORWARDED,a6e359b4-d1ac-4b69-ba17-026afe04607c,c40b44c0-852d-481d-b7b8-4ebd10e044b4,c1,c3,1782,?,i12,
1769504338.1403387,RECEIVED,4dd3a93c-1015-438d-b1cc-09ecc286576e,f15a2847-0ff5-4743-a384-7241a5fc7e4c,c3,None,2246,p3,?,
1769504338.1831672,SENT,4dd3a93c-1015-438d-b1cc-09ecc286576e,f15a2847-0ff5-4743-a384-7241a5fc7e4c,c3,None,1611,?,i11,
1769504338.1833103,FORWARDED,4dd3a93c-1015-438d-b1cc-09ecc286576e,f15a2847-0ff5-4743-a384-7241a5fc7e4c,c3,None,1611,?,i11,
1769504338.7770066,SENT,4320f7de-2dd5-4201-98a1-bb2dd4cb174f,5fb44910-5ae3-402f-aa3b-24896498bfa5,c2,DROP,1012,?,i7,
1769504338.7771757,FORWARDED,4320f7de-2dd5-4201-98a1-bb2dd4cb174f,5fb44910-5ae3-402f-aa3b-24896498bfa5,c2,DROP,1012,?,i7,
1769504339.6920207,RECEIVED,80bf165e-3f07-4b34-b810-da52edbbdb5e,0601679a-f2d9-4fe6-9562-cd98e9632dde,c3,None,2237,p3,?,
1769504339.7534313,SENT,80bf165e-3f07-4b34-b810-da52edbbdb5e,0601679a-f2d9-4fe6-9562-cd98e9632dde,c3,None,1604,?,i9,
1769504339.7536073,FORWARDED,80bf165e-3f07-4b34-b810-da52edbbdb5e,0601679a-f2d9-4fe6-9562-cd98e9632dde,c3,None,1604,?,i9,
1769504339.882438,RECEIVED,051a2a44-0ea1-4c05-b97a-249772bc665b,a00c1555-2e56-40da-9aa8-fca56316f793,c3,DROP,1448,p3,?,
1769504339.980767,SENT,051a2a44-0ea1-4c05-b97a-249772bc665b,a00c1555-2e56-40da-9aa8-fca56316f793,c3,DROP,1014,?,i3,
1769504339.9808972,FORWARDED,051a2a44-0ea1-4c05-b97a-249772bc665b,a00c1555-2e56-40da-9aa8-fca56316f793,c3,DROP,1014,?,i3,
1769504340.0851855,RECEIVED,7bb30c3a-065a-4b12-b440-5bdec6bdb2d5,92acfe8e-4126-4a7d-94a7-14f439b74580,c4,c2,2459,p1,?,
1769504340.211043,RECEIVED,ef2fe6b7-6e7b-4e0b-9d17-175318d927de,457eba2f-642d-49fc-82ea-53a88a0cd867,c5,c4,2460,p2,?,
1769504340.4739518,SENT,ef2fe6b7-6e7b-4e0b-9d17-175318d927de,457eba2f-642d-49fc-82ea-53a88a0cd867,c5,c4,1771,?,i8,
1769504340.4747732,FORWARDED,ef2fe6b7-6e7b-4e0b-9d17-175318d927de,457eba2f-642d-49fc-82ea-53a88a0cd867,c5,c4,1771,?,i8,
1769504340.9439828,SENT,7bb30c3a-065a-4b12-b440-5bdec6bdb2d5,92acfe8e-4126-4a7d-94a7-14f439b74580,c4,c2,1773,?,i8,
1769504340.9441657,FORWARDED,7bb30c3a-065a-4b12-b440-5bdec6bdb2d5,92acfe8e-4126-4a7d-94a7-14f439b74580,c4,c2,1773,?,i8,
1769504341.6008775,RECEIVED,c225b870-cf6d-4f7a-890a-2c7c120d1932,ad002171-744f-4c80-99be-cfc9adc89943,c4,None,2248,p1,?,
1769504341.8625858,RECEIVED,40c5fe30-e5c4-4c21-9d0d-fda8fe50ae9b,d722f70a-f21a-44d7-b612-022a2e5ddf6b,c2,None,2223,p2,?,
1769504342.075376,SENT,c225b870-cf6d-4f7a-890a-2c7c120d1932,ad002171-744f-4c80-99be-cfc9adc89943,c4,None,1612,?,i12,
1769504342.0755017,FORWARDED,c225b870-cf6d-4f7a-890a-2c7c120d1932,ad002171-744f-4c80-99be-cfc9adc89943,c4,None,1612,?,i12,
1769504342.7678423,RECEIVED,3a9d7fc2-7099-4ce6-93c2-1d982615cd81,c8e87566-be98-4bac-a883-7c577672da36,c2,c3,2476,p2,?,
1769504342.8154075,SENT,40c5fe30-e5c4-4c21-9d0d-fda8fe50ae9b,d722f70a-f21a-44d7-b612-022a2e5ddf6b,c2,None,1595,?,i9,
1769504342.8154614,FORWARDED,40c5fe30-e5c4-4c21-9d0d-fda8fe50ae9b,d722f70a-f21a-44d7-b612-022a2e5ddf6b,c2,None,1595,?,i9,
1769504342.8279943,RECEIVED,0eee9cc4-0b7d-435f-8d98-2cf5e1b4057d,4da7fe55-bfe8-4234-8d05-761a20d0be5a,c2,None,2236,p2,?,
1769504343.0009918,SENT,0eee9cc4-0b7d-435f-8d98-2cf5e1b4057d,4da7fe55-bfe8-4234-8d05-761a20d0be5a,c2,None,1604,?,i5,
1769504343.0010846,FORWARDED,0eee9cc4-0b7d-435f-8d98-2cf5e1b4057d,4da7fe55-bfe8-4234-8d05-761a20d0be5a,c2,None,1604,?,i5,
1769504343.1306884,RECEIVED,c33b2527-b81b-4989-87ab-1428d8a9aa0f,704b522e-b21e-464b-8aae-35286ba88dc0,c5,c4,2447,p2,?,
1769504343.1947305,RECEIVED,29f59179-e78c-4176-85d3-e367fef238ae,5506fcd6-0522-4878-ac45-ccf9253765d5,c3,c4,2463,p3,?,
1769504343.6065905,RECEIVED,c15842e7-98d5-40f3-8279-99a8ef12cfab,ffa8058b-51b9-4e60-94ca-ab930db4f39d,c3,c4,2462,p3,?,
1769504343.6346405,RECEIVED,b67df841-858b-4d6b-9739-6177b0b6459d,b6195878-f584-4c74-bd5c-11c7d26be588,c3,c4,2467,p3,?,
1769504343.6488054,SENT,3a9d7fc2-7099-4ce6-93c2-1d982615cd81,c8e87566-be98-4bac-a883-7c577672da36,c2,c3,1783,?,i11,
1769504343.6489275,FORWARDED,3a9d7fc2-7099-4ce6-93c2-1d982615cd81,c8e87566-be98-4bac-a883-7c577672da36,c2,c3,1783,?,i11,
1769504343.7333953,SENT,c33b2527-b81b-4989-87ab-1428d8a9aa0f,704b522e-b21e-464b-8aae-35286ba88dc0,c5,c4,1762,?,i1,
1769504343.7334797,FORWARDED,c33b2527-b81b-4989-87ab-1428d8a9aa0f,704b522e-b21e-464b-8aae-35286ba88dc0,c5,c4,1762,?,i1,
1769504343.743022,RECEIVED,fc9689a7-0cd2-4b87-98cb-12cb8db0931c,1042fac5-2805-4547-a06e-01fdbe74e3ae,c3,None,2239,p3,?,
1769504343.895605,RECEIVED,9729d21a-990b-42c6-9abe-9e2682c0df49,abdac110-7803-4573-926e-cacffefd3a20,c4,None,2246,p1,?,
1769504343.9372191,SENT,9729d21a-990b-42c6-9abe-9e2682c0df49,abdac110-7803-4573-926e-cacffefd3a20,c4,None,1609,?,i11,
1769504343.9375005,FORWARDED,9729d21a-990b-42c6-9abe-9e2682c0df49,abdac110-7803-4573-926e-cacffefd3a20,c4,None,1609,?,i11,
1769504344.110607,SENT,29f59179-e78c-4176-85d3-e367fef238ae,5506fcd6-0522-4878-ac45-ccf9253765d5,c3,c4,1775,?,i4,
1769504344.1107244,FORWARDED,29f59179-e78c-4176-85d3-e367fef238ae,5506fcd6-0522-4878-ac45-ccf9253765d5,c3,c4,1775,?,i4,
1769504344.330653,SENT,fc9689a7-0cd2-4b87-98cb-12cb8db0931c,1042fac5-2805-4547-a06e-01fdbe74e3ae,c3,None,1608,?,i1,
1769504344.3307066,FORWARDED,fc9689a7-0cd2-4b87-98cb-12cb8db0931c,1042fac5-2805-4547-a06e-01fdbe74e3ae,c3,None,1608,?,i1,
1769504344.4936802,RECEIVED,b0a903d4-814a-42e1-bd40-cce783fe87bc,b311931b-6129-4ae1-a31d-f2fb62b597b7,c1,c3,2452,p1,?,
1769504344.6039515,SENT,b0a903d4-814a-42e1-bd40-cce783fe87bc,b311931b-6129-4ae1-a31d-f2fb62b597b7,c1,c3,1765,?,i5,
1769504344.6041305,FORWARDED,b0a903d4-814a-42e1-bd40-cce783fe87bc,b311931b-6129-4ae1-a31d-f2fb62b597b7,c1,c3,1765,?,i5,
1769504344.6598632,SENT,b67df841-858b-4d6b-9739-6177b0b6459d,b6195878-f584-4c74-bd5c-11c7d26be588,c3,c4,1777,?,i3,
1769504344.6600132,FORWARDED,b67df841-858b-4d6b-9739-6177b0b6459d,b6195878-f584-4c74-bd5c-11c7d26be588,c3,c4,1777,?,i3,
1769504344.8914847,SENT,c15842e7-98d5-40f3-8279-99a8ef12cfab,ffa8058b-51b9-4e60-94ca-ab930db4f39d,c3,c4,1775,?,i1,
1769504344.8915508,FORWARDED,c15842e7-98d5-40f3-8279-99a8ef12cfab,ffa8058b-51b9-4e60-94ca-ab930db4f39d,c3,c4,1775,?,i1,
1769504344.9425118,RECEIVED,a1d471a1-6abc-4887-a8cd-fa1a7e1ba95c,8c290fc9-c95b-460c-83ba-a81cc72cb388,c4,None,2219,p1,?,
1769504344.9537108,RECEIVED,8c87c368-715b-4e8f-909e-4d3f90436ba1,b6c3bfe1-9ec2-4825-9dea-11a2fdafe12c,c1,c3,2451,p1,?,
1769504345.0403237,RECEIVED,b08d1c44-e92a-4e8f-974e-494bb3512870,3a74a5db-07ec-4a90-b89d-fd158c3619c2,c3,None,2232,p3,?,
1769504345.307359,SENT,b08d1c44-e92a-4e8f-974e-494bb3512870,3a74a5db-07ec-4a90-b89d-fd158c3619c2,c3,None,1600,?,i10,
1769504345.3074687,FORWARDED,b08d1c44-e92a-4e8f-974e-494bb3512870,3a74a5db-07ec-4a90-b89d-fd158c3619c2,c3,None,1600,?,i10,
1769504345.5213737,RECEIVED,c5b6ca82-4558-4bc2-ac9b-c28f072a21bb,fa2a3f11-7f00-4cd3-9104-423606345832,c2,None,2239,p2,?,
1769504345.7409782,SENT,c5b6ca82-4558-4bc2-ac9b-c28f072a21bb,fa2a3f11-7f00-4cd3-9104-423606345832,c2,None,1607,?,i1,
1769504345.741079,FORWARDED,c5b6ca82-4558-4bc2-ac9b-c28f072a21bb,fa2a3f11-7f00-4cd3-9104-423606345832,c2,None,1607,?,i1,
1769504345.7504318,SENT,a1d471a1-6abc-4887-a8cd-fa1a7e1ba95c,8c290fc9-c95b-460c-83ba-a81cc72cb388,c4,None,1591,?,i1,
1769504345.7505093,FORWARDED,a1d471a1-6abc-4887-a8cd-fa1a7e1ba95c,8c290fc9-c95b-460c-83ba-a81cc72cb388,c4,None,1591,?,i1,
1769504345.7955859,SENT,8c87c368-715b-4e8f-909e-4d3f90436ba1,b6c3bfe1-9ec2-4825-9dea-11a2fdafe12c,c1,c3,1765,?,i9,
1769504345.7956624,FORWARDED,8c87c368-715b-4e8f-909e-4d3f90436ba1,b6c3bfe1-9ec2-4825-9dea-11a2fdafe12c,c1,c3,1765,?,i9,
1769504345.847232,RECEIVED,3ab24e8f-e6a0-46d4-811c-145fdf0130fe,60c56370-1bac-4269-adca-e48f9c4a0a84,c2,c3,2454,p2,?,
1769504345.905392,RECEIVED,28f7a75d-4ec8-4a9d-a984-64206f6c29ac,707166b5-d27a-41e2-a6cc-a5d2f2acea79,c3,None,2238,p3,?,
1769504346.3866313,SENT,3ab24e8f-e6a0-46d4-811c-145fdf0130fe,60c56370-1bac-4269-adca-e48f9c4a0a84,c2,c3,1770,?,i9,
1769504346.3867078,FORWARDED,3ab24e8f-e6a0-46d4-811c-145fdf0130fe,60c56370-1bac-4269-adca-e48f9c4a0a84,c2,c3,1770,?,i9,
1769504346.40437,RECEIVED,f3fa6b9f-5360-4840-b78e-71c8702beefa,90e57927-55a6-4662-9063-34173575a542,c4,None,2229,p1,?,
1769504346.557996,SENT,28f7a75d-4ec8-4a9d-a984-64206f6c29ac,707166b5-d27a-41e2-a6cc-a5d2f2acea79,c3,None,1608,?,i8,
1769504346.558096,FORWARDED,28f7a75d-4ec8-4a9d-a984-64206f6c29ac,707166b5-d27a-41e2-a6cc-a5d2f2acea79,c3,None,1608,?,i8,
1769504346.6503963,SENT,f3fa6b9f-5360-4840-b78e-71c8702beefa,90e57927-55a6-4662-9063-34173575a542,c4,None,1599,?,i12,
1769504346.6504767,FORWARDED,f3fa6b9f-5360-4840-b78e-71c8702beefa,90e57927-55a6-4662-9063-34173575a542,c4,None,1599,?,i12,
1769504347.1441917,RECEIVED,61374c5a-0a44-4fe8-8332-4867b754c741,a0c170c9-4b7c-41ed-a356-0b37d58d0bd8,c3,None,2223,p3,?,
1769504347.2329874,RECEIVED,75d81073-d851-4067-bdbb-3ddb380ce4aa,aaf6f67b-4002-4fef-bfaf-9d43dffd18ae,c4,None,2231,p1,?,
1769504347.2700326,RECEIVED,826c8e86-e423-42da-a672-c0677371b228,8a348bbf-1bf5-46dc-97d6-858958170185,c1,c3,2463,p1,?,
1769504347.4357295,RECEIVED,8efb8402-1c03-4cf0-95e9-528c7da7f61f,b860ea1f-6492-4771-9233-90180c5e8ec7,c4,None,2228,p1,?,
1769504347.4819553,RECEIVED,7722f445-7d1d-4ed7-aaca-83a09eeff2b4,f9cd445d-8db7-4cef-9a0b-6affefcb8dfb,c3,None,2236,p3,?,
1769504347.4871676,RECEIVED,14ea5ae2-b842-4f30-8a28-45ee37abd367,404e3af7-c973-4d10-b008-a221e89ada8c,c5,c4,2476,p2,?,
1769504347.4879737,RECEIVED,2042a070-5378-4f56-98c4-8b82f1107295,0a7707ce-2806-4a5c-9262-5fa242002838,c3,None,2223,p3,?,
1769504347.5474446,SENT,7722f445-7d1d-4ed7-aaca-83a09eeff2b4,f9cd445d-8db7-4cef-9a0b-6affefcb8dfb,c3,None,1604,?,i8,
1769504347.5475001,FORWARDED,7722f445-7d1d-4ed7-aaca-83a09eeff2b4,f9cd445d-8db7-4cef-9a0b-6affefcb8dfb,c3,None,1604,?,i8,
1769504347.8118777,SENT,8efb8402-1c03-4cf0-95e9-528c7da7f61f,b860ea1f-6492-4771-9233-90180c5e8ec7,c4,None,1597,?,i8,
1769504347.8119528,FORWARDED,8efb8402-1c03-4cf0-95e9-528c7da7f61f,b860ea1f-6492-4771-9233-90180c5e8ec7,c4,None,1597,?,i8,
1769504347.8196218,SENT,826c8e86-e423-42da-a672-c0677371b228,8a348bbf-1bf5-46dc-97d6-858958170185,c1,c3,1775,?,i4,
1769504347.819678,FORWARDED,826c8e86-e423-42da-a672-c0677371b228,8a348bbf-1bf5-46dc-97d6-858958170185,c1,c3,1775,?,i4,
1769504347.8472793,RECEIVED,b916f2d7-74aa-481f-8bcb-8b93ccbe512b,5709f0c5-0a39-4d20-86a5-b5c7fe2bbaf8,c5,c4,2465,p2,?,
1769504347.8567524,RECEIVED,28056a2f-66d3-4f82-ac92-f4a5865c2338,8c1a58b9-db81-49a7-aacf-d9121ad7d2cf,c2,c3,2463,p2,?,
1769504347.9638505,SENT,75d81073-d851-4067-bdbb-3ddb380ce4aa,aaf6f67b-4002-4fef-bfaf-9d43dffd18ae,c4,None,1601,?,i3,
1769504347.9639087,FORWARDED,75d81073-d851-4067-bdbb-3ddb380ce4aa,aaf6f67b-4002-4fef-bfaf-9d43dffd18ae,c4,None,1601,?,i3,
1769504348.1210432,SENT,28056a2f-66d3-4f82-ac92-f4a5865c2338,8c1a58b9-db81-49a7-aacf-d9121ad7d2cf,c2,c3,1775,?,i8,
