timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769504950.7953913,SENT,712ddc42-8241-4bcc-ba58-e56ea5300696,672fc20c-0771-48a9-8b43-d6f2ebf46932,c5,DROP,2014,?,p2,
1769504950.7955313,CREATED,6d84f7cd-72da-4d66-a1dc-94147ed6282e,ae5fcc5b-2306-4800-9095-4886fc17ce12,c5,DROP,26,?,?,
1769504951.0618007,SENT,cc034072-89bb-449d-8dd5-ca458b5d2438,f92bdf3c-e22c-4828-a04f-b27f8b50216c,c5,c3,3380,?,p2,
1769504951.061954,CREATED,90b1b5aa-6527-44a0-9445-53a1b90eeb71,a7354182-0d1c-49d0-931c-c45873acfb1c,c5,c3,27,?,?,surb={'id': '84c8f6e4-d186-45d9-ab10-0056ac930437', 'route': ['p3', 'e10', 'i7', 'x1', 'p2', 'c5']}
1769504951.1177175,SENT,e1c03ed4-ef71-4b4e-8d5f-8d1d9c1fc37e,36d6f9f5-8810-4c8b-866a-25947320d513,c5,c3,3380,?,p2,
1769504951.1178734,CREATED,866a7117-e6eb-4649-b921-dca278579dee,a7354182-0d1c-49d0-931c-c45873acfb1c,c5,c3,27,?,?,surb={'id': '84c8f6e4-d186-45d9-ab10-0056ac930437', 'route': ['p3', 'e10', 'i7', 'x1', 'p2', 'c5']}
1769504951.4610183,SENT,e852af8c-9558-4c16-9b9b-bae0a5553131,6faa0422-0a1f-4ccf-8138-1fabc69e83e8,c5,c3,3388,?,p2,
1769504951.461187,CREATED,5aae6329-c739-49c5-b872-34e8257d9bb4,38e0b359-1203-4925-ae9a-e12856768bed,c5,c3,25,?,?,surb={'id': '0577f6c0-e0b0-40d9-9da6-6d9efea73231', 'route': ['p3', 'e6', 'i6', 'x3', 'p2', 'c5']}
1769504951.7693393,SENT,4296963b-a0b0-4553-bd5f-404e99a3514c,57514097-9fd0-4686-bc5a-97f3d60039c4,c5,c3,3355,?,p2,
1769504951.7694745,CREATED,1c6aa9a1-e5ab-4f65-aa9a-5a507d639262,38e0b359-1203-4925-ae9a-e12856768bed,c5,c3,25,?,?,surb={'id': '0577f6c0-e0b0-40d9-9da6-6d9efea73231', 'route': ['p3', 'e6', 'i6', 'x3', 'p2', 'c5']}
1769504951.9971325,SENT,2f6df725-fb8a-4da4-bdb1-0b5e73db62a5,c33d7efe-265e-4d9c-96aa-4d42feb68f64,c5,c3,3392,?,p2,
1769504951.9972823,CREATED,e8b5861a-3694-4971-a748-cb9d584598c8,abdbb5c2-1ada-4afc-a93c-ef27cb01c108,c5,c3,27,?,?,surb={'id': 'dff0f1fa-cf98-4af5-9b0b-f066a80b3204', 'route': ['p3', 'e10', 'i7', 'x5', 'p2', 'c5']}
1769504952.2066145,RECEIVED,8518c928-0fca-4bde-a65f-ef987fe34dd8,d60ac998-0166-4d8a-98bf-84ed2f9eb530,c4,c5,27,p2,?,surb={'id': 'a4d2152e-e69a-4718-aaf0-f8f31b05798b', 'route': ['p2', 'e11', 'i10', 'x8', 'p1', 'c4']}
1769504952.79536,SENT,f9592ee1-1659-4619-812d-f8019f8604fe,4cf83e44-f19b-48fb-9dc0-233379126aa4,c5,c3,3401,?,p2,
