timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769702388.9296556,RECEIVED,d6ce0ef2-ee05-479c-b299-f35805b8f29c,773fe11e-3d1c-4d60-80ac-020ef06234ef,c4,DROP,1024,e2,?,
1769702389.0281777,SENT,d6ce0ef2-ee05-479c-b299-f35805b8f29c,773fe11e-3d1c-4d60-80ac-020ef06234ef,c4,DROP,694,?,x7,
1769702389.0282288,FORWARDED,d6ce0ef2-ee05-479c-b299-f35805b8f29c,773fe11e-3d1c-4d60-80ac-020ef06234ef,c4,DROP,694,?,x7,
1769702389.1237087,RECEIVED,77229932-35c4-44ca-b3ff-ee33f990c7d3,907bc78a-c2be-48cb-b041-3ad499448e12,c4,None,1612,e10,?,
1769702389.2162135,RECEIVED,30a0ce06-161f-43c0-8361-089f842b16f1,3a8cafe6-cb2d-472c-b9d6-a741fb658cee,c3,DROP,1020,e10,?,
1769702389.2465832,RECEIVED,dc69ab55-7b36-4b1e-a12e-73e3eed4e6fe,c5cc545e-cc49-46a1-ab89-35251f736c32,c1,DROP,1004,e6,?,
1769702389.2488532,RECEIVED,e43576ae-5e6c-4a7b-9576-ffa9e9a4e953,5fdcbf00-f41a-418c-a5e8-9e1096fdf3bf,c2,DROP,1020,e8,?,
1769702389.29439,RECEIVED,6884fd21-a6bc-4436-b717-54f16f3a0520,f8dcfccb-6925-4be7-aed8-66649a2449d3,c3,DROP,1011,e11,?,
1769702389.3113647,SENT,30a0ce06-161f-43c0-8361-089f842b16f1,3a8cafe6-cb2d-472c-b9d6-a741fb658cee,c3,DROP,692,?,x2,
1769702389.3114064,FORWARDED,30a0ce06-161f-43c0-8361-089f842b16f1,3a8cafe6-cb2d-472c-b9d6-a741fb658cee,c3,DROP,692,?,x2,
1769702389.3704405,SENT,dc69ab55-7b36-4b1e-a12e-73e3eed4e6fe,c5cc545e-cc49-46a1-ab89-35251f736c32,c1,DROP,679,?,x8,
1769702389.3704824,FORWARDED,dc69ab55-7b36-4b1e-a12e-73e3eed4e6fe,c5cc545e-cc49-46a1-ab89-35251f736c32,c1,DROP,679,?,x8,
1769702389.6207657,RECEIVED,0abba13b-9d1f-43ab-85a7-0e9be7ee2123,52a71e65-2576-4bc1-bde4-851ee2c9b6d4,c3,DROP,1012,e4,?,
1769702389.633313,RECEIVED,089d7212-62ca-47d3-acda-b9aa6da266b8,f0ae8ad2-6ce5-4e3b-9dd2-9af1c52779d7,c2,DROP,441,x12,?,
1769702389.7310112,SENT,0abba13b-9d1f-43ab-85a7-0e9be7ee2123,52a71e65-2576-4bc1-bde4-851ee2c9b6d4,c3,DROP,687,?,x3,
1769702389.7310672,FORWARDED,0abba13b-9d1f-43ab-85a7-0e9be7ee2123,52a71e65-2576-4bc1-bde4-851ee2c9b6d4,c3,DROP,687,?,x3,
1769702389.739237,RECEIVED,7b156a72-e136-42f0-a41b-86256a6475cf,2342d48f-dd4d-4339-8e14-9eecc8e86ac3,c2,DROP,1008,e8,?,
1769702389.7562406,RECEIVED,eabdd282-0918-4cfa-bb0f-35c02c0f7525,a3a28442-501f-4c34-a4c2-d9cc45d40839,c3,DROP,442,x3,?,
1769702389.978828,RECEIVED,619cad89-a412-44da-b06c-88b796578bd2,fd234197-f273-4a57-ba96-117fdf9a75d1,c4,DROP,1008,e7,?,
1769702390.0535927,SENT,77229932-35c4-44ca-b3ff-ee33f990c7d3,907bc78a-c2be-48cb-b041-3ad499448e12,c4,None,1136,?,x11,
1769702390.0536366,FORWARDED,77229932-35c4-44ca-b3ff-ee33f990c7d3,907bc78a-c2be-48cb-b041-3ad499448e12,c4,None,1136,?,x11,
1769702390.071344,RECEIVED,d0a4eb63-dc95-4404-8972-b6b2f65c7368,39b65edd-d56a-458c-9498-29247888fab9,c4,DROP,446,x3,?,
1769702390.089607,RECEIVED,df984c50-f617-436c-a908-6e91d8302b6b,3be9e2c7-43f9-403f-b2c6-098ce02bb2f4,c3,c1,1779,e5,?,
1769702390.2177098,SENT,df984c50-f617-436c-a908-6e91d8302b6b,3be9e2c7-43f9-403f-b2c6-098ce02bb2f4,c3,c1,1263,?,x7,
1769702390.2177513,FORWARDED,df984c50-f617-436c-a908-6e91d8302b6b,3be9e2c7-43f9-403f-b2c6-098ce02bb2f4,c3,c1,1263,?,x7,
1769702390.2258415,SENT,7b156a72-e136-42f0-a41b-86256a6475cf,2342d48f-dd4d-4339-8e14-9eecc8e86ac3,c2,DROP,684,?,x4,
1769702390.2258863,FORWARDED,7b156a72-e136-42f0-a41b-86256a6475cf,2342d48f-dd4d-4339-8e14-9eecc8e86ac3,c2,DROP,684,?,x4,
1769702390.2592773,RECEIVED,52a2231f-34af-4cf1-b1ab-42880505f9db,a620e381-f9be-4484-a7bb-04bc56c933c5,c5,DROP,1016,e10,?,
1769702390.397344,RECEIVED,d947271f-be40-48c6-a60e-c6a8a7f52dca,fdb9fcee-1adc-47a6-89e4-d084bdb2864c,c2,DROP,1019,e10,?,
1769702390.4798133,RECEIVED,ac48af4d-70d5-4fd3-af6d-93ac85d4f359,1b0a99c6-5f66-4e1a-8ca3-f0ff491ce840,c5,DROP,447,x3,?,
1769702390.5174856,RECEIVED,1f5daf24-2694-4b5a-9fb5-040112d1864d,ba4a2e31-b5fc-45e3-a4dc-a4ec87a03705,c5,DROP,446,x12,?,
1769702390.526959,SENT,e43576ae-5e6c-4a7b-9576-ffa9e9a4e953,5fdcbf00-f41a-418c-a5e8-9e1096fdf3bf,c2,DROP,692,?,x12,
1769702390.5270026,FORWARDED,e43576ae-5e6c-4a7b-9576-ffa9e9a4e953,5fdcbf00-f41a-418c-a5e8-9e1096fdf3bf,c2,DROP,692,?,x12,
1769702390.595253,SENT,52a2231f-34af-4cf1-b1ab-42880505f9db,a620e381-f9be-4484-a7bb-04bc56c933c5,c5,DROP,688,?,x1,
1769702390.5953012,FORWARDED,52a2231f-34af-4cf1-b1ab-42880505f9db,a620e381-f9be-4484-a7bb-04bc56c933c5,c5,DROP,688,?,x1,
1769702390.6800609,RECEIVED,45340f09-cc09-484d-93e9-924af3120ac3,c41346fb-7a88-4b85-9f3e-e576c600f5e6,c2,DROP,445,x11,?,
1769702390.74536,RECEIVED,5d1da26b-579b-441a-a0e6-027c9979925b,1ef0a4f6-8ffd-4239-be4c-72ddaa69d2dd,c3,DROP,1019,e11,?,
1769702390.7802837,RECEIVED,9dc576f7-ba0d-4405-b5be-627256a633c1,b1c8fc61-cef9-4a2f-a356-c9f37859718f,c1,DROP,1007,e8,?,
1769702390.8478334,RECEIVED,bd9b5f55-bb88-4ccd-ac92-bc88d139390b,f0342b59-e8ef-4420-a066-aaee46d728a4,c2,c5,1783,e1,?,
1769702391.0362043,SENT,619cad89-a412-44da-b06c-88b796578bd2,fd234197-f273-4a57-ba96-117fdf9a75d1,c4,DROP,683,?,x12,
1769702391.0362413,FORWARDED,619cad89-a412-44da-b06c-88b796578bd2,fd234197-f273-4a57-ba96-117fdf9a75d1,c4,DROP,683,?,x12,
1769702391.0373828,RECEIVED,c0f36aeb-45db-42b8-a5b2-86090c65c7ae,160cb096-7242-469b-a72f-1ea9746d239a,c2,DROP,1021,e3,?,
1769702391.0445752,SENT,bd9b5f55-bb88-4ccd-ac92-bc88d139390b,f0342b59-e8ef-4420-a066-aaee46d728a4,c2,c5,1264,?,x2,
