timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769707685.9629686,RECEIVED,fe23286b-21c1-477b-96f0-db52a0c21502,7c0c9a3a-c1d6-49f9-a5d1-1e52707fd869,c1,DROP,1440,p1,?,
1769707686.0612674,RECEIVED,9ef2267a-7ca8-4a6a-8455-f6906f0c243a,3fff02f1-1c84-4f08-b7b7-620630459f54,c2,c5,2460,p2,?,
1769707686.069598,SENT,fe23286b-21c1-477b-96f0-db52a0c21502,7c0c9a3a-c1d6-49f9-a5d1-1e52707fd869,c1,DROP,1008,?,i5,
1769707686.0697086,FORWARDED,fe23286b-21c1-477b-96f0-db52a0c21502,7c0c9a3a-c1d6-49f9-a5d1-1e52707fd869,c1,DROP,1008,?,i5,
1769707686.394703,RECEIVED,c4f115f2-ef63-4675-9ebc-80358458482f,4d937a97-5bb2-4d47-94c6-fc2b08349ec1,c2,c5,2464,p2,?,
1769707686.4525237,SENT,9ef2267a-7ca8-4a6a-8455-f6906f0c243a,3fff02f1-1c84-4f08-b7b7-620630459f54,c2,c5,1771,?,i6,
1769707686.452626,FORWARDED,9ef2267a-7ca8-4a6a-8455-f6906f0c243a,3fff02f1-1c84-4f08-b7b7-620630459f54,c2,c5,1771,?,i6,
1769707686.5559368,RECEIVED,b732548e-652b-4478-a441-d2bc2e2682de,14df8b18-5f8a-46d7-aa0d-8cd82b432858,c4,c5,2448,p1,?,
1769707686.563571,RECEIVED,790122a0-d2f2-4432-91e2-93e85a4e9919,d179402d-cab0-456b-8313-7ad80a1cdd4d,c4,DROP,1439,p1,?,
1769707686.602311,SENT,c4f115f2-ef63-4675-9ebc-80358458482f,4d937a97-5bb2-4d47-94c6-fc2b08349ec1,c2,c5,1776,?,i7,
1769707686.6024196,FORWARDED,c4f115f2-ef63-4675-9ebc-80358458482f,4d937a97-5bb2-4d47-94c6-fc2b08349ec1,c2,c5,1776,?,i7,
1769707686.6296964,SENT,b732548e-652b-4478-a441-d2bc2e2682de,14df8b18-5f8a-46d7-aa0d-8cd82b432858,c4,c5,1763,?,i4,
1769707686.629815,FORWARDED,b732548e-652b-4478-a441-d2bc2e2682de,14df8b18-5f8a-46d7-aa0d-8cd82b432858,c4,c5,1763,?,i4,
1769707687.1094995,SENT,790122a0-d2f2-4432-91e2-93e85a4e9919,d179402d-cab0-456b-8313-7ad80a1cdd4d,c4,DROP,1008,?,i4,
1769707687.1095827,FORWARDED,790122a0-d2f2-4432-91e2-93e85a4e9919,d179402d-cab0-456b-8313-7ad80a1cdd4d,c4,DROP,1008,?,i4,
1769707687.211371,RECEIVED,ecabd7c5-5204-4f72-aeb0-0bd876d143ec,92a307c0-36db-4ecc-b277-1f661506675a,c5,DROP,1440,p2,?,
1769707687.2552414,SENT,ecabd7c5-5204-4f72-aeb0-0bd876d143ec,92a307c0-36db-4ecc-b277-1f661506675a,c5,DROP,1008,?,i8,
1769707687.2553244,FORWARDED,ecabd7c5-5204-4f72-aeb0-0bd876d143ec,92a307c0-36db-4ecc-b277-1f661506675a,c5,DROP,1008,?,i8,
1769707687.3995473,RECEIVED,7ef5ee8d-41f0-4fed-a6ca-2932bc358312,e4d8da68-62a8-4d59-b048-53dd9b1458a4,c1,DROP,1452,p1,?,
1769707687.460631,RECEIVED,f647e6c4-5147-43a0-825c-f42c8189bd4b,aba0fdb6-d51d-4944-b831-f819496144ed,c5,c4,2454,p2,?,
1769707687.6007965,SENT,7ef5ee8d-41f0-4fed-a6ca-2932bc358312,e4d8da68-62a8-4d59-b048-53dd9b1458a4,c1,DROP,1017,?,i4,
1769707687.6008806,FORWARDED,7ef5ee8d-41f0-4fed-a6ca-2932bc358312,e4d8da68-62a8-4d59-b048-53dd9b1458a4,c1,DROP,1017,?,i4,
1769707687.8045192,RECEIVED,6fec0b0e-2c29-46e3-9c81-4cd4f7487306,86e5e1b4-25e0-4c74-a5e7-e445a0484d86,c5,DROP,1447,p2,?,
1769707687.8071363,RECEIVED,0d8a393f-caae-4bac-9836-1b0cd26021e8,4bc4d593-5e31-45b7-9af0-87c901741e71,c4,DROP,1439,p1,?,
1769707688.0427659,RECEIVED,3b924398-094b-4b67-b6fe-5a25a8f8b655,e7219ad6-07d8-458a-903a-6233e45b1bc0,c4,DROP,1443,p1,?,
1769707688.0874918,RECEIVED,6691276b-74ed-4d46-8ed2-fd21bfc14b7a,d9053053-83ad-4689-ae3e-26e22d2ba368,c4,DROP,1440,p1,?,
1769707688.1152306,RECEIVED,53e0ccec-377d-4bc2-ab72-aaa18dd3152d,7bf07d7c-69ad-4818-8a7a-253c9d6bb334,c5,DROP,1451,p2,?,
1769707688.2082915,SENT,6691276b-74ed-4d46-8ed2-fd21bfc14b7a,d9053053-83ad-4689-ae3e-26e22d2ba368,c4,DROP,1007,?,i7,
1769707688.2083545,FORWARDED,6691276b-74ed-4d46-8ed2-fd21bfc14b7a,d9053053-83ad-4689-ae3e-26e22d2ba368,c4,DROP,1007,?,i7,
1769707688.2984934,RECEIVED,26c4625a-9cf7-49a5-838d-a6fe89b2b386,a683f126-622a-4d5c-b7a2-d3c12486ff10,c5,None,2236,p2,?,
1769707688.3564122,SENT,26c4625a-9cf7-49a5-838d-a6fe89b2b386,a683f126-622a-4d5c-b7a2-d3c12486ff10,c5,None,1603,?,i7,
1769707688.3564768,FORWARDED,26c4625a-9cf7-49a5-838d-a6fe89b2b386,a683f126-622a-4d5c-b7a2-d3c12486ff10,c5,None,1603,?,i7,
1769707688.4350185,RECEIVED,a96dd01d-2009-4e44-b857-612e056a7c79,8cbfa5a5-d3ce-4d4c-881b-1c4d0465fc89,c2,c5,2472,p2,?,
