link,llr,obs_count,rate
p1->c4,13.115209815848884,526,8.251502478053238
p2->c5,6.445404979354345,169,2.6511481345836447
p1->e4,6.379048109240708,122,1.9138465823621578
p3->c3,5.802575760625309,205,3.2158897490511666
p1->e9,3.963508992402864,127,1.992282917704869
p3->e5,3.5739284155042133,65,1.019672359455248
p3->e9,3.496400840103834,57,0.8941742229069098
p2->e3,3.3828255168428467,149,2.3374027932127994
e6->i11,3.1972518261660245,32,0.5019925461933529
x11->p1,2.9772330867769465,69,1.082421427729417
i5->x3,2.8918522433422758,35,0.5490543473989797
e4->i12,2.803601224868114,31,0.4863052791248106
i3->x4,2.7537588670003044,33,0.5176798132618952
p1->e6,2.7226339092663667,166,2.604086333378018
p2->e6,2.70598396528128,126,1.976595650636327
p2->e9,2.5815802205991507,133,2.086406520116123
x9->p1,2.560012092173395,44,0.6902397510158602
i1->x4,2.551531400645271,38,0.5961161486046065
p3->e7,2.456020004935283,57,0.8941742229069098
i7->x11,2.436392138350867,50,0.7843633534271138
i9->x3,2.3466636827185994,27,0.4235562108506415
p1->e5,2.334298767769434,145,2.2746537249386303
p2->e12,2.2677741279566654,144,2.258966457870088
e9->i3,2.2304045724504005,31,0.4863052791248106
i10->x9,2.2082043183836153,32,0.5019925461933529
i3->x7,2.174742106513826,35,0.5490543473989797
i10->x1,2.1611342836772196,35,0.5490543473989797
i11->x1,2.1451214963753467,34,0.5333670803304374
i12->x5,2.116917545079833,25,0.3921816767135569
x4->p1,2.0995429895501876,38,0.5961161486046065
e9->i11,2.0738992103789604,28,0.4392434779191838
e8->i12,2.070686249972584,40,0.6274906827416911
p1->e1,2.0686521085481693,127,1.992282917704869
e4->i4,2.0351997371329325,29,0.454930744987726
e10->i10,2.027480600121059,28,0.4392434779191838
e6->i9,2.014878256800297,48,0.7529888192900293
e3->i5,2.0083549629593263,31,0.4863052791248106
e2->i7,1.9978727496316138,27,0.4235562108506415
e12->i2,1.9763527684584825,28,0.4392434779191838
i12->x4,1.9728240147167302,37,0.5804288815360642
i7->x3,1.967072998592752,26,0.4078689437820992
i5->x9,1.9109257940589752,32,0.5019925461933529
x1->p1,1.8851433786292384,52,0.8157378875641984
e4->i8,1.859707917681075,22,0.3451198755079301
e5->i6,1.8556640654525012,27,0.4235562108506415
p2->e10,1.8365075744510548,122,1.9138465823621578
i1->x3,1.830717354148724,25,0.3921816767135569
p3->e4,1.8289652279874602,64,1.0039850923867057
i6->x1,1.824147706271392,28,0.4392434779191838
i2->x3,1.8204702051448005,25,0.3921816767135569
x12->p2,1.8131449282989331,18,0.282370807233761
i6->x8,1.8106774828800174,38,0.5961161486046065
i5->x7,1.796849349976311,40,0.6274906827416911
i11->x11,1.7942259419329205,33,0.5176798132618952
e4->i2,1.7754908779882412,24,0.3764944096450146
i11->x12,1.7709885975937385,24,0.3764944096450146
i4->x10,1.7600695219631493,13,0.2039344718910496
i11->x2,1.7485647821322963,25,0.3921816767135569
i7->x7,1.7337036982873828,42,0.6588652168787756
e12->i4,1.7214626690331203,30,0.4706180120562683
e11->i7,1.7165229517416547,30,0.4706180120562683
e4->i10,1.7157769027084582,29,0.454930744987726
e3->i10,1.686595972539036,27,0.4235562108506415
e10->i7,1.6823640398962696,29,0.454930744987726
i4->x7,1.6650153532517549,52,0.8157378875641984
i2->x11,1.6595166311513783,39,0.6118034156731488
e7->i1,1.6301365348219976,23,0.3608071425764724
i4->x9,1.6092467397821992,34,0.5333670803304374
e6->i4,1.6060263380518895,30,0.4706180120562683
e5->i1,1.5991455174566958,28,0.4392434779191838
i9->x5,1.5755478832212457,35,0.5490543473989797
e5->i5,1.5676265415148212,43,0.6745524839473179
i5->x2,1.5511029803139191,25,0.3921816767135569
x6->p1,1.5448115413833885,23,0.3608071425764724
e1->i10,1.539937079976501,25,0.3921816767135569
e6->i6,1.5219093221359197,37,0.5804288815360642
i6->x11,1.5187270156412862,34,0.5333670803304374
x7->p3,1.5111977220005541,25,0.3921816767135569
x5->e4,1.487949248594524,10,0.15687267068542277
e9->i4,1.4839192105945842,33,0.5176798132618952
e5->i4,1.4725756359453155,24,0.3764944096450146
i9->x1,1.4681956803180545,26,0.4078689437820992
e12->i10,1.453446125266049,36,0.564741614467522
e8->i3,1.452546325414696,32,0.5019925461933529
e7->i12,1.4479340478029816,25,0.3921816767135569
e1->i7,1.4434785384268878,34,0.5333670803304374
e10->i11,1.4382601664313923,19,0.29805807430230324
i5->x5,1.429875828484581,25,0.3921816767135569
i7->x4,1.4239034765427494,30,0.4706180120562683
e1->i11,1.423874452845983,32,0.5019925461933529
e3->i8,1.4234847352735236,30,0.4706180120562683
e6->i1,1.4212311347345943,31,0.4863052791248106
x11->x9,1.411986171378059,13,0.2039344718910496
i7->x8,1.4009869043523833,25,0.3921816767135569
x5->p1,1.4005418498244993,47,0.737301552221487
e3->i11,1.3855850330790567,25,0.3921816767135569
i4->x4,1.3706704366485605,31,0.4863052791248106
i7->x12,1.3702062466441665,22,0.3451198755079301
e6->i10,1.3577516474278104,26,0.4078689437820992
x4->e5,1.3531613148129686,10,0.15687267068542277
i7->x10,1.3322179407905348,11,0.17255993775396505
i12->x8,1.3308810960630861,35,0.5490543473989797
p3->e1,1.3268625275591721,63,0.9882978253181635
x3->x5,1.319794331521519,15,0.23530900602813415
e10->i5,1.3179357767241067,33,0.5176798132618952
x8->p2,1.3069949718569198,21,0.3294326084393878
i8->x6,1.297474026181387,19,0.29805807430230324
i11->x9,1.297256677471549,30,0.4706180120562683
i1->x6,1.2937618782187492,15,0.23530900602813415
i1->x11,1.2706600978694125,34,0.5333670803304374
i9->x7,1.227707035751206,55,0.8627996887698253
e5->i2,1.2247536724393786,23,0.3608071425764724
e10->i9,1.2219917908373392,19,0.29805807430230324
x3->p3,1.2195787550415544,19,0.29805807430230324
i4->x11,1.2171147191962448,29,0.454930744987726
i12->x2,1.2130686298815587,33,0.5176798132618952
x7->e9,1.2116020045253721,13,0.2039344718910496
x3->p1,1.2059787658191254,36,0.564741614467522
i8->x5,1.1961659147285872,25,0.3921816767135569
i10->x5,1.1428800569966238,26,0.4078689437820992
e5->i12,1.1405189854605307,28,0.4392434779191838
i12->x10,1.134332233688617,16,0.25099627309667644
x12->e4,1.1304480995167943,16,0.25099627309667644
i6->x2,1.1237970139783826,27,0.4235562108506415
e11->i5,1.1184726882987408,28,0.4392434779191838
e6->i2,1.1130936284583783,26,0.4078689437820992
i2->x6,1.1098771151598954,12,0.1882472048225073
e4->i7,1.1078813745120826,28,0.4392434779191838
x7->p1,1.0981258259207838,74,1.1608577630721284
i12->x7,1.0939605713567553,49,0.7686760863585715
i6->x12,1.0938311522467785,35,0.5490543473989797
e8->i8,1.0915823793337238,21,0.3294326084393878
i6->x3,1.0892951770299288,24,0.3764944096450146
e3->i7,1.0846606631688016,21,0.3294326084393878
i5->x11,1.0828940988831008,38,0.5961161486046065
e3->i6,1.0811871184952273,26,0.4078689437820992
x11->p3,1.0809972783458384,21,0.3294326084393878
i10->x6,1.0723205955402633,9,0.1411854036168805
e1->i3,1.0698421957521855,23,0.3608071425764724
x7->x9,1.0692110413672582,16,0.25099627309667644
i8->x12,1.0615316721152896,27,0.4235562108506415
e4->i5,1.059307285135592,24,0.3764944096450146
e8->i10,1.0579971827328736,32,0.5019925461933529
x9->i9,1.0539633050766577,8,0.12549813654833822
i10->x12,1.0539545422893597,24,0.3764944096450146
x11->e2,1.0519850247212008,11,0.17255993775396505
e2->i8,1.0330409123861801,32,0.5019925461933529
e3->i1,1.0312383483228533,28,0.4392434779191838
x8->x3,1.023585314712368,8,0.12549813654833822
e12->i1,1.020998145389893,27,0.4235562108506415
i9->x2,0.9807923287437212,21,0.3294326084393878
i8->x11,0.9731766068910095,43,0.6745524839473179
x9->x11,0.9714955191351646,19,0.29805807430230324
i12->x1,0.9684383069895182,32,0.5019925461933529
i6->x7,0.9624844052344943,44,0.6902397510158602
x7->p2,0.9620296294260089,18,0.282370807233761
e11->i12,0.9574995742853094,30,0.4706180120562683
x3->x7,0.9568291220683651,19,0.29805807430230324
e2->i6,0.9504585748871239,31,0.4863052791248106
x9->i10,0.9438297603106784,7,0.10981086947979594
x5->i1,0.9435249796824241,8,0.12549813654833822
x8->e8,0.9407776842851505,11,0.17255993775396505
e9->i12,0.9393935320116356,37,0.5804288815360642
x3->i12,0.9347231294835869,5,0.07843633534271138
p1->e11,0.9345800313593018,135,2.1177810542532076
e4->i11,0.9231441806021392,31,0.4863052791248106
x11->e3,0.9225622138794249,8,0.12549813654833822
x2->e10,0.9222711405563606,9,0.1411854036168805
e9->i10,0.921773554643559,25,0.3921816767135569
e6->i5,0.9175667391693452,29,0.454930744987726
p2->e8,0.9148558138950582,129,2.0236574518419537
x3->x12,0.9122051604923089,10,0.15687267068542277
e11->i1,0.9113586418720825,24,0.3764944096450146
x3->x9,0.9041065032863451,15,0.23530900602813415
x4->p2,0.8969549830950636,16,0.25099627309667644
i6->x4,0.8898304413260032,25,0.3921816767135569
x12->e11,0.881259337143506,11,0.17255993775396505
i2->x7,0.8704060628538564,39,0.6118034156731488
i10->x7,0.8700985271965713,29,0.454930744987726
x1->i4,0.8664311803986915,10,0.15687267068542277
x9->p3,0.8605264643058894,18,0.282370807233761
p3->e10,0.8534188105797331,57,0.8941742229069098
i11->x7,0.8533715080809303,46,0.7216142851529448
x10->i3,0.8516078616172527,4,0.06274906827416911
i1->x2,0.8510078234688736,31,0.4863052791248106
x3->x1,0.8478039602891352,9,0.1411854036168805
e1->i12,0.8421711386057544,28,0.4392434779191838
x7->e1,0.8407385488473906,10,0.15687267068542277
x3->i10,0.8385811485271821,12,0.1882472048225073
i11->x6,0.8373070022463556,17,0.2666835401652187
x2->x11,0.8371788892431318,12,0.1882472048225073
i2->x9,0.8367891518539037,23,0.3608071425764724
e5->i11,0.8365852702917085,36,0.564741614467522
x8->p3,0.8352919544810691,15,0.23530900602813415
i4->x8,0.832198477259515,27,0.4235562108506415
i10->x3,0.8223275905338729,17,0.2666835401652187
e2->i12,0.8146458136748396,35,0.5490543473989797
x2->i11,0.8137923799741307,8,0.12549813654833822
i4->x5,0.8017249494472711,26,0.4078689437820992
x11->x3,0.800766053735376,16,0.25099627309667644
e9->i7,0.7969475608411516,29,0.454930744987726
i11->x10,0.78652447711056,12,0.1882472048225073
x3->e10,0.7860145861487622,6,0.09412360241125366
x7->e6,0.7711377314404575,11,0.17255993775396505
x4->x12,0.7671605048321379,11,0.17255993775396505
e6->i8,0.7655108460734317,22,0.3451198755079301
e7->i3,0.7645830135550615,27,0.4235562108506415
i8->x8,0.7634127786627176,19,0.29805807430230324
i2->x12,0.7625407780822226,32,0.5019925461933529
x4->e6,0.7621349637817785,7,0.10981086947979594
e1->i1,0.761874275386186,20,0.31374534137084553
i12->x6,0.7598567988286149,16,0.25099627309667644
x5->e10,0.7563447010024142,8,0.12549813654833822
x11->x8,0.7562787876553116,11,0.17255993775396505
i3->x10,0.748501636047755,13,0.2039344718910496
i10->x4,0.7470417346260843,29,0.454930744987726
x7->x7,0.7386533331041019,6,0.09412360241125366
i5->x10,0.735940502542332,14,0.2196217389595919
e11->i4,0.7355548376058745,29,0.454930744987726
x5->i7,0.7299362837213543,10,0.15687267068542277
i4->x3,0.7295061958453797,30,0.4706180120562683
x9->x3,0.7281767520602598,10,0.15687267068542277
x12->x2,0.7265701425453397,9,0.1411854036168805
x8->x11,0.7251221071634024,12,0.1882472048225073
x7->x1,0.7245537322767346,11,0.17255993775396505
x8->x4,0.7241781431859375,6,0.09412360241125366
x5->x11,0.7203650698815007,8,0.12549813654833822
x2->x7,0.7107098453552343,11,0.17255993775396505
e9->i1,0.7025024027693854,25,0.3921816767135569
i1->x5,0.7020563576506214,22,0.3451198755079301
i11->x5,0.7008640184226311,26,0.4078689437820992
x7->x8,0.6986568275959733,15,0.23530900602813415
e1->i2,0.6986152652434838,26,0.4078689437820992
e9->i9,0.6922804386307191,17,0.2666835401652187
x8->x2,0.6864123757099656,8,0.12549813654833822
x1->p2,0.6855247410664473,12,0.1882472048225073
e9->i2,0.684485535584149,17,0.2666835401652187
x11->i4,0.6830461589772439,14,0.2196217389595919
x1->x9,0.6821810772770016,6,0.09412360241125366
x5->x12,0.6820771761390887,6,0.09412360241125366
e8->i6,0.675902187030418,25,0.3921816767135569
