timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769719312.692524,RECEIVED,59ae4ea8-7c46-4301-8270-737c2b60961e,58bdcf36-4675-45a5-9c33-a45f0de6f40b,c5,DROP,2016,c5,?,
1769719312.7396197,RECEIVED,0f30c92b-c6b8-438e-a8cc-4041bc927faa,f03290a4-a770-4265-a512-026ebc47f261,c5,DROP,2028,c5,?,
1769719312.813496,SENT,0f30c92b-c6b8-438e-a8cc-4041bc927faa,f03290a4-a770-4265-a512-026ebc47f261,c5,DROP,1447,?,e4,
1769719312.8136404,FORWARDED,0f30c92b-c6b8-438e-a8cc-4041bc927faa,f03290a4-a770-4265-a512-026ebc47f261,c5,DROP,1447,?,e4,
1769719312.8275816,SENT,59ae4ea8-7c46-4301-8270-737c2b60961e,58bdcf36-4675-45a5-9c33-a45f0de6f40b,c5,DROP,1439,?,e4,
1769719312.8277137,FORWARDED,59ae4ea8-7c46-4301-8270-737c2b60961e,58bdcf36-4675-45a5-9c33-a45f0de6f40b,c5,DROP,1439,?,e4,
1769719312.8829222,RECEIVED,695aea8e-d300-4106-b28c-85fb87aac6f4,836c345e-30fe-4be7-94b2-aa883141c022,c2,DROP,2028,c2,?,
1769719312.9131749,RECEIVED,a18d6a5c-7549-44c5-b607-3d69f099bab0,c805da97-6e88-4712-82ea-d3e211261567,c5,DROP,2020,c5,?,
1769719312.958042,SENT,695aea8e-d300-4106-b28c-85fb87aac6f4,836c345e-30fe-4be7-94b2-aa883141c022,c2,DROP,1448,?,e3,
1769719312.9582124,FORWARDED,695aea8e-d300-4106-b28c-85fb87aac6f4,836c345e-30fe-4be7-94b2-aa883141c022,c2,DROP,1448,?,e3,
1769719313.014694,RECEIVED,7eb07e6c-f594-4acc-876e-3ed8acff58fb,bc1f6e84-f19d-4188-970f-9da99861eb5a,c5,DROP,2031,c5,?,
1769719313.0221686,RECEIVED,118b398b-0481-44b1-889c-9f71ee3b0839,8ba9152f-4a65-411e-997e-8849e59e020b,c5,DROP,2033,c5,?,
1769719313.0271697,SENT,a18d6a5c-7549-44c5-b607-3d69f099bab0,c805da97-6e88-4712-82ea-d3e211261567,c5,DROP,1443,?,e7,
1769719313.027308,FORWARDED,a18d6a5c-7549-44c5-b607-3d69f099bab0,c805da97-6e88-4712-82ea-d3e211261567,c5,DROP,1443,?,e7,
1769719313.0821762,RECEIVED,f857227f-879b-404c-8b42-d5bf1580f16d,7f9d6a0c-0480-4f65-b4b7-c652a55136c7,c2,c4,3389,c2,?,
1769719313.2414386,RECEIVED,91d9fca1-386e-45fe-92e5-b0713fe1c920,94364325-70bb-4418-ab71-742b1ba70f2c,c5,DROP,2032,c5,?,
1769719313.259652,SENT,118b398b-0481-44b1-889c-9f71ee3b0839,8ba9152f-4a65-411e-997e-8849e59e020b,c5,DROP,1452,?,e12,
1769719313.2597835,FORWARDED,118b398b-0481-44b1-889c-9f71ee3b0839,8ba9152f-4a65-411e-997e-8849e59e020b,c5,DROP,1452,?,e12,
1769719313.2872717,RECEIVED,9b6e5908-f35b-417d-974a-4574bc7bc11f,76b4ab42-dc8b-4e2c-a64f-03365c3982a7,c2,c4,3377,c2,?,
