timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769719313.7646186,RECEIVED,af6f7d5d-ddb7-42de-afba-ee7ef14a8c97,226bba51-6ce8-4e0d-b3f7-9e3680936fd0,c4,DROP,685,i4,?,
1769719314.075831,RECEIVED,f857227f-879b-404c-8b42-d5bf1580f16d,7f9d6a0c-0480-4f65-b4b7-c652a55136c7,c2,c4,1263,i12,?,
1769719314.1329606,SENT,af6f7d5d-ddb7-42de-afba-ee7ef14a8c97,226bba51-6ce8-4e0d-b3f7-9e3680936fd0,c4,DROP,441,?,x10,
1769719314.1331317,FORWARDED,af6f7d5d-ddb7-42de-afba-ee7ef14a8c97,226bba51-6ce8-4e0d-b3f7-9e3680936fd0,c4,DROP,441,?,x10,
1769719314.25788,RECEIVED,fbe64b2a-159b-4b0f-8faa-473556f25e48,2a895612-117d-490a-96e8-17ab92be5f2b,c2,DROP,683,i5,?,
1769719314.3810081,RECEIVED,339795c5-f0cd-4001-bf24-a772a2fbcdc6,1e058de4-6d8d-4b49-a73b-6f62b5aeed2b,c3,DROP,445,x7,?,
1769719314.6632085,RECEIVED,91d9fca1-386e-45fe-92e5-b0713fe1c920,94364325-70bb-4418-ab71-742b1ba70f2c,c5,DROP,688,i4,?,
1769719314.6953673,SENT,f857227f-879b-404c-8b42-d5bf1580f16d,7f9d6a0c-0480-4f65-b4b7-c652a55136c7,c2,c4,875,?,p1,
1769719314.6954648,FORWARDED,f857227f-879b-404c-8b42-d5bf1580f16d,7f9d6a0c-0480-4f65-b4b7-c652a55136c7,c2,c4,875,?,p1,
1769719314.7519002,SENT,91d9fca1-386e-45fe-92e5-b0713fe1c920,94364325-70bb-4418-ab71-742b1ba70f2c,c5,DROP,443,?,x5,
1769719314.7519882,FORWARDED,91d9fca1-386e-45fe-92e5-b0713fe1c920,94364325-70bb-4418-ab71-742b1ba70f2c,c5,DROP,443,?,x5,
1769719314.9537833,SENT,fbe64b2a-159b-4b0f-8faa-473556f25e48,2a895612-117d-490a-96e8-17ab92be5f2b,c2,DROP,441,?,i3,
1769719314.9539206,FORWARDED,fbe64b2a-159b-4b0f-8faa-473556f25e48,2a895612-117d-490a-96e8-17ab92be5f2b,c2,DROP,441,?,i3,
1769719314.986382,RECEIVED,1d367aad-027a-4302-bca0-263937548565,1ab7147d-842c-4c01-8094-5b4c004ffa84,c4,DROP,684,i9,?,
1769719315.05811,SENT,1d367aad-027a-4302-bca0-263937548565,1ab7147d-842c-4c01-8094-5b4c004ffa84,c4,DROP,441,?,e5,
1769719315.0581782,FORWARDED,1d367aad-027a-4302-bca0-263937548565,1ab7147d-842c-4c01-8094-5b4c004ffa84,c4,DROP,441,?,e5,
1769719315.4040976,RECEIVED,20a356e7-fd0c-468b-b16a-7cf3e80fd145,898c1213-db8f-447a-a626-f357a1948801,c2,DROP,446,x9,?,
1769719315.4760802,RECEIVED,5e872f3d-d7dc-4e3e-80ab-72f180a39eb6,44edd181-ef05-4b85-8f9d-8d494d2a0773,c5,DROP,691,i2,?,
1769719315.5251124,RECEIVED,1e34cc3f-6a73-4fbf-9f4a-8b2ba0b3d059,7d216391-82a0-42f9-b28e-757fbee023f2,c3,DROP,441,x7,?,
1769719315.5619526,SENT,5e872f3d-d7dc-4e3e-80ab-72f180a39eb6,44edd181-ef05-4b85-8f9d-8d494d2a0773,c5,DROP,445,?,e12,
1769719315.5620115,FORWARDED,5e872f3d-d7dc-4e3e-80ab-72f180a39eb6,44edd181-ef05-4b85-8f9d-8d494d2a0773,c5,DROP,445,?,e12,
1769719315.8249526,RECEIVED,5b574b65-f2e0-4b24-b04d-5c6e1181c67f,e6102c46-381f-4713-b3a2-2129a521ee26,c4,DROP,684,i1,?,
1769719315.8395588,RECEIVED,a6d809dc-6c09-41bb-82b7-4d87e51e38ed,ad76ee18-df4f-48c0-bcdc-62927a2f2e34,c5,c3,1263,i9,?,
1769719315.8931973,RECEIVED,1a8daa3e-76a7-4494-bb0d-69408e4f974b,1ca3cd90-f5f6-47e9-99c7-0e9e26b7ca90,c5,DROP,683,i12,?,
1769719316.053599,SENT,5b574b65-f2e0-4b24-b04d-5c6e1181c67f,e6102c46-381f-4713-b3a2-2129a521ee26,c4,DROP,441,?,x9,
1769719316.05364,FORWARDED,5b574b65-f2e0-4b24-b04d-5c6e1181c67f,e6102c46-381f-4713-b3a2-2129a521ee26,c4,DROP,441,?,x9,
1769719316.169155,RECEIVED,cd69f072-3f8a-42e1-aa34-b7464a1583c1,328e07b9-b4de-4500-ae58-9371d73d5a52,c5,DROP,683,i2,?,
1769719316.4002905,RECEIVED,7d0a4a24-5d36-4d67-a033-891cc618f330,8e32d6fb-4af7-458f-a985-95a8699b6be7,c4,DROP,691,i6,?,
1769719316.435352,RECEIVED,a3f0bde8-c308-4197-be36-5c84cf9e7033,6f83106c-09e0-4023-a327-7017f0b59c84,c5,DROP,690,i6,?,
1769719316.54178,SENT,a3f0bde8-c308-4197-be36-5c84cf9e7033,6f83106c-09e0-4023-a327-7017f0b59c84,c5,DROP,444,?,i10,
1769719316.5418918,FORWARDED,a3f0bde8-c308-4197-be36-5c84cf9e7033,6f83106c-09e0-4023-a327-7017f0b59c84,c5,DROP,444,?,i10,
1769719316.7821093,RECEIVED,199a0130-f6fb-4ec4-8e7b-839657718f09,d4d0f338-3323-4568-b47e-7232e938582f,c5,DROP,684,i4,?,
1769719316.7991865,SENT,cd69f072-3f8a-42e1-aa34-b7464a1583c1,328e07b9-b4de-4500-ae58-9371d73d5a52,c5,DROP,441,?,x7,
1769719316.7992265,FORWARDED,cd69f072-3f8a-42e1-aa34-b7464a1583c1,328e07b9-b4de-4500-ae58-9371d73d5a52,c5,DROP,441,?,x7,
1769719316.8283312,SENT,1a8daa3e-76a7-4494-bb0d-69408e4f974b,1ca3cd90-f5f6-47e9-99c7-0e9e26b7ca90,c5,DROP,440,?,i6,
1769719316.8283753,FORWARDED,1a8daa3e-76a7-4494-bb0d-69408e4f974b,1ca3cd90-f5f6-47e9-99c7-0e9e26b7ca90,c5,DROP,440,?,i6,
1769719316.8317785,SENT,a6d809dc-6c09-41bb-82b7-4d87e51e38ed,ad76ee18-df4f-48c0-bcdc-62927a2f2e34,c5,c3,875,?,p3,
1769719316.8318245,FORWARDED,a6d809dc-6c09-41bb-82b7-4d87e51e38ed,ad76ee18-df4f-48c0-bcdc-62927a2f2e34,c5,c3,875,?,p3,
1769719316.8416493,RECEIVED,ef294ca5-a81a-4274-ba52-c419196e2338,efcc0d94-6afd-439a-a9a3-70af8f58d6b8,c5,DROP,683,i5,?,
1769719316.9084914,SENT,199a0130-f6fb-4ec4-8e7b-839657718f09,d4d0f338-3323-4568-b47e-7232e938582f,c5,DROP,439,?,i5,
1769719316.9085374,FORWARDED,199a0130-f6fb-4ec4-8e7b-839657718f09,d4d0f338-3323-4568-b47e-7232e938582f,c5,DROP,439,?,i5,
1769719316.9641209,RECEIVED,4df6f3b6-0d46-418d-9cf3-3c5cdf854638,5bc5528f-f294-4baa-be2a-6195c11b04fe,c1,c5,1263,i8,?,
1769719317.011035,SENT,4df6f3b6-0d46-418d-9cf3-3c5cdf854638,5bc5528f-f294-4baa-be2a-6195c11b04fe,c1,c5,875,?,p2,
1769719317.0110955,FORWARDED,4df6f3b6-0d46-418d-9cf3-3c5cdf854638,5bc5528f-f294-4baa-be2a-6195c11b04fe,c1,c5,875,?,p2,
1769719317.1064,RECEIVED,4c65beda-8b3f-4b03-beb6-f344ea0d5227,a88bda4c-1aa7-4423-865c-f7d6d49bfa62,c4,DROP,684,i2,?,
1769719317.1693108,RECEIVED,8b3868fe-8a46-451b-b3fd-fc88a5675f34,ce866975-8353-4a68-a8ed-753397828c78,c4,c1,1263,i11,?,
1769719317.1825426,RECEIVED,a2916667-a534-4520-b597-326968c93988,e0b94eb5-9540-41fa-a753-711cf828b10c,c1,DROP,442,x12,?,
1769719317.273353,SENT,4c65beda-8b3f-4b03-beb6-f344ea0d5227,a88bda4c-1aa7-4423-865c-f7d6d49bfa62,c4,DROP,441,?,x7,
1769719317.2734048,FORWARDED,4c65beda-8b3f-4b03-beb6-f344ea0d5227,a88bda4c-1aa7-4423-865c-f7d6d49bfa62,c4,DROP,441,?,x7,
1769719317.3178906,SENT,8b3868fe-8a46-451b-b3fd-fc88a5675f34,ce866975-8353-4a68-a8ed-753397828c78,c4,c1,875,?,p1,
1769719317.3179443,FORWARDED,8b3868fe-8a46-451b-b3fd-fc88a5675f34,ce866975-8353-4a68-a8ed-753397828c78,c4,c1,875,?,p1,
1769719317.5138922,SENT,ef294ca5-a81a-4274-ba52-c419196e2338,efcc0d94-6afd-439a-a9a3-70af8f58d6b8,c5,DROP,441,?,e1,
1769719317.513944,FORWARDED,ef294ca5-a81a-4274-ba52-c419196e2338,efcc0d94-6afd-439a-a9a3-70af8f58d6b8,c5,DROP,441,?,e1,
1769719317.77676,RECEIVED,6c9aaeb6-4997-4cca-affd-6fce2ec95d89,768dabbe-f7d1-4a59-af3e-79c1ae4087cf,c4,DROP,441,x1,?,
1769719317.9252949,RECEIVED,c3a951b1-3cad-4d58-9ef1-7bbb3fad6977,ba312b7b-5091-4f88-bc05-c065b8333a45,c1,DROP,683,i3,?,
1769719318.3741446,SENT,c3a951b1-3cad-4d58-9ef1-7bbb3fad6977,ba312b7b-5091-4f88-bc05-c065b8333a45,c1,DROP,441,?,i1,
1769719318.3741853,FORWARDED,c3a951b1-3cad-4d58-9ef1-7bbb3fad6977,ba312b7b-5091-4f88-bc05-c065b8333a45,c1,DROP,441,?,i1,
1769719318.3932083,SENT,7d0a4a24-5d36-4d67-a033-891cc618f330,8e32d6fb-4af7-458f-a985-95a8699b6be7,c4,DROP,446,?,i1,
1769719318.3932498,FORWARDED,7d0a4a24-5d36-4d67-a033-891cc618f330,8e32d6fb-4af7-458f-a985-95a8699b6be7,c4,DROP,446,?,i1,
1769719318.5061636,RECEIVED,dbc48b0d-5efe-4b45-bf84-477393ad8064,65509726-d7d4-45f5-8a00-9b2446d5be12,c4,DROP,683,i9,?,
1769719318.6270285,RECEIVED,a458cf11-9f63-4fd6-8f6b-aa25b38d89af,2a6b25ed-ab3f-48e4-940c-ae1af0c08b1f,c3,DROP,683,i5,?,
1769719318.631106,RECEIVED,7e3fd79c-ad28-473f-9e7b-b632d7a77452,f077ba24-eb64-4748-80be-217e3b209c63,c4,DROP,441,x6,?,
1769719318.7172623,RECEIVED,8a757bbd-8b13-420e-88cb-7a7df6665850,def00193-3d49-47b3-9488-671eee18c7c9,c3,DROP,687,i6,?,
1769719318.7253294,RECEIVED,b27424fa-16f8-4284-bbd3-b08f4e7b5944,5256ea98-cac4-425b-98ae-34e415157ea3,c1,DROP,683,i1,?,
1769719318.8059995,RECEIVED,4ed538d0-a27e-484b-a02a-58c6f9519266,e44be5aa-a411-4b68-89e7-21db4e927e07,c5,DROP,683,i1,?,
1769719319.038978,RECEIVED,46f46e87-19c8-4839-a16d-889583c2a9d3,acf13959-fe18-463b-949c-ab4d377b6bb5,c5,DROP,687,i9,?,
1769719319.062401,SENT,b27424fa-16f8-4284-bbd3-b08f4e7b5944,5256ea98-cac4-425b-98ae-34e415157ea3,c1,DROP,441,?,i6,
1769719319.0625381,FORWARDED,b27424fa-16f8-4284-bbd3-b08f4e7b5944,5256ea98-cac4-425b-98ae-34e415157ea3,c1,DROP,441,?,i6,
1769719319.0951636,RECEIVED,db2be999-12cb-4d28-bf15-c0ef949069e3,946dd7c8-9ea7-452e-8650-ea3c06334f0c,c4,DROP,687,i5,?,
1769719319.1216173,RECEIVED,2eb18c72-4845-429e-ab40-bbdf8a55c07c,ef592d33-8441-4035-a6c5-d702c04216bd,c3,DROP,684,i11,?,
1769719319.2557907,SENT,dbc48b0d-5efe-4b45-bf84-477393ad8064,65509726-d7d4-45f5-8a00-9b2446d5be12,c4,DROP,441,?,e1,
1769719319.2559175,FORWARDED,dbc48b0d-5efe-4b45-bf84-477393ad8064,65509726-d7d4-45f5-8a00-9b2446d5be12,c4,DROP,441,?,e1,
1769719319.2741985,SENT,2eb18c72-4845-429e-ab40-bbdf8a55c07c,ef592d33-8441-4035-a6c5-d702c04216bd,c3,DROP,441,?,i1,
1769719319.2743201,FORWARDED,2eb18c72-4845-429e-ab40-bbdf8a55c07c,ef592d33-8441-4035-a6c5-d702c04216bd,c3,DROP,441,?,i1,
1769719319.2849438,RECEIVED,c7a0e9ef-8d00-481a-b832-9a5137aadec6,ce238205-1077-4e35-8638-aed56ff4e528,c1,DROP,447,x10,?,
1769719319.3011174,SENT,8a757bbd-8b13-420e-88cb-7a7df6665850,def00193-3d49-47b3-9488-671eee18c7c9,c3,DROP,442,?,x8,
1769719319.3011942,FORWARDED,8a757bbd-8b13-420e-88cb-7a7df6665850,def00193-3d49-47b3-9488-671eee18c7c9,c3,DROP,442,?,x8,
1769719319.3417013,RECEIVED,21df54e8-50d7-4263-b3eb-4269e5445555,99ebde10-390f-4b92-8d50-a402016bd271,c3,DROP,442,x5,?,
1769719319.3779662,SENT,a458cf11-9f63-4fd6-8f6b-aa25b38d89af,2a6b25ed-ab3f-48e4-940c-ae1af0c08b1f,c3,DROP,441,?,e9,
1769719319.3780081,FORWARDED,a458cf11-9f63-4fd6-8f6b-aa25b38d89af,2a6b25ed-ab3f-48e4-940c-ae1af0c08b1f,c3,DROP,441,?,e9,
